"doy","fit","se","Site","validName"
69,2.22044604925031e-16,8.58910710267615e-14,"Auca","Acrolophus plumifrontella"
70,2.22044604925031e-16,8.46872071697251e-14,"Auca","Acrolophus plumifrontella"
71,2.22044604925031e-16,8.34875694197155e-14,"Auca","Acrolophus plumifrontella"
72,2.22044604925031e-16,8.22924995102162e-14,"Auca","Acrolophus plumifrontella"
73,2.22044604925031e-16,8.11023227373978e-14,"Auca","Acrolophus plumifrontella"
74,2.22044604925031e-16,7.99173468324812e-14,"Auca","Acrolophus plumifrontella"
75,2.22044604925031e-16,7.87378608544685e-14,"Auca","Acrolophus plumifrontella"
76,2.22044604925031e-16,7.75641341094515e-14,"Auca","Acrolophus plumifrontella"
77,2.22044604925031e-16,7.63964151035055e-14,"Auca","Acrolophus plumifrontella"
78,2.22044604925031e-16,7.52349305370296e-14,"Auca","Acrolophus plumifrontella"
79,2.22044604925031e-16,7.40798843492984e-14,"Auca","Acrolophus plumifrontella"
80,2.22044604925031e-16,7.29314568229503e-14,"Auca","Acrolophus plumifrontella"
81,2.22044604925031e-16,7.17898037591577e-14,"Auca","Acrolophus plumifrontella"
82,2.22044604925031e-16,7.06550557353074e-14,"Auca","Acrolophus plumifrontella"
83,2.22044604925031e-16,6.9527317458171e-14,"Auca","Acrolophus plumifrontella"
84,2.22044604925031e-16,6.84066672267774e-14,"Auca","Acrolophus plumifrontella"
85,2.22044604925031e-16,6.72931565205184e-14,"Auca","Acrolophus plumifrontella"
86,2.22044604925031e-16,6.61868097294381e-14,"Auca","Acrolophus plumifrontella"
87,2.22044604925031e-16,6.50876240452072e-14,"Auca","Acrolophus plumifrontella"
88,2.22044604925031e-16,6.39955695329643e-14,"Auca","Acrolophus plumifrontella"
89,2.22044604925031e-16,6.29105894060808e-14,"Auca","Acrolophus plumifrontella"
90,2.22044604925031e-16,6.18326005279772e-14,"Auca","Acrolophus plumifrontella"
91,2.22044604925031e-16,6.07614941674663e-14,"Auca","Acrolophus plumifrontella"
92,2.22044604925031e-16,5.96971370367553e-14,"Auca","Acrolophus plumifrontella"
93,2.22044604925031e-16,5.86393726442953e-14,"Auca","Acrolophus plumifrontella"
94,2.22044604925031e-16,5.75880229981976e-14,"Auca","Acrolophus plumifrontella"
95,2.22044604925031e-16,5.65428907000589e-14,"Auca","Acrolophus plumifrontella"
96,2.22044604925031e-16,5.5503761473866e-14,"Auca","Acrolophus plumifrontella"
97,2.22044604925031e-16,5.44704071803507e-14,"Auca","Acrolophus plumifrontella"
98,2.22044604925031e-16,5.3442589373907e-14,"Auca","Acrolophus plumifrontella"
99,2.22044604925031e-16,5.24200634671796e-14,"Auca","Acrolophus plumifrontella"
100,2.22044604925031e-16,5.14025835779383e-14,"Auca","Acrolophus plumifrontella"
101,2.22044604925031e-16,5.03899086328241e-14,"Auca","Acrolophus plumifrontella"
102,2.22044604925031e-16,4.93819418527154e-14,"Auca","Acrolophus plumifrontella"
103,2.22044604925031e-16,4.83789237930736e-14,"Auca","Acrolophus plumifrontella"
104,2.22044604925031e-16,4.73811722702214e-14,"Auca","Acrolophus plumifrontella"
105,2.22044604925031e-16,4.6389034287064e-14,"Auca","Acrolophus plumifrontella"
106,2.22044604925031e-16,4.54028818877305e-14,"Auca","Acrolophus plumifrontella"
107,2.22044604925031e-16,4.44231079204749e-14,"Auca","Acrolophus plumifrontella"
108,2.22044604925031e-16,4.34501216992579e-14,"Auca","Acrolophus plumifrontella"
109,2.22044604925031e-16,4.24843445548361e-14,"Auca","Acrolophus plumifrontella"
110,2.22044604925031e-16,4.15262052670672e-14,"Auca","Acrolophus plumifrontella"
111,2.22044604925031e-16,4.05761353715473e-14,"Auca","Acrolophus plumifrontella"
112,2.22044604925031e-16,3.9634564335708e-14,"Auca","Acrolophus plumifrontella"
113,2.22044604925031e-16,3.8701914602197e-14,"Auca","Acrolophus plumifrontella"
114,2.22044604925031e-16,3.7778596500815e-14,"Auca","Acrolophus plumifrontella"
115,2.22044604925031e-16,3.68650030345775e-14,"Auca","Acrolophus plumifrontella"
116,2.22044604925031e-16,3.59615045506731e-14,"Auca","Acrolophus plumifrontella"
117,2.22044604925031e-16,3.50684433132885e-14,"Auca","Acrolophus plumifrontella"
118,2.22044604925031e-16,3.41861280024977e-14,"Auca","Acrolophus plumifrontella"
119,2.22044604925031e-16,3.33148281717353e-14,"Auca","Acrolophus plumifrontella"
120,2.22044604925031e-16,3.24547687057949e-14,"Auca","Acrolophus plumifrontella"
121,2.22044604925031e-16,3.16061243318213e-14,"Auca","Acrolophus plumifrontella"
122,2.22044604925031e-16,3.07690142473752e-14,"Auca","Acrolophus plumifrontella"
123,2.22044604925031e-16,2.99434969423044e-14,"Auca","Acrolophus plumifrontella"
124,2.22044604925031e-16,2.91295653048021e-14,"Auca","Acrolophus plumifrontella"
125,2.22044604925031e-16,2.83271421166454e-14,"Auca","Acrolophus plumifrontella"
126,2.22044604925031e-16,2.75360760581762e-14,"Auca","Acrolophus plumifrontella"
127,2.22044604925031e-16,2.67561383602151e-14,"Auca","Acrolophus plumifrontella"
128,2.22044604925031e-16,2.5987020258008e-14,"Auca","Acrolophus plumifrontella"
129,2.22044604925031e-16,2.52283314219678e-14,"Auca","Acrolophus plumifrontella"
130,2.22044604925031e-16,2.4479599562203e-14,"Auca","Acrolophus plumifrontella"
131,2.22044604925031e-16,2.37402714299203e-14,"Auca","Acrolophus plumifrontella"
132,2.22044604925031e-16,2.30097167994546e-14,"Auca","Acrolophus plumifrontella"
133,2.22044604925031e-16,2.22873723024999e-14,"Auca","Acrolophus plumifrontella"
134,2.22044604925031e-16,2.15729225611314e-14,"Auca","Acrolophus plumifrontella"
135,2.22044604925031e-16,2.08661332237437e-14,"Auca","Acrolophus plumifrontella"
136,2.22044604925031e-16,2.01668263176118e-14,"Auca","Acrolophus plumifrontella"
137,2.22044604925031e-16,1.94748786509672e-14,"Auca","Acrolophus plumifrontella"
138,2.22044604925031e-16,1.87902201660038e-14,"Auca","Acrolophus plumifrontella"
139,2.22044604925031e-16,1.81128322567004e-14,"Auca","Acrolophus plumifrontella"
140,2.22044604925031e-16,1.74427460640117e-14,"Auca","Acrolophus plumifrontella"
141,2.22044604925031e-16,1.6780040759605e-14,"Auca","Acrolophus plumifrontella"
142,2.22044604925031e-16,1.61248418278993e-14,"Auca","Acrolophus plumifrontella"
143,2.22044604925031e-16,1.54773193547082e-14,"Auca","Acrolophus plumifrontella"
144,2.22044604925031e-16,1.48376863292697e-14,"Auca","Acrolophus plumifrontella"
145,2.22044604925031e-16,1.42061969648493e-14,"Auca","Acrolophus plumifrontella"
146,2.22044604925031e-16,1.35831450413797e-14,"Auca","Acrolophus plumifrontella"
147,2.22044604925031e-16,1.2968862271682e-14,"Auca","Acrolophus plumifrontella"
148,2.22044604925031e-16,1.23637166906163e-14,"Auca","Acrolophus plumifrontella"
149,2.22044604925031e-16,1.17681110638948e-14,"Auca","Acrolophus plumifrontella"
150,2.22044604925031e-16,1.11824813100805e-14,"Auca","Acrolophus plumifrontella"
151,2.22044604925031e-16,1.06072949252376e-14,"Auca","Acrolophus plumifrontella"
152,2.22044604925031e-16,1.00430493944515e-14,"Auca","Acrolophus plumifrontella"
153,2.22044604925031e-16,9.49027056751033e-15,"Auca","Acrolophus plumifrontella"
154,2.22044604925031e-16,8.94951096678868e-15,"Auca","Acrolophus plumifrontella"
155,2.22044604925031e-16,8.42134798288272e-15,"Auca","Acrolophus plumifrontella"
156,2.22044604925031e-16,7.90638189658203e-15,"Auca","Acrolophus plumifrontella"
157,7.35432167483707e-16,2.45268153683597e-14,"Auca","Acrolophus plumifrontella"
158,4.32430237334228e-15,1.34738101215665e-13,"Auca","Acrolophus plumifrontella"
159,2.4817154027338e-14,7.20554481571547e-13,"Auca","Acrolophus plumifrontella"
160,1.38818459471404e-13,3.74556762277621e-12,"Auca","Acrolophus plumifrontella"
161,7.55785611380781e-13,1.88969633016568e-11,"Auca","Acrolophus plumifrontella"
162,3.99947517692528e-12,9.23937440180928e-11,"Auca","Acrolophus plumifrontella"
163,2.05426852068096e-11,4.37146916524339e-10,"Auca","Acrolophus plumifrontella"
164,1.02272310719412e-10,1.99853975582548e-09,"Auca","Acrolophus plumifrontella"
165,4.9283598391758e-10,8.81608933423423e-09,"Auca","Acrolophus plumifrontella"
166,2.29555164500994e-09,3.74721580723564e-08,"Auca","Acrolophus plumifrontella"
167,1.03206933609926e-08,1.5325702211804e-07,"Auca","Acrolophus plumifrontella"
168,4.47264741186237e-08,6.02338606414585e-07,"Auca","Acrolophus plumifrontella"
169,1.86574061271498e-07,2.27206242335749e-06,"Auca","Acrolophus plumifrontella"
170,7.48110091787895e-07,8.21537825980759e-06,"Auca","Acrolophus plumifrontella"
171,2.87943184707491e-06,2.84405328290022e-05,"Auca","Acrolophus plumifrontella"
172,1.06248447592838e-05,9.41396654335186e-05,"Auca","Acrolophus plumifrontella"
173,3.75407566822768e-05,0.000297494229784507,"Auca","Acrolophus plumifrontella"
174,0.000126864383806532,0.000896073488055177,"Auca","Acrolophus plumifrontella"
175,0.000409566374745393,0.00256791164517916,"Auca","Acrolophus plumifrontella"
176,0.0012616775778476,0.0069871221305454,"Auca","Acrolophus plumifrontella"
177,0.00370427833244015,0.0180082620060373,"Auca","Acrolophus plumifrontella"
178,0.0103533667155732,0.04384159180728,"Auca","Acrolophus plumifrontella"
179,0.0275152818597233,0.100476423356816,"Auca","Acrolophus plumifrontella"
180,0.0694500147517951,0.215845622261528,"Auca","Acrolophus plumifrontella"
181,0.166290848765608,0.432188107666182,"Auca","Acrolophus plumifrontella"
182,0.377271164876472,0.80028554761413,"Auca","Acrolophus plumifrontella"
183,0.810064789360076,1.35450054759176,"Auca","Acrolophus plumifrontella"
184,1.64421422420818,2.05599465803025,"Auca","Acrolophus plumifrontella"
185,3.15109265914059,2.70566702469004,"Auca","Acrolophus plumifrontella"
186,5.69534055832357,2.91297912983434,"Auca","Acrolophus plumifrontella"
187,9.69673658078829,2.88243619738146,"Auca","Acrolophus plumifrontella"
188,15.533542025183,6.47296777538933,"Auca","Acrolophus plumifrontella"
189,23.3854654847019,16.128407293348,"Auca","Acrolophus plumifrontella"
190,33.0478939544309,32.2627189317824,"Auca","Acrolophus plumifrontella"
191,43.788032238426,54.7582425596019,"Auca","Acrolophus plumifrontella"
192,54.3341109455504,81.7676041670457,"Auca","Acrolophus plumifrontella"
193,63.0647706340283,109.435528342135,"Auca","Acrolophus plumifrontella"
194,68.3895615035067,132.575626815373,"Auca","Acrolophus plumifrontella"
195,69.2106909644265,146.158600700727,"Auca","Acrolophus plumifrontella"
196,65.2872750078138,147.049502685871,"Auca","Acrolophus plumifrontella"
197,57.3386567387244,135.18512416991,"Auca","Acrolophus plumifrontella"
198,46.8297378106147,113.586370896954,"Auca","Acrolophus plumifrontella"
199,35.5257128551903,87.1892973271496,"Auca","Acrolophus plumifrontella"
200,25.0035896825133,61.0890929371376,"Auca","Acrolophus plumifrontella"
201,16.3076745903605,39.0309902569549,"Auca","Acrolophus plumifrontella"
202,9.84472174193789,22.7298926626413,"Auca","Acrolophus plumifrontella"
203,5.49450045067464,12.0802864809859,"Auca","Acrolophus plumifrontella"
204,2.83176992160004,5.89191395335517,"Auca","Acrolophus plumifrontella"
205,1.34612169231982,2.67449256212901,"Auca","Acrolophus plumifrontella"
206,0.589520500737963,1.1592550945803,"Auca","Acrolophus plumifrontella"
207,0.237570962501493,0.493765471074473,"Auca","Acrolophus plumifrontella"
208,0.08799526048076,0.208244273410399,"Auca","Acrolophus plumifrontella"
