"doy","fit","se","Site","validName"
69,0.123901790195015,0.165339027435252,"Auca","Allotria elonympha"
70,0.124701035710419,0.16421506130814,"Auca","Allotria elonympha"
71,0.125505494779968,0.163089924341902,"Auca","Allotria elonympha"
72,0.126315260066436,0.161965001851873,"Auca","Allotria elonympha"
73,0.12713042596605,0.160841713373743,"Auca","Allotria elonympha"
74,0.127951088634987,0.159721512044517,"Auca","Allotria elonympha"
75,0.128777346016486,0.158605883801594,"Auca","Allotria elonympha"
76,0.129609297868604,0.157496346381289,"Auca","Allotria elonympha"
77,0.130447045792635,0.156394448097432,"Auca","Allotria elonympha"
78,0.131290693262193,0.155301766380155,"Auca","Allotria elonympha"
79,0.132140345653,0.154219906054697,"Auca","Allotria elonympha"
80,0.132996110273378,0.153150497340005,"Auca","Allotria elonympha"
81,0.13385809639547,0.152095193547211,"Auca","Allotria elonympha"
82,0.134726415287216,0.151055668458715,"Auca","Allotria elonympha"
83,0.135601180245095,0.150033613369713,"Auca","Allotria elonympha"
84,0.136482506627649,0.149030733775581,"Auca","Allotria elonympha"
85,0.137370511889828,0.148048745690663,"Auca","Allotria elonympha"
86,0.138265315618151,0.147089371586714,"Auca","Allotria elonympha"
87,0.139167039566732,0.146154335942661,"Auca","Allotria elonympha"
88,0.140075807694171,0.145245360401303,"Auca","Allotria elonympha"
89,0.140991746201343,0.144364158533346,"Auca","Allotria elonympha"
90,0.141914983570104,0.143512430214558,"Auca","Allotria elonympha"
91,0.142845650602945,0.142691855627858,"Auca","Allotria elonympha"
92,0.143783880463609,0.141904088908867,"Auca","Allotria elonympha"
93,0.144729808718701,0.141150751460624,"Auca","Allotria elonympha"
94,0.145683573380315,0.140433424970802,"Auca","Allotria elonympha"
95,0.146645314949708,0.139753644172648,"Auca","Allotria elonympha"
96,0.147615176462036,0.139112889398874,"Auca","Allotria elonympha"
97,0.1485933035322,0.138512578985623,"Auca","Allotria elonympha"
98,0.14957984440181,0.137954061591162,"Auca","Allotria elonympha"
99,0.150574949987305,0.13743860850096,"Auca","Allotria elonympha"
100,0.151578773929263,0.136967405996859,"Auca","Allotria elonympha"
101,0.152591472642919,0.136541547873111,"Auca","Allotria elonympha"
102,0.15361320536994,0.136162028185607,"Auca","Allotria elonympha"
103,0.154644134231467,0.135829734322706,"Auca","Allotria elonympha"
104,0.155684424282479,0.135545440486282,"Auca","Allotria elonympha"
105,0.156734243567501,0.13530980166994,"Auca","Allotria elonympha"
106,0.157793763177685,0.135123348217661,"Auca","Allotria elonympha"
107,0.15886315730932,0.134986481040459,"Auca","Allotria elonympha"
108,0.159942603323785,0.134899467561,"Auca","Allotria elonympha"
109,0.161032281808997,0.134862438446767,"Auca","Allotria elonympha"
110,0.162132376642389,0.134875385181388,"Auca","Allotria elonympha"
111,0.163243075055456,0.134938158511566,"Auca","Allotria elonympha"
112,0.16436456769991,0.13505046779397,"Auca","Allotria elonympha"
113,0.16549704871549,0.13521188125287,"Auca","Allotria elonympha"
114,0.166640715799466,0.135421827145627,"Auca","Allotria elonympha"
115,0.167795770277882,0.13567959581989,"Auca","Allotria elonympha"
116,0.168962417178583,0.135984342633784,"Auca","Allotria elonympha"
117,0.170140865306077,0.136335091699009,"Auca","Allotria elonympha"
118,0.171331327318274,0.136730740396834,"Auca","Allotria elonympha"
119,0.172534019805159,0.137170064608802,"Auca","Allotria elonympha"
120,0.173749163369437,0.137651724597666,"Auca","Allotria elonympha"
121,0.174976982709223,0.138174271469889,"Auca","Allotria elonympha"
122,0.176217706702804,0.138736154148853,"Auca","Allotria elonympha"
123,0.177471568495558,0.139335726787821,"Auca","Allotria elonympha"
124,0.178738805589058,0.13997125655355,"Auca","Allotria elonympha"
125,0.180019659932444,0.140640931715008,"Auca","Allotria elonympha"
126,0.181314378016106,0.141342869976935,"Auca","Allotria elonympha"
127,0.182623210967751,0.142075127004492,"Auca","Allotria elonympha"
128,0.183946414650907,0.142835705092997,"Auca","Allotria elonympha"
129,0.185284249765945,0.143622561945318,"Auca","Allotria elonympha"
130,0.186636981953667,0.14443361952875,"Auca","Allotria elonympha"
131,0.188004881901549,0.145266772992862,"Auca","Allotria elonympha"
132,0.189388225452697,0.146119899639757,"Auca","Allotria elonympha"
133,0.190787293717591,0.146990867948123,"Auca","Allotria elonympha"
134,0.192202373188703,0.147877546662428,"Auca","Allotria elonympha"
135,0.193633755858054,0.148777813968314,"Auca","Allotria elonympha"
136,0.195081739337798,0.149689566784789,"Auca","Allotria elonympha"
137,0.196546626983913,0.150610730212982,"Auca","Allotria elonympha"
138,0.198028728023085,0.151539267190138,"Auca","Allotria elonympha"
139,0.199528357682872,0.152473188406085,"Auca","Allotria elonympha"
140,0.201045825099529,0.153410568330766,"Auca","Allotria elonympha"
141,0.202580966402892,0.154349779008968,"Auca","Allotria elonympha"
142,0.204132982181289,0.155289585605046,"Auca","Allotria elonympha"
143,0.205701002576588,0.156228883046159,"Auca","Allotria elonympha"
144,0.207284127411019,0.157166672570172,"Auca","Allotria elonympha"
145,0.208881425400838,0.158102057493934,"Auca","Allotria elonympha"
146,0.21049193340981,0.159034239041725,"Auca","Allotria elonympha"
147,0.212114655745263,0.159962512209141,"Auca","Allotria elonympha"
148,0.213748563499522,0.160886261636211,"Auca","Allotria elonympha"
149,0.215392593939693,0.161804957462541,"Auca","Allotria elonympha"
150,0.217045649948794,0.162718151136878,"Auca","Allotria elonympha"
151,0.218706599521374,0.163625471153506,"Auca","Allotria elonympha"
152,0.220374275316805,0.16452661868842,"Auca","Allotria elonympha"
153,0.222047474273495,0.165421363109217,"Auca","Allotria elonympha"
154,0.223724957287375,0.166309537334039,"Auca","Allotria elonympha"
155,0.225405448958015,0.167191033016814,"Auca","Allotria elonympha"
156,0.227087637405794,0.16806579553828,"Auca","Allotria elonympha"
157,0.228770174163582,0.168933818785053,"Auca","Allotria elonympha"
158,0.230451674146387,0.169795139702065,"Auca","Allotria elonympha"
159,0.232130715702466,0.170649832607268,"Auca","Allotria elonympha"
160,0.233805840749348,0.171498003261377,"Auca","Allotria elonympha"
161,0.235475554998241,0.17233978268969,"Auca","Allotria elonympha"
162,0.237138328270221,0.173175320757614,"Auca","Allotria elonympha"
163,0.238792594907588,0.174004779506417,"Auca","Allotria elonympha"
164,0.240436754283674,0.17482832626084,"Auca","Allotria elonympha"
165,0.242069171414337,0.175646126525554,"Auca","Allotria elonympha"
166,0.243688177674248,0.176458336692891,"Auca","Allotria elonympha"
167,0.245292071620975,0.177265096589848,"Auca","Allotria elonympha"
168,0.24687911992974,0.178066521897855,"Auca","Allotria elonympha"
169,0.248447558441537,0.178862696484265,"Auca","Allotria elonympha"
170,0.249995593327158,0.179653664689779,"Auca","Allotria elonympha"
171,0.251521402369461,0.180439423620995,"Auca","Allotria elonympha"
172,0.253023136365998,0.181219915501915,"Auca","Allotria elonympha"
173,0.25449892065389,0.181995020142396,"Auca","Allotria elonympha"
174,0.255946856758562,0.182764547585136,"Auca","Allotria elonympha"
175,0.257365024167696,0.183528230995783,"Auca","Allotria elonympha"
176,0.258751482231438,0.18428571986298,"Auca","Allotria elonympha"
177,0.260104272189577,0.185036573576656,"Auca","Allotria elonympha"
178,0.261421419326071,0.185780255453476,"Auca","Allotria elonympha"
