"doy","fit","se","Site","validName"
69,0.00547592777959815,0.0152578057275112,"Auca","Apantesis vittata"
70,0.00598312904944831,0.0163843641554143,"Auca","Apantesis vittata"
71,0.00653718115569839,0.0175888549329015,"Auca","Apantesis vittata"
72,0.00714225995367543,0.0188758217358641,"Auca","Apantesis vittata"
73,0.00780288596861551,0.0202499677682072,"Auca","Apantesis vittata"
74,0.0085239488158257,0.0217161485444371,"Auca","Apantesis vittata"
75,0.00931073280266853,0.0232793627592607,"Auca","Apantesis vittata"
76,0.0101689436933241,0.0249447410926445,"Auca","Apantesis vittata"
77,0.0111047366036025,0.0267175328041964,"Auca","Apantesis vittata"
78,0.0121247449775015,0.0286030899796027,"Auca","Apantesis vittata"
79,0.0132361105795995,0.0306068493046832,"Auca","Apantesis vittata"
80,0.0144465144176195,0.0327343112599682,"Auca","Apantesis vittata"
81,0.0157642084874718,0.0349910166511,"Auca","Apantesis vittata"
82,0.0171980482086911,0.0373825204184078,"Auca","Apantesis vittata"
83,0.0187575253913203,0.0399143627032448,"Auca","Apantesis vittata"
84,0.0204528015459088,0.0425920371896909,"Auca","Apantesis vittata"
85,0.0222947413163286,0.0454209567885124,"Auca","Apantesis vittata"
86,0.0242949457805666,0.0484064167863264,"Auca","Apantesis vittata"
87,0.0264657853275383,0.0515535556471071,"Auca","Apantesis vittata"
88,0.0288204317783612,0.0548673137258131,"Auca","Apantesis vittata"
89,0.0313728893785319,0.0583523902351059,"Auca","Apantesis vittata"
90,0.0341380242432451,0.0620131988958785,"Auca","Apantesis vittata"
91,0.0371315917918969,0.0658538228002925,"Auca","Apantesis vittata"
92,0.0403702616599448,0.0698779691217178,"Auca","Apantesis vittata"
93,0.0438716395271085,0.0740889244184308,"Auca","Apantesis vittata"
94,0.0476542852508742,0.0784895113958609,"Auca","Apantesis vittata"
95,0.0517377266439318,0.083082048113716,"Auca","Apantesis vittata"
96,0.0561424681842033,0.0878683107470785,"Auca","Apantesis vittata"
97,0.06088999389723,0.0928495011314203,"Auca","Apantesis vittata"
98,0.0660027636037481,0.0980262204365417,"Auca","Apantesis vittata"
99,0.0715042016812418,0.103398450418901,"Auca","Apantesis vittata"
100,0.0774186774481846,0.108965543789822,"Auca","Apantesis vittata"
101,0.0837714762447534,0.114726225301715,"Auca","Apantesis vittata"
102,0.0905887602552805,0.120678605187438,"Auca","Apantesis vittata"
103,0.0978975180969929,0.1268202065798,"Auca","Apantesis vittata"
104,0.105725502188134,0.133148008477933,"Auca","Apantesis vittata"
105,0.11410115290792,0.13965850570258,"Auca","Apantesis vittata"
106,0.123053508572548,0.146347787079578,"Auca","Apantesis vittata"
