"doy","fit","se","Site","validName"
69,0.0341793275780009,0.0727581444092844,"Auca","Automeris io"
70,0.0354333270773253,0.074260729265046,"Auca","Automeris io"
71,0.0367332056899865,0.0757799117631432,"Auca","Automeris io"
72,0.0380805038489503,0.0773152595003565,"Auca","Automeris io"
73,0.0394768033141167,0.0788663294947536,"Auca","Automeris io"
74,0.0409237275999736,0.08043267129227,"Auca","Automeris io"
75,0.0424229423595475,0.0820138304706015,"Auca","Automeris io"
76,0.0439761557207769,0.083609352563336,"Auca","Automeris io"
77,0.0455851185712688,0.0852187874266982,"Auca","Automeris io"
78,0.047251624787236,0.0868416940703896,"Auca","Automeris io"
79,0.0489775114022467,0.0884776459726774,"Auca","Automeris io"
80,0.0507646587112539,0.0901262368980838,"Auca","Automeris io"
81,0.0526149903052091,0.0917870872336491,"Auca","Automeris io"
82,0.0545304730314049,0.0934598508567354,"Auca","Automeris io"
83,0.05651311687453,0.0951442225435729,"Auca","Automeris io"
84,0.0585649747532682,0.0968399459231791,"Auca","Automeris io"
85,0.0606881422271188,0.0985468219757535,"Auca","Automeris io"
86,0.0628847571079735,0.1002647180681,"Auca","Automeris io"
87,0.0651569989708414,0.101993577510915,"Auca","Automeris io"
88,0.0675070885579847,0.103733429613818,"Auca","Automeris io"
89,0.0699372870706002,0.105484400203675,"Auca","Automeris io"
90,0.0724498953420671,0.107246722559971,"Auca","Automeris io"
91,0.0750472528866775,0.109020748707691,"Auca","Automeris io"
92,0.0777317368176717,0.110806960993212,"Auca","Automeris io"
93,0.0805057606283183,0.112605983852203,"Auca","Automeris io"
94,0.0833717728297157,0.114418595660378,"Auca","Automeris io"
95,0.0863322554389356,0.11624574053823,"Auca","Automeris io"
96,0.0893897223111013,0.118088539959843,"Auca","Automeris io"
97,0.0925467173089707,0.119948303993543,"Auca","Automeris io"
98,0.0958058123036023,0.121826541979063,"Auca","Automeris io"
99,0.0991696049997067,0.123724972422253,"Auca","Automeris io"
100,0.102640716579333,0.125645531864916,"Auca","Automeris io"
101,0.106221789157616,0.127590382464617,"Auca","Automeris io"
102,0.109915483044396,0.129561917998204,"Auca","Automeris io"
103,0.113724473805675,0.131562767984264,"Auca","Automeris io"
104,0.117651449118997,0.133595799604823,"Auca","Automeris io"
105,0.121699105417052,0.135664117096602,"Auca","Automeris io"
106,0.125870144314009,0.137771058278237,"Auca","Automeris io"
107,0.130167268809346,0.139920187883438,"Auca","Automeris io"
108,0.134593179264221,0.142115287382342,"Auca","Automeris io"
109,0.139150569145768,0.144360340995451,"Auca","Automeris io"
110,0.14384212053507,0.146659517637572,"Auca","Automeris io"
111,0.148670499394943,0.149017148573637,"Auca","Automeris io"
112,0.153638350594142,0.151437700624553,"Auca","Automeris io"
113,0.158748292685078,0.153925744828979,"Auca","Automeris io"
114,0.164002912432665,0.156485920545391,"Auca","Automeris io"
115,0.169404759092508,0.159122895066518,"Auca","Automeris io"
116,0.174956338437253,0.161841318913118,"Auca","Automeris io"
117,0.180660106530629,0.164645777073448,"Auca","Automeris io"
118,0.186518463249385,0.167540736555448,"Auca","Automeris io"
119,0.192533745554135,0.170530490717062,"Auca","Automeris io"
120,0.198708220510938,0.173619100932469,"Auca","Automeris io"
121,0.205044078066286,0.176810336234647,"Auca","Automeris io"
122,0.211543423579129,0.180107611644296,"Auca","Automeris io"
123,0.218208270114485,0.183513925948804,"Auca","Automeris io"
124,0.225040530504263,0.187031799730857,"Auca","Automeris io"
125,0.232042009181914,0.190663214463263,"Auca","Automeris io"
126,0.239214393798704,0.194409553484904,"Auca","Automeris io"
127,0.246559246630522,0.198271545653539,"Auca","Automeris io"
128,0.254077995785325,0.202249212436896,"Auca","Automeris io"
129,0.261771926222607,0.206341819157297,"Auca","Automeris io"
130,0.269642170597507,0.210547831050983,"Auca","Automeris io"
131,0.277689699943524,0.214864874745766,"Auca","Automeris io"
132,0.28591531420914,0.219289705704252,"Auca","Automeris io"
133,0.294319632665043,0.223818182129191,"Auca","Automeris io"
134,0.302903084200031,0.228445245786699,"Auca","Automeris io"
135,0.311665897525129,0.233164910175932,"Auca","Automeris io"
136,0.320608091306891,0.237970256463239,"Auca","Automeris io"
137,0.329729464252296,0.242853437607374,"Auca","Automeris io"
138,0.339029585169165,0.247805691131715,"Auca","Automeris io"
