"doy","fit","se","Site","validName"
69,0.169830879713895,0.236559998786062,"Auca","Epimecis hortaria"
70,0.163824021081449,0.223194285938266,"Auca","Epimecis hortaria"
71,0.158033040389364,0.210607464748541,"Auca","Epimecis hortaria"
72,0.152453357373471,0.198769797978495,"Auca","Epimecis hortaria"
73,0.147080218199659,0.187651765613147,"Auca","Epimecis hortaria"
74,0.141908727200638,0.17722414027631,"Auca","Epimecis hortaria"
75,0.136933876424562,0.167458048152046,"Auca","Epimecis hortaria"
76,0.132150573045218,0.158325016371728,"Auca","Epimecis hortaria"
77,0.127553664693137,0.149797008048188,"Auca","Epimecis hortaria"
78,0.123137962775149,0.141846446390248,"Auca","Epimecis hortaria"
79,0.118898263856577,0.134446229604154,"Auca","Epimecis hortaria"
80,0.114829369185656,0.127569738567884,"Auca","Epimecis hortaria"
81,0.110926102443921,0.121190839525902,"Auca","Epimecis hortaria"
82,0.107183325809379,0.115283884263781,"Auca","Epimecis hortaria"
83,0.103595954421293,0.109823710345681,"Auca","Epimecis hortaria"
84,0.100158969336651,0.104785643992418,"Auca","Epimecis hortaria"
85,0.0968674290687252,0.100145508006795,"Auca","Epimecis hortaria"
86,0.0937164797978356,0.0958796367907837,"Auca","Epimecis hortaria"
87,0.0907013643435339,0.0919648999405599,"Auca","Epimecis hortaria"
88,0.0878174299859935,0.0883787351710276,"Auca","Epimecis hortaria"
89,0.085060135222533,0.0850991904612943,"Auca","Epimecis hortaria"
90,0.0824250555430069,0.0821049744029993,"Auca","Epimecis hortaria"
91,0.0799078883052689,0.0793755128685428,"Auca","Epimecis hortaria"
92,0.0775044567892084,0.0768910093941468,"Auca","Epimecis hortaria"
93,0.0752107135049558,0.0746325061784403,"Auca","Epimecis hortaria"
94,0.0730227428278422,0.0725819423883724,"Auca","Epimecis hortaria"
95,0.0709367630296315,0.0707222065599471,"Auca","Epimecis hortaria"
96,0.0689491277724439,0.0690371802599369,"Auca","Epimecis hortaria"
97,0.0670563271287102,0.0675117707791337,"Auca","Epimecis hortaria"
98,0.0652549881874694,0.0661319313765786,"Auca","Epimecis hortaria"
99,0.0635418753043825,0.0648846683971839,"Auca","Epimecis hortaria"
100,0.0619138900499947,0.063758035357251,"Auca","Epimecis hortaria"
101,0.0603680709080987,0.0627411147654005,"Auca","Epimecis hortaria"
102,0.0589015927734985,0.0618239889752072,"Auca","Epimecis hortaria"
103,0.0575117662961347,0.0609977017298039,"Auca","Epimecis hortaria"
104,0.0561960371163649,0.0602542122588379,"Auca","Epimecis hortaria"
105,0.0549519850342615,0.0595863438417973,"Auca","Epimecis hortaria"
106,0.0537773231540757,0.0589877286862393,"Auca","Epimecis hortaria"
107,0.0526698970435652,0.0584527508164519,"Auca","Epimecis hortaria"
108,0.0516276839466833,0.0579764884587093,"Auca","Epimecis hortaria"
109,0.0506487920872229,0.0575546571710502,"Auca","Epimecis hortaria"
110,0.0497314601003889,0.0571835547206811,"Auca","Epimecis hortaria"
111,0.0488740566289725,0.056860008477089,"Auca","Epimecis hortaria"
112,0.0480750801208464,0.0565813258747371,"Auca","Epimecis hortaria"
113,0.0473331588648894,0.0563452483120152,"Auca","Epimecis hortaria"
114,0.0466470513032244,0.0561499086955453,"Auca","Epimecis hortaria"
115,0.0460156466588554,0.0559937927108741,"Auca","Epimecis hortaria"
116,0.0454379659194094,0.0558757038001071,"Auca","Epimecis hortaria"
117,0.0449131632198135,0.0557947317512522,"Auca","Epimecis hortaria"
118,0.0444405276693788,0.0557502247494782,"Auca","Epimecis hortaria"
119,0.0440194856719649,0.0557417647036481,"Auca","Epimecis hortaria"
120,0.0436496037917649,0.055769145639016,"Auca","Epimecis hortaria"
121,0.0433305922217795,0.0558323549358159,"Auca","Epimecis hortaria"
122,0.0430623089173841,0.0559315571910122,"Auca","Epimecis hortaria"
123,0.0428447644635691,0.0560670804844698,"Auca","Epimecis hortaria"
124,0.0426781277516025,0.0562394048394464,"Auca","Epimecis hortaria"
125,0.0425627325490988,0.0564491526791259,"Auca","Epimecis hortaria"
126,0.0424990850569576,0.0566970810948077,"Auca","Epimecis hortaria"
127,0.0424878725574876,0.0569840757564734,"Auca","Epimecis hortaria"
128,0.0425299732704645,0.0573111463122142,"Auca","Epimecis hortaria"
129,0.0426264675480909,0.0576794231390046,"Auca","Epimecis hortaria"
130,0.0427786505560672,0.058090155323374,"Auca","Epimecis hortaria"
131,0.042988046606561,0.0585447097666162,"Auca","Epimecis hortaria"
132,0.0432564253300894,0.0590445713254297,"Auca","Epimecis hortaria"
133,0.0435858198975904,0.0595913439155502,"Auca","Epimecis hortaria"
134,0.0439785475317276,0.0601867525235122,"Auca","Epimecis hortaria"
135,0.0444372325782394,0.060832646090778,"Auca","Epimecis hortaria"
136,0.0449648324445449,0.0615310012560208,"Auca","Epimecis hortaria"
137,0.0455646667545386,0.0622839269664976,"Auca","Epimecis hortaria"
138,0.0462404501163892,0.0630936699998114,"Auca","Epimecis hortaria"
