"doy","fit","se","Site","validName"
69,0.016625728236032,0.0494066403827004,"Auca","Euchlaena obtusaria"
70,0.0173952158669239,0.0507391990252155,"Auca","Euchlaena obtusaria"
71,0.0181999579618103,0.0520930398059782,"Auca","Euchlaena obtusaria"
72,0.0190411766152875,0.0534669818468986,"Auca","Euchlaena obtusaria"
73,0.0199200960884582,0.0548597492844497,"Auca","Euchlaena obtusaria"
74,0.0208379381639235,0.0562699750921994,"Auca","Euchlaena obtusaria"
75,0.0217959170399975,0.057696206335164,"Auca","Euchlaena obtusaria"
76,0.0227952337466003,0.0591369109869539,"Auca","Euchlaena obtusaria"
77,0.0238370700670097,0.0605904864379519,"Auca","Euchlaena obtusaria"
78,0.0249225819517542,0.0620552698170787,"Auca","Euchlaena obtusaria"
79,0.0260528924134147,0.0635295502404757,"Auca","Euchlaena obtusaria"
80,0.0272290838940097,0.0650115830870409,"Auca","Euchlaena obtusaria"
81,0.0284521900999814,0.0664996063824952,"Auca","Euchlaena obtusaria"
82,0.029723187303602,0.0679918593497423,"Auca","Euchlaena obtusaria"
83,0.0310429851138963,0.0694866031529269,"Auca","Euchlaena obtusaria"
84,0.0324124167249424,0.0709821438248974,"Auca","Euchlaena obtusaria"
85,0.0338322286546728,0.0724768573218788,"Auca","Euchlaena obtusaria"
86,0.0353030699930615,0.0739692165941745,"Auca","Euchlaena obtusaria"
87,0.0368254811848384,0.0754578204968379,"Auca","Euchlaena obtusaria"
88,0.0383998823786193,0.0769414242888023,"Auca","Euchlaena obtusaria"
89,0.0400265613815499,0.07841897138246,"Auca","Euchlaena obtusaria"
90,0.0417056612662216,0.079889625908016,"Auca","Euchlaena obtusaria"
91,0.0434371676846765,0.0813528055484245,"Auca","Euchlaena obtusaria"
92,0.0452208959527441,0.0828082139823648,"Auca","Euchlaena obtusaria"
93,0.0470564779766799,0.0842558721463395,"Auca","Euchlaena obtusaria"
94,0.0489433491030398,0.0856961473955296,"Auca","Euchlaena obtusaria"
95,0.050880734981846,0.0871297795107295,"Auca","Euchlaena obtusaria"
96,0.0528676385422852,0.0885579023713108,"Auca","Euchlaena obtusaria"
97,0.0549028271893263,0.0899820599992058,"Auca","Euchlaena obtusaria"
98,0.0569848203386353,0.0914042155856852,"Auca","Euchlaena obtusaria"
99,0.0591118774158681,0.0928267520522759,"Auca","Euchlaena obtusaria"
100,0.0612819864547044,0.0942524626820942,"Auca","Euchlaena obtusaria"
101,0.063492853435687,0.0956845304016153,"Auca","Euchlaena obtusaria"
102,0.0657418925148963,0.0971264944090011,"Auca","Euchlaena obtusaria"
103,0.0680262172975496,0.0985822030458647,"Auca","Euchlaena obtusaria"
104,0.0703426333165881,0.100055752104232,"Auca","Euchlaena obtusaria"
105,0.072687631880027,0.101551408154237,"Auca","Euchlaena obtusaria"
