"doy","fit","se","Site","validName"
69,0.00784432220794347,0.023140068712877,"Auca","Herpetogramma fluctuosalis"
70,0.00833870152954531,0.0241888099484206,"Auca","Herpetogramma fluctuosalis"
71,0.0088641024448124,0.0252786510817189,"Auca","Herpetogramma fluctuosalis"
72,0.00942231824577616,0.0264104417177393,"Auca","Herpetogramma fluctuosalis"
73,0.0100152263225732,0.0275849827203918,"Auca","Herpetogramma fluctuosalis"
74,0.0106447899551822,0.0288030201511259,"Auca","Herpetogramma fluctuosalis"
75,0.0113130598935884,0.030065239142612,"Auca","Herpetogramma fluctuosalis"
76,0.0120221756919737,0.0313722577669161,"Auca","Herpetogramma fluctuosalis"
77,0.01277436675999,0.0327246209661771,"Auca","Herpetogramma fluctuosalis"
78,0.0135719530916167,0.0341227946227848,"Auca","Herpetogramma fluctuosalis"
79,0.0144173456295468,0.0355671598553295,"Auca","Herpetogramma fluctuosalis"
80,0.0153130462205156,0.0370580076360318,"Auca","Herpetogramma fluctuosalis"
81,0.0162616471145108,0.0385955338348327,"Auca","Herpetogramma fluctuosalis"
82,0.0172658299584184,0.0401798348046448,"Auca","Herpetogramma fluctuosalis"
83,0.0183283642323934,0.0418109036312197,"Auca","Herpetogramma fluctuosalis"
84,0.0194521050751465,0.0434886271794361,"Auca","Herpetogramma fluctuosalis"
85,0.0206399904424477,0.0452127840752403,"Auca","Herpetogramma fluctuosalis"
86,0.0218950375415069,0.0469830437686465,"Auca","Herpetogramma fluctuosalis"
87,0.0232203384825624,0.0487989668277104,"Auca","Herpetogramma fluctuosalis"
88,0.0246190550880325,0.0506600066157897,"Auca","Herpetogramma fluctuosalis"
89,0.0260944127990314,0.0525655125041631,"Auca","Herpetogramma fluctuosalis"
90,0.0276496936189742,0.0545147347686293,"Auca","Herpetogramma fluctuosalis"
91,0.0292882280344538,0.0565068313114108,"Auca","Herpetogramma fluctuosalis"
92,0.0310133858546504,0.0585408763378409,"Auca","Herpetogramma fluctuosalis"
93,0.0328285659122744,0.060615871100179,"Auca","Herpetogramma fluctuosalis"
94,0.0347371845715286,0.0627307567976781,"Auca","Herpetogramma fluctuosalis"
95,0.0367426629918809,0.0648844296919184,"Auca","Herpetogramma fluctuosalis"
96,0.0388484131006047,0.0670757584585938,"Auca","Herpetogramma fluctuosalis"
97,0.0410578222321706,0.0693036037506236,"Auca","Herpetogramma fluctuosalis"
98,0.0433742363986961,0.0715668398919483,"Auca","Herpetogramma fluctuosalis"
99,0.0458009421628529,0.0738643785560774,"Auca","Herpetogramma fluctuosalis"
100,0.0483411470929368,0.0761951942080273,"Auca","Herpetogramma fluctuosalis"
101,0.0509979587892851,0.078558351002644,"Auca","Herpetogramma fluctuosalis"
102,0.0537743624818919,0.0809530307367482,"Auca","Herpetogramma fluctuosalis"
103,0.0566731972109795,0.0833785613479309,"Auca","Herpetogramma fluctuosalis"
104,0.0596971306154209,0.0858344453406157,"Auca","Herpetogramma fluctuosalis"
105,0.0628486323682972,0.0883203874024935,"Auca","Herpetogramma fluctuosalis"
106,0.0661299463144802,0.0908363203547649,"Auca","Herpetogramma fluctuosalis"
107,0.0695430613819338,0.0933824284620802,"Auca","Herpetogramma fluctuosalis"
108,0.0730896813563719,0.0959591670179677,"Auca","Herpetogramma fluctuosalis"
109,0.0767711936279143,0.0985672770254122,"Auca","Herpetogramma fluctuosalis"
110,0.0805886370383622,0.101207793717729,"Auca","Herpetogramma fluctuosalis"
111,0.0845426689785302,0.10388204762048,"Auca","Herpetogramma fluctuosalis"
112,0.0886335319065996,0.106591656850104,"Auca","Herpetogramma fluctuosalis"
113,0.0928610194804967,0.109338509388496,"Auca","Herpetogramma fluctuosalis"
114,0.0972244425196729,0.1121247341737,"Auca","Herpetogramma fluctuosalis"
115,0.101722595034125,0.114952660012843,"Auca","Herpetogramma fluctuosalis"
116,0.106353720580794,0.117824761559411,"Auca","Herpetogramma fluctuosalis"
117,0.111115479229337,0.12074359190527,"Auca","Herpetogramma fluctuosalis"
118,0.116004915440359,0.123711701715957,"Auca","Herpetogramma fluctuosalis"
119,0.121018427179204,0.1267315452788,"Auca","Herpetogramma fluctuosalis"
