"doy","fit","se","Site","validName"
69,1.61208141238974e-05,4.07824941403589e-05,"Auca","Megalopyge opercularis"
70,2.06326635648956e-05,5.12507494935811e-05,"Auca","Megalopyge opercularis"
71,2.64052976093582e-05,6.43800673104471e-05,"Auca","Megalopyge opercularis"
72,3.37879407997681e-05,8.0833615699789e-05,"Auca","Megalopyge opercularis"
73,4.32249713586717e-05,0.000101434678943115,"Auca","Megalopyge opercularis"
74,5.52812022438022e-05,0.000127203534733977,"Auca","Megalopyge opercularis"
75,7.06736406909369e-05,0.000159402249733042,"Auca","Megalopyge opercularis"
76,9.03113038645176e-05,0.000199588916697853,"Auca","Megalopyge opercularis"
77,0.000115345025137744,0.000249683096737971,"Auca","Megalopyge opercularis"
78,0.000147229614479917,0.000312044492786441,"Auca","Megalopyge opercularis"
79,0.000187801249285264,0.000389567162187086,"Auca","Megalopyge opercularis"
80,0.00023937358168519,0.000485791872237404,"Auca","Megalopyge opercularis"
81,0.000304856768811848,0.000605039504702744,"Auca","Megalopyge opercularis"
82,0.000387904478090437,0.000752568712396373,"Auca","Megalopyge opercularis"
83,0.000493094905000669,0.000934761307376302,"Auca","Megalopyge opercularis"
84,0.000626152979832029,0.00115933909563381,"Auca","Megalopyge opercularis"
85,0.000794222245149251,0.00143561604103615,"Auca","Megalopyge opercularis"
86,0.00100619636648952,0.0017747897088722,"Auca","Megalopyge opercularis"
87,0.0012731219001722,0.00219027586658746,"Auca","Megalopyge opercularis"
88,0.00160868578227042,0.00269808985849644,"Auca","Megalopyge opercularis"
89,0.00202980301073046,0.00331727786707875,"Auca","Megalopyge opercularis"
90,0.00255732214484708,0.00407040036326826,"Auca","Megalopyge opercularis"
91,0.0032168685032022,0.00498406886318228,"Auca","Megalopyge opercularis"
92,0.00403984724278541,0.0060895354761206,"Auca","Megalopyge opercularis"
93,0.00506463076331615,0.00742333257452786,"Auca","Megalopyge opercularis"
94,0.006337956986621,0.00902795717056195,"Auca","Megalopyge opercularis"
95,0.00791656686076208,0.0109525911851096,"Auca","Megalopyge opercularis"
96,0.00986911074141969,0.0132538447000292,"Auca","Megalopyge opercularis"
97,0.0122783538726286,0.0159965044764735,"Auca","Megalopyge opercularis"
98,0.0152437107404147,0.0192542645232988,"Auca","Megalopyge opercularis"
99,0.0188841362705423,0.0231104093830155,"Auca","Megalopyge opercularis"
100,0.0233413982996932,0.0276584142080134,"Auca","Megalopyge opercularis"
101,0.0287837500359313,0.0330024188468512,"Auca","Megalopyge opercularis"
102,0.0354100128693973,0.0392575263651217,"Auca","Megalopyge opercularis"
103,0.0434540684040202,0.0465498701117988,"Auca","Megalopyge opercularis"
104,0.0531897434584277,0.0550163881516406,"Auca","Megalopyge opercularis"
105,0.0649360525569204,0.064804240280434,"Auca","Megalopyge opercularis"
106,0.0790627386887338,0.0760698017020582,"Auca","Megalopyge opercularis"
107,0.0959960245527356,0.0889771696555186,"Auca","Megalopyge opercularis"
108,0.116224452984303,0.1036961257875,"Auca","Megalopyge opercularis"
109,0.140304656865629,0.120399508848523,"Auca","Megalopyge opercularis"
110,0.168866855928805,0.139259970280074,"Auca","Megalopyge opercularis"
111,0.202619831218984,0.160446110259436,"Auca","Megalopyge opercularis"
112,0.242355078778792,0.184118024334058,"Auca","Megalopyge opercularis"
113,0.288949794037506,0.210422331088819,"Auca","Megalopyge opercularis"
114,0.343368289691228,0.239486798987208,"Auca","Megalopyge opercularis"
115,0.406661405387197,0.271414744545256,"Auca","Megalopyge opercularis"
116,0.47996343071254,0.30627943236707,"Auca","Megalopyge opercularis"
117,0.564486037824588,0.344118767242667,"Auca","Megalopyge opercularis"
118,0.661508710998963,0.384930625165741,"Auca","Megalopyge opercularis"
119,0.7723651721777,0.428669218032522,"Auca","Megalopyge opercularis"
120,0.898425339137338,0.475242918693423,"Auca","Megalopyge opercularis"
121,1.04107242083998,0.524513980155103,"Auca","Megalopyge opercularis"
122,1.20167485701521,0.576300554930745,"Auca","Megalopyge opercularis"
123,1.38155294922762,0.630381346625556,"Auca","Megalopyge opercularis"
124,1.5819402103824,0.686503094422842,"Auca","Megalopyge opercularis"
125,1.80393967868763,0.744390891881552,"Auca","Megalopyge opercularis"
126,2.04847569803938,0.803761067376207,"Auca","Megalopyge opercularis"
127,2.31624195435878,0.864336004295216,"Auca","Megalopyge opercularis"
128,2.60764686821269,0.925859865990552,"Auca","Megalopyge opercularis"
129,2.92275776643502,0.988113742263694,"Auca","Megalopyge opercularis"
130,3.26124557451266,1.05092830396316,"Auca","Megalopyge opercularis"
131,3.62233206928915,1.11419172213313,"Auca","Megalopyge opercularis"
132,4.0047419877013,1.17785048812266,"Auca","Megalopyge opercularis"
133,4.40666247982975,1.24190098687271,"Auca","Megalopyge opercularis"
134,4.82571250109815,1.30637033949016,"Auca","Megalopyge opercularis"
135,5.25892473757279,1.37128619651015,"Auca","Megalopyge opercularis"
136,5.70274253120872,1.43663677107049,"Auca","Megalopyge opercularis"
137,6.15303400420492,1.50232424347719,"Auca","Megalopyge opercularis"
138,6.60512516523092,1.56811639596609,"Auca","Megalopyge opercularis"
139,7.05385321493409,1.63360253227269,"Auca","Megalopyge opercularis"
140,7.49365617443358,1.69816407100382,"Auca","Megalopyge opercularis"
141,7.91929657717454,1.7611227388049,"Auca","Megalopyge opercularis"
142,8.32634045811375,1.82185542986597,"Auca","Megalopyge opercularis"
143,8.71061263655445,1.87965741040801,"Auca","Megalopyge opercularis"
144,9.0682290642899,1.93375924524195,"Auca","Megalopyge opercularis"
145,9.39567041198249,1.9833623118115,"Auca","Megalopyge opercularis"
146,9.68984528899372,2.02767705591989,"Auca","Megalopyge opercularis"
147,9.94814153568723,2.06596088180996,"Auca","Megalopyge opercularis"
148,10.1684645159851,2.09755301380102,"Auca","Megalopyge opercularis"
149,10.3492618430272,2.1219042718114,"Auca","Megalopyge opercularis"
150,10.489534467825,2.13860035947401,"Auca","Megalopyge opercularis"
151,10.5888345277928,2.14737789278592,"Auca","Megalopyge opercularis"
152,10.6472507703309,2.14813295227713,"Auca","Megalopyge opercularis"
153,10.6653827216586,2.14092239953102,"Auca","Megalopyge opercularis"
154,10.644305052796,2.12595855397084,"Auca","Megalopyge opercularis"
