doy,fit,se,Site,validName
114,0.982850111,0.314129827,Auca,Nadata gibbosa
115,0.9690348,0.312849302,Auca,Nadata gibbosa
116,0.955766153,0.311639869,Auca,Nadata gibbosa
117,0.943034525,0.310492108,Auca,Nadata gibbosa
118,0.93083069,0.309397757,Auca,Nadata gibbosa
119,0.919145854,0.308349603,Auca,Nadata gibbosa
120,0.907971655,0.30734139,Auca,Nadata gibbosa
121,0.897300175,0.306367719,Auca,Nadata gibbosa
122,0.887123938,0.305423969,Auca,Nadata gibbosa
123,0.877435925,0.304506212,Auca,Nadata gibbosa
124,0.868229573,0.303611142,Auca,Nadata gibbosa
125,0.859498789,0.302736012,Auca,Nadata gibbosa
126,0.851237953,0.301878569,Auca,Nadata gibbosa
127,0.843441925,0.301037003,Auca,Nadata gibbosa
128,0.836106058,0.300209898,Auca,Nadata gibbosa
129,0.829226203,0.299396186,Auca,Nadata gibbosa
130,0.822798722,0.298595115,Auca,Nadata gibbosa
131,0.816820494,0.297806211,Auca,Nadata gibbosa
132,0.811288934,0.297029253,Auca,Nadata gibbosa
133,0.806201997,0.296264248,Auca,Nadata gibbosa
134,0.801558199,0.295511413,Auca,Nadata gibbosa
135,0.797356627,0.294771162,Auca,Nadata gibbosa
136,0.793596957,0.294044093,Auca,Nadata gibbosa
137,0.79027947,0.293330985,Auca,Nadata gibbosa
138,0.787405076,0.292632799,Auca,Nadata gibbosa
139,0.784975325,0.291950676,Auca,Nadata gibbosa
140,0.782992248,0.291285952,Auca,Nadata gibbosa
141,0.781451128,0.290640083,Auca,Nadata gibbosa
142,0.78033836,0.290014537,Auca,Nadata gibbosa
143,0.779640473,0.289410823,Auca,Nadata gibbosa
144,0.779344711,0.288830504,Auca,Nadata gibbosa
145,0.779438974,0.288275209,Auca,Nadata gibbosa
146,0.779911751,0.287746647,Auca,Nadata gibbosa
147,0.780752065,0.287246617,Auca,Nadata gibbosa
148,0.781949422,0.286777022,Auca,Nadata gibbosa
149,0.783493757,0.286339883,Auca,Nadata gibbosa
150,0.785375382,0.285937347,Auca,Nadata gibbosa
151,0.787584947,0.285571699,Auca,Nadata gibbosa
152,0.790113386,0.285245375,Auca,Nadata gibbosa
153,0.792951883,0.284960965,Auca,Nadata gibbosa
154,0.796091824,0.284721226,Auca,Nadata gibbosa
155,0.79952476,0.284529082,Auca,Nadata gibbosa
156,0.803242369,0.28438763,Auca,Nadata gibbosa
157,0.807236421,0.284300136,Auca,Nadata gibbosa
158,0.811498736,0.28427004,Auca,Nadata gibbosa
159,0.816021158,0.28430094,Auca,Nadata gibbosa
160,0.820795515,0.284396594,Auca,Nadata gibbosa
161,0.82581359,0.284560898,Auca,Nadata gibbosa
162,0.831067087,0.284797873,Auca,Nadata gibbosa
163,0.836547603,0.285111646,Auca,Nadata gibbosa
164,0.842246598,0.28550642,Auca,Nadata gibbosa
165,0.848155365,0.285986448,Auca,Nadata gibbosa
166,0.854265004,0.286555995,Auca,Nadata gibbosa
167,0.860566393,0.287219305,Auca,Nadata gibbosa
168,0.867050166,0.287980548,Auca,Nadata gibbosa
169,0.873706683,0.288843782,Auca,Nadata gibbosa
170,0.880526012,0.289812894,Auca,Nadata gibbosa
171,0.8874979,0.290891547,Auca,Nadata gibbosa
172,0.894611757,0.292083123,Auca,Nadata gibbosa
