"doy","fit","se","Site","validName"
69,0.0788107165989967,0.0905015807604383,"Auca","Patalene olyzonaria"
70,0.0805311549524221,0.0913260084708108,"Auca","Patalene olyzonaria"
71,0.0822891640388925,0.0921482885601629,"Auca","Patalene olyzonaria"
72,0.0840855784702638,0.0929684305425203,"Auca","Patalene olyzonaria"
73,0.085921252004487,0.0937864642258215,"Auca","Patalene olyzonaria"
74,0.0877970580037982,0.0946024409977147,"Auca","Patalene olyzonaria"
75,0.0897138899043996,0.0954164351421845,"Auca","Patalene olyzonaria"
76,0.0916726616979309,0.0962285451840997,"Auca","Patalene olyzonaria"
77,0.0936743084250437,0.097038895258233,"Auca","Patalene olyzonaria"
78,0.0957197866813961,0.0978476364987136,"Auca","Patalene olyzonaria"
79,0.0978100751363971,0.0986549484442333,"Auca","Patalene olyzonaria"
80,0.0999461750650346,0.0994610404536262,"Auca","Patalene olyzonaria"
81,0.102129110893137,0.100266153125698,"Auca","Patalene olyzonaria"
82,0.104359930756418,0.101070559716373,"Auca","Patalene olyzonaria"
83,0.106639707073682,0.101874567545358,"Auca","Patalene olyzonaria"
84,0.108969537134545,0.102678519383637,"Auca","Patalene olyzonaria"
85,0.111350543702084,0.103482794812102,"Auca","Patalene olyzonaria"
86,0.113783875630786,0.104287811540668,"Auca","Patalene olyzonaria"
87,0.116270708500223,0.105094026676124,"Auca","Patalene olyzonaria"
88,0.118812245264859,0.105901937925914,"Auca","Patalene olyzonaria"
89,0.121409716920436,0.106712084723923,"Auca","Patalene olyzonaria"
90,0.12406438318736,0.107525049263216,"Auca","Patalene olyzonaria"
91,0.126777533211564,0.108341457419556,"Auca","Patalene olyzonaria"
92,0.1295504862833,0.10916197954842,"Auca","Patalene olyzonaria"
93,0.132384592574355,0.109987331137145,"Auca","Patalene olyzonaria"
94,0.135281233894172,0.11081827329282,"Auca","Patalene olyzonaria"
95,0.138241824465396,0.111655613045597,"Auca","Patalene olyzonaria"
96,0.141267811719359,0.112500203446247,"Auca","Patalene olyzonaria"
97,0.144360677112056,0.113352943436068,"Auca","Patalene olyzonaria"
98,0.14752193696114,0.114214777466735,"Auca","Patalene olyzonaria"
99,0.150753143304536,0.115086694847287,"Auca","Patalene olyzonaria"
100,0.154055884781232,0.115969728795358,"Auca","Patalene olyzonaria"
101,0.157431787534864,0.116864955169875,"Auca","Patalene olyzonaria"
102,0.160882516140707,0.117773490862885,"Auca","Patalene olyzonaria"
103,0.164409774556707,0.118696491828942,"Auca","Patalene olyzonaria"
104,0.168015307099215,0.119635150731589,"Auca","Patalene olyzonaria"
105,0.171700899444089,0.120590694187984,"Auca","Patalene olyzonaria"
106,0.175468379653855,0.121564379594629,"Auca","Patalene olyzonaria"
107,0.179319619231643,0.12255749151948,"Auca","Patalene olyzonaria"
108,0.183256534202632,0.123571337648496,"Auca","Patalene olyzonaria"
109,0.187281086223745,0.124607244277839,"Auca","Patalene olyzonaria"
