"doy","fit","se","Site","validName"
69,0.191568297235359,0.186751139543223,"Biva","Disclisioprocta stellata"
70,0.197681289023271,0.189316882018913,"Biva","Disclisioprocta stellata"
71,0.203986987245978,0.191878404888367,"Biva","Disclisioprocta stellata"
72,0.210488954749784,0.194433598868689,"Biva","Disclisioprocta stellata"
73,0.217190628290333,0.196980457870716,"Biva","Disclisioprocta stellata"
74,0.224095300148666,0.199517105428945,"Biva","Disclisioprocta stellata"
75,0.231206098792099,0.202041823009842,"Biva","Disclisioprocta stellata"
76,0.238525968581501,0.204553080128207,"Biva","Disclisioprocta stellata"
77,0.2460576485318,0.20704956616178,"Biva","Disclisioprocta stellata"
78,0.25380365013828,0.209530223708489,"Biva","Disclisioprocta stellata"
79,0.26176623428743,0.211994283278003,"Biva","Disclisioprocta stellata"
80,0.26994738727783,0.214441299049413,"Biva","Disclisioprocta stellata"
81,0.278348795983761,0.216871185359344,"Biva","Disclisioprocta stellata"
82,0.286971822201863,0.219284253509755,"Biva","Disclisioprocta stellata"
83,0.295817476229391,0.221681248402123,"Biva","Disclisioprocta stellata"
84,0.304886389731194,0.22406338441524,"Biva","Disclisioprocta stellata"
85,0.314178787961654,0.226432379848359,"Biva","Disclisioprocta stellata"
86,0.32369446141731,0.228790489151558,"Biva","Disclisioprocta stellata"
87,0.333432737005805,0.231140532063033,"Biva","Disclisioprocta stellata"
88,0.343392448827039,0.233485918671691,"Biva","Disclisioprocta stellata"
89,0.353571908673004,0.235830669326796,"Biva","Disclisioprocta stellata"
90,0.363968876363603,0.238179428229386,"Biva","Disclisioprocta stellata"
91,0.374580530046819,0.240537469468763,"Biva","Disclisioprocta stellata"
92,0.385403436602751,0.242910694218367,"Biva","Disclisioprocta stellata"
93,0.396433522302329,0.245305617786667,"Biva","Disclisioprocta stellata"
94,0.407666043882717,0.247729345238606,"Biva","Disclisioprocta stellata"
95,0.419095560212538,0.250189534370287,"Biva","Disclisioprocta stellata"
96,0.430715904730974,0.252694344942027,"Biva","Disclisioprocta stellata"
97,0.44252015885538,0.255252373259866,"Biva","Disclisioprocta stellata"
98,0.454500626562195,0.257872571448015,"Biva","Disclisioprocta stellata"
99,0.466648810355566,0.260564151076762,"Biva","Disclisioprocta stellata"
