"doy","fit","se","Site","validName"
69,0.226499608271655,0.190318464650468,"Biva","Scolecocampa liburna"
70,0.228721393342413,0.189789260375699,"Biva","Scolecocampa liburna"
71,0.230964189720803,0.189259082369712,"Biva","Scolecocampa liburna"
72,0.233227397818501,0.18872910607015,"Biva","Scolecocampa liburna"
73,0.235510388738746,0.188200581457859,"Biva","Scolecocampa liburna"
74,0.237812503600114,0.187674832065962,"Biva","Scolecocampa liburna"
75,0.240133052877127,0.187153253507223,"Biva","Scolecocampa liburna"
76,0.242471315759463,0.186637311478222,"Biva","Scolecocampa liburna"
77,0.244826539531586,0.186128539199095,"Biva","Scolecocampa liburna"
78,0.247197938974686,0.185628534248445,"Biva","Scolecocampa liburna"
79,0.249584695792853,0.185138954754658,"Biva","Scolecocampa liburna"
80,0.25198595806551,0.184661514907351,"Biva","Scolecocampa liburna"
81,0.254400839728122,0.184197979756129,"Biva","Scolecocampa liburna"
82,0.256828420083325,0.183750159268324,"Biva","Scolecocampa liburna"
83,0.259267743344592,0.183319901623031,"Biva","Scolecocampa liburna"
84,0.261717818214661,0.182909085725607,"Biva","Scolecocampa liburna"
85,0.26417761750095,0.182519612934833,"Biva","Scolecocampa liburna"
86,0.266646077770251,0.182153398004305,"Biva","Scolecocampa liburna"
87,0.269122099045007,0.181812359250111,"Biva","Scolecocampa liburna"
88,0.271604544543531,0.181498407968541,"Biva","Scolecocampa liburna"
89,0.27409224046652,0.181213437140279,"Biva","Scolecocampa liburna"
90,0.276583975832266,0.180959309471047,"Biva","Scolecocampa liburna"
91,0.279078502362971,0.180737844832876,"Biva","Scolecocampa liburna"
92,0.281574534424569,0.180550807184633,"Biva","Scolecocampa liburna"
93,0.284070749022482,0.180399891064983,"Biva","Scolecocampa liburna"
94,0.286565785855716,0.180286707765062,"Biva","Scolecocampa liburna"
95,0.289058247431707,0.180212771301482,"Biva","Scolecocampa liburna"
96,0.291546699244291,0.180179484322405,"Biva","Scolecocampa liburna"
97,0.294029670017169,0.180188124089824,"Biva","Scolecocampa liburna"
98,0.296505652015174,0.180239828689542,"Biva","Scolecocampa liburna"
99,0.298973101425651,0.180335583626119,"Biva","Scolecocampa liburna"
100,0.301430438812149,0.180476208963063,"Biva","Scolecocampa liburna"
101,0.303876049642633,0.180662347168372,"Biva","Scolecocampa liburna"
102,0.306308284894295,0.180894451822102,"Biva","Scolecocampa liburna"
103,0.308725461737005,0.181172777335888,"Biva","Scolecocampa liburna"
104,0.311125864297339,0.181497369824231,"Biva","Scolecocampa liburna"
105,0.313507744505032,0.181868059254242,"Biva","Scolecocampa liburna"
106,0.315869323023578,0.182284452984492,"Biva","Scolecocampa liburna"
107,0.318208790266609,0.182745930785293,"Biva","Scolecocampa liburna"
108,0.320524307501527,0.183251641412423,"Biva","Scolecocampa liburna"
109,0.322814008041758,0.183800500784748,"Biva","Scolecocampa liburna"
110,0.3250759985288,0.184391191793933,"Biva","Scolecocampa liburna"
111,0.327308360305132,0.18502216575211,"Biva","Scolecocampa liburna"
112,0.329509150878828,0.185691645461658,"Biva","Scolecocampa liburna"
113,0.331676405480575,0.186397629870703,"Biva","Scolecocampa liburna"
114,0.333808138713578,0.187137900259075,"Biva","Scolecocampa liburna"
115,0.335902346296645,0.18791002788276,"Biva","Scolecocampa liburna"
116,0.337957006900517,0.188711382990588,"Biva","Scolecocampa liburna"
117,0.339970084077298,0.189539145115366,"Biva","Scolecocampa liburna"
118,0.341939528282595,0.190390314532859,"Biva","Scolecocampa liburna"
119,0.343863278989732,0.191261724776054,"Biva","Scolecocampa liburna"
120,0.345739266895159,0.192150056088891,"Biva","Scolecocampa liburna"
121,0.3475654162139,0.193051849702887,"Biva","Scolecocampa liburna"
122,0.349339647063615,0.193963522821632,"Biva","Scolecocampa liburna"
123,0.351059877935592,0.194881384201647,"Biva","Scolecocampa liburna"
124,0.352724028250645,0.195801650223248,"Biva","Scolecocampa liburna"
125,0.354330020997676,0.196720461351527,"Biva","Scolecocampa liburna"
126,0.355875785452276,0.197633898894953,"Biva","Scolecocampa liburna"
127,0.357359259972506,0.198538001977126,"Biva","Scolecocampa liburna"
128,0.358778394868626,0.199428784645515,"Biva","Scolecocampa liburna"
129,0.360131155343284,0.200302253049366,"Biva","Scolecocampa liburna"
130,0.361415524498305,0.201154422627086,"Biva","Scolecocampa liburna"
131,0.362629506403947,0.201981335251105,"Biva","Scolecocampa liburna"
132,0.363771129226132,0.202779076285341,"Biva","Scolecocampa liburna"
133,0.364838448406872,0.203543791516816,"Biva","Scolecocampa liburna"
134,0.365829549892769,0.204271703928588,"Biva","Scolecocampa liburna"
135,0.366742553406169,0.204959130285928,"Biva","Scolecocampa liburna"
136,0.36757561575322,0.205602497511578,"Biva","Scolecocampa liburna"
137,0.368326934162798,0.206198358828934,"Biva","Scolecocampa liburna"
138,0.368994749649951,0.20674340965409,"Biva","Scolecocampa liburna"
139,0.369577350397215,0.207234503218993,"Biva","Scolecocampa liburna"
140,0.370073092190483,0.207668690357363,"Biva","Scolecocampa liburna"
141,0.370481048145726,0.208044161289021,"Biva","Scolecocampa liburna"
142,0.370801213433776,0.208360542535044,"Biva","Scolecocampa liburna"
143,0.371033704427104,0.20861774064325,"Biva","Scolecocampa liburna"
144,0.371178700710311,0.208815848848249,"Biva","Scolecocampa liburna"
145,0.371236444461715,0.208955135922181,"Biva","Scolecocampa liburna"
146,0.371207239762687,0.209036034895463,"Biva","Scolecocampa liburna"
147,0.371091451836558,0.209059131689916,"Biva","Scolecocampa liburna"
148,0.370889506219005,0.209025153704162,"Biva","Scolecocampa liburna"
149,0.370601887861942,0.208934958389201,"Biva","Scolecocampa liburna"
150,0.370229140173013,0.208789521850534,"Biva","Scolecocampa liburna"
151,0.369771863992884,0.208589927512005,"Biva","Scolecocampa liburna"
152,0.369230716512595,0.208337354875658,"Biva","Scolecocampa liburna"
153,0.368606410133337,0.20803306841121,"Biva","Scolecocampa liburna"
154,0.367899711271043,0.207678406608227,"Biva","Scolecocampa liburna"
155,0.36711143910829,0.207274771223656,"Biva","Scolecocampa liburna"
156,0.366242464296032,0.206823616757002,"Biva","Scolecocampa liburna"
157,0.365293707607748,0.20632644018504,"Biva","Scolecocampa liburna"
158,0.364266138548639,0.205784770987533,"Biva","Scolecocampa liburna"
159,0.363160773922521,0.205200161494905,"Biva","Scolecocampa liburna"
160,0.361978676359138,0.204574177588171,"Biva","Scolecocampa liburna"
161,0.360720952804585,0.203908389780639,"Biva","Scolecocampa liburna"
162,0.359388752977615,0.203204364709898,"Biva","Scolecocampa liburna"
163,0.357983267794561,0.202463657067438,"Biva","Scolecocampa liburna"
164,0.356505727765662,0.201687801991815,"Biva","Scolecocampa liburna"
165,0.354957401365545,0.200878307949623,"Biva","Scolecocampa liburna"
166,0.353339593380641,0.200036650126648,"Biva","Scolecocampa liburna"
167,0.351653643236277,0.199164264349406,"Biva","Scolecocampa liburna"
168,0.349900923306221,0.198262541554883,"Biva","Scolecocampa liburna"
169,0.348082837207363,0.197332822823658,"Biva","Scolecocampa liburna"
170,0.346200818082281,0.196376394988711,"Biva","Scolecocampa liburna"
171,0.344256326872329,0.195394486829187,"Biva","Scolecocampa liburna"
172,0.342250850583909,0.194388265855095,"Biva","Scolecocampa liburna"
173,0.340185900550532,0.193358835685566,"Biva","Scolecocampa liburna"
174,0.338063010693222,0.192307234019759,"Biva","Scolecocampa liburna"
175,0.335883735781776,0.191234431195927,"Biva","Scolecocampa liburna"
176,0.33364964969937,0.190141329330534,"Biva","Scolecocampa liburna"
177,0.331362343712886,0.189028762025692,"Biva","Scolecocampa liburna"
178,0.329023424751356,0.187897494629653,"Biva","Scolecocampa liburna"
179,0.326634513694783,0.186748225031602,"Biva","Scolecocampa liburna"
180,0.324197243675596,0.185581584968727,"Biva","Scolecocampa liburna"
181,0.321713258394885,0.184398141820379,"Biva","Scolecocampa liburna"
182,0.319184210455524,0.183198400861294,"Biva","Scolecocampa liburna"
183,0.316611759714197,0.181982807943186,"Biva","Scolecocampa liburna"
184,0.313997571654279,0.180751752571734,"Biva","Scolecocampa liburna"
185,0.31134331578145,0.179505571343976,"Biva","Scolecocampa liburna"
186,0.308650664043823,0.178244551709516,"Biva","Scolecocampa liburna"
187,0.305921289278325,0.176968936017637,"Biva","Scolecocampa liburna"
188,0.303156863684934,0.175678925811588,"Biva","Scolecocampa liburna"
189,0.300359057330358,0.174374686330734,"Biva","Scolecocampa liburna"
190,0.2975295366826,0.173056351181189,"Biva","Scolecocampa liburna"
