"doy","fit","se","Site","validName"
69,0.144532364368894,0.143599201363969,"Bowa","Apantesis vittata"
70,0.151174201608812,0.147223411103915,"Bowa","Apantesis vittata"
71,0.158118131890518,0.150894302100711,"Bowa","Apantesis vittata"
72,0.165374481241846,0.154608589118219,"Bowa","Apantesis vittata"
73,0.172953581149918,0.158362865300712,"Bowa","Apantesis vittata"
74,0.180865728205463,0.162153634215032,"Bowa","Apantesis vittata"
75,0.189121139823954,0.165977347444115,"Bowa","Apantesis vittata"
76,0.197729905900103,0.169830448028077,"Bowa","Apantesis vittata"
77,0.206701936267635,0.17370941999337,"Bowa","Apantesis vittata"
78,0.216046903854813,0.177610844136209,"Bowa","Apantesis vittata"
79,0.225774183448062,0.181531460130377,"Bowa","Apantesis vittata"
80,0.23589278600144,0.185468234908583,"Bowa","Apantesis vittata"
81,0.246411288458897,0.189418437117308,"Bowa","Apantesis vittata"
82,0.257337759089256,0.193379717264373,"Bowa","Apantesis vittata"
83,0.268679678370943,0.197350192963221,"Bowa","Apantesis vittata"
84,0.280443855504666,0.201328538425674,"Bowa","Apantesis vittata"
85,0.292636340677597,0.205314077064067,"Bowa","Apantesis vittata"
86,0.305262333252176,0.209306875733948,"Bowa","Apantesis vittata"
87,0.318326086106372,0.213307838781941,"Bowa","Apantesis vittata"
88,0.331830806409968,0.217318799664083,"Bowa","Apantesis vittata"
89,0.34577855318312,0.221342607476384,"Bowa","Apantesis vittata"
90,0.360170132048719,0.225383205303708,"Bowa","Apantesis vittata"
91,0.375004987658696,0.229445696863322,"Bowa","Apantesis vittata"
92,0.390281094345961,0.233536397519063,"Bowa","Apantesis vittata"
93,0.405994845627626,0.237662865401682,"Bowa","Apantesis vittata"
94,0.422140943260931,0.241833908126445,"Bowa","Apantesis vittata"
95,0.438712286630216,0.246059560493041,"Bowa","Apantesis vittata"
96,0.455699863320547,0.250351028630389,"Bowa","Apantesis vittata"
97,0.473092641810223,0.254720596356144,"Bowa","Apantesis vittata"
98,0.490877467289602,0.259181490099694,"Bowa","Apantesis vittata"
99,0.509038961685995,0.263747699620111,"Bowa","Apantesis vittata"
