"doy","fit","se","Site","validName"
69,0.461631635035829,0.343710521820077,"Bowa","Eusarca confusaria"
70,0.46906061461603,0.340779605821155,"Bowa","Eusarca confusaria"
71,0.476598653183984,0.337861378898421,"Bowa","Eusarca confusaria"
72,0.484236505912106,0.334972585285058,"Bowa","Eusarca confusaria"
73,0.491964261300387,0.332131238233281,"Bowa","Eusarca confusaria"
74,0.499771320085017,0.329356444748197,"Bowa","Eusarca confusaria"
75,0.507646376315593,0.326668179655349,"Bowa","Eusarca confusaria"
76,0.515577400876256,0.324087005813644,"Bowa","Eusarca confusaria"
77,0.523551627737119,0.321633738963439,"Bowa","Eusarca confusaria"
78,0.531555543231876,0.319329057958337,"Bowa","Eusarca confusaria"
79,0.539574878664867,0.31719306396219,"Bowa","Eusarca confusaria"
80,0.547594606556232,0.315244795525306,"Bowa","Eusarca confusaria"
81,0.55559894083655,0.313501710127135,"Bowa","Eusarca confusaria"
82,0.563571341302361,0.311979146537917,"Bowa","Eusarca confusaria"
83,0.571494522640933,0.310689785877786,"Bowa","Eusarca confusaria"
84,0.579350468326178,0.309643132152251,"Bowa","Eusarca confusaria"
85,0.587120449677572,0.308845034922233,"Bowa","Eusarca confusaria"
86,0.594785050359972,0.308297277281534,"Bowa","Eusarca confusaria"
87,0.602324196584098,0.307997251239312,"Bowa","Eusarca confusaria"
88,0.609717193244959,0.307937739888948,"Bowa","Eusarca confusaria"
89,0.616942766208455,0.308106821542834,"Bowa","Eusarca confusaria"
90,0.623979110924637,0.308487905681356,"Bowa","Eusarca confusaria"
91,0.630803947509519,0.309059904616441,"Bowa","Eusarca confusaria"
92,0.637394582395892,0.309797538797472,"Bowa","Eusarca confusaria"
93,0.643727976607246,0.310671768267784,"Bowa","Eusarca confusaria"
94,0.649780820657819,0.311650338387616,"Bowa","Eusarca confusaria"
95,0.655529616025936,0.312698424879948,"Bowa","Eusarca confusaria"
96,0.660950763087611,0.313779361636329,"Bowa","Eusarca confusaria"
97,0.666020655332937,0.314855434457379,"Bowa","Eusarca confusaria"
98,0.670715779619651,0.315888724760549,"Bowa","Eusarca confusaria"
99,0.675012822146755,0.316841988931192,"Bowa","Eusarca confusaria"
100,0.678888779756897,0.317679561044619,"Bowa","Eusarca confusaria"
101,0.68232109899916,0.318368299743347,"Bowa","Eusarca confusaria"
102,0.685293998182981,0.318886838224498,"Bowa","Eusarca confusaria"
103,0.687807127044664,0.319237369557618,"Bowa","Eusarca confusaria"
104,0.689863262293708,0.319428393491086,"Bowa","Eusarca confusaria"
105,0.691466196096329,0.319471204022511,"Bowa","Eusarca confusaria"
106,0.692620697576006,0.319379185005542,"Bowa","Eusarca confusaria"
107,0.69333247145618,0.319167111639447,"Bowa","Eusarca confusaria"
108,0.693608114166557,0.318850469986362,"Bowa","Eusarca confusaria"
109,0.693455067736455,0.318444806557987,"Bowa","Eusarca confusaria"
110,0.69288157179816,0.317965119881259,"Bowa","Eusarca confusaria"
111,0.691896614020495,0.317425305622469,"Bowa","Eusarca confusaria"
112,0.690509879287884,0.316837666180659,"Bowa","Eusarca confusaria"
113,0.688731697933271,0.31621249455333,"Bowa","Eusarca confusaria"
114,0.686572993324523,0.315557740681803,"Bowa","Eusarca confusaria"
115,0.684045229093527,0.314878766410108,"Bowa","Eusarca confusaria"
116,0.681160356285329,0.314178192711225,"Bowa","Eusarca confusaria"
117,0.677930760691489,0.313455840074205,"Bowa","Eusarca confusaria"
118,0.674369210617545,0.312708760073864,"Bowa","Eusarca confusaria"
119,0.670488805319245,0.311931353353013,"Bowa","Eusarca confusaria"
120,0.666302924326263,0.311115566727778,"Bowa","Eusarca confusaria"
121,0.661825177855536,0.310251160049058,"Bowa","Eusarca confusaria"
122,0.657069358499384,0.309326031946051,"Bowa","Eusarca confusaria"
123,0.652049394356358,0.308326592715547,"Bowa","Eusarca confusaria"
124,0.646779303755395,0.307238172419503,"Bowa","Eusarca confusaria"
125,0.641273151706572,0.306045452674948,"Bowa","Eusarca confusaria"
126,0.635545008194574,0.3047329115811,"Bowa","Eusarca confusaria"
127,0.62960890841416,0.303285272615212,"Bowa","Eusarca confusaria"
128,0.623478815030402,0.30168795001191,"Bowa","Eusarca confusaria"
129,0.61716858253052,0.299927484990499,"Bowa","Eusarca confusaria"
130,0.610691923718723,0.297991969090369,"Bowa","Eusarca confusaria"
131,0.604062378390699,0.295871452711944,"Bowa","Eusarca confusaria"
132,0.597293307344739,0.293558410578629,"Bowa","Eusarca confusaria"
133,0.59040007379414,0.291055010659948,"Bowa","Eusarca confusaria"
134,0.583401706438759,0.288378680750606,"Bowa","Eusarca confusaria"
135,0.576317074452099,0.285549975573205,"Bowa","Eusarca confusaria"
136,0.569164414969751,0.282590599300919,"Bowa","Eusarca confusaria"
137,0.561961309740304,0.279522867026678,"Bowa","Eusarca confusaria"
138,0.554724667024503,0.276369231783634,"Bowa","Eusarca confusaria"
139,0.547470708478802,0.273151872307734,"Bowa","Eusarca confusaria"
140,0.540214960746659,0.269892337188725,"Bowa","Eusarca confusaria"
141,0.532972251471943,0.266611241532621,"Bowa","Eusarca confusaria"
142,0.525756709443298,0.263328012710113,"Bowa","Eusarca confusaria"
143,0.518581768576077,0.260060682159496,"Bowa","Eusarca confusaria"
144,0.511460175439171,0.256825720527677,"Bowa","Eusarca confusaria"
145,0.504404000037425,0.25363791365578,"Bowa","Eusarca confusaria"
146,0.497424649566138,0.250510277041004,"Bowa","Eusarca confusaria"
147,0.490532884862068,0.247454006435478,"Bowa","Eusarca confusaria"
148,0.483738839285145,0.244478462184204,"Bowa","Eusarca confusaria"
149,0.477052039776484,0.241591184773061,"Bowa","Eusarca confusaria"
150,0.470481429851074,0.238797938874879,"Bowa","Eusarca confusaria"
151,0.464035394297449,0.236102782972153,"Bowa","Eusarca confusaria"
152,0.457721785371488,0.233508161426706,"Bowa","Eusarca confusaria"
153,0.451547950287104,0.23101501568769,"Bowa","Eusarca confusaria"
154,0.445520759822816,0.22862291120559,"Bowa","Eusarca confusaria"
155,0.439646637879758,0.226330176573082,"Bowa","Eusarca confusaria"
156,0.433931591843654,0.224134051459013,"Bowa","Eusarca confusaria"
157,0.428381243620342,0.222030840047659,"Bowa","Eusarca confusaria"
158,0.423000861231639,0.220016066942278,"Bowa","Eusarca confusaria"
159,0.417795390875525,0.218084632833315,"Bowa","Eusarca confusaria"
160,0.412769489371766,0.216230967655099,"Bowa","Eusarca confusaria"
161,0.407927556931171,0.214449179444109,"Bowa","Eusarca confusaria"
162,0.403273770203622,0.212733197648623,"Bowa","Eusarca confusaria"
163,0.398812115576865,0.211076910205359,"Bowa","Eusarca confusaria"
164,0.394546422714811,0.209474294277274,"Bowa","Eusarca confusaria"
165,0.390480398340759,0.207919541124777,"Bowa","Eusarca confusaria"
166,0.386617660287646,0.20640717615126,"Bowa","Eusarca confusaria"
167,0.38296177185411,0.204932175718753,"Bowa","Eusarca confusaria"
168,0.379516276522021,0.203490082870585,"Bowa","Eusarca confusaria"
169,0.376284733108147,0.202077124629343,"Bowa","Eusarca confusaria"
170,0.373270751440085,0.200690334066864,"Bowa","Eusarca confusaria"
171,0.37047773678927,0.199327829427374,"Bowa","Eusarca confusaria"
172,0.367903793573479,0.197991530075005,"Bowa","Eusarca confusaria"
173,0.365542539105093,0.196686649177932,"Bowa","Eusarca confusaria"
174,0.363387849125479,0.195419062545558,"Bowa","Eusarca confusaria"
175,0.361434004522556,0.194195046087025,"Bowa","Eusarca confusaria"
176,0.359675669440739,0.19302112330197,"Bowa","Eusarca confusaria"
177,0.358107870851343,0.191903931111621,"Bowa","Eusarca confusaria"
178,0.356725979477724,0.19085010020471,"Bowa","Eusarca confusaria"
179,0.355525691977341,0.189866146870403,"Bowa","Eusarca confusaria"
180,0.354503014290309,0.18895837399558,"Bowa","Eusarca confusaria"
181,0.353654246070648,0.188132779526032,"Bowa","Eusarca confusaria"
182,0.352975966122644,0.187394971237624,"Bowa","Eusarca confusaria"
183,0.352465018770334,0.186750087138742,"Bowa","Eusarca confusaria"
184,0.352118501093341,0.186202721231335,"Bowa","Eusarca confusaria"
185,0.351933750967014,0.185756854694924,"Bowa","Eusarca confusaria"
186,0.351908335849208,0.185415792825487,"Bowa","Eusarca confusaria"
187,0.352040042260041,0.185182108258567,"Bowa","Eusarca confusaria"
188,0.352326865904647,0.185057591134,"Bowa","Eusarca confusaria"
189,0.352767002392321,0.185043206920988,"Bowa","Eusarca confusaria"
190,0.353358838508567,0.185139062622278,"Bowa","Eusarca confusaria"
191,0.354100943999394,0.185344382023674,"Bowa","Eusarca confusaria"
192,0.354992063829848,0.185657490561659,"Bowa","Eusarca confusaria"
193,0.356031110881154,0.186075810262209,"Bowa","Eusarca confusaria"
194,0.357217159053061,0.186595865074366,"Bowa","Eusarca confusaria"
195,0.358549436740003,0.187213296800463,"Bowa","Eusarca confusaria"
196,0.360027320651581,0.187922891728366,"Bowa","Eusarca confusaria"
197,0.361650329949519,0.188718618016043,"Bowa","Eusarca confusaria"
198,0.363418120674893,0.189593673879259,"Bowa","Eusarca confusaria"
199,0.365330480440808,0.190540546700868,"Bowa","Eusarca confusaria"
200,0.367387323367039,0.191551083323612,"Bowa","Eusarca confusaria"
201,0.369588685234381,0.192616572013732,"Bowa","Eusarca confusaria"
202,0.371934718837521,0.193727836893855,"Bowa","Eusarca confusaria"
203,0.374425689516294,0.194875346043084,"Bowa","Eusarca confusaria"
204,0.377061970846093,0.196049334951594,"Bowa","Eusarca confusaria"
205,0.379844040469068,0.197239947598129,"Bowa","Eusarca confusaria"
206,0.382772476048497,0.198437398093494,"Bowa","Eusarca confusaria"
207,0.385847951329482,0.199632156603557,"Bowa","Eusarca confusaria"
208,0.389071232289689,0.200815164133123,"Bowa","Eusarca confusaria"
209,0.392443173364533,0.201978081716016,"Bowa","Eusarca confusaria"
210,0.39596393012954,0.203114813350962,"Bowa","Eusarca confusaria"
211,0.399629549460185,0.204227006968259,"Bowa","Eusarca confusaria"
212,0.403434588423685,0.205319636142112,"Bowa","Eusarca confusaria"
213,0.407373414583005,0.206398666520544,"Bowa","Eusarca confusaria"
214,0.411440181196362,0.207470843033471,"Bowa","Eusarca confusaria"
