"doy","fit","se","Site","validName"
69,0.151692322237574,0.177554066422636,"Bowa","Plusiodonta compressipalpis"
70,0.16584257351547,0.187991457744555,"Bowa","Plusiodonta compressipalpis"
71,0.181295144663608,0.19888182944716,"Bowa","Plusiodonta compressipalpis"
72,0.198148938731214,0.210217392256918,"Bowa","Plusiodonta compressipalpis"
73,0.216506269460979,0.221987590694899,"Bowa","Plusiodonta compressipalpis"
74,0.236472187244204,0.234179382202128,"Bowa","Plusiodonta compressipalpis"
75,0.258153633049107,0.246777688739143,"Bowa","Plusiodonta compressipalpis"
76,0.281658402719926,0.259766044175636,"Bowa","Plusiodonta compressipalpis"
77,0.307093904972751,0.273127456169689,"Bowa","Plusiodonta compressipalpis"
78,0.334565698051741,0.286845493326283,"Bowa","Plusiodonta compressipalpis"
79,0.364175792471299,0.30090559639169,"Bowa","Plusiodonta compressipalpis"
80,0.396020710668048,0.315296595263849,"Bowa","Plusiodonta compressipalpis"
81,0.430189298822753,0.330012391014047,"Bowa","Plusiodonta compressipalpis"
82,0.466760291672787,0.345053733620488,"Bowa","Plusiodonta compressipalpis"
83,0.505799637880397,0.36042999206999,"Bowa","Plusiodonta compressipalpis"
84,0.547357601478055,0.37616077532521,"Bowa","Plusiodonta compressipalpis"
85,0.591465664061391,0.392277223313871,"Bowa","Plusiodonta compressipalpis"
86,0.638133262671345,0.408822751414461,"Bowa","Plusiodonta compressipalpis"
87,0.68734440956351,0.42585300681268,"Bowa","Plusiodonta compressipalpis"
88,0.739054252094582,0.443434789290783,"Bowa","Plusiodonta compressipalpis"
89,0.793185643472332,0.461643711928022,"Bowa","Plusiodonta compressipalpis"
90,0.849625807738616,0.480560437050948,"Bowa","Plusiodonta compressipalpis"
91,0.908223194619369,0.500265423786623,"Bowa","Plusiodonta compressipalpis"
92,0.968784631229758,0.520832262892002,"Bowa","Plusiodonta compressipalpis"
93,1.0310728874383,0.542319840148284,"Bowa","Plusiodonta compressipalpis"
94,1.09480477927868,0.564763740263429,"Bowa","Plusiodonta compressipalpis"
95,1.15964993941928,0.588167451659039,"Bowa","Plusiodonta compressipalpis"
96,1.22523038460987,0.612494031446522,"Bowa","Plusiodonta compressipalpis"
97,1.29112100649863,0.637658919509385,"Bowa","Plusiodonta compressipalpis"
98,1.35685110358882,0.663524544356722,"Bowa","Plusiodonta compressipalpis"
99,1.42190705783407,0.68989725002239,"Bowa","Plusiodonta compressipalpis"
100,1.48573623906883,0.716526913597509,"Bowa","Plusiodonta compressipalpis"
101,1.54775219396421,0.743109443373942,"Bowa","Plusiodonta compressipalpis"
102,1.60734114358331,0.769292172215163,"Bowa","Plusiodonta compressipalpis"
103,1.66386977528876,0.79468200634872,"Bowa","Plusiodonta compressipalpis"
104,1.71669427147445,0.818856063285718,"Bowa","Plusiodonta compressipalpis"
105,1.76517047046682,0.841374432969896,"Bowa","Plusiodonta compressipalpis"
106,1.80866500544357,0.861794617594115,"Bowa","Plusiodonta compressipalpis"
107,1.84656721717433,0.879687140631546,"Bowa","Plusiodonta compressipalpis"
108,1.87830158792122,0.894651758840504,"Bowa","Plusiodonta compressipalpis"
109,1.90334039929999,0.906333659370339,"Bowa","Plusiodonta compressipalpis"
110,1.92121627878228,0.91443897770015,"Bowa","Plusiodonta compressipalpis"
111,1.93153427031083,0.918748933428568,"Bowa","Plusiodonta compressipalpis"
112,1.93398304657373,0.919131854001686,"Bowa","Plusiodonta compressipalpis"
113,1.92834487592541,0.915552346371832,"Bowa","Plusiodonta compressipalpis"
114,1.91450396740095,0.908076889326932,"Bowa","Plusiodonta compressipalpis"
115,1.8924528438044,0.896875162106247,"Bowa","Plusiodonta compressipalpis"
116,1.86229643579658,0.882216507882546,"Bowa","Plusiodonta compressipalpis"
117,1.82425364877676,0.864461067939125,"Bowa","Plusiodonta compressipalpis"
118,1.77865622776639,0.844045333970686,"Bowa","Plusiodonta compressipalpis"
119,1.72594483118943,0.821462177436645,"Bowa","Plusiodonta compressipalpis"
120,1.6666623192758,0.797235852774923,"Bowa","Plusiodonta compressipalpis"
121,1.60144436292143,0.771893050417256,"Bowa","Plusiodonta compressipalpis"
122,1.53100757977501,0.745931777189428,"Bowa","Plusiodonta compressipalpis"
123,1.4561355012849,0.719790584927163,"Bowa","Plusiodonta compressipalpis"
124,1.37766276254073,0.693821288797642,"Bowa","Plusiodonta compressipalpis"
125,1.29645798129032,0.668268577695566,"Bowa","Plusiodonta compressipalpis"
126,1.21340584931703,0.643259575760792,"Bowa","Plusiodonta compressipalpis"
127,1.12938899502275,0.618805333556326,"Bowa","Plusiodonta compressipalpis"
128,1.04527018821471,0.59481450958826,"Bowa","Plusiodonta compressipalpis"
129,0.961875445605399,0.571117517847523,"Bowa","Plusiodonta compressipalpis"
130,0.879978558620062,0.547497698416371,"Bowa","Plusiodonta compressipalpis"
