"doy","fit","se","Site","validName"
69,0.0233840748139051,0.0371958656976808,"Cofr","Anavitrinella pampinaria"
70,0.0251055088181149,0.0392044734736471,"Cofr","Anavitrinella pampinaria"
71,0.0269531135301168,0.0413085911415663,"Cofr","Anavitrinella pampinaria"
72,0.0289355010753148,0.0435110004090143,"Cofr","Anavitrinella pampinaria"
73,0.0310617775494439,0.0458143871415792,"Cofr","Anavitrinella pampinaria"
74,0.0333415596018871,0.0482213216409309,"Cofr","Anavitrinella pampinaria"
75,0.035784990081984,0.0507342382357754,"Cofr","Anavitrinella pampinaria"
76,0.0384027525070686,0.0533554143764396,"Cofr","Anavitrinella pampinaria"
77,0.0412060840872387,0.0560869494642023,"Cofr","Anavitrinella pampinaria"
78,0.0442067870173867,0.0589307436902197,"Cofr","Anavitrinella pampinaria"
79,0.0474172377219648,0.0618884772057164,"Cofr","Anavitrinella pampinaria"
80,0.0508503937125462,0.064961589994694,"Cofr","Anavitrinella pampinaria"
81,0.0545197976927398,0.0681512628722063,"Cofr","Anavitrinella pampinaria"
82,0.0584395785197093,0.0714584000845711,"Cofr","Anavitrinella pampinaria"
83,0.0626244486067991,0.0748836140417731,"Cofr","Anavitrinella pampinaria"
84,0.0670896973279662,0.0784272127655956,"Cofr","Anavitrinella pampinaria"
85,0.0718511799623112,0.0820891906881853,"Cofr","Anavitrinella pampinaria"
86,0.0769253016964796,0.0858692234829442,"Cofr","Anavitrinella pampinaria"
87,0.0823289961846332,0.0897666676506657,"Cofr","Anavitrinella pampinaria"
88,0.0880796981506351,0.0937805656159369,"Cofr","Anavitrinella pampinaria"
89,0.0941953095057472,0.0979096571089024,"Cofr","Anavitrinella pampinaria"
90,0.100694158448141,0.102152397611777,"Cofr","Anavitrinella pampinaria"
91,0.107594951008662,0.106506984633724,"Cofr","Anavitrinella pampinaria"
92,0.114916714511293,0.110971392537026,"Cofr","Anavitrinella pampinaria"
93,0.122678732427467,0.115543416566384,"Cofr","Anavitrinella pampinaria"
94,0.130900470121589,0.120220726625654,"Cofr","Anavitrinella pampinaria"
95,0.139601491011676,0.125000931195942,"Cofr","Anavitrinella pampinaria"
96,0.148801362704748,0.129881651588925,"Cofr","Anavitrinella pampinaria"
97,0.158519552712333,0.134860606472753,"Cofr","Anavitrinella pampinaria"
98,0.168775313407885,0.139935706288545,"Cofr","Anavitrinella pampinaria"
99,0.179587555955951,0.145105156787661,"Cofr","Anavitrinella pampinaria"
100,0.190974713022968,0.150367570459881,"Cofr","Anavitrinella pampinaria"
101,0.202954590172456,0.155722084088848,"Cofr","Anavitrinella pampinaria"
102,0.215544205953309,0.161168480066154,"Cofr","Anavitrinella pampinaria"
103,0.228759620809282,0.166707308426684,"Cofr","Anavitrinella pampinaria"
104,0.242615755070752,0.172340005849466,"Cofr","Anavitrinella pampinaria"
105,0.257126196436241,0.178069007122606,"Cofr","Anavitrinella pampinaria"
106,0.27230299751079,0.183897843829997,"Cofr","Anavitrinella pampinaria"
107,0.28815646414046,0.189831224324217,"Cofr","Anavitrinella pampinaria"
108,0.304694935466217,0.195875088458445,"Cofr","Anavitrinella pampinaria"
109,0.321924556814982,0.202036630124855,"Cofr","Anavitrinella pampinaria"
110,0.339849046749346,0.208324280460489,"Cofr","Anavitrinella pampinaria"
111,0.358469459808417,0.214747644710712,"Cofr","Anavitrinella pampinaria"
112,0.377783946688392,0.221317386259044,"Cofr","Anavitrinella pampinaria"
113,0.397787513830114,0.228045052303283,"Cofr","Anavitrinella pampinaria"
114,0.41847178459916,0.234942837122675,"Cofr","Anavitrinella pampinaria"
115,0.439824764458687,0.242023280848397,"Cofr","Anavitrinella pampinaria"
116,0.461830612742577,0.249298904086156,"Cofr","Anavitrinella pampinaria"
117,0.484469423832521,0.256781781562611,"Cofr","Anavitrinella pampinaria"
118,0.507717020723173,0.264483061042706,"Cofr","Anavitrinella pampinaria"
119,0.531544764119954,0.272412436913394,"Cofr","Anavitrinella pampinaria"
120,0.555919380349724,0.280577590838245,"Cofr","Anavitrinella pampinaria"
121,0.580802811470512,0.288983614532534,"Cofr","Anavitrinella pampinaria"
122,0.606152091037867,0.297632431777521,"Cofr","Anavitrinella pampinaria"
123,0.631919249017355,0.306522238112708,"Cofr","Anavitrinella pampinaria"
124,0.658051249320429,0.315646977105383,"Cofr","Anavitrinella pampinaria"
125,0.684489963379931,0.324995871663223,"Cofr","Anavitrinella pampinaria"
126,0.711172183067628,0.334553027575754,"Cofr","Anavitrinella pampinaria"
127,0.73802967608582,0.344297124463971,"Cofr","Anavitrinella pampinaria"
128,0.764989286735123,0.35420120675969,"Cofr","Anavitrinella pampinaria"
129,0.791973084668719,0.364232584431636,"Cofr","Anavitrinella pampinaria"
130,0.818898563888204,0.374352850130869,"Cofr","Anavitrinella pampinaria"
131,0.845678893817313,0.384518016429,"Cofr","Anavitrinella pampinaria"
132,0.872223223807774,0.394678774013071,"Cofr","Anavitrinella pampinaria"
133,0.898437041888409,0.404780869177162,"Cofr","Anavitrinella pampinaria"
134,0.924222587967397,0.414765596756871,"Cofr","Anavitrinella pampinaria"
135,0.949479321042996,0.424570402790526,"Cofr","Anavitrinella pampinaria"
136,0.974104439276018,0.434129589626657,"Cofr","Anavitrinella pampinaria"
137,0.997993451035245,0.443375114877316,"Cofr","Anavitrinella pampinaria"
138,1.02104079425382,0.452237474478177,"Cofr","Anavitrinella pampinaria"
139,1.04314050064053,0.460646659096761,"Cofr","Anavitrinella pampinaria"
140,1.06418727219149,0.468533469303875,"Cofr","Anavitrinella pampinaria"
141,1.08409159782474,0.475842103271274,"Cofr","Anavitrinella pampinaria"
142,1.10278626368565,0.482535890989235,"Cofr","Anavitrinella pampinaria"
143,1.12021005570726,0.488584450965785,"Cofr","Anavitrinella pampinaria"
144,1.13630687291884,0.493962963915624,"Cofr","Anavitrinella pampinaria"
145,1.15102603232834,0.498652341410392,"Cofr","Anavitrinella pampinaria"
146,1.16432253344582,0.502639310665317,"Cofr","Anavitrinella pampinaria"
147,1.17615728064839,0.50591641676612,"Cofr","Anavitrinella pampinaria"
148,1.18649726203976,0.508481944547026,"Cofr","Anavitrinella pampinaria"
149,1.19531568391596,0.510339763225999,"Cofr","Anavitrinella pampinaria"
150,1.20259206040731,0.511499097784368,"Cofr","Anavitrinella pampinaria"
151,1.20831225832,0.51197423193994,"Cofr","Anavitrinella pampinaria"
152,1.2124684976414,0.511784148399416,"Cofr","Anavitrinella pampinaria"
153,1.21505930859777,0.510952112879743,"Cofr","Anavitrinella pampinaria"
154,1.21608944655558,0.509505209150039,"Cofr","Anavitrinella pampinaria"
155,1.21556976643337,0.507473833055595,"Cofr","Anavitrinella pampinaria"
156,1.21351705863761,0.504891154129727,"Cofr","Anavitrinella pampinaria"
157,1.20995384884779,0.501792553963396,"Cofr","Anavitrinella pampinaria"
158,1.20490816425282,0.498215050967051,"Cofr","Anavitrinella pampinaria"
159,1.19841326907796,0.494196721503126,"Cofr","Anavitrinella pampinaria"
160,1.19050737244015,0.489776127565766,"Cofr","Anavitrinella pampinaria"
161,1.18123331172668,0.484991761210042,"Cofr","Anavitrinella pampinaria"
162,1.17063821480857,0.479881515758138,"Cofr","Anavitrinella pampinaria"
163,1.15877314447633,0.474482193408795,"Cofr","Anavitrinella pampinaria"
164,1.1456927285216,0.468829058226359,"Cofr","Anavitrinella pampinaria"
165,1.13145477888655,0.462955442572824,"Cofr","Anavitrinella pampinaria"
166,1.11611990326398,0.456892413867146,"Cofr","Anavitrinella pampinaria"
