"doy","fit","se","Site","validName"
69,0.391359345154768,0.347746043141672,"Cofr","Halysidota tessellaris"
70,0.391507114649306,0.340129457870132,"Cofr","Halysidota tessellaris"
71,0.391654324304249,0.332627875660808,"Cofr","Halysidota tessellaris"
72,0.391800357582299,0.325251505059672,"Cofr","Halysidota tessellaris"
73,0.39194459703575,0.318010947981251,"Cofr","Halysidota tessellaris"
74,0.392086424330032,0.310917191407286,"Cofr","Halysidota tessellaris"
75,0.392225220276678,0.303981592059043,"Cofr","Halysidota tessellaris"
76,0.392360364876342,0.297215852571313,"Cofr","Halysidota tessellaris"
77,0.392491237371373,0.29063198755437,"Cofr","Halysidota tessellaris"
78,0.39261721630836,0.284242277825945,"Cofr","Halysidota tessellaris"
79,0.392737679610434,0.278059211038565,"Cofr","Halysidota tessellaris"
80,0.392852004659388,0.272095406966789,"Cofr","Halysidota tessellaris"
81,0.39295956838769,0.266363525855111,"Cofr","Halysidota tessellaris"
82,0.393059747380363,0.26087615852203,"Cofr","Halysidota tessellaris"
83,0.393151917986612,0.255645697386307,"Cofr","Halysidota tessellaris"
84,0.393235456441439,0.250684188245494,"Cofr","Halysidota tessellaris"
85,0.393309738997038,0.246003163539424,"Cofr","Halysidota tessellaris"
86,0.393374142064012,0.241613458916354,"Cofr","Halysidota tessellaris"
87,0.39342804236244,0.237525016216501,"Cofr","Halysidota tessellaris"
88,0.393470817082731,0.233746677372675,"Cofr","Halysidota tessellaris"
89,0.393501844056152,0.230285975127253,"Cofr","Halysidota tessellaris"
90,0.393520501935198,0.227148927763685,"Cofr","Halysidota tessellaris"
91,0.393526170383556,0.224339846020888,"Cofr","Halysidota tessellaris"
92,0.393518230275631,0.221861160928935,"Cofr","Halysidota tessellaris"
93,0.393496063905767,0.219713281246051,"Cofr","Halysidota tessellaris"
94,0.393459055206765,0.217894488464871,"Cofr","Halysidota tessellaris"
95,0.393406589977952,0.21640087590264,"Cofr","Halysidota tessellaris"
96,0.393338056122432,0.215226336339551,"Cofr","Halysidota tessellaris"
97,0.39325284389356,0.214362600115888,"Cofr","Halysidota tessellaris"
98,0.393150346150551,0.213799322817233,"Cofr","Halysidota tessellaris"
99,0.393029958623034,0.213524218925589,"Cofr","Halysidota tessellaris"
100,0.39289108018431,0.21352323538832,"Cofr","Halysidota tessellaris"
101,0.392733113133493,0.213780757155648,"Cofr","Halysidota tessellaris"
102,0.392555463485965,0.214279835543058,"Cofr","Halysidota tessellaris"
103,0.392357541272356,0.215002429846569,"Cofr","Halysidota tessellaris"
104,0.392138760845558,0.21592965290104,"Cofr","Halysidota tessellaris"
105,0.391898541195756,0.217042012165876,"Cofr","Halysidota tessellaris"
106,0.391636306273242,0.218319639240989,"Cofr","Halysidota tessellaris"
107,0.391351485318715,0.219742502289683,"Cofr","Halysidota tessellaris"
108,0.391043513200908,0.221290597501014,"Cofr","Halysidota tessellaris"
109,0.390711830761294,0.222944117307416,"Cofr","Halysidota tessellaris"
110,0.390355885165506,0.224683594484834,"Cofr","Halysidota tessellaris"
111,0.389975130261345,0.226490022430453,"Cofr","Halysidota tessellaris"
112,0.389569026942972,0.228344952807044,"Cofr","Halysidota tessellaris"
113,0.389137043520965,0.230230572391483,"Cofr","Halysidota tessellaris"
114,0.388678656098042,0.232129761345888,"Cofr","Halysidota tessellaris"
115,0.388193348950031,0.234026135344979,"Cofr","Halysidota tessellaris"
116,0.387680614911674,0.235904074016054,"Cofr","Halysidota tessellaris"
117,0.387139955766995,0.237748738075283,"Cofr","Halysidota tessellaris"
118,0.38657088264394,0.239546077386092,"Cofr","Halysidota tessellaris"
119,0.385972916412573,0.24128283195572,"Cofr","Halysidota tessellaris"
120,0.385345588086855,0.242946527652593,"Cofr","Halysidota tessellaris"
121,0.38468843922914,0.244525468205244,"Cofr","Halysidota tessellaris"
122,0.384001022357398,0.246008724796735,"Cofr","Halysidota tessellaris"
123,0.383282901354267,0.247386124384466,"Cofr","Halysidota tessellaris"
124,0.382533651877822,0.24864823766481,"Cofr","Halysidota tessellaris"
125,0.381752861773404,0.249786367459297,"Cofr","Halysidota tessellaris"
126,0.380940131486067,0.250792538147714,"Cofr","Halysidota tessellaris"
127,0.380095074473142,0.251659486667836,"Cofr","Halysidota tessellaris"
128,0.37921731761635,0.252380655507281,"Cofr","Halysidota tessellaris"
129,0.37830650163301,0.252950188039067,"Cofr","Halysidota tessellaris"
130,0.37736228148579,0.253362926505368,"Cofr","Halysidota tessellaris"
131,0.37638432679034,0.253614412907012,"Cofr","Halysidota tessellaris"
132,0.375372322220391,0.25370089303957,"Cofr","Halysidota tessellaris"
133,0.374325967909675,0.253619323900922,"Cofr","Halysidota tessellaris"
134,0.373244979850061,0.253367384688004,"Cofr","Halysidota tessellaris"
135,0.372129090285381,0.25294349161578,"Cofr","Halysidota tessellaris"
136,0.370978048100229,0.252346816788196,"Cofr","Halysidota tessellaris"
137,0.369791619203314,0.251577311380418,"Cofr","Halysidota tessellaris"
138,0.368569586904523,0.250635733397464,"Cofr","Halysidota tessellaris"
139,0.367311752285256,0.249523680305214,"Cofr","Halysidota tessellaris"
140,0.366018020775318,0.248243771469438,"Cofr","Halysidota tessellaris"
141,0.364691654449511,0.246805086086154,"Cofr","Halysidota tessellaris"
142,0.363340204967648,0.245224436642902,"Cofr","Halysidota tessellaris"
143,0.361971411352447,0.243519274889594,"Cofr","Halysidota tessellaris"
144,0.360592903542779,0.241707116852843,"Cofr","Halysidota tessellaris"
145,0.359212199570629,0.239805469530268,"Cofr","Halysidota tessellaris"
146,0.357836704322127,0.237831764315009,"Cofr","Halysidota tessellaris"
147,0.356473709842447,0.235803296414353,"Cofr","Halysidota tessellaris"
148,0.355130397143965,0.233737169547328,"Cofr","Halysidota tessellaris"
149,0.35381383947791,0.231650245232155,"Cofr","Halysidota tessellaris"
150,0.35253100703088,0.229559096007455,"Cofr","Halysidota tessellaris"
151,0.351288773010231,0.227479961978804,"Cofr","Halysidota tessellaris"
152,0.350093921084954,0.225428710133631,"Cofr","Halysidota tessellaris"
153,0.348953154152892,0.223420795946873,"Cofr","Halysidota tessellaris"
154,0.347873104409413,0.221471226880226,"Cofr","Halysidota tessellaris"
155,0.34686034469787,0.219594527489527,"Cofr","Halysidota tessellaris"
156,0.345921401128452,0.217804705969479,"Cofr","Halysidota tessellaris"
157,0.345062766958246,0.216115222105149,"Cofr","Halysidota tessellaris"
158,0.344290917733086,0.214538956738909,"Cofr","Halysidota tessellaris"
159,0.343612327699457,0.213088183013954,"Cofr","Halysidota tessellaris"
160,0.343033487503816,0.211774539803102,"Cofr","Halysidota tessellaris"
161,0.342560923205964,0.210609007864418,"Cofr","Halysidota tessellaris"
162,0.342201216643471,0.209601889384211,"Cofr","Halysidota tessellaris"
163,0.341961027195371,0.208762791654438,"Cofr","Halysidota tessellaris"
164,0.341847115005238,0.208100615674509,"Cofr","Halysidota tessellaris"
165,0.341866365736762,0.207623550472875,"Cofr","Halysidota tessellaris"
166,0.342025816948994,0.207339073885915,"Cofr","Halysidota tessellaris"
167,0.342332686193548,0.207253960432484,"Cofr","Halysidota tessellaris"
168,0.342794400952454,0.207374296761002,"Cofr","Halysidota tessellaris"
169,0.343418630553323,0.207705504945399,"Cofr","Halysidota tessellaris"
170,0.344213320217696,0.208252373675145,"Cofr","Halysidota tessellaris"
171,0.345186727419757,0.209019097125131,"Cofr","Halysidota tessellaris"
172,0.346347460755637,0.210009321031433,"Cofr","Halysidota tessellaris"
173,0.347704521548929,0.211226195258382,"Cofr","Halysidota tessellaris"
174,0.349267348445711,0.212672431915019,"Cofr","Halysidota tessellaris"
175,0.351045865283068,0.214350367904232,"Cofr","Halysidota tessellaris"
176,0.353050532548943,0.216262030658173,"Cofr","Halysidota tessellaris"
177,0.355292402788085,0.218409205737955,"Cofr","Halysidota tessellaris"
178,0.357783180350709,0.22079350495391,"Cofr","Halysidota tessellaris"
179,0.36053528592565,0.223416433695599,"Cofr","Halysidota tessellaris"
180,0.363561926351541,0.226279456235181,"Cofr","Halysidota tessellaris"
181,0.366877170255341,0.229384057873972,"Cofr","Halysidota tessellaris"
182,0.370496030131804,0.232731802934491,"Cofr","Halysidota tessellaris"
183,0.37443455154737,0.236324387746602,"Cofr","Halysidota tessellaris"
184,0.378709910231624,0.240163687915846,"Cofr","Halysidota tessellaris"
185,0.383340517907902,0.244251799301465,"Cofr","Halysidota tessellaris"
186,0.388346137814048,0.248591072255663,"Cofr","Halysidota tessellaris"
187,0.393748010976287,0.253184138771396,"Cofr","Halysidota tessellaris"
188,0.399568994424685,0.258033932270182,"Cofr","Halysidota tessellaris"
189,0.405833712680402,0.263143699811241,"Cofr","Halysidota tessellaris"
190,0.41256872400459,0.268517006535906,"Cofr","Halysidota tessellaris"
191,0.419802703078931,0.274157732170171,"Cofr","Halysidota tessellaris"
192,0.427566641991711,0.280070059401716,"Cofr","Halysidota tessellaris"
