"doy","fit","se","Site","validName"
69,0.0136730773047501,0.0709218819747623,"Cofr","Nematocampa resistaria"
70,0.0188143597735701,0.0914616234814866,"Cofr","Nematocampa resistaria"
71,0.0258581833643061,0.117334098850747,"Cofr","Nematocampa resistaria"
72,0.0354549893444168,0.149524921421289,"Cofr","Nematocampa resistaria"
73,0.048440975546198,0.189005721530024,"Cofr","Nematocampa resistaria"
74,0.0658703493139148,0.236628988114451,"Cofr","Nematocampa resistaria"
75,0.0890418157455273,0.292985317875724,"Cofr","Nematocampa resistaria"
76,0.119511691976259,0.358228276955418,"Cofr","Nematocampa resistaria"
77,0.159083273736647,0.431883604533789,"Cofr","Nematocampa resistaria"
78,0.209759564556783,0.512675001467771,"Cofr","Nematocampa resistaria"
79,0.273645017775816,0.598416484936766,"Cofr","Nematocampa resistaria"
80,0.352782658396472,0.686037149708753,"Cofr","Nematocampa resistaria"
81,0.448917166702647,0.771811020843744,"Cofr","Nematocampa resistaria"
82,0.563183458646904,0.851851916627642,"Cofr","Nematocampa resistaria"
83,0.695734679381209,0.922886655150709,"Cofr","Nematocampa resistaria"
84,0.845342857131816,0.983222843241195,"Cofr","Nematocampa resistaria"
85,1.00902746807904,1.03366780022676,"Cofr","Nematocampa resistaria"
86,1.18178737818928,1.07795549228308,"Cofr","Nematocampa resistaria"
87,1.35652359935045,1.12213115976184,"Cofr","Nematocampa resistaria"
88,1.52423664585502,1.17263085091676,"Cofr","Nematocampa resistaria"
89,1.67455676465811,1.23368969647117,"Cofr","Nematocampa resistaria"
90,1.79661561612418,1.30563789855843,"Cofr","Nematocampa resistaria"
91,1.8801983992137,1.3853031090874,"Cofr","Nematocampa resistaria"
92,1.91703830213258,1.46801431985209,"Cofr","Nematocampa resistaria"
93,1.90204985363932,1.54936546202323,"Cofr","Nematocampa resistaria"
94,1.83426629880574,1.62525991322152,"Cofr","Nematocampa resistaria"
95,1.71726632671032,1.69033240806737,"Cofr","Nematocampa resistaria"
96,1.558953239184,1.73633325559133,"Cofr","Nematocampa resistaria"
97,1.37067370634352,1.75228633900367,"Cofr","Nematocampa resistaria"
98,1.16580529710142,1.72696506645971,"Cofr","Nematocampa resistaria"
99,0.958063527536791,1.65259076068668,"Cofr","Nematocampa resistaria"
100,0.759843796161063,1.52795840878288,"Cofr","Nematocampa resistaria"
101,0.580900110663008,1.35964797615923,"Cofr","Nematocampa resistaria"
102,0.427573824213266,1.16095591921019,"Cofr","Nematocampa resistaria"
103,0.3026485975579,0.949068230075981,"Cofr","Nematocampa resistaria"
104,0.205764058421378,0.741501550282012,"Cofr","Nematocampa resistaria"
105,0.134211291476013,0.552902720606325,"Cofr","Nematocampa resistaria"
106,0.0838846837627865,0.392998788032319,"Cofr","Nematocampa resistaria"
107,0.0501805892453382,0.265999466970688,"Cofr","Nematocampa resistaria"
108,0.0286968152527168,0.171273996331267,"Cofr","Nematocampa resistaria"
109,0.0156697438754737,0.104812747016859,"Cofr","Nematocampa resistaria"
110,0.00816029269006321,0.0609040955247144,"Cofr","Nematocampa resistaria"
111,0.00404809417600375,0.0335727544590587,"Cofr","Nematocampa resistaria"
112,0.00191065336297522,0.017540051763574,"Cofr","Nematocampa resistaria"
113,0.000857008272107497,0.00867697695652657,"Cofr","Nematocampa resistaria"
114,0.000364876027526794,0.00406054027926015,"Cofr","Nematocampa resistaria"
115,0.000147281515896078,0.00179578605511061,"Cofr","Nematocampa resistaria"
116,5.62962087471717e-05,0.000749810952698079,"Cofr","Nematocampa resistaria"
117,2.03527655921163e-05,0.000295284080146376,"Cofr","Nematocampa resistaria"
118,6.95130722972761e-06,0.000109566546387305,"Cofr","Nematocampa resistaria"
119,2.24023561886113e-06,3.82664851052985e-05,"Cofr","Nematocampa resistaria"
120,6.80440985837668e-07,1.25663624178714e-05,"Cofr","Nematocampa resistaria"
121,1.94554901150438e-07,3.87609070877555e-06,"Cofr","Nematocampa resistaria"
122,5.2303917872607e-08,1.12178634862913e-06,"Cofr","Nematocampa resistaria"
123,1.32054131278381e-08,3.04293536925209e-07,"Cofr","Nematocampa resistaria"
124,3.12738162842813e-09,7.7280953886393e-08,"Cofr","Nematocampa resistaria"
125,6.93915001662543e-10,1.83559488362377e-08,"Cofr","Nematocampa resistaria"
126,1.4408327501021e-10,4.07314817155292e-09,"Cofr","Nematocampa resistaria"
127,2.79632828930097e-11,8.43439969876152e-10,"Cofr","Nematocampa resistaria"
128,5.06658604030216e-12,1.62805018283651e-10,"Cofr","Nematocampa resistaria"
129,8.56013788367113e-13,2.92609046617293e-11,"Cofr","Nematocampa resistaria"
130,1.34700609652083e-13,4.89134892978129e-12,"Cofr","Nematocampa resistaria"
131,1.9718197700766e-14,7.59631746445886e-13,"Cofr","Nematocampa resistaria"
132,2.68200212277842e-15,1.0947677098684e-13,"Cofr","Nematocampa resistaria"
133,3.38556108537933e-16,1.46249527025917e-14,"Cofr","Nematocampa resistaria"
134,2.22044604925031e-16,1.01391439016266e-14,"Cofr","Nematocampa resistaria"
135,2.22044604925031e-16,1.07057167539944e-14,"Cofr","Nematocampa resistaria"
136,2.22044604925031e-16,1.129190140801e-14,"Cofr","Nematocampa resistaria"
137,2.22044604925031e-16,1.18979940462556e-14,"Cofr","Nematocampa resistaria"
138,2.22044604925031e-16,1.25242909066981e-14,"Cofr","Nematocampa resistaria"
139,2.22044604925031e-16,1.31710882770737e-14,"Cofr","Nematocampa resistaria"
140,2.22044604925031e-16,1.38386758997845e-14,"Cofr","Nematocampa resistaria"
141,2.22044604925031e-16,1.4527087312978e-14,"Cofr","Nematocampa resistaria"
142,2.22044604925031e-16,1.52360231278258e-14,"Cofr","Nematocampa resistaria"
143,2.22044604925031e-16,1.59651622041696e-14,"Cofr","Nematocampa resistaria"
144,2.22044604925031e-16,1.67141852233875e-14,"Cofr","Nematocampa resistaria"
145,2.22044604925031e-16,1.74827764000045e-14,"Cofr","Nematocampa resistaria"
146,2.22044604925031e-16,1.82706254262077e-14,"Cofr","Nematocampa resistaria"
147,2.22044604925031e-16,1.90774295456713e-14,"Cofr","Nematocampa resistaria"
148,2.22044604925031e-16,1.99028956828316e-14,"Cofr","Nematocampa resistaria"
149,2.22044604925031e-16,2.07467425760792e-14,"Cofr","Nematocampa resistaria"
150,2.22044604925031e-16,2.16087028799166e-14,"Cofr","Nematocampa resistaria"
151,2.22044604925031e-16,2.24885252133046e-14,"Cofr","Nematocampa resistaria"
152,2.22044604925031e-16,2.33859761401451e-14,"Cofr","Nematocampa resistaria"
153,2.22044604925031e-16,2.43008420740637e-14,"Cofr","Nematocampa resistaria"
154,2.22044604925031e-16,2.52329311039027e-14,"Cofr","Nematocampa resistaria"
155,2.22044604925031e-16,2.61820747391773e-14,"Cofr","Nematocampa resistaria"
156,2.22044604925031e-16,2.71481295765165e-14,"Cofr","Nematocampa resistaria"
157,2.22044604925031e-16,2.81309788891315e-14,"Cofr","Nematocampa resistaria"
158,2.22044604925031e-16,2.91305341418331e-14,"Cofr","Nematocampa resistaria"
159,2.22044604925031e-16,3.0146736434174e-14,"Cofr","Nematocampa resistaria"
160,2.22044604925031e-16,3.11795578741326e-14,"Cofr","Nematocampa resistaria"
161,2.22044604925031e-16,3.22290028843996e-14,"Cofr","Nematocampa resistaria"
162,2.22044604925031e-16,3.32951094428455e-14,"Cofr","Nematocampa resistaria"
163,2.22044604925031e-16,3.43779502582421e-14,"Cofr","Nematocampa resistaria"
164,2.22044604925031e-16,3.54776338817433e-14,"Cofr","Nematocampa resistaria"
165,2.22044604925031e-16,3.65943057541069e-14,"Cofr","Nematocampa resistaria"
166,2.22044604925031e-16,3.77281491880802e-14,"Cofr","Nematocampa resistaria"
167,2.22044604925031e-16,3.88793862849018e-14,"Cofr","Nematocampa resistaria"
168,2.22044604925031e-16,4.00482787834084e-14,"Cofr","Nematocampa resistaria"
169,2.22044604925031e-16,4.12351288398303e-14,"Cofr","Nematocampa resistaria"
170,2.22044604925031e-16,4.24402797360267e-14,"Cofr","Nematocampa resistaria"
171,2.22044604925031e-16,4.36641165136162e-14,"Cofr","Nematocampa resistaria"
172,2.22044604925031e-16,4.49070665312389e-14,"Cofr","Nematocampa resistaria"
173,2.22044604925031e-16,4.61695999420304e-14,"Cofr","Nematocampa resistaria"
174,2.22044604925031e-16,4.74522300883089e-14,"Cofr","Nematocampa resistaria"
175,2.22044604925031e-16,4.87555138104441e-14,"Cofr","Nematocampa resistaria"
176,2.22044604925031e-16,5.00800516669428e-14,"Cofr","Nematocampa resistaria"
177,2.22044604925031e-16,5.14264880628986e-14,"Cofr","Nematocampa resistaria"
178,2.22044604925031e-16,5.27955112841525e-14,"Cofr","Nematocampa resistaria"
179,2.22044604925031e-16,5.41878534347691e-14,"Cofr","Nematocampa resistaria"
180,2.22044604925031e-16,5.56042902757618e-14,"Cofr","Nematocampa resistaria"
181,2.22044604925031e-16,5.70456409633979e-14,"Cofr","Nematocampa resistaria"
182,2.22044604925031e-16,5.85127676858553e-14,"Cofr","Nematocampa resistaria"
183,2.22044604925031e-16,6.0006575197534e-14,"Cofr","Nematocampa resistaria"
184,2.22044604925031e-16,6.15280102508616e-14,"Cofr","Nematocampa resistaria"
185,2.22044604925031e-16,6.3078060926054e-14,"Cofr","Nematocampa resistaria"
186,2.22044604925031e-16,6.4657755859922e-14,"Cofr","Nematocampa resistaria"
187,2.22044604925031e-16,6.6268163375496e-14,"Cofr","Nematocampa resistaria"
188,2.22044604925031e-16,6.79103905149131e-14,"Cofr","Nematocampa resistaria"
189,2.22044604925031e-16,6.95855819787247e-14,"Cofr","Nematocampa resistaria"
190,2.22044604925031e-16,7.12949189754662e-14,"Cofr","Nematocampa resistaria"
191,2.22044604925031e-16,7.3039617986024e-14,"Cofr","Nematocampa resistaria"
192,2.22044604925031e-16,7.48209294479948e-14,"Cofr","Nematocampa resistaria"
193,2.22044604925031e-16,7.66401363658603e-14,"Cofr","Nematocampa resistaria"
