"doy","fit","se","Site","validName"
69,0.0429821733043145,0.0854620769304327,"Cofr","Scolecocampa liburna"
70,0.0448481141502942,0.0874327981261986,"Cofr","Scolecocampa liburna"
71,0.0467943772631293,0.0894198235388988,"Cofr","Scolecocampa liburna"
72,0.0488236789423549,0.0914208380326639,"Cofr","Scolecocampa liburna"
73,0.0509387571238343,0.0934334140063104,"Cofr","Scolecocampa liburna"
74,0.0531423643727181,0.0954550218964202,"Cofr","Scolecocampa liburna"
75,0.0554372601610903,0.0974830430424101,"Cofr","Scolecocampa liburna"
76,0.0578262023993593,0.0995147851175354,"Cofr","Scolecocampa liburna"
77,0.0603119381919474,0.101547500330133,"Cofr","Scolecocampa liburna"
78,0.0628971937897424,0.103578406596397,"Cofr","Scolecocampa liburna"
79,0.0655846637140942,0.105604711878677,"Cofr","Scolecocampa liburna"
80,0.0683769990299372,0.107623641870857,"Cofr","Scolecocampa liburna"
81,0.071276794748891,0.109632471193478,"Cofr","Scolecocampa liburna"
82,0.0742865763469929,0.111628558234739,"Cofr","Scolecocampa liburna"
83,0.0774087853860553,0.113609383737696,"Cofr","Scolecocampa liburna"
84,0.0806457642325503,0.115572593187094,"Cofr","Scolecocampa liburna"
85,0.0839997398734273,0.117516042989427,"Cofr","Scolecocampa liburna"
86,0.0874728068343779,0.119437850364607,"Cofr","Scolecocampa liburna"
87,0.0910669092127938,0.121336446774862,"Cofr","Scolecocampa liburna"
88,0.0947838218450287,0.123210634603418,"Cofr","Scolecocampa liburna"
89,0.0986251306355663,0.125059646659787,"Cofr","Scolecocampa liburna"
90,0.102592212084333,0.126883207927604,"Cofr","Scolecocampa liburna"
91,0.106686212057626,0.128681598782945,"Cofr","Scolecocampa liburna"
92,0.110908023857997,0.130455718694733,"Cofr","Scolecocampa liburna"
93,0.115258265658813,0.13220714917413,"Cofr","Scolecocampa liburna"
94,0.119737257380232,0.133938214468485,"Cofr","Scolecocampa liburna"
95,0.124344997094706,0.135652038201785,"Cofr","Scolecocampa liburna"
96,0.129081137062056,0.137352593855154,"Cofr","Scolecocampa liburna"
97,0.133944959506363,0.139044746669737,"Cofr","Scolecocampa liburna"
98,0.138935352259455,0.140734284257049,"Cofr","Scolecocampa liburna"
99,0.144050784408452,0.142427932941418,"Cofr","Scolecocampa liburna"
100,0.149289282097613,0.144133356664137,"Cofr","Scolecocampa liburna"
101,0.154648404647454,0.145859135183911,"Cofr","Scolecocampa liburna"
102,0.160125221166675,0.147614718352069,"Cofr","Scolecocampa liburna"
103,0.165716287844655,0.149410353464529,"Cofr","Scolecocampa liburna"
104,0.171417626124028,0.151256983134263,"Cofr","Scolecocampa liburna"
105,0.17722470196398,0.153166111818937,"Cofr","Scolecocampa liburna"
106,0.183132406415155,0.155149640094807,"Cofr","Scolecocampa liburna"
107,0.189135037736354,0.157219666984541,"Cofr","Scolecocampa liburna"
108,0.195226285291238,0.159388262089689,"Cofr","Scolecocampa liburna"
109,0.201399215469879,0.161667210881558,"Cofr","Scolecocampa liburna"
110,0.207646259885006,0.164067738167701,"Cofr","Scolecocampa liburna"
111,0.213959206095978,0.166600216347398,"Cofr","Scolecocampa liburna"
112,0.22032919111461,0.169273866453796,"Cofr","Scolecocampa liburna"
113,0.226746697945867,0.172096461008073,"Cofr","Scolecocampa liburna"
114,0.233201555412866,0.175074038257516,"Cofr","Scolecocampa liburna"
115,0.239682941509389,0.17821063735085,"Cofr","Scolecocampa liburna"
116,0.2461793905141,0.181508063393043,"Cofr","Scolecocampa liburna"
117,0.252678804088624,0.184965690155831,"Cofr","Scolecocampa liburna"
118,0.259168466566566,0.188580306599119,"Cofr","Scolecocampa liburna"
119,0.265635064622175,0.192346011431506,"Cofr","Scolecocampa liburna"
120,0.272064711485761,0.196254157882745,"Cofr","Scolecocampa liburna"
121,0.278442975847953,0.200293348856542,"Cofr","Scolecocampa liburna"
122,0.284754915566567,0.204449480837041,"Cofr","Scolecocampa liburna"
123,0.290985116258184,0.20870583345425,"Cofr","Scolecocampa liburna"
124,0.2971177348216,0.213043200540012,"Cofr","Scolecocampa liburna"
125,0.303136547902298,0.217440057842974,"Cofr","Scolecocampa liburna"
126,0.309025005266075,0.22187276228992,"Cofr","Scolecocampa liburna"
127,0.314766288006243,0.226315777720999,"Cofr","Scolecocampa liburna"
128,0.320343371462707,0.230741922308547,"Cofr","Scolecocampa liburna"
