"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.49623835783364e-14,"Demi","Anavitrinella pampinaria"
70,2.22044604925031e-16,1.46923362847728e-14,"Demi","Anavitrinella pampinaria"
71,2.22044604925031e-16,1.44223876025681e-14,"Demi","Anavitrinella pampinaria"
72,2.22044604925031e-16,1.41526174134654e-14,"Demi","Anavitrinella pampinaria"
73,2.22044604925031e-16,1.38831056109846e-14,"Demi","Anavitrinella pampinaria"
74,2.22044604925031e-16,1.36139321005374e-14,"Demi","Anavitrinella pampinaria"
75,2.22044604925031e-16,1.33451767995712e-14,"Demi","Anavitrinella pampinaria"
76,2.22044604925031e-16,1.30769196377435e-14,"Demi","Anavitrinella pampinaria"
77,2.22044604925031e-16,1.28092405571287e-14,"Demi","Anavitrinella pampinaria"
78,2.22044604925031e-16,1.2542219512458e-14,"Demi","Anavitrinella pampinaria"
79,2.22044604925031e-16,1.22759364713958e-14,"Demi","Anavitrinella pampinaria"
80,2.22044604925031e-16,1.2010471414855e-14,"Demi","Anavitrinella pampinaria"
81,2.22044604925031e-16,1.17459043373516e-14,"Demi","Anavitrinella pampinaria"
82,2.22044604925031e-16,1.14823152474055e-14,"Demi","Anavitrinella pampinaria"
83,2.22044604925031e-16,1.12197841679859e-14,"Demi","Anavitrinella pampinaria"
84,2.22044604925031e-16,1.09583911370093e-14,"Demi","Anavitrinella pampinaria"
85,2.22044604925031e-16,1.069821620789e-14,"Demi","Anavitrinella pampinaria"
86,2.22044604925031e-16,1.04393394501506e-14,"Demi","Anavitrinella pampinaria"
87,2.22044604925031e-16,1.01818409500954e-14,"Demi","Anavitrinella pampinaria"
88,2.22044604925031e-16,9.92580081155177e-15,"Demi","Anavitrinella pampinaria"
89,2.22044604925031e-16,9.67129915668644e-15,"Demi","Anavitrinella pampinaria"
90,2.22044604925031e-16,9.4184161269018e-15,"Demi","Anavitrinella pampinaria"
91,2.22044604925031e-16,9.16723188381998e-15,"Demi","Anavitrinella pampinaria"
92,2.22044604925031e-16,8.91782661036107e-15,"Demi","Anavitrinella pampinaria"
93,2.22044604925031e-16,8.67028051192566e-15,"Demi","Anavitrinella pampinaria"
94,2.22044604925031e-16,8.4246738176888e-15,"Demi","Anavitrinella pampinaria"
95,2.22044604925031e-16,8.18108678201698e-15,"Demi","Anavitrinella pampinaria"
96,2.22044604925031e-16,7.93959968601786e-15,"Demi","Anavitrinella pampinaria"
97,2.22044604925031e-16,7.70029283923564e-15,"Demi","Anavitrinella pampinaria"
98,2.22044604925031e-16,7.46324658150427e-15,"Demi","Anavitrinella pampinaria"
99,2.22044604925031e-16,7.22854128497267e-15,"Demi","Anavitrinella pampinaria"
100,2.22044604925031e-16,6.99625735631745e-15,"Demi","Anavitrinella pampinaria"
101,4.56996510665456e-16,1.39262810498989e-14,"Demi","Anavitrinella pampinaria"
102,1.44850645479597e-15,4.265891825641e-14,"Demi","Anavitrinella pampinaria"
103,4.53497720100865e-15,1.28970459562183e-13,"Demi","Anavitrinella pampinaria"
104,1.40189244508612e-14,3.84681865701725e-13,"Demi","Anavitrinella pampinaria"
105,4.27737166529023e-14,1.131537292458e-12,"Demi","Anavitrinella pampinaria"
106,1.28765577016943e-13,3.28107086250129e-12,"Demi","Anavitrinella pampinaria"
107,3.82314577020891e-13,9.37486493723408e-12,"Demi","Anavitrinella pampinaria"
108,1.11912350312081e-12,2.63839209167052e-11,"Demi","Anavitrinella pampinaria"
109,3.22856138387652e-12,7.31071547554628e-11,"Demi","Anavitrinella pampinaria"
110,9.17596488444575e-12,1.99364118272169e-10,"Demi","Anavitrinella pampinaria"
111,2.56828900777202e-11,5.34835182955856e-10,"Demi","Anavitrinella pampinaria"
112,7.07657786854053e-11,1.41090236491088e-09,"Demi","Anavitrinella pampinaria"
113,1.91879123128877e-10,3.65843151398998e-09,"Demi","Anavitrinella pampinaria"
114,5.11793764478959e-10,9.32029231462109e-09,"Demi","Anavitrinella pampinaria"
115,1.34234106697527e-09,2.33192752381428e-08,"Demi","Anavitrinella pampinaria"
116,3.46074162707652e-09,5.7274890366588e-08,"Demi","Anavitrinella pampinaria"
117,8.76701362274012e-09,1.38034737987819e-07,"Demi","Anavitrinella pampinaria"
118,2.18146466246251e-08,3.26284881707463e-07,"Demi","Anavitrinella pampinaria"
119,5.32962277229789e-08,7.56132060286281e-07,"Demi","Anavitrinella pampinaria"
120,1.27801025655955e-07,1.71710284668746e-06,"Demi","Anavitrinella pampinaria"
121,3.00676563903141e-07,3.81941378024515e-06,"Demi","Anavitrinella pampinaria"
122,6.93793106675591e-07,8.31764795959689e-06,"Demi","Anavitrinella pampinaria"
123,1.56950728815222e-06,1.77258573116742e-05,"Demi","Anavitrinella pampinaria"
124,3.47966503157864e-06,3.69499659298322e-05,"Demi","Anavitrinella pampinaria"
