"doy","fit","se","Site","validName"
69,0.163535261462123,0.220477690744408,"Demi","Costaconvexa centrostrigaria"
70,0.16441596989869,0.215961786680398,"Demi","Costaconvexa centrostrigaria"
71,0.165290139113942,0.21158161246475,"Demi","Costaconvexa centrostrigaria"
72,0.16614627403839,0.207346567836045,"Demi","Costaconvexa centrostrigaria"
73,0.166972649869304,0.20326787198906,"Demi","Costaconvexa centrostrigaria"
74,0.167757328738108,0.199358247249736,"Demi","Costaconvexa centrostrigaria"
75,0.168488184771595,0.195631521144939,"Demi","Costaconvexa centrostrigaria"
76,0.169152937756445,0.192102142092595,"Demi","Costaconvexa centrostrigaria"
77,0.169739195558583,0.188784608869247,"Demi","Costaconvexa centrostrigaria"
78,0.170234505374194,0.18569282063571,"Demi","Costaconvexa centrostrigaria"
79,0.17062641379677,0.182839362414086,"Demi","Costaconvexa centrostrigaria"
80,0.17090253557529,0.180234749962409,"Demi","Costaconvexa centrostrigaria"
81,0.171050630812469,0.177886667032179,"Demi","Costaconvexa centrostrigaria"
82,0.171058690210677,0.175799235709574,"Demi","Costaconvexa centrostrigaria"
83,0.170915027817465,0.173972365441944,"Demi","Costaconvexa centrostrigaria"
84,0.170608380555354,0.172401227058685,"Demi","Costaconvexa centrostrigaria"
85,0.170128013643865,0.171075893707469,"Demi","Costaconvexa centrostrigaria"
86,0.169463830839241,0.169981181046723,"Demi","Costaconvexa centrostrigaria"
87,0.168606488232637,0.169096705150216,"Demi","Costaconvexa centrostrigaria"
88,0.16754751016531,0.168397160160129,"Demi","Costaconvexa centrostrigaria"
89,0.166279405644397,0.167852801088127,"Demi","Costaconvexa centrostrigaria"
90,0.164795783480773,0.167430102651444,"Demi","Costaconvexa centrostrigaria"
91,0.163091464226811,0.16709255446818,"Demi","Costaconvexa centrostrigaria"
92,0.161162586872859,0.166801547304885,"Demi","Costaconvexa centrostrigaria"
93,0.159006708172799,0.166517304362082,"Demi","Costaconvexa centrostrigaria"
94,0.156622892416977,0.166199815006598,"Demi","Costaconvexa centrostrigaria"
95,0.154011789460912,0.165809734626673,"Demi","Costaconvexa centrostrigaria"
96,0.151175698855236,0.165309221983953,"Demi","Costaconvexa centrostrigaria"
97,0.148118618010469,0.164662693335439,"Demi","Costaconvexa centrostrigaria"
98,0.144846272472855,0.163837479804366,"Demi","Costaconvexa centrostrigaria"
99,0.141366126585883,0.16280438048503,"Demi","Costaconvexa centrostrigaria"
100,0.137687373067099,0.161538108412859,"Demi","Costaconvexa centrostrigaria"
101,0.133820900339634,0.160017629898589,"Demi","Costaconvexa centrostrigaria"
102,0.129779236819308,0.15822640004175,"Demi","Costaconvexa centrostrigaria"
103,0.125576471766201,0.156152498777444,"Demi","Costaconvexa centrostrigaria"
104,0.121228152756865,0.153788672843349,"Demi","Costaconvexa centrostrigaria"
105,0.116751160310938,0.151132289801181,"Demi","Costaconvexa centrostrigaria"
106,0.112163560702959,0.148185210864719,"Demi","Costaconvexa centrostrigaria"
107,0.107484438494305,0.144953589877662,"Demi","Costaconvexa centrostrigaria"
108,0.102733710817679,0.141447606387469,"Demi","Costaconvexa centrostrigaria"
109,0.0979319259230268,0.137681141376853,"Demi","Costaconvexa centrostrigaria"
110,0.093100048934172,0.133671404813321,"Demi","Costaconvexa centrostrigaria"
111,0.0882592381550073,0.129438524708479,"Demi","Costaconvexa centrostrigaria"
