"doy","fit","se","Site","validName"
69,1.61490188518284e-05,0.000141460144092327,"Demi","Orgyia leucostigma"
70,1.72446062966874e-05,0.000149327864780353,"Demi","Orgyia leucostigma"
71,1.84145859129076e-05,0.0001576157074789,"Demi","Orgyia leucostigma"
72,1.96640827998161e-05,0.000166345668532971,"Demi","Orgyia leucostigma"
73,2.09985847718807e-05,0.0001755409118897,"Demi","Orgyia leucostigma"
74,2.2423968970807e-05,0.000185225834703169,"Demi","Orgyia leucostigma"
75,2.39465305120776e-05,0.000195426137001957,"Demi","Orgyia leucostigma"
76,2.55730133282796e-05,0.000206168895702087,"Demi","Orgyia leucostigma"
77,2.73106433850906e-05,0.000217482643269869,"Demi","Orgyia leucostigma"
78,2.91671644604877e-05,0.00022939745136277,"Demi","Orgyia leucostigma"
79,3.11508766937227e-05,0.000241945019801935,"Demi","Orgyia leucostigma"
80,3.32706781279776e-05,0.000255158771257701,"Demi","Orgyia leucostigma"
81,3.55361094895138e-05,0.000269073952059285,"Demi","Orgyia leucostigma"
82,3.79574024666883e-05,0.000283727739572245,"Demi","Orgyia leucostigma"
83,4.0545531774585e-05,0.000299159356622295,"Demi","Orgyia leucostigma"
84,4.33122713153674e-05,0.000315410193481919,"Demi","Orgyia leucostigma"
85,4.62702547709861e-05,0.000332523937977161,"Demi","Orgyia leucostigma"
86,4.94330409937547e-05,0.000350546714316213,"Demi","Orgyia leucostigma"
87,5.28151845917922e-05,0.000369527231289217,"Demi","Orgyia leucostigma"
88,5.6432312140625e-05,0.000389516940540362,"Demi","Orgyia leucostigma"
89,6.03012044896316e-05,0.000410570205669024,"Demi","Orgyia leucostigma"
90,6.44398856727881e-05,0.000432744482976897,"Demi","Orgyia leucostigma"
91,6.88677189776396e-05,0.000456100514742843,"Demi","Orgyia leucostigma"
92,7.3605510774943e-05,0.000480702535977122,"Demi","Orgyia leucostigma"
93,7.86756227643748e-05,0.000506618495681818,"Demi","Orgyia leucostigma"
94,8.41020933494981e-05,0.000533920293725288,"Demi","Orgyia leucostigma"
95,8.99107689183034e-05,0.000562684034525416,"Demi","Orgyia leucostigma"
96,9.61294458745821e-05,0.000592990298829931,"Demi","Orgyia leucostigma"
97,0.000102788024340718,0.0006249244349823,"Demi","Orgyia leucostigma"
98,0.000109918674534805,0.000658576871169066,"Demi","Orgyia leucostigma"
99,0.000117556016915016,0.000694043450259569,"Demi","Orgyia leucostigma"
100,0.000125737317282563,0.000731425788971779,"Demi","Orgyia leucostigma"
101,0.000134502698142268,0.000770831663229224,"Demi","Orgyia leucostigma"
102,0.000143895367737568,0.000812375421713698,"Demi","Orgyia leucostigma"
103,0.000153961868305767,0.000856178429767208,"Demi","Orgyia leucostigma"
104,0.000164752345240486,0.000902369545954552,"Demi","Orgyia leucostigma"
105,0.000176320839002981,0.000951085633765296,"Demi","Orgyia leucostigma"
106,0.000188725601793345,0.00100247211111107,"Demi","Orgyia leucostigma"
107,0.000202029441178352,0.00105668354046096,"Demi","Orgyia leucostigma"
108,0.000216300093076185,0.00111388426265459,"Demi","Orgyia leucostigma"
109,0.000231610626721547,0.00117424907763921,"Demi","Orgyia leucostigma"
110,0.000248039884479456,0.00123796397559333,"Demi","Orgyia leucostigma"
111,0.000265672959644741,0.00130522692212572,"Demi","Orgyia leucostigma"
112,0.000284601715659089,0.00137624870147349,"Demi","Orgyia leucostigma"
