"doy","fit","se","Site","validName"
69,2.22044604925031e-16,7.06450153944137e-13,"Demi","Phoberia atomaris"
70,2.22044604925031e-16,7.02736836258507e-13,"Demi","Phoberia atomaris"
71,2.22044604925031e-16,6.99028415910967e-13,"Demi","Phoberia atomaris"
72,2.22044604925031e-16,6.95325059599244e-13,"Demi","Phoberia atomaris"
73,2.22044604925031e-16,6.91626930740408e-13,"Demi","Phoberia atomaris"
74,2.22044604925031e-16,6.87934189380393e-13,"Demi","Phoberia atomaris"
75,2.22044604925031e-16,6.84246992104627e-13,"Demi","Phoberia atomaris"
76,2.22044604925031e-16,6.80565491949862e-13,"Demi","Phoberia atomaris"
77,2.22044604925031e-16,6.76889838317275e-13,"Demi","Phoberia atomaris"
78,2.22044604925031e-16,6.73220176886958e-13,"Demi","Phoberia atomaris"
79,2.22044604925031e-16,6.69556649533866e-13,"Demi","Phoberia atomaris"
80,2.22044604925031e-16,6.65899394245348e-13,"Demi","Phoberia atomaris"
81,2.22044604925031e-16,6.62248545040356e-13,"Demi","Phoberia atomaris"
82,2.22044604925031e-16,6.58604231890438e-13,"Demi","Phoberia atomaris"
83,2.22044604925031e-16,6.54966580642646e-13,"Demi","Phoberia atomaris"
84,2.22044604925031e-16,6.51335712944457e-13,"Demi","Phoberia atomaris"
85,2.22044604925031e-16,6.47711746170843e-13,"Demi","Phoberia atomaris"
86,2.22044604925031e-16,6.44094793353626e-13,"Demi","Phoberia atomaris"
87,2.22044604925031e-16,6.40484963113234e-13,"Demi","Phoberia atomaris"
88,2.22044604925031e-16,6.36882359593011e-13,"Demi","Phoberia atomaris"
89,2.22044604925031e-16,6.33287082396214e-13,"Demi","Phoberia atomaris"
90,2.22044604925031e-16,6.29699226525863e-13,"Demi","Phoberia atomaris"
91,2.22044604925031e-16,6.26118882327579e-13,"Demi","Phoberia atomaris"
92,2.22044604925031e-16,6.22546135435578e-13,"Demi","Phoberia atomaris"
93,2.22044604925031e-16,6.18981066721998e-13,"Demi","Phoberia atomaris"
94,2.22044604925031e-16,6.15423752249706e-13,"Demi","Phoberia atomaris"
95,2.22044604925031e-16,6.11874263228791e-13,"Demi","Phoberia atomaris"
96,2.22044604925031e-16,6.08332665976895e-13,"Demi","Phoberia atomaris"
97,2.22044604925031e-16,6.04799021883607e-13,"Demi","Phoberia atomaris"
98,2.22044604925031e-16,6.0127338737908e-13,"Demi","Phoberia atomaris"
99,2.22044604925031e-16,5.97755813907101e-13,"Demi","Phoberia atomaris"
100,2.22044604925031e-16,5.94246347902808e-13,"Demi","Phoberia atomaris"
101,2.22044604925031e-16,5.90745030775277e-13,"Demi","Phoberia atomaris"
102,2.22044604925031e-16,5.87251898895193e-13,"Demi","Phoberia atomaris"
103,2.22044604925031e-16,5.83766983587853e-13,"Demi","Phoberia atomaris"
104,2.22044604925031e-16,5.80290311131715e-13,"Demi","Phoberia atomaris"
105,2.22044604925031e-16,5.76821902762757e-13,"Demi","Phoberia atomaris"
106,2.22044604925031e-16,5.73361774684895e-13,"Demi","Phoberia atomaris"
107,2.22044604925031e-16,5.6990993808672e-13,"Demi","Phoberia atomaris"
108,2.22044604925031e-16,5.66466399164822e-13,"Demi","Phoberia atomaris"
109,2.22044604925031e-16,5.63031159153989e-13,"Demi","Phoberia atomaris"
110,2.22044604925031e-16,5.59604214364562e-13,"Demi","Phoberia atomaris"
111,2.22044604925031e-16,5.56185556227252e-13,"Demi","Phoberia atomaris"
112,2.22044604925031e-16,5.52775171345723e-13,"Demi","Phoberia atomaris"
113,2.22044604925031e-16,5.49373041557261e-13,"Demi","Phoberia atomaris"
114,2.22044604925031e-16,5.45979144001865e-13,"Demi","Phoberia atomaris"
115,2.22044604925031e-16,5.42593451200099e-13,"Demi","Phoberia atomaris"
116,2.22044604925031e-16,5.39215931140055e-13,"Demi","Phoberia atomaris"
117,2.22044604925031e-16,5.35846547373811e-13,"Demi","Phoberia atomaris"
118,2.22044604925031e-16,5.32485259123744e-13,"Demi","Phoberia atomaris"
119,2.22044604925031e-16,5.29132021399115e-13,"Demi","Phoberia atomaris"
120,2.22044604925031e-16,5.25786785123319e-13,"Demi","Phoberia atomaris"
121,2.22044604925031e-16,5.22449497272239e-13,"Demi","Phoberia atomaris"
122,2.22044604925031e-16,5.19120101024144e-13,"Demi","Phoberia atomaris"
123,2.22044604925031e-16,5.15798535921591e-13,"Demi","Phoberia atomaris"
124,2.22044604925031e-16,5.12484738045811e-13,"Demi","Phoberia atomaris"
125,2.22044604925031e-16,5.09178640204084e-13,"Demi","Phoberia atomaris"
126,2.22044604925031e-16,5.05880172130623e-13,"Demi","Phoberia atomaris"
127,2.22044604925031e-16,5.02589260701497e-13,"Demi","Phoberia atomaris"
128,2.22044604925031e-16,4.99305830164191e-13,"Demi","Phoberia atomaris"
129,2.22044604925031e-16,4.96029802382356e-13,"Demi","Phoberia atomaris"
130,2.22044604925031e-16,4.92761097096411e-13,"Demi","Phoberia atomaris"
131,2.22044604925031e-16,4.894996322006e-13,"Demi","Phoberia atomaris"
132,2.22044604925031e-16,4.86245324037225e-13,"Demi","Phoberia atomaris"
133,2.22044604925031e-16,4.8299808770873e-13,"Demi","Phoberia atomaris"
134,2.22044604925031e-16,4.79757837408395e-13,"Demi","Phoberia atomaris"
135,2.22044604925031e-16,4.76524486770427e-13,"Demi","Phoberia atomaris"
136,2.22044604925031e-16,4.73297949240241e-13,"Demi","Phoberia atomaris"
137,2.22044604925031e-16,4.70078138465815e-13,"Demi","Phoberia atomaris"
138,2.22044604925031e-16,4.66864968711006e-13,"Demi","Phoberia atomaris"
139,2.22044604925031e-16,4.63658355291766e-13,"Demi","Phoberia atomaris"
140,2.22044604925031e-16,4.60458216301074e-13,"Demi","Phoberia atomaris"
141,2.22044604925031e-16,4.57264521360343e-13,"Demi","Phoberia atomaris"
142,2.22044604925031e-16,4.54077308487057e-13,"Demi","Phoberia atomaris"
143,2.22044604925031e-16,4.50896625308099e-13,"Demi","Phoberia atomaris"
144,2.22044604925031e-16,4.47722524554655e-13,"Demi","Phoberia atomaris"
145,2.22044604925031e-16,4.44555063793639e-13,"Demi","Phoberia atomaris"
146,2.22044604925031e-16,4.413943051583e-13,"Demi","Phoberia atomaris"
147,2.22044604925031e-16,4.38240315077999e-13,"Demi","Phoberia atomaris"
148,2.22044604925031e-16,4.35093164007215e-13,"Demi","Phoberia atomaris"
149,2.22044604925031e-16,4.31952926153775e-13,"Demi","Phoberia atomaris"
150,2.22044604925031e-16,4.28819679206358e-13,"Demi","Phoberia atomaris"
151,2.22044604925031e-16,4.25693504061295e-13,"Demi","Phoberia atomaris"
152,2.22044604925031e-16,4.22574484548706e-13,"Demi","Phoberia atomaris"
153,2.22044604925031e-16,4.19462707158012e-13,"Demi","Phoberia atomaris"
154,2.22044604925031e-16,4.16358260762871e-13,"Demi","Phoberia atomaris"
155,2.22044604925031e-16,4.13261236345588e-13,"Demi","Phoberia atomaris"
156,2.22044604925031e-16,4.10171726721056e-13,"Demi","Phoberia atomaris"
157,2.22044604925031e-16,4.07089826260292e-13,"Demi","Phoberia atomaris"
158,2.22044604925031e-16,4.04015630613652e-13,"Demi","Phoberia atomaris"
159,2.22044604925031e-16,4.00949236433778e-13,"Demi","Phoberia atomaris"
160,2.22044604925031e-16,3.97890741098398e-13,"Demi","Phoberia atomaris"
161,2.22044604925031e-16,3.94840242433057e-13,"Demi","Phoberia atomaris"
162,2.22044604925031e-16,3.91797838433886e-13,"Demi","Phoberia atomaris"
163,2.22044604925031e-16,3.88763626990544e-13,"Demi","Phoberia atomaris"
164,2.22044604925031e-16,3.85737705609444e-13,"Demi","Phoberia atomaris"
165,2.22044604925031e-16,3.82720171137421e-13,"Demi","Phoberia atomaris"
166,2.22044604925031e-16,3.79711119485981e-13,"Demi","Phoberia atomaris"
167,2.22044604925031e-16,3.76710645356321e-13,"Demi","Phoberia atomaris"
168,2.22044604925031e-16,3.73718841965275e-13,"Demi","Phoberia atomaris"
169,2.22044604925031e-16,3.70735800772413e-13,"Demi","Phoberia atomaris"
170,2.22044604925031e-16,3.67761611208484e-13,"Demi","Phoberia atomaris"
171,2.22044604925031e-16,3.64796360405446e-13,"Demi","Phoberia atomaris"
172,2.22044604925031e-16,3.61840132928327e-13,"Demi","Phoberia atomaris"
173,2.22044604925031e-16,3.58893010509181e-13,"Demi","Phoberia atomaris"
174,2.22044604925031e-16,3.55955071783433e-13,"Demi","Phoberia atomaris"
175,2.22044604925031e-16,3.53026392028907e-13,"Demi","Phoberia atomaris"
176,2.22044604925031e-16,3.50107042907877e-13,"Demi","Phoberia atomaris"
177,2.22044604925031e-16,3.47197092212477e-13,"Demi","Phoberia atomaris"
178,2.22044604925031e-16,3.4429660361385e-13,"Demi","Phoberia atomaris"
179,2.22044604925031e-16,3.41405636415431e-13,"Demi","Phoberia atomaris"
180,2.22044604925031e-16,3.38524245310787e-13,"Demi","Phoberia atomaris"
181,2.22044604925031e-16,3.35652480146445e-13,"Demi","Phoberia atomaris"
182,2.22044604925031e-16,3.32790385690212e-13,"Demi","Phoberia atomaris"
183,2.22044604925031e-16,3.29938001405457e-13,"Demi","Phoberia atomaris"
184,2.22044604925031e-16,3.27095361231915e-13,"Demi","Phoberia atomaris"
185,2.22044604925031e-16,3.2426249337355e-13,"Demi","Phoberia atomaris"
186,2.22044604925031e-16,3.21439420094093e-13,"Demi","Phoberia atomaris"
187,2.22044604925031e-16,3.18626157520874e-13,"Demi","Phoberia atomaris"
188,2.22044604925031e-16,3.15822715457606e-13,"Demi","Phoberia atomaris"
189,2.22044604925031e-16,3.13029097206838e-13,"Demi","Phoberia atomaris"
190,2.22044604925031e-16,3.10245299402789e-13,"Demi","Phoberia atomaris"
191,2.22044604925031e-16,3.07471311855365e-13,"Demi","Phoberia atomaris"
192,2.22044604925031e-16,3.04707117406173e-13,"Demi","Phoberia atomaris"
193,2.22044604925031e-16,3.01952691797381e-13,"Demi","Phoberia atomaris"
194,2.22044604925031e-16,2.99208003554354e-13,"Demi","Phoberia atomaris"
195,2.22044604925031e-16,2.96473013883021e-13,"Demi","Phoberia atomaris"
196,2.22044604925031e-16,2.93747676582968e-13,"Demi","Phoberia atomaris"
197,2.22044604925031e-16,2.91031937977349e-13,"Demi","Phoberia atomaris"
198,2.22044604925031e-16,2.88325736860712e-13,"Demi","Phoberia atomaris"
199,2.22044604925031e-16,2.85629004465949e-13,"Demi","Phoberia atomaris"
200,2.22044604925031e-16,2.82941664451599e-13,"Demi","Phoberia atomaris"
201,2.22044604925031e-16,2.80263632910841e-13,"Demi","Phoberia atomaris"
202,2.22044604925031e-16,2.77594818403559e-13,"Demi","Phoberia atomaris"
203,2.22044604925031e-16,2.74935122012971e-13,"Demi","Phoberia atomaris"
204,2.22044604925031e-16,2.72284437428364e-13,"Demi","Phoberia atomaris"
205,2.22044604925031e-16,2.69642651055606e-13,"Demi","Phoberia atomaris"
206,2.22044604925031e-16,2.67009642157187e-13,"Demi","Phoberia atomaris"
