"doy","fit","se","Site","validName"
69,0.0562191859499683,0.0785244191410098,"Joma","Halysidota tessellaris"
70,0.0604907524014101,0.0828214282692869,"Joma","Halysidota tessellaris"
71,0.0650852881433686,0.0873199010514797,"Joma","Halysidota tessellaris"
72,0.0700253843059265,0.0920244661528429,"Joma","Halysidota tessellaris"
73,0.0753349328382595,0.0969393140318672,"Joma","Halysidota tessellaris"
74,0.0810391649193218,0.102068129734474,"Joma","Halysidota tessellaris"
75,0.0871646855628804,0.107414023057525,"Joma","Halysidota tessellaris"
76,0.093739503595882,0.112979456665068,"Joma","Halysidota tessellaris"
77,0.100793056113118,0.118766172878868,"Joma","Halysidota tessellaris"
78,0.10835622643384,0.124775120016852,"Joma","Halysidota tessellaris"
79,0.116461354508135,0.131006379318997,"Joma","Halysidota tessellaris"
80,0.125142238643546,0.137459093679517,"Joma","Halysidota tessellaris"
81,0.134434127346713,0.144131399595988,"Joma","Halysidota tessellaris"
82,0.144373700002122,0.151020363949311,"Joma","Halysidota tessellaris"
83,0.154999035041735,0.158121927440699,"Joma","Halysidota tessellaris"
84,0.166349564197234,0.165430856731151,"Joma","Halysidota tessellaris"
85,0.178466011372445,0.172940707551161,"Joma","Halysidota tessellaris"
86,0.191390314629526,0.180643801269369,"Joma","Halysidota tessellaris"
87,0.205165529750691,0.188531217622851,"Joma","Halysidota tessellaris"
88,0.219835713820155,0.196592806511027,"Joma","Halysidota tessellaris"
89,0.235445787271051,0.204817221931421,"Joma","Halysidota tessellaris"
90,0.252041372862012,0.21319198127672,"Joma","Halysidota tessellaris"
91,0.269668610090601,0.221703553305797,"Joma","Halysidota tessellaris"
92,0.288373943618749,0.230337478129532,"Joma","Halysidota tessellaris"
93,0.30820388438155,0.239078522495331,"Joma","Halysidota tessellaris"
94,0.329204742177994,0.247910873488021,"Joma","Halysidota tessellaris"
95,0.351422328703309,0.256818373460738,"Joma","Halysidota tessellaris"
96,0.374901630179911,0.265784798533385,"Joma","Halysidota tessellaris"
97,0.399686448980004,0.274794182309293,"Joma","Halysidota tessellaris"
98,0.425819013909647,0.283831185518231,"Joma","Halysidota tessellaris"
99,0.453339559143007,0.292881511046229,"Joma","Halysidota tessellaris"
100,0.48228587215799,0.301932362207331,"Joma","Halysidota tessellaris"
101,0.512692811430722,0.310972940095656,"Joma","Halysidota tessellaris"
102,0.544591795096292,0.319994973379497,"Joma","Halysidota tessellaris"
103,0.578010262275956,0.328993270923993,"Joma","Halysidota tessellaris"
104,0.612971109304358,0.337966284142308,"Joma","Halysidota tessellaris"
105,0.649492103661705,0.346916661997201,"Joma","Halysidota tessellaris"
106,0.687585279020905,0.355851777186285,"Joma","Halysidota tessellaris"
107,0.727256315453301,0.36478419740197,"Joma","Halysidota tessellaris"
108,0.768503909492424,0.373732070923976,"Joma","Halysidota tessellaris"
109,0.811319139425132,0.382719391565649,"Joma","Halysidota tessellaris"
110,0.855684831854686,0.391776104686363,"Joma","Halysidota tessellaris"
111,0.901574936250066,0.400938014265227,"Joma","Halysidota tessellaris"
112,0.948953914848552,0.410246451679352,"Joma","Halysidota tessellaris"
113,0.99777615590108,0.419747670645103,"Joma","Halysidota tessellaris"
114,1.04798541882808,0.429491940477582,"Joma","Halysidota tessellaris"
115,1.09951432037227,0.439532321865772,"Joma","Halysidota tessellaris"
116,1.15228387127814,0.449923125762694,"Joma","Halysidota tessellaris"
117,1.20620307337884,0.460718076147033,"Joma","Halysidota tessellaris"
118,1.26116858721414,0.471968219979408,"Joma","Halysidota tessellaris"
119,1.31706448041905,0.483719650591116,"Joma","Halysidota tessellaris"
120,1.37376206709803,0.496011131414673,"Joma","Halysidota tessellaris"
121,1.43111984821606,0.508871722650817,"Joma","Halysidota tessellaris"
122,1.48898356268313,0.522318521770998,"Joma","Halysidota tessellaris"
123,1.54718635826866,0.536354628148629,"Joma","Halysidota tessellaris"
124,1.6055490907476,0.550967432316306,"Joma","Halysidota tessellaris"
125,1.66388075874235,0.566127312458387,"Joma","Halysidota tessellaris"
126,1.72197908057982,0.581786797063393,"Joma","Halysidota tessellaris"
127,1.77963121813003,0.597880226197352,"Joma","Halysidota tessellaris"
128,1.83661465103492,0.614323917773367,"Joma","Halysidota tessellaris"
129,1.89269820298181,0.63101682217135,"Joma","Halysidota tessellaris"
130,1.94764321973685,0.647841630434707,"Joma","Halysidota tessellaris"
