"doy","fit","se","Site","validName"
69,2.22044604925031e-16,2.54981401018599e-14,"Prcr","Catocala similis"
70,2.22044604925031e-16,2.47972794506784e-14,"Prcr","Catocala similis"
71,2.22044604925031e-16,2.40968860710751e-14,"Prcr","Catocala similis"
72,2.22044604925031e-16,2.3397421555181e-14,"Prcr","Catocala similis"
73,2.22044604925031e-16,2.2699347507071e-14,"Prcr","Catocala similis"
74,2.22044604925031e-16,2.20031255434864e-14,"Prcr","Catocala similis"
75,2.22044604925031e-16,2.130921729469e-14,"Prcr","Catocala similis"
76,2.22044604925031e-16,2.06180844054781e-14,"Prcr","Catocala similis"
77,2.22044604925031e-16,1.99301885363585e-14,"Prcr","Catocala similis"
78,2.22044604925031e-16,1.92459913649355e-14,"Prcr","Catocala similis"
79,2.22044604925031e-16,1.85659545875435e-14,"Prcr","Catocala similis"
80,2.22044604925031e-16,1.78905399211396e-14,"Prcr","Catocala similis"
81,2.22044604925031e-16,1.72202091055403e-14,"Prcr","Catocala similis"
82,2.22044604925031e-16,1.65554239060434e-14,"Prcr","Catocala similis"
83,2.22044604925031e-16,1.58966461165096e-14,"Prcr","Catocala similis"
84,2.22044604925031e-16,1.52443375630041e-14,"Prcr","Catocala similis"
85,2.22044604925031e-16,1.45989601081024e-14,"Prcr","Catocala similis"
86,2.22044604925031e-16,1.39609756560052e-14,"Prcr","Catocala similis"
87,2.22044604925031e-16,1.33308461586328e-14,"Prcr","Catocala similis"
88,2.22044604925031e-16,1.27090336229312e-14,"Prcr","Catocala similis"
89,2.22044604925031e-16,1.20960001196423e-14,"Prcr","Catocala similis"
90,2.22044604925031e-16,1.14922077939223e-14,"Prcr","Catocala similis"
91,2.22044604925031e-16,1.08981188782429e-14,"Prcr","Catocala similis"
92,2.22044604925031e-16,1.03141957081656e-14,"Prcr","Catocala similis"
93,1.18341993121945e-15,5.19155873646185e-14,"Prcr","Catocala similis"
94,8.29096160219534e-15,3.42724926638252e-13,"Prcr","Catocala similis"
95,5.59639441292533e-14,2.17460579732886e-12,"Prcr","Catocala similis"
96,3.63414797140118e-13,1.32397363743144e-11,"Prcr","Catocala similis"
97,2.26694652481848e-12,7.72164727914333e-11,"Prcr","Catocala similis"
98,1.35636888108873e-11,4.3065512019579e-10,"Prcr","Catocala similis"
99,7.77258941567788e-11,2.29288868483734e-09,"Prcr","Catocala similis"
