doy,fit,se,Site,validName
99,0.001844164,0.004553808,Prcr,Eusarca confusaria
100,0.001638701,0.004136072,Prcr,Eusarca confusaria
101,0.001466103,0.0037769,Prcr,Eusarca confusaria
102,0.00132096,0.00346839,Prcr,Eusarca confusaria
103,0.001198867,0.003203866,Prcr,Eusarca confusaria
104,0.001096236,0.002977708,Prcr,Eusarca confusaria
105,0.001010147,0.002785203,Prcr,Eusarca confusaria
106,0.000938228,0.002622423,Prcr,Eusarca confusaria
107,0.000878558,0.002486118,Prcr,Eusarca confusaria
108,0.000829597,0.002373641,Prcr,Eusarca confusaria
109,0.000790121,0.002282872,Prcr,Eusarca confusaria
110,0.000759182,0.002212172,Prcr,Eusarca confusaria
111,0.00073607,0.002160346,Prcr,Eusarca confusaria
112,0.000720293,0.002126617,Prcr,Eusarca confusaria
113,0.00071156,0.002110618,Prcr,Eusarca confusaria
114,0.000709778,0.002112398,Prcr,Eusarca confusaria
115,0.000715051,0.002132442,Prcr,Eusarca confusaria
116,0.000727698,0.00217171,Prcr,Eusarca confusaria
117,0.000748196,0.002231499,Prcr,Eusarca confusaria
118,0.000776968,0.002312861,Prcr,Eusarca confusaria
119,0.000814595,0.00241717,Prcr,Eusarca confusaria
120,0.000861905,0.002546331,Prcr,Eusarca confusaria
121,0.000919993,0.002702813,Prcr,Eusarca confusaria
122,0.000990249,0.002889702,Prcr,Eusarca confusaria
123,0.001074405,0.003110762,Prcr,Eusarca confusaria
124,0.001174579,0.003370526,Prcr,Eusarca confusaria
125,0.00129335,0.003674386,Prcr,Eusarca confusaria
126,0.001433828,0.004028714,Prcr,Eusarca confusaria
127,0.001599754,0.004441,Prcr,Eusarca confusaria
128,0.001795613,0.004919999,Prcr,Eusarca confusaria
129,0.002026766,0.005475908,Prcr,Eusarca confusaria
130,0.002299607,0.006120556,Prcr,Eusarca confusaria
131,0.002621749,0.006867613,Prcr,Eusarca confusaria
132,0.003002231,0.007732811,Prcr,Eusarca confusaria
133,0.003451758,0.008734185,Prcr,Eusarca confusaria
134,0.003982978,0.009892306,Prcr,Eusarca confusaria
135,0.004610787,0.011230525,Prcr,Eusarca confusaria
136,0.005352659,0.012775198,Prcr,Eusarca confusaria
137,0.006229018,0.014555885,Prcr,Eusarca confusaria
138,0.00726362,0.016605503,Prcr,Eusarca confusaria
139,0.00848395,0.018960421,Prcr,Eusarca confusaria
140,0.009921622,0.021660455,Prcr,Eusarca confusaria
141,0.011612742,0.024748751,Prcr,Eusarca confusaria
142,0.013598232,0.028271507,Prcr,Eusarca confusaria
143,0.015924057,0.032277521,Prcr,Eusarca confusaria
144,0.018641317,0.036817498,Prcr,Eusarca confusaria
145,0.021806156,0.041943113,Prcr,Eusarca confusaria
146,0.025479406,0.047705768,Prcr,Eusarca confusaria
147,0.029725909,0.054155043,Prcr,Eusarca confusaria
148,0.034613434,0.061336802,Prcr,Eusarca confusaria
149,0.0402111,0.069290971,Prcr,Eusarca confusaria
150,0.046587237,0.078048983,Prcr,Eusarca confusaria
151,0.05380662,0.08763095,Prcr,Eusarca confusaria
152,0.06192703,0.098042607,Prcr,Eusarca confusaria
153,0.070995134,0.109272128,Prcr,Eusarca confusaria
154,0.081041736,0.121286934,Prcr,Eusarca confusaria
155,0.092076484,0.134030641,Prcr,Eusarca confusaria
156,0.104082227,0.147420345,Prcr,Eusarca confusaria
157,0.11700928,0.161344423,Prcr,Eusarca confusaria
158,0.130769944,0.175661114,Prcr,Eusarca confusaria
159,0.145233729,0.190198094,Prcr,Eusarca confusaria
160,0.160223783,0.20475329,Prcr,Eusarca confusaria
161,0.17551508,0.219097164,Prcr,Eusarca confusaria
162,0.190834931,0.232976629,Prcr,Eusarca confusaria
163,0.205866325,0.246120724,Prcr,Eusarca confusaria
164,0.220254491,0.258248035,Prcr,Eusarca confusaria
165,0.233616911,0.269075739,Prcr,Eusarca confusaria
166,0.245556733,0.278329984,Prcr,Eusarca confusaria
167,0.255679259,0.285757095,Prcr,Eusarca confusaria
168,0.263610835,0.291134985,Prcr,Eusarca confusaria
169,0.269019114,0.294283938,Prcr,Eusarca confusaria
170,0.271633398,0.295075911,Prcr,Eusarca confusaria
171,0.271263499,0.293441506,Prcr,Eusarca confusaria
172,0.267815519,0.289373942,Prcr,Eusarca confusaria
173,0.261302958,0.282929623,Prcr,Eusarca confusaria
174,0.251851846,0.274225328,Prcr,Eusarca confusaria
175,0.239698988,0.263432418,Prcr,Eusarca confusaria
176,0.225182963,0.250768862,Prcr,Eusarca confusaria
177,0.208761581,0.236524481,Prcr,Eusarca confusaria
178,0.191067364,0.221133622,Prcr,Eusarca confusaria
179,0.17273802,0.205024875,Prcr,Eusarca confusaria
180,0.154347447,0.188574451,Prcr,Eusarca confusaria
181,0.1363847,0.172105433,Prcr,Eusarca confusaria
182,0.11924252,0.155890846,Prcr,Eusarca confusaria
183,0.103214456,0.140158123,Prcr,Eusarca confusaria
184,0.088499008,0.125093346,Prcr,Eusarca confusaria
185,0.075208922,0.110844545,Prcr,Eusarca confusaria
186,0.063383762,0.097524092,Prcr,Eusarca confusaria
