"doy","fit","se","Site","validName"
69,0.0618059879776912,0.0871221634259552,"Prcr","Lochmaeus manteo"
70,0.0632300800472517,0.0879732421669175,"Prcr","Lochmaeus manteo"
71,0.0646867663582965,0.0888241086929368,"Prcr","Lochmaeus manteo"
72,0.0661765640787446,0.0896746498854968,"Prcr","Lochmaeus manteo"
73,0.0676999864929655,0.0905247782173893,"Prcr","Lochmaeus manteo"
74,0.0692575422100992,0.0913744340582813,"Prcr","Lochmaeus manteo"
75,0.0708497343369165,0.0922235880244344,"Prcr","Lochmaeus manteo"
76,0.0724770596147285,0.0930722433610318,"Prcr","Lochmaeus manteo"
77,0.0741400075198986,0.0939204383438243,"Prcr","Lochmaeus manteo"
78,0.0758390593275745,0.0947682486849304,"Prcr","Lochmaeus manteo"
79,0.0775746871383169,0.0956157899256439,"Prcr","Lochmaeus manteo"
80,0.0793473528673675,0.0964632197970128,"Prcr","Lochmaeus manteo"
81,0.0811575071963767,0.0973107405267701,"Prcr","Lochmaeus manteo"
82,0.0830055884874822,0.0981586010689391,"Prcr","Lochmaeus manteo"
83,0.0848920216597194,0.0990070992301224,"Prcr","Lochmaeus manteo"
84,0.08681721702783,0.0998565836641463,"Prcr","Lochmaeus manteo"
85,0.0887815691036279,0.100707455704392,"Prcr","Lochmaeus manteo"
86,0.0907854553601869,0.101560171000861,"Prcr","Lochmaeus manteo"
87,0.0928292349592143,0.102415240926834,"Prcr","Lochmaeus manteo"
88,0.0949132474420915,0.103273233717903,"Prcr","Lochmaeus manteo"
89,0.0970378113851756,0.10413477530436,"Prcr","Lochmaeus manteo"
90,0.0992032230200821,0.105000549796317,"Prcr","Lochmaeus manteo"
91,0.101409754819798,0.105871299579741,"Prcr","Lochmaeus manteo"
92,0.103657654051604,0.106747824980801,"Prcr","Lochmaeus manteo"
93,0.105947141297941,0.107630983455643,"Prcr","Lochmaeus manteo"
94,0.10827840894647,0.108521688263079,"Prcr","Lochmaeus manteo"
95,0.110651619650771,0.109420906578684,"Prcr","Lochmaeus manteo"
96,0.113066904763242,0.110329657010614,"Prcr","Lochmaeus manteo"
97,0.115524362741944,0.11124900648017,"Prcr","Lochmaeus manteo"
98,0.118024057533304,0.112180066433698,"Prcr","Lochmaeus manteo"
99,0.120566016932749,0.113123988357071,"Prcr","Lochmaeus manteo"
100,0.123150230925532,0.11408195856963,"Prcr","Lochmaeus manteo"
101,0.125776650010187,0.115055192281162,"Prcr","Lochmaeus manteo"
102,0.128445183507227,0.116044926903249,"Prcr","Lochmaeus manteo"
103,0.131155697855903,0.117052414615096,"Prcr","Lochmaeus manteo"
104,0.133908014902023,0.11807891419364,"Prcr","Lochmaeus manteo"
105,0.136701910180009,0.119125682128262,"Prcr","Lochmaeus manteo"
106,0.139537111192599,0.120193963051669,"Prcr","Lochmaeus manteo"
107,0.142413295691771,0.12128497953021,"Prcr","Lochmaeus manteo"
108,0.145330089964658,0.122399921268873,"Prcr","Lochmaeus manteo"
109,0.148287067128458,0.123539933798274,"Prcr","Lochmaeus manteo"
110,0.151283745438486,0.124706106722706,"Prcr","Lochmaeus manteo"
111,0.154319586613763,0.1258994616196,"Prcr","Lochmaeus manteo"
112,0.157393994184693,0.127120939691167,"Prcr","Lochmaeus manteo"
113,0.160506311867589,0.128371389278353,"Prcr","Lochmaeus manteo"
114,0.163655821970988,0.129651553355155,"Prcr","Lochmaeus manteo"
115,0.166841743838879,0.13096205712773,"Prcr","Lochmaeus manteo"
116,0.17006323233615,0.132303395867205,"Prcr","Lochmaeus manteo"
117,0.173319376381714,0.133675923107724,"Prcr","Lochmaeus manteo"
118,0.17660919753497,0.135079839341784,"Prcr","Lochmaeus manteo"
119,0.179931648641351,0.136515181343411,"Prcr","Lochmaeus manteo"
120,0.183285612542931,0.137981812246252,"Prcr","Lochmaeus manteo"
121,0.18666990086012,0.139479412498284,"Prcr","Lochmaeus manteo"
122,0.190083252850658,0.141007471807815,"Prcr","Lochmaeus manteo"
123,0.193524334352186,0.142565282186982,"Prcr","Lochmaeus manteo"
124,0.196991736814793,0.144151932189317,"Prcr","Lochmaeus manteo"
125,0.200483976429988,0.14576630242752,"Prcr","Lochmaeus manteo"
126,0.203999493362645,0.147407062446609,"Prcr","Lochmaeus manteo"
127,0.207536651092473,0.149072669016559,"Prcr","Lochmaeus manteo"
128,0.211093735871613,0.150761365897568,"Prcr","Lochmaeus manteo"
129,0.214668956304959,0.15247118512068,"Prcr","Lochmaeus manteo"
130,0.21826044305979,0.15419994981678,"Prcr","Lochmaeus manteo"
131,0.221866248711233,0.155945278618229,"Prcr","Lochmaeus manteo"
132,0.225484347730063,0.15770459164983,"Prcr","Lochmaeus manteo"
133,0.229112636619202,0.159475118119486,"Prcr","Lochmaeus manteo"
134,0.232748934205202,0.161253905513887,"Prcr","Lochmaeus manteo"
135,0.236390982090843,0.163037830400928,"Prcr","Lochmaeus manteo"
136,0.2400364452748,0.164823610838205,"Prcr","Lochmaeus manteo"
137,0.243682912944153,0.166607820385816,"Prcr","Lochmaeus manteo"
138,0.247327899445264,0.16838690372171,"Prcr","Lochmaeus manteo"
139,0.25096884543831,0.170157193858819,"Prcr","Lochmaeus manteo"
140,0.254603127226786,0.171914949736111,"Prcr","Lochmaeus manteo"
141,0.25822836565188,0.17365710506524,"Prcr","Lochmaeus manteo"
142,0.261842545335364,0.175381593146223,"Prcr","Lochmaeus manteo"
143,0.26544365257095,0.177086516040206,"Prcr","Lochmaeus manteo"
144,0.269029650381595,0.178770087445388,"Prcr","Lochmaeus manteo"
145,0.272598480205593,0.180430636796137,"Prcr","Lochmaeus manteo"
146,0.276148063640828,0.182066612662454,"Prcr","Lochmaeus manteo"
147,0.279676304245565,0.183676585445157,"Prcr","Lochmaeus manteo"
148,0.283181089394056,0.185259249362252,"Prcr","Lochmaeus manteo"
149,0.286660292185075,0.186813423722199,"Prcr","Lochmaeus manteo"
150,0.290111773401367,0.188338053480281,"Prcr","Lochmaeus manteo"
151,0.293533383517889,0.189832209075073,"Prcr","Lochmaeus manteo"
152,0.296922964756561,0.191295085543121,"Prcr","Lochmaeus manteo"
153,0.300278353185148,0.192726000911481,"Prcr","Lochmaeus manteo"
154,0.303597380857744,0.194124393869613,"Prcr","Lochmaeus manteo"
155,0.306877877994229,0.19548982072453,"Prcr","Lochmaeus manteo"
156,0.31011767519595,0.196821951645799,"Prcr","Lochmaeus manteo"
157,0.313314605694747,0.198120566210267,"Prcr","Lochmaeus manteo"
158,0.316466507632355,0.199385548259993,"Prcr","Lochmaeus manteo"
159,0.319571226367102,0.200616880090967,"Prcr","Lochmaeus manteo"
160,0.322626616804715,0.201814635994673,"Prcr","Lochmaeus manteo"
161,0.325630545749953,0.202978975179403,"Prcr","Lochmaeus manteo"
162,0.328580894275714,0.204110134103406,"Prcr","Lochmaeus manteo"
163,0.331475560106138,0.205208418257406,"Prcr","Lochmaeus manteo"
164,0.334312460010193,0.206274193439672,"Prcr","Lochmaeus manteo"
165,0.337089532202134,0.207307876572622,"Prcr","Lochmaeus manteo"
166,0.339804738745149,0.208309926115753,"Prcr","Lochmaeus manteo"
167,0.342456067954487,0.209280832135494,"Prcr","Lochmaeus manteo"
168,0.345041536796245,0.210221106098165,"Prcr","Lochmaeus manteo"
169,0.347559193278032,0.211131270457627,"Prcr","Lochmaeus manteo"
170,0.350007118827589,0.212011848114136,"Prcr","Lochmaeus manteo"
171,0.352383430655507,0.21286335182544,"Prcr","Lochmaeus manteo"
172,0.354686284098101,0.213686273654967,"Prcr","Lochmaeus manteo"
173,0.356913874936502,0.214481074545136,"Prcr","Lochmaeus manteo"
174,0.359064441688031,0.215248174106071,"Prcr","Lochmaeus manteo"
175,0.361136267865908,0.215987940711404,"Prcr","Lochmaeus manteo"
176,0.363127684203364,0.216700681993162,"Prcr","Lochmaeus manteo"
177,0.365037070838242,0.217386635827023,"Prcr","Lochmaeus manteo"
178,0.3668628594542,0.21804596189736,"Prcr","Lochmaeus manteo"
179,0.36860353537466,0.218678733928464,"Prcr","Lochmaeus manteo"
180,0.370257639605701,0.219284932664186,"Prcr","Lochmaeus manteo"
181,0.37182377082414,0.219864439672932,"Prcr","Lochmaeus manteo"
182,0.373300587307104,0.220417032048572,"Prcr","Lochmaeus manteo"
183,0.374686808799467,0.220942378070469,"Prcr","Lochmaeus manteo"
184,0.375981218315612,0.221440033877553,"Prcr","Lochmaeus manteo"
185,0.377182663872065,0.221909441202317,"Prcr","Lochmaeus manteo"
186,0.378290060147613,0.222349926200941,"Prcr","Lochmaeus manteo"
187,0.379302390067678,0.22276069940559,"Prcr","Lochmaeus manteo"
188,0.380218706309775,0.223140856814465,"Prcr","Lochmaeus manteo"
189,0.381038132727026,0.223489382124569,"Prcr","Lochmaeus manteo"
190,0.381759865686843,0.223805150101607,"Prcr","Lochmaeus manteo"
191,0.382383175321992,0.224086931071059,"Prcr","Lochmaeus manteo"
192,0.38290740669142,0.224333396504513,"Prcr","Lochmaeus manteo"
193,0.383331980848362,0.224543125665872,"Prcr","Lochmaeus manteo"
194,0.383656395813409,0.224714613273277,"Prcr","Lochmaeus manteo"
195,0.383880227450363,0.224846278124583,"Prcr","Lochmaeus manteo"
196,0.384003130242893,0.224936472627081,"Prcr","Lochmaeus manteo"
197,0.38402483797016,0.224983493166007,"Prcr","Lochmaeus manteo"
198,0.383945164279768,0.224985591241188,"Prcr","Lochmaeus manteo"
199,0.383764003156577,0.224940985297016,"Prcr","Lochmaeus manteo"
200,0.383481329286099,0.224847873167835,"Prcr","Lochmaeus manteo"
201,0.383097198311395,0.224704445058699,"Prcr","Lochmaeus manteo"
202,0.382611746982578,0.224508896980342,"Prcr","Lochmaeus manteo"
203,0.382025193198228,0.224259444556956,"Prcr","Lochmaeus manteo"
204,0.381337835938231,0.223954337126029,"Prcr","Lochmaeus manteo"
205,0.380550055087743,0.223591872050886,"Prcr","Lochmaeus manteo"
206,0.379662311152201,0.223170409168666,"Prcr","Lochmaeus manteo"
207,0.378675144863496,0.222688385299123,"Prcr","Lochmaeus manteo"
208,0.377589176677624,0.222144328742802,"Prcr","Lochmaeus manteo"
209,0.37640510616437,0.221536873700641,"Prcr","Lochmaeus manteo"
210,0.375123711289733,0.220864774550883,"Prcr","Lochmaeus manteo"
211,0.373745847592056,0.220126919923101,"Prcr","Lochmaeus manteo"
212,0.372272447253002,0.21932234651322,"Prcr","Lochmaeus manteo"
213,0.370704518064718,0.218450252587351,"Prcr","Lochmaeus manteo"
214,0.369043142294745,0.217510011126166,"Prcr","Lochmaeus manteo"
215,0.367289475450419,0.2165011825651,"Prcr","Lochmaeus manteo"
216,0.365444744944689,0.215423527088967,"Prcr","Lochmaeus manteo"
217,0.363510248665506,0.214277016442416,"Prcr","Lochmaeus manteo"
218,0.361487353451073,0.213061845219919,"Prcr","Lochmaeus manteo"
219,0.359377493473472,0.211778441600648,"Prcr","Lochmaeus manteo"
220,0.357182168533326,0.210427477494486,"Prcr","Lochmaeus manteo"
221,0.354902942268347,0.209009878065409,"Prcr","Lochmaeus manteo"
222,0.352541440278777,0.207526830597524,"Prcr","Lochmaeus manteo"
223,0.350099348172874,0.205979792666892,"Prcr","Lochmaeus manteo"
224,0.347578409535778,0.204370499578941,"Prcr","Lochmaeus manteo"
225,0.344980424391291,0.202700974293653,"Prcr","Lochmaeus manteo"
226,0.342307365526568,0.200974207506722,"Prcr","Lochmaeus manteo"
227,0.339561516904295,0.19919489719969,"Prcr","Lochmaeus manteo"
228,0.336745234175608,0.197368006435766,"Prcr","Lochmaeus manteo"
229,0.333860904977388,0.195498514896147,"Prcr","Lochmaeus manteo"
230,0.330910945733512,0.193591385260082,"Prcr","Lochmaeus manteo"
231,0.327897798462722,0.191651531240481,"Prcr","Lochmaeus manteo"
232,0.324823927598601,0.189683787323738,"Prcr","Lochmaeus manteo"
233,0.321691816826988,0.187692880271883,"Prcr","Lochmaeus manteo"
234,0.318503965946071,0.185683402453632,"Prcr","Lochmaeus manteo"
235,0.315262887754219,0.183659787077856,"Prcr","Lochmaeus manteo"
236,0.311971104970481,0.181626285408324,"Prcr","Lochmaeus manteo"
237,0.308631147192523,0.179586946041682,"Prcr","Lochmaeus manteo"
238,0.305245547896581,0.177545596331396,"Prcr","Lochmaeus manteo"
