"doy","fit","se","Site","validName"
69,0.0112813809341505,0.0206795271254227,"Prcr","Megalopyge opercularis"
70,0.0126841228268969,0.0227998519095879,"Prcr","Megalopyge opercularis"
71,0.0142607521070441,0.0251274408341408,"Prcr","Megalopyge opercularis"
72,0.0160321606677314,0.0276802501550858,"Prcr","Megalopyge opercularis"
73,0.0180215911817426,0.030477398577439,"Prcr","Megalopyge opercularis"
74,0.0202548708661953,0.0335391791744188,"Prcr","Megalopyge opercularis"
75,0.0227606630283554,0.0368870596826318,"Prcr","Megalopyge opercularis"
76,0.0255707367826384,0.0405436691009769,"Prcr","Megalopyge opercularis"
77,0.0287202551409522,0.0445327683768445,"Prcr","Megalopyge opercularis"
78,0.0322480814468941,0.0488792028397308,"Prcr","Megalopyge opercularis"
79,0.0361971038438178,0.0536088339480374,"Prcr","Megalopyge opercularis"
80,0.0406145771322683,0.0587484478593221,"Prcr","Megalopyge opercularis"
81,0.0455524809785798,0.0643256383285611,"Prcr","Megalopyge opercularis"
82,0.0510678929786079,0.070368661495483,"Prcr","Megalopyge opercularis"
83,0.0572233745540467,0.0769062602543465,"Prcr","Megalopyge opercularis"
84,0.0640873670595283,0.0839674561224973,"Prcr","Megalopyge opercularis"
85,0.071734594803529,0.0915813068533636,"Prcr","Megalopyge opercularis"
86,0.0802464709329046,0.0997766284919939,"Prcr","Megalopyge opercularis"
87,0.0897115012988941,0.108581681163534,"Prcr","Megalopyge opercularis"
88,0.100225680512725,0.118023818634332,"Prcr","Megalopyge opercularis"
89,0.111892873414602,0.128129102607698,"Prcr","Megalopyge opercularis"
90,0.124825174126559,0.138921883826848,"Prcr","Megalopyge opercularis"
91,0.13914323374583,0.150424353368539,"Prcr","Megalopyge opercularis"
92,0.154976546573111,0.162656069032014,"Prcr","Megalopyge opercularis"
93,0.172463683574799,0.175633463463191,"Prcr","Megalopyge opercularis"
94,0.191752460569889,0.189369342602527,"Prcr","Megalopyge opercularis"
95,0.213000027435038,0.203872385196476,"Prcr","Megalopyge opercularis"
96,0.236372863464345,0.219146656447826,"Prcr","Megalopyge opercularis"
97,0.262046662937868,0.235191151366469,"Prcr","Megalopyge opercularis"
98,0.2902060939841,0.251999385972074,"Prcr","Megalopyge opercularis"
99,0.321044413010778,0.269559057126007,"Prcr","Megalopyge opercularis"
100,0.354762916374904,0.287851794342454,"Prcr","Megalopyge opercularis"
101,0.391570210620298,0.306853029328754,"Prcr","Megalopyge opercularis"
102,0.431681282587011,0.326532011081786,"Prcr","Megalopyge opercularis"
103,0.475316351051986,0.346851995926877,"Prcr","Megalopyge opercularis"
104,0.52269948235659,0.367770642688707,"Prcr","Megalopyge opercularis"
105,0.574056953776714,0.389240642931266,"Prcr","Megalopyge opercularis"
106,0.629615350255649,0.411210614533769,"Prcr","Megalopyge opercularis"
107,0.689599382606277,0.433626283344,"Prcr","Megalopyge opercularis"
108,0.754229418448153,0.456431971755941,"Prcr","Megalopyge opercularis"
109,0.823718721018652,0.479572404202753,"Prcr","Megalopyge opercularis"
110,0.898270395615912,0.50299482708716,"Prcr","Megalopyge opercularis"
111,0.978074048809471,0.526651423912099,"Prcr","Megalopyge opercularis"
112,1.06330217168905,0.550501984692694,"Prcr","Megalopyge opercularis"
113,1.1541062652877,0.574516761660331,"Prcr","Megalopyge opercularis"
114,1.25061273386224,0.598679410696924,"Prcr","Megalopyge opercularis"
115,1.35291857986451,0.622989880363995,"Prcr","Megalopyge opercularis"
116,1.46108694308214,0.64746706928808,"Prcr","Megalopyge opercularis"
117,1.57514253542861,0.672151030869385,"Prcr","Megalopyge opercularis"
118,1.69506703204439,0.697104466381881,"Prcr","Megalopyge opercularis"
119,1.82079448852836,0.72241322011786,"Prcr","Megalopyge opercularis"
120,1.95220686301125,0.748185481717403,"Prcr","Megalopyge opercularis"
121,2.08912973014243,0.774549420737568,"Prcr","Megalopyge opercularis"
122,2.23132828159222,0.801649035862713,"Prcr","Megalopyge opercularis"
123,2.37850371405795,0.829638101926806,"Prcr","Megalopyge opercularis"
124,2.53029011067542,0.858672242046607,"Prcr","Megalopyge opercularis"
125,2.68625192484163,0.888899330731584,"Prcr","Megalopyge opercularis"
126,2.84588217642421,0.920448627795195,"Prcr","Megalopyge opercularis"
127,3.00860146885315,0.953419224562804,"Prcr","Megalopyge opercularis"
128,3.17375793138396,0.987868521828462,"Prcr","Megalopyge opercularis"
