"doy","fit","se","Site","validName"
69,1.42419876249587,0.625989540164926,"Prcr","Nadata gibbosa"
70,1.43864375063203,0.619856554173451,"Prcr","Nadata gibbosa"
71,1.45323560029454,0.613639357442418,"Prcr","Nadata gibbosa"
72,1.46797616446915,0.6073477332391,"Prcr","Nadata gibbosa"
73,1.48286732588712,0.600992100313199,"Prcr","Nadata gibbosa"
74,1.49791099755054,0.594583540505569,"Prcr","Nadata gibbosa"
75,1.51310912326778,0.588133826016137,"Prcr","Nadata gibbosa"
76,1.52846367819918,0.581655445886903,"Prcr","Nadata gibbosa"
77,1.54397666941327,0.575161631157076,"Prcr","Nadata gibbosa"
78,1.55965013645374,0.56866637803491,"Prcr","Nadata gibbosa"
79,1.57548615191734,0.562184468304569,"Prcr","Nadata gibbosa"
80,1.59148682204301,0.555731486046992,"Prcr","Nadata gibbosa"
81,1.60765428731247,0.549323829602688,"Prcr","Nadata gibbosa"
82,1.62399072306243,0.542978717544718,"Prcr","Nadata gibbosa"
83,1.64049834010888,0.536714187266169,"Prcr","Nadata gibbosa"
84,1.65717938538346,0.530549084624963,"Prcr","Nadata gibbosa"
85,1.67403614258241,0.524503042938835,"Prcr","Nadata gibbosa"
86,1.69107093282821,0.518596449496688,"Prcr","Nadata gibbosa"
87,1.70828611534425,0.512850397664051,"Prcr","Nadata gibbosa"
88,1.72568408814288,0.507286622627953,"Prcr","Nadata gibbosa"
89,1.74326728872699,0.501927418870464,"Prcr","Nadata gibbosa"
90,1.76103819480553,0.496795537602734,"Prcr","Nadata gibbosa"
91,1.77899932502328,0.491914062654977,"Prcr","Nadata gibbosa"
92,1.79715323970512,0.487306263723197,"Prcr","Nadata gibbosa"
93,1.81550254161511,0.482995426436657,"Prcr","Nadata gibbosa"
94,1.83404987673083,0.479004659438824,"Prcr","Nadata gibbosa"
95,1.8527979350332,0.475356679564964,"Prcr","Nadata gibbosa"
96,1.87174945131214,0.472073577231752,"Prcr","Nadata gibbosa"
97,1.89090720598852,0.469176565289811,"Prcr","Nadata gibbosa"
98,1.91027402595257,0.466685715770336,"Prcr","Nadata gibbosa"
99,1.92985278541937,0.464619690104076,"Prcr","Nadata gibbosa"
100,1.9496464068016,0.462995469411809,"Prcr","Nadata gibbosa"
101,1.96965786159999,0.461828092259253,"Prcr","Nadata gibbosa"
102,1.98989017131191,0.461130407737969,"Prcr","Nadata gibbosa"
103,2.01034640835853,0.460912851794385,"Prcr","Nadata gibbosa"
104,2.03102969703083,0.461183254327301,"Prcr","Nadata gibbosa"
105,2.05194321445504,0.461946683694999,"Prcr","Nadata gibbosa"
106,2.07309019157789,0.463205333947685,"Prcr","Nadata gibbosa"
107,2.09447391417206,0.464958458407725,"Prcr","Nadata gibbosa"
108,2.1160977238624,0.467202351277976,"Prcr","Nadata gibbosa"
109,2.13796501917334,0.469930376914724,"Prcr","Nadata gibbosa"
110,2.16007925659789,0.473133044414229,"Prcr","Nadata gibbosa"
111,2.1824439516889,0.476798123380655,"Prcr","Nadata gibbosa"
112,2.20506268017294,0.480910795292442,"Prcr","Nadata gibbosa"
113,2.22793907908734,0.485453833849783,"Prcr","Nadata gibbosa"
114,2.25107684794104,0.490407807108246,"Prcr","Nadata gibbosa"
115,2.27447974989959,0.495751294077858,"Prcr","Nadata gibbosa"
116,2.29815161299502,0.501461108749291,"Prcr","Nadata gibbosa"
