"doy","fit","se","Site","validName"
69,0.0596080040121164,0.096021885816036,"Prcr","Orgyia detrita"
70,0.0686398457129033,0.106721252973717,"Prcr","Orgyia detrita"
71,0.0790270314294706,0.118474302701445,"Prcr","Orgyia detrita"
72,0.0909557877751884,0.131346203305145,"Prcr","Orgyia detrita"
73,0.104632827913459,0.145398839379014,"Prcr","Orgyia detrita"
74,0.120286306486608,0.160689439748587,"Prcr","Orgyia detrita"
75,0.138166472494911,0.177269228341068,"Prcr","Orgyia detrita"
76,0.15854591418454,0.195182198988478,"Prcr","Orgyia detrita"
77,0.181719274550772,0.214464142001041,"Prcr","Orgyia detrita"
78,0.208002301432121,0.235142076214795,"Prcr","Orgyia detrita"
79,0.237730083424767,0.257234261542638,"Prcr","Orgyia detrita"
80,0.271254313297281,0.280750978729351,"Prcr","Orgyia detrita"
81,0.308939415786672,0.305696258113683,"Prcr","Orgyia detrita"
82,0.351157378382838,0.332070708963504,"Prcr","Orgyia detrita"
83,0.398281133899617,0.359875535013659,"Prcr","Orgyia detrita"
84,0.450676364312532,0.389117709250359,"Prcr","Orgyia detrita"
85,0.508691628503586,0.419816112260599,"Prcr","Orgyia detrita"
86,0.572646763987303,0.452008209125712,"Prcr","Orgyia detrita"
87,0.642819575797274,0.485756555965078,"Prcr","Orgyia detrita"
88,0.719430905264644,0.521154112110441,"Prcr","Orgyia detrita"
89,0.802628267304539,0.55832703510046,"Prcr","Orgyia detrita"
90,0.892468355780366,0.597433428074514,"Prcr","Orgyia detrita"
91,0.988898839860632,0.638656489613634,"Prcr","Orgyia detrita"
92,1.09174000571646,0.682190783898512,"Prcr","Orgyia detrita"
93,1.20066693135678,0.728220971033705,"Prcr","Orgyia detrita"
94,1.31519300998798,0.776893304986993,"Prcr","Orgyia detrita"
95,1.43465574946263,0.828281404631631,"Prcr","Orgyia detrita"
96,1.55820586121502,0.882349013581686,"Prcr","Orgyia detrita"
97,1.68480069978347,0.938913418753782,"Prcr","Orgyia detrita"
98,1.81320311167384,0.997613666419823,"Prcr","Orgyia detrita"
99,1.94198668884655,1.05788759104024,"Prcr","Orgyia detrita"
100,2.06954828838492,1.1189610051185,"Prcr","Orgyia detrita"
101,2.19412847000126,1.17985135849663,"Prcr","Orgyia detrita"
102,2.31384021547734,1.23938697362072,"Prcr","Orgyia detrita"
103,2.42670593304607,1.29624177458059,"Prcr","Orgyia detrita"
104,2.53070232568413,1.34898434828303,"Prcr","Orgyia detrita"
105,2.62381223286246,1.39613923118751,"Prcr","Orgyia detrita"
106,2.7040820648906,1.43625748994087,"Prcr","Orgyia detrita"
107,2.7696829681017,1.46799294155085,"Prcr","Orgyia detrita"
108,2.81897342284706,1.49017974086253,"Prcr","Orgyia detrita"
109,2.85056062200412,1.50190657776165,"Prcr","Orgyia detrita"
110,2.86335774227383,1.502582419741,"Prcr","Orgyia detrita"
111,2.85663413679971,1.49198865895541,"Prcr","Orgyia detrita"
112,2.83005557088809,1.47031272185638,"Prcr","Orgyia detrita"
113,2.78371190721568,1.43815870670608,"Prcr","Orgyia detrita"
114,2.71813012346863,1.39653145640653,"Prcr","Orgyia detrita"
115,2.63427119881535,1.34679168837564,"Prcr","Orgyia detrita"
116,2.53351020475086,1.29058147240948,"Prcr","Orgyia detrita"
117,2.41759983429252,1.22972162879949,"Prcr","Orgyia detrita"
118,2.28861854244102,1.16608574101287,"Prcr","Orgyia detrita"
119,2.14890538325868,1.10145962359653,"Prcr","Orgyia detrita"
120,2.00098444525048,1.03740008986345,"Prcr","Orgyia detrita"
121,1.84748244102368,0.975111737721575,"Prcr","Orgyia detrita"
122,1.69104344367125,0.915363069795566,"Prcr","Orgyia detrita"
123,1.53424494118384,0.858460725039831,"Prcr","Orgyia detrita"
124,1.37951928223322,0.804291042948207,"Prcr","Orgyia detrita"
125,1.22908421586791,0.752422965024266,"Prcr","Orgyia detrita"
126,1.08488561153806,0.702250692237425,"Prcr","Orgyia detrita"
127,0.948554633287417,0.653145269426724,"Prcr","Orgyia detrita"
128,0.821380698679632,0.604585159816145,"Prcr","Orgyia detrita"
129,0.704300555371424,0.556245428925444,"Prcr","Orgyia detrita"
130,0.5979028355833,0.508038211978664,"Prcr","Orgyia detrita"
131,0.502446575721431,0.460108493411207,"Prcr","Orgyia detrita"
132,0.417891477898649,0.412796154966314,"Prcr","Orgyia detrita"
133,0.343937187388109,0.366577648984547,"Prcr","Orgyia detrita"
134,0.280068589310546,0.321999839256651,"Prcr","Orgyia detrita"
135,0.225604091047476,0.279616051091586,"Prcr","Orgyia detrita"
136,0.179744035024025,0.239931328008702,"Prcr","Orgyia detrita"
137,0.141616743268043,0.203360969645588,"Prcr","Orgyia detrita"
138,0.110320181937926,0.170203937730342,"Prcr","Orgyia detrita"
139,0.0849577960245925,0.140630776312387,"Prcr","Orgyia detrita"
140,0.0646678868031811,0.114684646538445,"Prcr","Orgyia detrita"
141,0.0486522790865643,0.0923022769669964,"Prcr","Orgyia detrita"
142,0.036184295395534,0.0733242837116242,"Prcr","Orgyia detrita"
143,0.0266083671867526,0.0575008746439308,"Prcr","Orgyia detrita"
144,0.0193497904889481,0.0445210204294244,"Prcr","Orgyia detrita"
145,0.0139178774863231,0.034040841321917,"Prcr","Orgyia detrita"
146,0.00990346599709656,0.0257078805931715,"Prcr","Orgyia detrita"
147,0.00697264648262607,0.0191802261928565,"Prcr","Orgyia detrita"
148,0.00485828589692556,0.0141402298036364,"Prcr","Orgyia detrita"
149,0.00335059736329584,0.0103031636073729,"Prcr","Orgyia detrita"
150,0.00228767292491716,0.00742153506623415,"Prcr","Orgyia detrita"
151,0.00154659606517841,0.00528596792224909,"Prcr","Orgyia detrita"
152,0.0010354995428908,0.00372359204708572,"Prcr","Orgyia detrita"
153,0.000686739024346572,0.00259481159950398,"Prcr","Orgyia detrita"
154,0.000451212487961338,0.00178918427301502,"Prcr","Orgyia detrita"
155,0.000293762818137208,0.00122098107862176,"Prcr","Orgyia detrita"
156,0.000189547314227398,0.000824833270210335,"Prcr","Orgyia detrita"
157,0.000121233404649256,0.000551728063840656,"Prcr","Orgyia detrita"
158,7.68757895171992e-05,0.000365496660086296,"Prcr","Orgyia detrita"
159,4.83390665653393e-05,0.000239849254208883,"Prcr","Orgyia detrita"
160,3.01458183169946e-05,0.00015595041709157,"Prcr","Orgyia detrita"
161,1.86489680444602e-05,0.000100490240913655,"Prcr","Orgyia detrita"
162,1.14461703489727e-05,6.41868056427942e-05,"Prcr","Orgyia detrita"
163,6.97143273485688e-06,4.06487225548614e-05,"Prcr","Orgyia detrita"
164,4.21423817393474e-06,2.55282728974048e-05,"Prcr","Orgyia detrita"
165,2.52889078777621e-06,1.59024082231368e-05,"Prcr","Orgyia detrita"
166,1.50672431672544e-06,9.82797989609551e-06,"Prcr","Orgyia detrita"
167,8.91474671735324e-07,6.02723229874063e-06,"Prcr","Orgyia detrita"
168,5.23883199877394e-07,3.66873031286279e-06,"Prcr","Orgyia detrita"
169,3.05836242272897e-07,2.21691580115446e-06,"Prcr","Orgyia detrita"
170,1.77399015023247e-07,1.33017578342747e-06,"Prcr","Orgyia detrita"
171,1.0225863709418e-07,7.92657744476835e-07,"Prcr","Orgyia detrita"
172,5.85887321470255e-08,4.69212058438163e-07,"Prcr","Orgyia detrita"
173,3.33712340500914e-08,2.75961778890294e-07,"Prcr","Orgyia detrita"
174,1.88996283418859e-08,1.612924865227e-07,"Prcr","Orgyia detrita"
175,1.06447595094024e-08,9.37029997046524e-08,"Prcr","Orgyia detrita"
176,5.96346672949067e-09,5.41196972956432e-08,"Prcr","Orgyia detrita"
177,3.32369272548445e-09,3.10819120093652e-08,"Prcr","Orgyia detrita"
178,1.84323545249625e-09,1.77540832659218e-08,"Prcr","Orgyia detrita"
179,1.01731959334685e-09,1.00882135044479e-08,"Prcr","Orgyia detrita"
180,5.58893954230419e-10,5.70351754324206e-09,"Prcr","Orgyia detrita"
181,3.05686026143249e-10,3.20900594299298e-09,"Prcr","Orgyia detrita"
182,1.66484840988165e-10,1.79714830066109e-09,"Prcr","Orgyia detrita"
183,9.03036912892483e-11,1.00200323817973e-09,"Prcr","Orgyia detrita"
184,4.87917922958683e-11,5.56303818080171e-10,"Prcr","Orgyia detrita"
185,2.62649914822666e-11,3.07608479554076e-10,"Prcr","Orgyia detrita"
186,1.40888564545665e-11,1.69438971750885e-10,"Prcr","Orgyia detrita"
187,7.53218493780659e-12,9.29912769991008e-11,"Prcr","Orgyia detrita"
188,4.0141326374203e-12,5.08592494316782e-11,"Prcr","Orgyia detrita"
189,2.13288155794082e-12,2.77256171156368e-11,"Prcr","Orgyia detrita"
190,1.13012062059903e-12,1.50681706834511e-11,"Prcr","Orgyia detrita"
191,5.9723419048717e-13,8.16567634937356e-12,"Prcr","Orgyia detrita"
192,3.14851010250301e-13,4.41326697993968e-12,"Prcr","Orgyia detrita"
193,1.65609348625755e-13,2.37929632843763e-12,"Prcr","Orgyia detrita"
194,8.69286027351701e-14,1.27979632837998e-12,"Prcr","Orgyia detrita"
195,4.55425563234833e-14,6.86942975304956e-13,"Prcr","Orgyia detrita"
196,2.38192305220538e-14,3.68019933078628e-13,"Prcr","Orgyia detrita"
197,1.24386266455754e-14,1.96823057439043e-13,"Prcr","Orgyia detrita"
198,6.48679661867787e-15,1.0510359126824e-13,"Prcr","Orgyia detrita"
199,3.37893656494249e-15,5.60504223654827e-14,"Prcr","Orgyia detrita"
200,1.75833032463753e-15,2.98567553807506e-14,"Prcr","Orgyia detrita"
201,9.14261280406002e-16,1.58888032218742e-14,"Prcr","Orgyia detrita"
202,4.75081791758817e-16,8.44903146363624e-15,"Prcr","Orgyia detrita"
203,2.46759228626775e-16,4.49026510518005e-15,"Prcr","Orgyia detrita"
204,2.22044604925031e-16,4.13375207770055e-15,"Prcr","Orgyia detrita"
205,2.22044604925031e-16,4.22862051298556e-15,"Prcr","Orgyia detrita"
206,2.22044604925031e-16,4.32518402970184e-15,"Prcr","Orgyia detrita"
207,2.22044604925031e-16,4.42348789809455e-15,"Prcr","Orgyia detrita"
208,2.22044604925031e-16,4.52357825705623e-15,"Prcr","Orgyia detrita"
209,2.22044604925031e-16,4.62550207805694e-15,"Prcr","Orgyia detrita"
210,2.22044604925031e-16,4.72930712833818e-15,"Prcr","Orgyia detrita"
211,2.22044604925031e-16,4.83504193349008e-15,"Prcr","Orgyia detrita"
212,2.22044604925031e-16,4.94275573953347e-15,"Prcr","Orgyia detrita"
213,2.22044604925031e-16,5.05249847463023e-15,"Prcr","Orgyia detrita"
214,2.22044604925031e-16,5.1643207105454e-15,"Prcr","Orgyia detrita"
215,2.22044604925031e-16,5.27827362398471e-15,"Prcr","Orgyia detrita"
216,2.22044604925031e-16,5.39440895792952e-15,"Prcr","Orgyia detrita"
217,2.22044604925031e-16,5.51277898308964e-15,"Prcr","Orgyia detrita"
218,2.22044604925031e-16,5.63343645959141e-15,"Prcr","Orgyia detrita"
219,2.22044604925031e-16,5.75643459901474e-15,"Prcr","Orgyia detrita"
220,2.22044604925031e-16,5.88182702688911e-15,"Prcr","Orgyia detrita"
221,2.22044604925031e-16,6.0096677457529e-15,"Prcr","Orgyia detrita"
222,2.22044604925031e-16,6.14001109887548e-15,"Prcr","Orgyia detrita"
223,2.22044604925031e-16,6.27291173473513e-15,"Prcr","Orgyia detrita"
224,2.22044604925031e-16,6.40842457233951e-15,"Prcr","Orgyia detrita"
225,2.22044604925031e-16,6.54660469748111e-15,"Prcr","Orgyia detrita"
226,2.22044604925031e-16,6.68749222730392e-15,"Prcr","Orgyia detrita"
227,2.22044604925031e-16,6.8310915788877e-15,"Prcr","Orgyia detrita"
228,2.22044604925031e-16,6.97739840092383e-15,"Prcr","Orgyia detrita"
229,2.22044604925031e-16,7.12640407915295e-15,"Prcr","Orgyia detrita"
230,2.22044604925031e-16,7.2780958844761e-15,"Prcr","Orgyia detrita"
231,2.22044604925031e-16,7.43245713834224e-15,"Prcr","Orgyia detrita"
232,2.22044604925031e-16,7.58946739157163e-15,"Prcr","Orgyia detrita"
233,2.22044604925031e-16,7.74910261318854e-15,"Prcr","Orgyia detrita"
234,2.22044604925031e-16,7.9113353862335e-15,"Prcr","Orgyia detrita"
235,2.22044604925031e-16,8.07613510790241e-15,"Prcr","Orgyia detrita"
236,2.22044604925031e-16,8.2434681917146e-15,"Prcr","Orgyia detrita"
237,2.22044604925031e-16,8.41329826974238e-15,"Prcr","Orgyia detrita"
238,2.22044604925031e-16,8.58558639323955e-15,"Prcr","Orgyia detrita"
239,2.22044604925031e-16,8.76029123028544e-15,"Prcr","Orgyia detrita"
240,2.22044604925031e-16,8.93736925931362e-15,"Prcr","Orgyia detrita"
241,2.22044604925031e-16,9.11677495762145e-15,"Prcr","Orgyia detrita"
242,2.22044604925031e-16,9.2984609841585e-15,"Prcr","Orgyia detrita"
243,2.22044604925031e-16,9.48237835607022e-15,"Prcr","Orgyia detrita"
244,2.22044604925031e-16,9.6684766186281e-15,"Prcr","Orgyia detrita"
245,2.22044604925031e-16,9.85670400831289e-15,"Prcr","Orgyia detrita"
246,2.22044604925031e-16,1.00470076089316e-14,"Prcr","Orgyia detrita"
247,2.22044604925031e-16,1.02393335007474e-14,"Prcr","Orgyia detrita"
248,2.22044604925031e-16,1.0433626902681e-14,"Prcr","Orgyia detrita"
249,2.22044604925031e-16,1.06298323077125e-14,"Prcr","Orgyia detrita"
250,2.22044604925031e-16,1.08278936116622e-14,"Prcr","Orgyia detrita"
251,2.22044604925031e-16,1.10277542355757e-14,"Prcr","Orgyia detrita"
252,2.22044604925031e-16,1.12293572419709e-14,"Prcr","Orgyia detrita"
253,2.22044604925031e-16,1.14326454452268e-14,"Prcr","Orgyia detrita"
254,2.22044604925031e-16,1.16375615164149e-14,"Prcr","Orgyia detrita"
255,2.22044604925031e-16,1.1844048082883e-14,"Prcr","Orgyia detrita"
256,2.22044604925031e-16,1.20520478229068e-14,"Prcr","Orgyia detrita"
257,2.22044604925031e-16,1.22615035557291e-14,"Prcr","Orgyia detrita"
258,2.22044604925031e-16,1.24723583273005e-14,"Prcr","Orgyia detrita"
259,2.22044604925031e-16,1.26845554920345e-14,"Prcr","Orgyia detrita"
260,2.22044604925031e-16,1.28980387908803e-14,"Prcr","Orgyia detrita"
261,2.22044604925031e-16,1.31127524260087e-14,"Prcr","Orgyia detrita"
262,2.22044604925031e-16,1.33286411323969e-14,"Prcr","Orgyia detrita"
263,2.22044604925031e-16,1.35456502465852e-14,"Prcr","Orgyia detrita"
264,2.22044604925031e-16,1.37637257728686e-14,"Prcr","Orgyia detrita"
265,2.22044604925031e-16,1.39828144471718e-14,"Prcr","Orgyia detrita"
266,2.22044604925031e-16,1.42028637988465e-14,"Prcr","Orgyia detrita"
267,2.22044604925031e-16,1.44238222106151e-14,"Prcr","Orgyia detrita"
268,2.22044604925031e-16,1.46456389768721e-14,"Prcr","Orgyia detrita"
269,2.22044604925031e-16,1.48682643605453e-14,"Prcr","Orgyia detrita"
270,2.22044604925031e-16,1.50916496487035e-14,"Prcr","Orgyia detrita"
271,2.22044604925031e-16,1.53157472070874e-14,"Prcr","Orgyia detrita"
272,2.22044604925031e-16,1.55405105337304e-14,"Prcr","Orgyia detrita"
273,2.22044604925031e-16,1.57658943118211e-14,"Prcr","Orgyia detrita"
274,2.22044604925031e-16,1.59918544619557e-14,"Prcr","Orgyia detrita"
275,2.22044604925031e-16,1.62183481939097e-14,"Prcr","Orgyia detrita"
276,2.22044604925031e-16,1.64453340580584e-14,"Prcr","Orgyia detrita"
277,2.22044604925031e-16,1.66727719965578e-14,"Prcr","Orgyia detrita"
278,2.22044604925031e-16,1.69006233943954e-14,"Prcr","Orgyia detrita"
279,2.22044604925031e-16,1.71288511304081e-14,"Prcr","Orgyia detrita"
280,2.22044604925031e-16,1.73574196283581e-14,"Prcr","Orgyia detrita"
281,2.22044604925031e-16,1.75862949081496e-14,"Prcr","Orgyia detrita"
282,2.22044604925031e-16,1.78154446372613e-14,"Prcr","Orgyia detrita"
283,2.22044604925031e-16,1.80448431836681e-14,"Prcr","Orgyia detrita"
284,2.22044604925031e-16,1.82745031759237e-14,"Prcr","Orgyia detrita"
285,2.22044604925031e-16,1.85044539498421e-14,"Prcr","Orgyia detrita"
286,2.22044604925031e-16,1.8734724689552e-14,"Prcr","Orgyia detrita"
287,2.22044604925031e-16,1.89653442390876e-14,"Prcr","Orgyia detrita"
288,2.22044604925031e-16,1.91963410035591e-14,"Prcr","Orgyia detrita"
289,2.22044604925031e-16,1.94277428603197e-14,"Prcr","Orgyia detrita"
290,2.22044604925031e-16,1.96595770793661e-14,"Prcr","Orgyia detrita"
291,2.22044604925031e-16,1.98918702522824e-14,"Prcr","Orgyia detrita"
292,2.22044604925031e-16,2.01246482291023e-14,"Prcr","Orgyia detrita"
293,2.22044604925031e-16,2.03579360625175e-14,"Prcr","Orgyia detrita"
294,2.22044604925031e-16,2.0591757958915e-14,"Prcr","Orgyia detrita"
295,2.22044604925031e-16,2.08261372357659e-14,"Prcr","Orgyia detrita"
296,2.22044604925031e-16,2.10610962849322e-14,"Prcr","Orgyia detrita"
297,2.22044604925031e-16,2.12966565414888e-14,"Prcr","Orgyia detrita"
298,2.22044604925031e-16,2.15328384576945e-14,"Prcr","Orgyia detrita"
299,2.22044604925031e-16,2.17696614817688e-14,"Prcr","Orgyia detrita"
300,2.22044604925031e-16,2.20071440411605e-14,"Prcr","Orgyia detrita"
301,2.22044604925031e-16,2.22453035300148e-14,"Prcr","Orgyia detrita"
302,2.22044604925031e-16,2.24841563005658e-14,"Prcr","Orgyia detrita"
303,2.22044604925031e-16,2.27237176582012e-14,"Prcr","Orgyia detrita"
304,2.22044604925031e-16,2.29640018599611e-14,"Prcr","Orgyia detrita"
305,2.22044604925031e-16,2.32050221162481e-14,"Prcr","Orgyia detrita"
306,2.22044604925031e-16,2.3446790595542e-14,"Prcr","Orgyia detrita"
307,2.22044604925031e-16,2.36893184319207e-14,"Prcr","Orgyia detrita"
308,2.22044604925031e-16,2.39326157352048e-14,"Prcr","Orgyia detrita"
309,2.22044604925031e-16,2.41766916035514e-14,"Prcr","Orgyia detrita"
310,2.22044604925031e-16,2.44215541383339e-14,"Prcr","Orgyia detrita"
311,2.22044604925031e-16,2.46672104611519e-14,"Prcr","Orgyia detrita"
312,2.22044604925031e-16,2.49136667328271e-14,"Prcr","Orgyia detrita"
313,2.22044604925031e-16,2.51609281742448e-14,"Prcr","Orgyia detrita"
314,2.22044604925031e-16,2.54089990889125e-14,"Prcr","Orgyia detrita"
315,2.22044604925031e-16,2.56578828871103e-14,"Prcr","Orgyia detrita"
316,2.22044604925031e-16,2.59075821115176e-14,"Prcr","Orgyia detrita"
317,2.22044604925031e-16,2.6158098464204e-14,"Prcr","Orgyia detrita"
318,2.22044604925031e-16,2.64094328348814e-14,"Prcr","Orgyia detrita"
319,2.22044604925031e-16,2.6661585330317e-14,"Prcr","Orgyia detrita"
320,2.22044604925031e-16,2.69145553048148e-14,"Prcr","Orgyia detrita"
321,2.22044604925031e-16,2.71683413916761e-14,"Prcr","Orgyia detrita"
322,2.22044604925031e-16,2.7422941535557e-14,"Prcr","Orgyia detrita"
323,2.22044604925031e-16,2.76783530256434e-14,"Prcr","Orgyia detrita"
324,2.22044604925031e-16,2.79345725295694e-14,"Prcr","Orgyia detrita"
325,2.22044604925031e-16,2.81915961280101e-14,"Prcr","Orgyia detrita"
326,2.22044604925031e-16,2.84494193498829e-14,"Prcr","Orgyia detrita"
327,2.22044604925031e-16,2.8708037208096e-14,"Prcr","Orgyia detrita"
328,2.22044604925031e-16,2.89674442357855e-14,"Prcr","Orgyia detrita"
329,2.22044604925031e-16,2.92276345229894e-14,"Prcr","Orgyia detrita"
330,2.22044604925031e-16,2.94886017537055e-14,"Prcr","Orgyia detrita"
331,2.22044604925031e-16,2.97503392432879e-14,"Prcr","Orgyia detrita"
332,2.22044604925031e-16,3.00128399761379e-14,"Prcr","Orgyia detrita"
333,2.22044604925031e-16,3.02760966436487e-14,"Prcr","Orgyia detrita"
334,2.22044604925031e-16,3.05401016823653e-14,"Prcr","Orgyia detrita"
335,2.22044604925031e-16,3.08048473123263e-14,"Prcr","Orgyia detrita"
336,2.22044604925031e-16,3.10703255755542e-14,"Prcr","Orgyia detrita"
337,2.22044604925031e-16,3.13365283746645e-14,"Prcr","Orgyia detrita"
338,2.22044604925031e-16,3.16034475115672e-14,"Prcr","Orgyia detrita"
339,2.22044604925031e-16,3.18710747262349e-14,"Prcr","Orgyia detrita"
340,2.22044604925031e-16,3.21394017355144e-14,"Prcr","Orgyia detrita"
341,2.22044604925031e-16,3.24084202719627e-14,"Prcr","Orgyia detrita"
342,2.22044604925031e-16,3.26781221226861e-14,"Prcr","Orgyia detrita"
343,2.22044604925031e-16,3.29484991681665e-14,"Prcr","Orgyia detrita"
344,2.22044604925031e-16,3.32195434210603e-14,"Prcr","Orgyia detrita"
345,2.22044604925031e-16,3.34912470649536e-14,"Prcr","Orgyia detrita"
346,2.22044604925031e-16,3.37636024930633e-14,"Prcr","Orgyia detrita"
347,2.22044604925031e-16,3.40366023468717e-14,"Prcr","Orgyia detrita"
348,2.22044604925031e-16,3.43102395546849e-14,"Prcr","Orgyia detrita"
349,2.22044604925031e-16,3.45845073701063e-14,"Prcr","Orgyia detrita"
350,2.22044604925031e-16,3.4859399410416e-14,"Prcr","Orgyia detrita"
351,2.22044604925031e-16,3.51349096948506e-14,"Prcr","Orgyia detrita"
352,2.22044604925031e-16,3.5411032682776e-14,"Prcr","Orgyia detrita"
353,2.22044604925031e-16,3.56877633117473e-14,"Prcr","Orgyia detrita"
354,2.22044604925031e-16,3.59650970354513e-14,"Prcr","Orgyia detrita"
355,2.22044604925031e-16,3.62430315581276e-14,"Prcr","Orgyia detrita"
356,2.22044604925031e-16,3.65215718663598e-14,"Prcr","Orgyia detrita"
357,2.22044604925031e-16,3.68007249657904e-14,"Prcr","Orgyia detrita"
358,2.22044604925031e-16,3.70804981078692e-14,"Prcr","Orgyia detrita"
359,2.22044604925031e-16,3.73608987353337e-14,"Prcr","Orgyia detrita"
360,2.22044604925031e-16,3.76419344307074e-14,"Prcr","Orgyia detrita"
361,2.22044604925031e-16,3.79236128676736e-14,"Prcr","Orgyia detrita"
362,2.22044604925031e-16,3.82059417651954e-14,"Prcr","Orgyia detrita"
363,2.22044604925031e-16,3.84889288442551e-14,"Prcr","Orgyia detrita"
364,2.22044604925031e-16,3.87725817870973e-14,"Prcr","Orgyia detrita"
365,2.22044604925031e-16,3.90569081988603e-14,"Prcr","Orgyia detrita"
366,2.22044604925031e-16,3.9341915571492e-14,"Prcr","Orgyia detrita"
367,2.22044604925031e-16,3.96276112498486e-14,"Prcr","Orgyia detrita"
368,2.22044604925031e-16,3.99140023998793e-14,"Prcr","Orgyia detrita"
369,2.22044604925031e-16,4.0201095978807e-14,"Prcr","Orgyia detrita"
370,2.22044604925031e-16,4.04888987072181e-14,"Prcr","Orgyia detrita"
371,2.22044604925031e-16,4.0777417042978e-14,"Prcr","Orgyia detrita"
372,2.22044604925031e-16,4.10666571568952e-14,"Prcr","Orgyia detrita"
373,2.22044604925031e-16,4.13566249100578e-14,"Prcr","Orgyia detrita"
374,2.22044604925031e-16,4.16473258327721e-14,"Prcr","Orgyia detrita"
375,2.22044604925031e-16,4.19387651050349e-14,"Prcr","Orgyia detrita"
376,2.22044604925031e-16,4.2230947538473e-14,"Prcr","Orgyia detrita"
377,2.22044604925031e-16,4.25238775596907e-14,"Prcr","Orgyia detrita"
378,2.22044604925031e-16,4.28175591949632e-14,"Prcr","Orgyia detrita"
379,2.22044604925031e-16,4.31119960562193e-14,"Prcr","Orgyia detrita"
