"doy","fit","se","Site","validName"
69,1.73451110618709e-05,0.000144718545809116,"Prcr","Schizura ipomoeae"
70,1.89877557318552e-05,0.000156283711935422,"Prcr","Schizura ipomoeae"
71,2.07859862778555e-05,0.000168743691045087,"Prcr","Schizura ipomoeae"
72,2.27545648430388e-05,0.000182165179285206,"Prcr","Schizura ipomoeae"
73,2.49096588622255e-05,0.000196619626819158,"Prcr","Schizura ipomoeae"
74,2.7268975488145e-05,0.000212183558481763,"Prcr","Schizura ipomoeae"
75,2.9851908957542e-05,0.000228938914626856,"Prcr","Schizura ipomoeae"
76,3.26797021522438e-05,0.000246973413343923,"Prcr","Schizura ipomoeae"
77,3.57756237331195e-05,0.000266380935286423,"Prcr","Schizura ipomoeae"
78,3.91651623598145e-05,0.00028726193242496,"Prcr","Schizura ipomoeae"
79,4.28762396574617e-05,0.000309723862114042,"Prcr","Schizura ipomoeae"
80,4.69394437545508e-05,0.000333881647942327,"Prcr","Schizura ipomoeae"
81,5.13882853953021e-05,0.000359858168923853,"Prcr","Schizura ipomoeae"
82,5.62594788268041e-05,0.000387784778682395,"Prcr","Schizura ipomoeae"
83,6.15932498776667e-05,0.00041780185638401,"Prcr","Schizura ipomoeae"
84,6.74336738829462e-05,0.000450059391284832,"Prcr","Schizura ipomoeae"
85,7.38290463717946e-05,0.000484717602883771,"Prcr","Schizura ipomoeae"
86,8.08322897220516e-05,0.000521947598804275,"Prcr","Schizura ipomoeae"
87,8.85013993024687e-05,0.000561932072677548,"Prcr","Schizura ipomoeae"
88,9.68999329713115e-05,0.000604866044463327,"Prcr","Schizura ipomoeae"
89,0.000106097548182942,0.000650957645826072,"Prcr","Schizura ipomoeae"
90,0.000116170591375127,0.000700428953386322,"Prcr","Schizura ipomoeae"
91,0.000127202744773152,0.000753516872892418,"Prcr","Schizura ipomoeae"
92,0.000139285736256627,0.000810474077609719,"Prcr","Schizura ipomoeae"
93,0.000152520118495803,0.000871570004506839,"Prcr","Schizura ipomoeae"
94,0.00016701612418157,0.00093709191213544,"Prcr","Schizura ipomoeae"
95,0.000182894604852714,0.00100734600445675,"Prcr","Schizura ipomoeae"
96,0.000200288061571901,0.0010826586252694,"Prcr","Schizura ipomoeae"
97,0.000219341776525063,0.00116337752834549,"Prcr","Schizura ipomoeae"
98,0.000240215055525249,0.00124987322889214,"Prcr","Schizura ipomoeae"
99,0.000263082592399916,0.00134254044253101,"Prcr","Schizura ipomoeae"
100,0.000288135967339557,0.00144179961863713,"Prcr","Schizura ipomoeae"
101,0.000315585292495718,0.00154809857560997,"Prcr","Schizura ipomoeae"
102,0.000345661019449411,0.00166191424647354,"Prcr","Schizura ipomoeae"
103,0.000378615924639107,0.00178375454412953,"Prcr","Schizura ipomoeae"
104,0.000414727290454989,0.00191416035662941,"Prcr","Schizura ipomoeae"
105,0.000454299301488165,0.00205370768400013,"Prcr","Schizura ipomoeae"
106,0.000497665677387109,0.00220300992946686,"Prcr","Schizura ipomoeae"
107,0.000545192565937565,0.00236272035937738,"Prcr","Schizura ipomoeae"
108,0.000597281722366926,0.00253353474776118,"Prcr","Schizura ipomoeae"
109,0.000654374003502869,0.00271619422326338,"Prcr","Schizura ipomoeae"
110,0.000716953208313905,0.00291148833819425,"Prcr","Schizura ipomoeae"
111,0.000785550299554212,0.00312025838163865,"Prcr","Schizura ipomoeae"
112,0.000860748044758034,0.00334340096098808,"Prcr","Schizura ipomoeae"
113,0.000943186118713479,0.00358187187889643,"Prcr","Schizura ipomoeae"
114,0.00103356671382996,0.0038366903355239,"Prcr","Schizura ipomoeae"
115,0.00113266070953922,0.00410894348901872,"Prcr","Schizura ipomoeae"
116,0.00124131445708293,0.00439979141048613,"Prcr","Schizura ipomoeae"
117,0.00136045724179136,0.00471047247319116,"Prcr","Schizura ipomoeae"
118,0.00149110949130369,0.00504230921940846,"Prcr","Schizura ipomoeae"
119,0.0016343918051838,0.00539671475212967,"Prcr","Schizura ipomoeae"
120,0.00179153488911468,0.00577519970270945,"Prcr","Schizura ipomoeae"
121,0.0019638904853859,0.00617937982940128,"Prcr","Schizura ipomoeae"
122,0.00215294340080705,0.00661098430550746,"Prcr","Schizura ipomoeae"
123,0.00236032474357862,0.00707186475942183,"Prcr","Schizura ipomoeae"
124,0.00258782649213355,0.00756400513202932,"Prcr","Schizura ipomoeae"
125,0.00283741753164344,0.00808953241956009,"Prcr","Schizura ipomoeae"
126,0.00311126130788815,0.00865072837186172,"Prcr","Schizura ipomoeae"
127,0.00341173526365838,0.00925004221689521,"Prcr","Schizura ipomoeae"
128,0.00374145223995204,0.00989010448178734,"Prcr","Schizura ipomoeae"
129,0.00410328404310948,0.0105737419786514,"Prcr","Schizura ipomoeae"
130,0.00450038739990127,0.0113039940192539,"Prcr","Schizura ipomoeae"
131,0.00493623254564515,0.0120841299160592,"Prcr","Schizura ipomoeae"
132,0.00541463471592218,0.0129176678178041,"Prcr","Schizura ipomoeae"
133,0.0059397888406439,0.0138083949151202,"Prcr","Schizura ipomoeae"
134,0.00651630777038123,0.0147603890354011,"Prcr","Schizura ipomoeae"
135,0.00714926439932072,0.0157780416257396,"Prcr","Schizura ipomoeae"
136,0.00784423808731799,0.0168660820980152,"Prcr","Schizura ipomoeae"
137,0.00860736582566442,0.0180296034809065,"Prcr","Schizura ipomoeae"
138,0.0094453986378062,0.0192740892897197,"Prcr","Schizura ipomoeae"
139,0.0103657637578372,0.020605441486699,"Prcr","Schizura ipomoeae"
140,0.0113766293794965,0.0220300001881153,"Prcr","Schizura ipomoeae"
141,0.0124868201262858,0.0235542005759073,"Prcr","Schizura ipomoeae"
142,0.0137057674202963,0.0251843612639462,"Prcr","Schizura ipomoeae"
143,0.0150437095617093,0.0269270556256332,"Prcr","Schizura ipomoeae"
144,0.016511762255121,0.0287891371929783,"Prcr","Schizura ipomoeae"
145,0.0181219797743985,0.03077773311805,"Prcr","Schizura ipomoeae"
146,0.0198874182637882,0.0329002344242164,"Prcr","Schizura ipomoeae"
147,0.0218222009030659,0.0351642826752533,"Prcr","Schizura ipomoeae"
148,0.0239415845943091,0.0375777526830548,"Prcr","Schizura ipomoeae"
149,0.0262620277495414,0.0401487308735946,"Prcr","Schizura ipomoeae"
150,0.0288012586717548,0.0428854889373336,"Prcr","Schizura ipomoeae"
151,0.0315783439264772,0.045796452405997,"Prcr","Schizura ipomoeae"
152,0.0346137559970479,0.0488901638241625,"Prcr","Schizura ipomoeae"
153,0.0379294394041889,0.0521752402231557,"Prcr","Schizura ipomoeae"
154,0.0415488743495815,0.0556603246581016,"Prcr","Schizura ipomoeae"
155,0.0454971368144509,0.0593540316384417,"Prcr","Schizura ipomoeae"
156,0.0498009539083712,0.0632648863695471,"Prcr","Schizura ipomoeae"
157,0.0544887531216077,0.0674012578299134,"Prcr","Schizura ipomoeae"
158,0.0595907039876688,0.0717712858362895,"Prcr","Schizura ipomoeae"
159,0.0651387505129864,0.0763828023991927,"Prcr","Schizura ipomoeae"
160,0.0711666325798546,0.0812432478444287,"Prcr","Schizura ipomoeae"
161,0.0777098943793866,0.0863595823727726,"Prcr","Schizura ipomoeae"
162,0.0848058777862098,0.0917381939495659,"Prcr","Schizura ipomoeae"
163,0.0924936984492647,0.0973848036574364,"Prcr","Schizura ipomoeae"
164,0.100814202247253,0.103304369906502,"Prcr","Schizura ipomoeae"
165,0.1098098996473,0.10950099317385,"Prcr","Schizura ipomoeae"
166,0.119524875416037,0.115977823232922,"Prcr","Schizura ipomoeae"
167,0.130004671068835,0.122736971127195,"Prcr","Schizura ipomoeae"
168,0.141296137410927,0.129779428432634,"Prcr","Schizura ipomoeae"
169,0.153447254529731,0.137104996629293,"Prcr","Schizura ipomoeae"
170,0.166506916647016,0.144712229650878,"Prcr","Schizura ipomoeae"
171,0.180524679339268,0.152598392886386,"Prcr","Schizura ipomoeae"
172,0.195550466791132,0.160759442051449,"Prcr","Schizura ipomoeae"
173,0.211634236966684,0.16919002540706,"Prcr","Schizura ipomoeae"
174,0.228825602872811,0.177883512755472,"Prcr","Schizura ipomoeae"
175,0.247173408453825,0.186832054459669,"Prcr","Schizura ipomoeae"
176,0.266725258101936,0.196026673384172,"Prcr","Schizura ipomoeae"
177,0.287526999298432,0.205457392109321,"Prcr","Schizura ipomoeae"
178,0.309622158518643,0.215113396996317,"Prcr","Schizura ipomoeae"
179,0.333051331241531,0.224983239645072,"Prcr","Schizura ipomoeae"
180,0.35785152770206,0.23505507496343,"Prcr","Schizura ipomoeae"
181,0.384055476909272,0.245316933433708,"Prcr","Schizura ipomoeae"
182,0.411690892420902,0.2557570232108,"Prcr","Schizura ipomoeae"
183,0.440779704409362,0.266364055421854,"Prcr","Schizura ipomoeae"
184,0.471337263664447,0.277127583490584,"Prcr","Schizura ipomoeae"
185,0.503371524342165,0.288038344539795,"Prcr","Schizura ipomoeae"
186,0.53688221347092,0.299088588032759,"Prcr","Schizura ipomoeae"
187,0.571859996446474,0.310272373942565,"Prcr","Schizura ipomoeae"
188,0.608285648963304,0.321585820085654,"Prcr","Schizura ipomoeae"
189,0.646129247016248,0.33302727607239,"Prcr","Schizura ipomoeae"
190,0.68534938773411,0.344597399914516,"Prcr","Schizura ipomoeae"
191,0.725892454844447,0.356299113024751,"Prcr","Schizura ipomoeae"
192,0.767691943482449,0.368137410497919,"Prcr","Schizura ipomoeae"
193,0.810667859810955,0.380119006502093,"Prcr","Schizura ipomoeae"
194,0.854726211476582,0.392251799584665,"Prcr","Schizura ipomoeae"
195,0.899758605251963,0.404544149832874,"Prcr","Schizura ipomoeae"
196,0.945641968269778,0.417003969051191,"Prcr","Schizura ipomoeae"
197,0.99223840900665,0.429637636119784,"Prcr","Schizura ipomoeae"
198,1.03939523359239,0.442448761904306,"Prcr","Schizura ipomoeae"
199,1.08694513207568,0.455436840669864,"Prcr","Schizura ipomoeae"
200,1.13470654794937,0.468595836887366,"Prcr","Schizura ipomoeae"
201,1.18248424251251,0.481912766493057,"Prcr","Schizura ipomoeae"
202,1.23007006351543,0.495366339003124,"Prcr","Schizura ipomoeae"
203,1.27724392500153,0.508925730525497,"Prcr","Schizura ipomoeae"
204,1.32377500233776,0.52254955711505,"Prcr","Schizura ipomoeae"
205,1.36942314313994,0.536185112973305,"Prcr","Schizura ipomoeae"
206,1.41394049118505,0.549767929030625,"Prcr","Schizura ipomoeae"
207,1.45707331650917,0.563221695187425,"Prcr","Schizura ipomoeae"
208,1.49856404077774,0.5764585749262,"Prcr","Schizura ipomoeae"
209,1.5381534427568,0.589379925255197,"Prcr","Schizura ipomoeae"
210,1.57558302439391,0.601877419093305,"Prcr","Schizura ipomoeae"
211,1.61059751372891,0.613834552180612,"Prcr","Schizura ipomoeae"
212,1.64294747669964,0.62512850308871,"Prcr","Schizura ipomoeae"
213,1.67239200599345,0.635632303331737,"Prcr","Schizura ipomoeae"
214,1.69870145153409,0.645217265123463,"Prcr","Schizura ipomoeae"
215,1.72166015409546,0.653755606974624,"Prcr","Schizura ipomoeae"
216,1.74106914101016,0.661123211942902,"Prcr","Schizura ipomoeae"
217,1.7567487410921,0.667202449740056,"Prcr","Schizura ipomoeae"
218,1.76854107481425,0.671884991864625,"Prcr","Schizura ipomoeae"
219,1.77631237555343,0.675074548290177,"Prcr","Schizura ipomoeae"
220,1.77995509839719,0.676689454866263,"Prcr","Schizura ipomoeae"
221,1.77938977464708,0.67666504239492,"Prcr","Schizura ipomoeae"
222,1.7745665727676,0.674955721276074,"Prcr","Schizura ipomoeae"
223,1.76546653011652,0.671536719638479,"Prcr","Schizura ipomoeae"
224,1.75210242431806,0.6664054179617,"Prcr","Schizura ipomoeae"
225,1.73451944591142,0.659582342367364,"Prcr","Schizura ipomoeae"
226,1.71283430534763,0.651134841532795,"Prcr","Schizura ipomoeae"
227,1.68727951913145,0.641201701989092,"Prcr","Schizura ipomoeae"
228,1.65812103354038,0.62994066511874,"Prcr","Schizura ipomoeae"
229,1.62564211381442,0.61751679103441,"Prcr","Schizura ipomoeae"
230,1.59013934195205,0.604098335480537,"Prcr","Schizura ipomoeae"
231,1.55191867829321,0.58985287554215,"Prcr","Schizura ipomoeae"
232,1.51129164842279,0.574943774629946,"Prcr","Schizura ipomoeae"
233,1.46857170960971,0.559527063404689,"Prcr","Schizura ipomoeae"
234,1.42407084307559,0.543748798015456,"Prcr","Schizura ipomoeae"
235,1.37809641012724,0.527742940337185,"Prcr","Schizura ipomoeae"
236,1.3309483018312,0.51162978695466,"Prcr","Schizura ipomoeae"
237,1.28291640368035,0.495514954740142,"Prcr","Schizura ipomoeae"
238,1.23427838879548,0.479488911486793,"Prcr","Schizura ipomoeae"
239,1.18529784578341,0.463627020894202,"Prcr","Schizura ipomoeae"
240,1.13622274057014,0.447990053172164,"Prcr","Schizura ipomoeae"
241,1.08728420544172,0.432625096700705,"Prcr","Schizura ipomoeae"
242,1.03869564322721,0.417566793649912,"Prcr","Schizura ipomoeae"
243,0.990652130084096,0.402838814182467,"Prcr","Schizura ipomoeae"
244,0.943330096710688,0.388455480496909,"Prcr","Schizura ipomoeae"
245,0.896887264998924,0.37442345375218,"Prcr","Schizura ipomoeae"
246,0.851462815122639,0.360743403576683,"Prcr","Schizura ipomoeae"
247,0.807177756781357,0.347411590662046,"Prcr","Schizura ipomoeae"
248,0.764135477725436,0.334421306747962,"Prcr","Schizura ipomoeae"
249,0.722422442703182,0.321764131778217,"Prcr","Schizura ipomoeae"
250,0.682109016516167,0.309430983777061,"Prcr","Schizura ipomoeae"
251,0.643250385864574,0.297412951828074,"Prcr","Schizura ipomoeae"
