"doy","fit","se","Site","validName"
69,0.00207439483521803,0.00857502537614434,"Rist","Acrolophus heppneri"
70,0.00231739332107858,0.0093248256192073,"Rist","Acrolophus heppneri"
71,0.0025888522686721,0.0101342024542153,"Rist","Acrolophus heppneri"
72,0.00289209905582398,0.0110073461456245,"Rist","Acrolophus heppneri"
73,0.00323084873872964,0.0119487122130298,"Rist","Acrolophus heppneri"
74,0.00360924898997076,0.0129630417065082,"Rist","Acrolophus heppneri"
75,0.00403193020964034,0.0140553844859472,"Rist","Acrolophus heppneri"
76,0.0045040613998396,0.0152311260398863,"Rist","Acrolophus heppneri"
77,0.00503141245942606,0.0164960184313357,"Rist","Acrolophus heppneri"
78,0.00562042362992329,0.017856215998446,"Rist","Acrolophus heppneri"
79,0.00627828290576842,0.0193183164589115,"Rist","Acrolophus heppneri"
80,0.00701301231346597,0.0208894080583355,"Rist","Acrolophus heppneri"
81,0.00783356406574073,0.0225771233514573,"Rist","Acrolophus heppneri"
82,0.00874992770953303,0.024389700095046,"Rist","Acrolophus heppneri"
83,0.00977324951188661,0.0263360495431526,"Rist","Acrolophus heppneri"
84,0.0109159654667833,0.0284258321467926,"Rist","Acrolophus heppneri"
85,0.0121919494602868,0.0306695402459012,"Rist","Acrolophus heppneri"
86,0.0136166783026072,0.033078586774566,"Rist","Acrolophus heppneri"
87,0.0152074155257343,0.0356653982539918,"Rist","Acrolophus heppneri"
88,0.0169834160561112,0.0384435093964231,"Rist","Acrolophus heppneri"
89,0.0189661541056829,0.0414276554680344,"Rist","Acrolophus heppneri"
90,0.021179576884006,0.0446338571502372,"Rist","Acrolophus heppneri"
91,0.0236503870216828,0.0480794910031841,"Rist","Acrolophus heppneri"
92,0.0264083569141903,0.0517833368007724,"Rist","Acrolophus heppneri"
93,0.029486678548529,0.055765591031236,"Rist","Acrolophus heppneri"
94,0.0329223527666957,0.0600478338381088,"Rist","Acrolophus heppneri"
95,0.0367566223538196,0.06465293475867,"Rist","Acrolophus heppneri"
96,0.0410354538193718,0.0696048810092548,"Rist","Acrolophus heppneri"
97,0.0458100732720676,0.0749285110590631,"Rist","Acrolophus heppneri"
98,0.051137562378378,0.0806491362273793,"Rist","Acrolophus heppneri"
99,0.0570815210469058,0.0867920345924588,"Rist","Acrolophus heppneri"
100,0.0637128042028861,0.0933818054073327,"Rist","Acrolophus heppneri"
101,0.0711103336246963,0.100441573285749,"Rist","Acrolophus heppneri"
102,0.0793598401867231,0.107990406122307,"Rist","Acrolophus heppneri"
103,0.0885503483014866,0.116040502043818,"Rist","Acrolophus heppneri"
104,0.0987771588079231,0.124600437246233,"Rist","Acrolophus heppneri"
105,0.1101424924124,0.133675517164989,"Rist","Acrolophus heppneri"
106,0.122755434952641,0.143267677907545,"Rist","Acrolophus heppneri"
107,0.136731747735581,0.153375578031603,"Rist","Acrolophus heppneri"
108,0.152193516984379,0.163994936580612,"Rist","Acrolophus heppneri"
109,0.169268614657502,0.175119175745097,"Rist","Acrolophus heppneri"
110,0.188089941585325,0.186740424538443,"Rist","Acrolophus heppneri"
111,0.208794423176817,0.198850931190619,"Rist","Acrolophus heppneri"
112,0.231521728070008,0.211444913765401,"Rist","Acrolophus heppneri"
113,0.25641268124104,0.224520847560685,"Rist","Acrolophus heppneri"
114,0.283607345463914,0.238084140820462,"Rist","Acrolophus heppneri"
115,0.31324274884619,0.252150084409549,"Rist","Acrolophus heppneri"
116,0.345450241666796,0.266746875363875,"Rist","Acrolophus heppneri"
117,0.380352473103009,0.281918411114928,"Rist","Acrolophus heppneri"
118,0.418059987811009,0.297726438917703,"Rist","Acrolophus heppneri"
119,0.458667453822273,0.314251539782082,"Rist","Acrolophus heppneri"
120,0.50224954686753,0.331592353353891,"Rist","Acrolophus heppneri"
121,0.548856531979726,0.349862442645937,"Rist","Acrolophus heppneri"
122,0.598509600881947,0.369184289766718,"Rist","Acrolophus heppneri"
123,0.651196042926987,0.389680130673,"Rist","Acrolophus heppneri"
124,0.70686434776343,0.411459679375936,"Rist","Acrolophus heppneri"
125,0.765419358837755,0.434605225341693,"Rist","Acrolophus heppneri"
126,0.826717617513822,0.459155041202048,"Rist","Acrolophus heppneri"
127,0.890563057047112,0.485086420089027,"Rist","Acrolophus heppneri"
128,0.956703222787017,0.512299891151119,"Rist","Acrolophus heppneri"
129,1.02482620856951,0.540606197119076,"Rist","Acrolophus heppneri"
130,1.09455850799515,0.569717475266287,"Rist","Acrolophus heppneri"
131,1.16546398182769,0.599243827657138,"Rist","Acrolophus heppneri"
132,1.23704461300072,0.628696845995527,"Rist","Acrolophus heppneri"
133,1.3087909994755,0.6575702206818,"Rist","Acrolophus heppneri"
134,1.380241862529,0.685451827556068,"Rist","Acrolophus heppneri"
135,1.45092425199419,0.711960519680754,"Rist","Acrolophus heppneri"
136,1.52035015958995,0.736747455723266,"Rist","Acrolophus heppneri"
137,1.58802208606707,0.759507399070172,"Rist","Acrolophus heppneri"
138,1.65343898474203,0.779988444648186,"Rist","Acrolophus heppneri"
139,1.71610248203258,0.797999870215432,"Rist","Acrolophus heppneri"
140,1.7755232661234,0.8134178042024,"Rist","Acrolophus heppneri"
141,1.83122752787441,0.826188409342172,"Rist","Acrolophus heppneri"
142,1.88276333380461,0.836328307189274,"Rist","Acrolophus heppneri"
143,1.92970680962466,0.843922020063088,"Rist","Acrolophus heppneri"
144,1.97166801445142,0.849116291477564,"Rist","Acrolophus heppneri"
145,2.0082963905194,0.852111271564489,"Rist","Acrolophus heppneri"
146,2.03928568082047,0.85314872675037,"Rist","Acrolophus heppneri"
147,2.06437821746993,0.852497654527067,"Rist","Acrolophus heppneri"
148,2.08336849644818,0.850437946354632,"Rist","Acrolophus heppneri"
149,2.09610596935411,0.84724302145476,"Rist","Acrolophus heppneri"
150,2.10249699951839,0.843162610551664,"Rist","Acrolophus heppneri"
151,2.10250594779661,0.83840704518503,"Rist","Acrolophus heppneri"
152,2.09615537209347,0.833134443964072,"Rist","Acrolophus heppneri"
153,2.08352534363995,0.827442034654476,"Rist","Acrolophus heppneri"
154,2.06475190173541,0.821362497603378,"Rist","Acrolophus heppneri"
155,2.04002468656992,0.814865698158455,"Rist","Acrolophus heppneri"
156,2.00958380638687,0.807865577412373,"Rist","Acrolophus heppneri"
157,1.97371601020728,0.800231402696126,"Rist","Acrolophus heppneri"
158,1.93275025025022,0.79180214680665,"Rist","Acrolophus heppneri"
159,1.88705272875498,0.782402535981224,"Rist","Acrolophus heppneri"
160,1.83702153192502,0.771859295927711,"Rist","Acrolophus heppneri"
161,1.78308095903841,0.76001629819033,"Rist","Acrolophus heppneri"
162,1.72567565735699,0.746747600832208,"Rist","Acrolophus heppneri"
163,1.66526467335078,0.731967716158702,"Rist","Acrolophus heppneri"
164,1.60231552804851,0.715638764301711,"Rist","Acrolophus heppneri"
165,1.53729841921281,0.697774446376903,"Rist","Acrolophus heppneri"
166,1.47068064576536,0.678440977576073,"Rist","Acrolophus heppneri"
167,1.40292134074978,0.65775525843357,"Rist","Acrolophus heppneri"
168,1.33446658845251,0.635880641070156,"Rist","Acrolophus heppneri"
169,1.26574498946695,0.613020680346417,"Rist","Acrolophus heppneri"
170,1.19716372485619,0.589411262273407,"Rist","Acrolophus heppneri"
171,1.12910717214866,0.565314839835809,"Rist","Acrolophus heppneri"
172,1.06196709361017,0.541061082266525,"Rist","Acrolophus heppneri"
173,0.996125646904006,0.516994563923781,"Rist","Acrolophus heppneri"
174,0.931917983705839,0.493398711378416,"Rist","Acrolophus heppneri"
175,0.869631199353277,0.470489775732364,"Rist","Acrolophus heppneri"
176,0.809505346252302,0.448417642634346,"Rist","Acrolophus heppneri"
177,0.751735153845788,0.427270585142695,"Rist","Acrolophus heppneri"
178,0.696472331977866,0.407083084251925,"Rist","Acrolophus heppneri"
179,0.643828336224202,0.387845724453362,"Rist","Acrolophus heppneri"
180,0.593877478726905,0.369516119758611,"Rist","Acrolophus heppneri"
181,0.546660275630357,0.352029868148767,"Rist","Acrolophus heppneri"
182,0.502186931724465,0.335310674464277,"Rist","Acrolophus heppneri"
183,0.460440873761069,0.319279002477314,"Rist","Acrolophus heppneri"
184,0.421382255563406,0.303858877123238,"Rist","Acrolophus heppneri"
185,0.384951370008143,0.288982713338158,"Rist","Acrolophus heppneri"
186,0.351071914805668,0.274594262103192,"Rist","Acrolophus heppneri"
187,0.319654070394199,0.260649915980684,"Rist","Acrolophus heppneri"
188,0.290597358928126,0.247118701028526,"Rist","Acrolophus heppneri"
189,0.263793263084128,0.2339813076283,"Rist","Acrolophus heppneri"
190,0.239127592098606,0.221228494515657,"Rist","Acrolophus heppneri"
191,0.21648259001422,0.208859154770397,"Rist","Acrolophus heppneri"
192,0.195738787529286,0.196878274272595,"Rist","Acrolophus heppneri"
193,0.176776604130219,0.185294953001737,"Rist","Acrolophus heppneri"
194,0.159477711396142,0.17412060445586,"Rist","Acrolophus heppneri"
195,0.143726171572389,0.163367401991007,"Rist","Acrolophus heppneri"
196,0.129409367809732,0.15304700421724,"Rist","Acrolophus heppneri"
197,0.116418743962637,0.143169564407784,"Rist","Acrolophus heppneri"
198,0.104650372641644,0.133743010033469,"Rist","Acrolophus heppneri"
199,0.0940053704310127,0.124772566547827,"Rist","Acrolophus heppneri"
200,0.0843901789183562,0.11626049291231,"Rist","Acrolophus heppneri"
201,0.0757167295369996,0.108205993696279,"Rist","Acrolophus heppneri"
202,0.0679025092848275,0.100605272750223,"Rist","Acrolophus heppneri"
203,0.0608705432361377,0.0934516954947765,"Rist","Acrolophus heppneri"
204,0.0545493084762533,0.0867360300644134,"Rist","Acrolophus heppneri"
205,0.0488725927224835,0.0804467413471743,"Rist","Acrolophus heppneri"
206,0.0437793094996274,0.0745703159760325,"Rist","Acrolophus heppneri"
207,0.0392132803541593,0.0690916002794495,"Rist","Acrolophus heppneri"
208,0.0351229932503396,0.0639941369081736,"Rist","Acrolophus heppneri"
209,0.0314613450177278,0.0592604892133323,"Rist","Acrolophus heppneri"
210,0.0281850805442224,0.0548720257194171,"Rist","Acrolophus heppneri"
211,0.0252535526710654,0.0508071214510296,"Rist","Acrolophus heppneri"
212,0.022629974452105,0.0470435821739785,"Rist","Acrolophus heppneri"
213,0.0202815520185918,0.0435598994234085,"Rist","Acrolophus heppneri"
214,0.0181790428792307,0.0403354870675695,"Rist","Acrolophus heppneri"
215,0.0162963638642235,0.0373508437647397,"Rist","Acrolophus heppneri"
216,0.0146102432656848,0.0345876528755374,"Rist","Acrolophus heppneri"
217,0.0130999120814732,0.0320288310091754,"Rist","Acrolophus heppneri"
218,0.0117468298697239,0.0296585358033494,"Rist","Acrolophus heppneri"
219,0.0105344412492491,0.0274621425375728,"Rist","Acrolophus heppneri"
220,0.00944795954541261,0.0254261979674794,"Rist","Acrolophus heppneri"
221,0.00847417448987951,0.0235383584843672,"Rist","Acrolophus heppneri"
222,0.00760128124261392,0.0217873184446093,"Rist","Acrolophus heppneri"
223,0.0068187283216063,0.0201627333381966,"Rist","Acrolophus heppneri"
224,0.0061170823052763,0.0186551414105977,"Rist","Acrolophus heppneri"
225,0.00548790741889166,0.0172558864351562,"Rist","Acrolophus heppneri"
226,0.00492365833366121,0.0159570435590585,"Rist","Acrolophus heppneri"
227,0.00441758469891929,0.0147513495100368,"Rist","Acrolophus heppneri"
228,0.00396364609708338,0.0136321379428887,"Rist","Acrolophus heppneri"
229,0.00355643626054139,0.0125932803105711,"Rist","Acrolophus heppneri"
230,0.00319111552167119,0.0116291323484058,"Rist","Acrolophus heppneri"
231,0.00286335058389165,0.0107344860459444,"Rist","Acrolophus heppneri"
232,0.00256926080481463,0.0099045268341683,"Rist","Acrolophus heppneri"
233,0.00230537027381456,0.00913479562216757,"Rist","Acrolophus heppneri"
234,0.00206856504706327,0.00842115526519034,"Rist","Acrolophus heppneri"
235,0.00185605497453298,0.0077597610246733,"Rist","Acrolophus heppneri"
236,0.00166533961673729,0.00714703458205627,"Rist","Acrolophus heppneri"
237,0.00149417780501813,0.00657964118494904,"Rist","Acrolophus heppneri"
238,0.00134056044884043,0.00605446953115137,"Rist","Acrolophus heppneri"
239,0.00120268623756727,0.00556861402894577,"Rist","Acrolophus heppneri"
240,0.0010789399232133,0.00511935910788312,"Rist","Acrolophus heppneri"
241,0.000967872905289177,0.00470416529070028,"Rist","Acrolophus heppneri"
242,0.000868186893522607,0.00432067086676772,"Rist","Acrolophus heppneri"
243,0.000778721765480358,0.00396672557169886,"Rist","Acrolophus heppneri"
244,0.000698436378171711,0.00364030461256899,"Rist","Acrolophus heppneri"
245,0.00062639472897868,0.0033394811762636,"Rist","Acrolophus heppneri"
246,0.000561755453750363,0.00306242850474077,"Rist","Acrolophus heppneri"
247,0.000503762360470767,0.00280742068085383,"Rist","Acrolophus heppneri"
248,0.000451735897168769,0.00257283222929771,"Rist","Acrolophus heppneri"
249,0.000405065463384264,0.002357136688051,"Rist","Acrolophus heppneri"
