"doy","fit","se","Site","validName"
69,0.123964527767553,0.151356536702101,"Rist","Apantesis phalerata"
70,0.127336631919227,0.152312279521081,"Rist","Apantesis phalerata"
71,0.130799312766298,0.153226820396681,"Rist","Apantesis phalerata"
72,0.13435378840028,0.154098657490007,"Rist","Apantesis phalerata"
73,0.138001211164469,0.154926474950795,"Rist","Apantesis phalerata"
74,0.141742660819189,0.155709170966743,"Rist","Apantesis phalerata"
75,0.145579137431619,0.156445887683966,"Rist","Apantesis phalerata"
76,0.149511553994321,0.157136042973512,"Rist","Apantesis phalerata"
77,0.15354072877797,0.157779363985318,"Rist","Apantesis phalerata"
78,0.157667377425626,0.158375922387648,"Rist","Apantesis phalerata"
79,0.161892104797433,0.158926171139567,"Rist","Apantesis phalerata"
80,0.166215396576655,0.159430982580661,"Rist","Apantesis phalerata"
81,0.170637610649805,0.159891687546701,"Rist","Apantesis phalerata"
82,0.175158968275742,0.160310115130988,"Rist","Apantesis phalerata"
83,0.179779545060788,0.160688632605567,"Rist","Apantesis phalerata"
84,0.184499261759096,0.161030184896011,"Rist","Apantesis phalerata"
85,0.189317874919955,0.161338332862585,"Rist","Apantesis phalerata"
86,0.194234967406091,0.161617289486808,"Rist","Apantesis phalerata"
87,0.199249938809502,0.16187195288807,"Rist","Apantesis phalerata"
88,0.204361995794031,0.16210793491342,"Rist","Apantesis phalerata"
89,0.209570142396429,0.162331583848776,"Rist","Apantesis phalerata"
90,0.214873170320394,0.16254999961066,"Rist","Apantesis phalerata"
91,0.220269649260734,0.162771039597232,"Rist","Apantesis phalerata"
92,0.225757917297582,0.163003313225895,"Rist","Apantesis phalerata"
93,0.23133607140328,0.163256163078034,"Rist","Apantesis phalerata"
94,0.237001958107282,0.163539630535443,"Rist","Apantesis phalerata"
95,0.242753164367093,0.163864403851315,"Rist","Apantesis phalerata"
96,0.248587008695887,0.164241746778913,"Rist","Apantesis phalerata"
97,0.25450053259999,0.164683406211404,"Rist","Apantesis phalerata"
98,0.260490492381859,0.165201497782458,"Rist","Apantesis phalerata"
99,0.266553351366522,0.165808369060414,"Rist","Apantesis phalerata"
100,0.272685272611532,0.16651644082293,"Rist","Apantesis phalerata"
101,0.278882112162609,0.167338027917628,"Rist","Apantesis phalerata"
102,0.285139412918744,0.168285142336773,"Rist","Apantesis phalerata"
103,0.29145239917228,0.169369282307003,"Rist","Apantesis phalerata"
104,0.297815971890571,0.170601212317286,"Rist","Apantesis phalerata"
105,0.304224704806902,0.171990739982593,"Rist","Apantesis phalerata"
106,0.310672841388987,0.173546496357371,"Rist","Apantesis phalerata"
107,0.31715429275365,0.175275726678615,"Rist","Apantesis phalerata"
108,0.323662636596119,0.177184098458634,"Rist","Apantesis phalerata"
109,0.330191117201997,0.179275533342838,"Rist","Apantesis phalerata"
110,0.336732646608845,0.18155206820754,"Rist","Apantesis phalerata"
111,0.343279806982988,0.184013749674632,"Rist","Apantesis phalerata"
112,0.349824854275079,0.186658564668872,"Rist","Apantesis phalerata"
113,0.356359723215695,0.189482407985102,"Rist","Apantesis phalerata"
114,0.362876033708871,0.192479086206528,"Rist","Apantesis phalerata"
115,0.369365098678303,0.195640355863962,"Rist","Apantesis phalerata"
116,0.375817933416348,0.198955992548759,"Rist","Apantesis phalerata"
117,0.382225266481469,0.202413886862356,"Rist","Apantesis phalerata"
118,0.38857755218425,0.206000162617782,"Rist","Apantesis phalerata"
119,0.394864984696045,0.209699312591331,"Rist","Apantesis phalerata"
120,0.401077513807813,0.21349434730649,"Rist","Apantesis phalerata"
121,0.407204862359361,0.21736695274359,"Rist","Apantesis phalerata"
122,0.41323654535143,0.221297653438961,"Rist","Apantesis phalerata"
123,0.419161890744535,0.225265978084683,"Rist","Apantesis phalerata"
124,0.424970061939618,0.229250625407534,"Rist","Apantesis phalerata"
125,0.430650081925892,0.233229628735755,"Rist","Apantesis phalerata"
126,0.436190859071364,0.237180518227104,"Rist","Apantesis phalerata"
127,0.441581214520859,0.241080480205525,"Rist","Apantesis phalerata"
128,0.446809911155635,0.244906513430238,"Rist","Apantesis phalerata"
129,0.451865684057296,0.248635582403396,"Rist","Apantesis phalerata"
130,0.456737272407206,0.252244768016541,"Rist","Apantesis phalerata"
131,0.46141345274078,0.255711415951044,"Rist","Apantesis phalerata"
132,0.465883073464129,0.259013283305103,"Rist","Apantesis phalerata"
133,0.470135090528511,0.262128683923175,"Rist","Apantesis phalerata"
134,0.474158604146063,0.265036632873162,"Rist","Apantesis phalerata"
135,0.477942896418397,0.267716990459071,"Rist","Apantesis phalerata"
136,0.48147746973798,0.2701506060867,"Rist","Apantesis phalerata"
137,0.484752085810931,0.272319462214344,"Rist","Apantesis phalerata"
138,0.487756805138828,0.274206818541991,"Rist","Apantesis phalerata"
139,0.490482026786819,0.275797356504138,"Rist","Apantesis phalerata"
140,0.492918646563004,0.277077484902129,"Rist","Apantesis phalerata"
141,0.495062599733652,0.278041589678681,"Rist","Apantesis phalerata"
142,0.496916372248823,0.278694053664581,"Rist","Apantesis phalerata"
143,0.498483466770233,0.279041642058655,"Rist","Apantesis phalerata"
144,0.499767975599387,0.279092841821495,"Rist","Apantesis phalerata"
145,0.500774549598211,0.278857738596567,"Rist","Apantesis phalerata"
146,0.50150836601102,0.278347890734833,"Rist","Apantesis phalerata"
147,0.501975095406209,0.277576200878022,"Rist","Apantesis phalerata"
148,0.502180867950732,0.27655678551668,"Rist","Apantesis phalerata"
149,0.502132239223635,0.275304842900675,"Rist","Apantesis phalerata"
150,0.501836155767362,0.273836519640411,"Rist","Apantesis phalerata"
151,0.501299920566507,0.272168776307027,"Rist","Apantesis phalerata"
152,0.500531158634306,0.27031925230726,"Rist","Apantesis phalerata"
153,0.499537782876692,0.268306130289592,"Rist","Apantesis phalerata"
154,0.498327960392921,0.266148000327566,"Rist","Apantesis phalerata"
155,0.496910079360306,0.263863724129039,"Rist","Apantesis phalerata"
156,0.495292716639058,0.261472299540675,"Rist","Apantesis phalerata"
157,0.493484606221172,0.258992725656687,"Rist","Apantesis phalerata"
158,0.491494608635449,0.256443868902745,"Rist","Apantesis phalerata"
159,0.489331681408581,0.253844330553055,"Rist","Apantesis phalerata"
