"doy","fit","se","Site","validName"
69,0.442579240768304,0.258866930906203,"Rist","Apantesis vittata"
70,0.447831007106674,0.258340137912517,"Rist","Apantesis vittata"
71,0.453142732933799,0.25781015299455,"Rist","Apantesis vittata"
72,0.458512686420609,0.257278946889965,"Rist","Apantesis vittata"
73,0.463939029468999,0.256748659603038,"Rist","Apantesis vittata"
74,0.469419814748797,0.256221599923405,"Rist","Apantesis vittata"
75,0.474952982807365,0.255700243743982,"Rist","Apantesis vittata"
76,0.480536359261741,0.255187231045198,"Rist","Apantesis vittata"
77,0.486167652083581,0.254685361410959,"Rist","Apantesis vittata"
78,0.491844448987617,0.254197587942303,"Rist","Apantesis vittata"
79,0.497564214934713,0.253727009437829,"Rist","Apantesis vittata"
80,0.503324289760992,0.2532768607163,"Rist","Apantesis vittata"
81,0.509121885944882,0.252850500966647,"Rist","Apantesis vittata"
82,0.514954086524249,0.252451400024423,"Rist","Apantesis vittata"
83,0.520817843176143,0.252083122491995,"Rist","Apantesis vittata"
84,0.526709974471944,0.251749309642634,"Rist","Apantesis vittata"
85,0.532627164320996,0.251453659076425,"Rist","Apantesis vittata"
86,0.538565960616043,0.251199902128617,"Rist","Apantesis vittata"
87,0.544522774093994,0.25099177906842,"Rist","Apantesis vittata"
88,0.550493877425706,0.250833012168194,"Rist","Apantesis vittata"
89,0.556475404548622,0.250727276768587,"Rist","Apantesis vittata"
90,0.562463350256168,0.250678170513847,"Rist","Apantesis vittata"
91,0.568453570057878,0.250689180982004,"Rist","Apantesis vittata"
92,0.574441780324194,0.250763651985496,"Rist","Apantesis vittata"
93,0.580423558729835,0.250904748867581,"Rist","Apantesis vittata"
94,0.586394345009512,0.251115423166649,"Rist","Apantesis vittata"
95,0.592349442039609,0.251398377062436,"Rist","Apantesis vittata"
96,0.59828401725919,0.251756028053336,"Rist","Apantesis vittata"
97,0.604193104443418,0.252190474340502,"Rist","Apantesis vittata"
98,0.610071605842097,0.252703461410754,"Rist","Apantesis vittata"
99,0.615914294695615,0.253296350315064,"Rist","Apantesis vittata"
100,0.621715818140058,0.253970088131697,"Rist","Apantesis vittata"
101,0.62747070051268,0.254725181082578,"Rist","Apantesis vittata"
102,0.633173347068267,0.255561670738247,"Rist","Apantesis vittata"
103,0.638818048116188,0.256479113701681,"Rist","Apantesis vittata"
104,0.644398983587099,0.257476565105584,"Rist","Apantesis vittata"
105,0.649910228037389,0.258552566193331,"Rist","Apantesis vittata"
106,0.655345756098455,0.25970513618284,"Rist","Apantesis vittata"
107,0.660699448376845,0.260931768537806,"Rist","Apantesis vittata"
108,0.665965097810141,0.262229431694651,"Rist","Apantesis vittata"
109,0.671136416482232,0.263594574218859,"Rist","Apantesis vittata"
110,0.676207042900329,0.265023134293679,"Rist","Apantesis vittata"
111,0.681170549734635,0.266510553379616,"Rist","Apantesis vittata"
112,0.686020452020157,0.268051793826587,"Rist","Apantesis vittata"
113,0.690750215818545,0.26964136017338,"Rist","Apantesis vittata"
114,0.695353267336255,0.271273323831979,"Rist","Apantesis vittata"
115,0.699823002493602,0.272941350827644,"Rist","Apantesis vittata"
116,0.704152796937491,0.274638732249319,"Rist","Apantesis vittata"
117,0.708336016488825,0.276358417058154,"Rist","Apantesis vittata"
118,0.712366028013626,0.278093046904023,"Rist","Apantesis vittata"
