"doy","fit","se","Site","validName"
69,2.22044604925031e-16,2.99592561890464e-14,"Rist","Lochmaeus manteo"
70,2.22044604925031e-16,2.9533659174477e-14,"Rist","Lochmaeus manteo"
71,2.22044604925031e-16,2.91081525881047e-14,"Rist","Lochmaeus manteo"
72,2.22044604925031e-16,2.86828214604086e-14,"Rist","Lochmaeus manteo"
73,2.22044604925031e-16,2.82577508245064e-14,"Rist","Lochmaeus manteo"
74,2.22044604925031e-16,2.783302571619e-14,"Rist","Lochmaeus manteo"
75,2.22044604925031e-16,2.74087311739633e-14,"Rist","Lochmaeus manteo"
76,2.22044604925031e-16,2.69849522390818e-14,"Rist","Lochmaeus manteo"
77,2.22044604925031e-16,2.65617739555946e-14,"Rist","Lochmaeus manteo"
78,2.22044604925031e-16,2.61392813703883e-14,"Rist","Lochmaeus manteo"
79,2.22044604925031e-16,2.57175595332327e-14,"Rist","Lochmaeus manteo"
80,2.22044604925031e-16,2.52966934968286e-14,"Rist","Lochmaeus manteo"
81,2.22044604925031e-16,2.48767683168565e-14,"Rist","Lochmaeus manteo"
82,2.22044604925031e-16,2.44578690520277e-14,"Rist","Lochmaeus manteo"
83,2.22044604925031e-16,2.40400807641357e-14,"Rist","Lochmaeus manteo"
84,2.22044604925031e-16,2.36234885181086e-14,"Rist","Lochmaeus manteo"
85,2.22044604925031e-16,2.32081773820624e-14,"Rist","Lochmaeus manteo"
86,2.22044604925031e-16,2.27942324273541e-14,"Rist","Lochmaeus manteo"
87,2.22044604925031e-16,2.23817387286344e-14,"Rist","Lochmaeus manteo"
88,2.22044604925031e-16,2.19707813638996e-14,"Rist","Lochmaeus manteo"
89,2.22044604925031e-16,2.15614454145418e-14,"Rist","Lochmaeus manteo"
90,2.22044604925031e-16,2.11538159653973e-14,"Rist","Lochmaeus manteo"
91,2.22044604925031e-16,2.07479781047907e-14,"Rist","Lochmaeus manteo"
92,2.22044604925031e-16,2.03440169245758e-14,"Rist","Lochmaeus manteo"
93,2.22044604925031e-16,1.99420175201704e-14,"Rist","Lochmaeus manteo"
94,2.22044604925031e-16,1.95420649905842e-14,"Rist","Lochmaeus manteo"
95,2.22044604925031e-16,1.91442444384389e-14,"Rist","Lochmaeus manteo"
96,2.22044604925031e-16,1.87486409699768e-14,"Rist","Lochmaeus manteo"
97,2.22044604925031e-16,1.83553396950577e-14,"Rist","Lochmaeus manteo"
98,2.22044604925031e-16,1.79644257271398e-14,"Rist","Lochmaeus manteo"
99,2.22044604925031e-16,1.75759841832439e-14,"Rist","Lochmaeus manteo"
100,2.22044604925031e-16,1.71901001838942e-14,"Rist","Lochmaeus manteo"
101,2.22044604925031e-16,1.6806858853035e-14,"Rist","Lochmaeus manteo"
102,2.22044604925031e-16,1.64263453179171e-14,"Rist","Lochmaeus manteo"
103,2.22044604925031e-16,1.60486447089485e-14,"Rist","Lochmaeus manteo"
104,2.22044604925031e-16,1.56738421595041e-14,"Rist","Lochmaeus manteo"
