"doy","fit","se","Site","validName"
69,0.00781105603201409,0.0422100024549637,"Rist","Megalopyge lacyi"
70,0.00791184595652045,0.0419979038420141,"Rist","Megalopyge lacyi"
71,0.00801424181016125,0.0417759520575193,"Rist","Megalopyge lacyi"
72,0.00811858159425651,0.0415457169392261,"Rist","Megalopyge lacyi"
73,0.00822522005179468,0.0413087395725346,"Rist","Megalopyge lacyi"
74,0.00833452951072828,0.0410665298941175,"Rist","Megalopyge lacyi"
75,0.00844690088793965,0.0408205648862559,"Rist","Megalopyge lacyi"
76,0.00856274486723665,0.0405722873454208,"Rist","Megalopyge lacyi"
77,0.00868249326596442,0.0403231052075634,"Rist","Megalopyge lacyi"
78,0.00880660060631358,0.0400743914123461,"Rist","Megalopyge lacyi"
79,0.00893554590912266,0.0398274842887807,"Rist","Megalopyge lacyi"
80,0.00906983473001257,0.0395836884457598,"Rist","Megalopyge lacyi"
81,0.00921000146003057,0.0393442761524713,"Rist","Megalopyge lacyi"
82,0.00935661191569596,0.0391104891958548,"Rist","Megalopyge lacyi"
83,0.00951026624646726,0.0388835412050332,"Rist","Megalopyge lacyi"
84,0.00967160219123534,0.0386646204360051,"Rist","Megalopyge lacyi"
85,0.00984129871956529,0.0384548930138964,"Rist","Megalopyge lacyi"
86,0.0100200800981213,0.0382555066346999,"Rist","Megalopyge lacyi"
87,0.0102087204281079,0.0380675947337875,"Rist","Megalopyge lacyi"
88,0.010408048705734,0.0378922811345338,"Rist","Megalopyge lacyi"
89,0.0106189544647786,0.0377306851972933,"Rist","Megalopyge lacyi"
90,0.0108423940684314,0.0375839274967311,"Rist","Megalopyge lacyi"
91,0.0110793977268589,0.037453136064283,"Rist","Megalopyge lacyi"
92,0.0113310773275763,0.0373394532423965,"Rist","Megalopyge lacyi"
93,0.0115986351779264,0.0372440432083729,"Rist","Megalopyge lacyi"
94,0.011883373772978,0.03716810023822,"Rist","Megalopyge lacyi"
95,0.0121867067183053,0.0371128577951761,"Rist","Megalopyge lacyi"
96,0.0125101709556787,0.0370795985436837,"Rist","Megalopyge lacyi"
97,0.0128554404611363,0.0370696654079067,"Rist","Megalopyge lacyi"
