"doy","fit","se","Site","validName"
69,3.98457076007677e-09,5.67877016923965e-08,"Rist","Megalopyge opercularis"
70,5.50718212212627e-09,7.71744954561221e-08,"Rist","Megalopyge opercularis"
71,7.61096449289670e-09,1.04841415146445e-07,"Rist","Megalopyge opercularis"
72,1.05165835550318e-08,1.42361188544803e-07,"Rist","Megalopyge opercularis"
73,1.45276959924715e-08,1.93201278527395e-07,"Rist","Megalopyge opercularis"
74,2.00617242769201e-08,2.62028160062988e-07,"Rist","Megalopyge opercularis"
75,2.76918251560082e-08,3.55112002162002e-07,"Rist","Megalopyge opercularis"
76,3.82040210576144e-08,4.80863582302146e-07,"Rist","Megalopyge opercularis"
77,5.26748253049307e-08,6.50544818169484e-07,"Rist","Megalopyge opercularis"
78,7.25765011294505e-08,8.79206519411576e-07,"Rist","Megalopyge opercularis"
79,9.99194897657009e-08,1.18692250113344e-06,"Rist","Megalopyge opercularis"
80,1.3744470294255e-07,1.60040885581084e-06,"Rist","Megalopyge opercularis"
81,1.88882528192324e-07,2.1551418958793e-06,"Rist","Megalopyge opercularis"
82,2.59300831857326e-07,2.89811916336544e-06,"Rist","Megalopyge opercularis"
83,3.55571331086102e-07,3.89144623432e-06,"Rist","Megalopyge opercularis"
84,4.86992902220622e-07,5.21697927288332e-06,"Rist","Megalopyge opercularis"
85,6.661222709383e-07,6.98231101567973e-06,"Rist","Megalopyge opercularis"
86,9.09877795491776e-07,9.32845781491808e-06,"Rist","Megalopyge opercularis"
87,1.24100157203367e-06,1.24396893188769e-05,"Rist","Megalopyge opercularis"
88,1.68998990601206e-06,1.65560420611003e-05,"Rist","Megalopyge opercularis"
89,2.2976335579588e-06,2.19891752171226e-05,"Rist","Megalopyge opercularis"
90,3.11834856582969e-06,2.91423622295465e-05,"Rist","Megalopyge opercularis"
91,4.22452759418679e-06,3.85355663876118e-05,"Rist","Megalopyge opercularis"
92,5.71220263930048e-06,5.08367212315053e-05,"Rist","Megalopyge opercularis"
93,7.70838474831217e-06,6.69005257973396e-05,"Rist","Megalopyge opercularis"
94,1.03805376221641e-05,8.78162661337726e-05,"Rist","Megalopyge opercularis"
95,1.39487521488879e-05,0.00011496638139129,"Rist","Megalopyge opercularis"
96,1.87013206847763e-05,0.000150097694809024,"Rist","Megalopyge opercularis"
97,2.50145657808695e-05,0.000195407412477287,"Rist","Megalopyge opercularis"
98,3.33779602122975e-05,0.000253646136019967,"Rist","Megalopyge opercularis"
99,4.44257851202299e-05,0.000328240213473098,"Rist","Megalopyge opercularis"
100,5.89768112567049e-05,0.000423435733061349,"Rist","Megalopyge opercularis"
101,7.80837535583286e-05,0.000544466307542724,"Rist","Megalopyge opercularis"
102,0.000103094538124148,0.000697746455373879,"Rist","Megalopyge opercularis"
103,0.000135727726634991,0.000891091805664612,"Rist","Megalopyge opercularis"
104,0.000178164755847588,0.00113396647820852,"Rist","Megalopyge opercularis"
105,0.00023316195355007,0.00143775675688789,"Rist","Megalopyge opercularis"
106,0.00030418556570999,0.00181606852520995,"Rist","Megalopyge opercularis"
107,0.000395573243739022,0.00228504381480789,"Rist","Megalopyge opercularis"
108,0.000512725558925706,0.00286368919456301,"Rist","Megalopyge opercularis"
109,0.00066233108729351,0.00357420558714619,"Rist","Megalopyge opercularis"
110,0.000852628387261873,0.00444230546449388,"Rist","Megalopyge opercularis"
111,0.0010937077102761,0.00549749931565308,"Rist","Megalopyge opercularis"
112,0.00139785446879328,0.00677332893298538,"Rist","Megalopyge opercularis"
113,0.00177993525862708,0.00830752063416124,"Rist","Megalopyge opercularis"
114,0.00225782551343541,0.0101420273221219,"Rist","Megalopyge opercularis"
115,0.00285287558089192,0.0123229246710861,"Rist","Megalopyge opercularis"
116,0.00359040908578624,0.0149001241963641,"Rist","Megalopyge opercularis"
117,0.00450024383713313,0.0179268650888964,"Rist","Megalopyge opercularis"
118,0.00561722122674241,0.0214589481093792,"Rist","Megalopyge opercularis"
119,0.00698172508082733,0.0255536792128249,"Rist","Megalopyge opercularis"
120,0.00864016534598314,0.0302684985673373,"Rist","Megalopyge opercularis"
121,0.0106453959687028,0.0356592828111063,"Rist","Megalopyge opercularis"
122,0.0130570300997456,0.0417783251602458,"Rist","Megalopyge opercularis"
123,0.015941609651552,0.0486720194680248,"Rist","Megalopyge opercularis"
124,0.0193725806893659,0.0563783002947458,"Rist","Megalopyge opercularis"
125,0.0234300216752644,0.0649239207363377,"Rist","Megalopyge opercularis"
126,0.0282000688298074,0.0743216818420013,"Rist","Megalopyge opercularis"
127,0.0337739825188805,0.0845677599133887,"Rist","Megalopyge opercularis"
128,0.0402468013401951,0.0956393080839068,"Rist","Megalopyge opercularis"
129,0.0477155371899778,0.107492532881291,"Rist","Megalopyge opercularis"
130,0.0562768756781457,0.120061460903316,"Rist","Megalopyge opercularis"
131,0.0660243623258557,0.133257610756612,"Rist","Megalopyge opercularis"
132,0.0770450762893462,0.146970766312509,"Rist","Megalopyge opercularis"
133,0.089415819859813,0.161071004646201,"Rist","Megalopyge opercularis"
134,0.103198883243021,0.175412062050971,"Rist","Megalopyge opercularis"
135,0.118437479208902,0.189836022096277,"Rist","Megalopyge opercularis"
136,0.135150979689826,0.204179181166486,"Rist","Megalopyge opercularis"
137,0.153330124339229,0.218278793383777,"Rist","Megalopyge opercularis"
138,0.172932406988338,0.231980227740729,"Rist","Megalopyge opercularis"
139,0.19387787699936,0.245143902275573,"Rist","Megalopyge opercularis"
140,0.21604613715753,0.25765167070362,"Rist","Megalopyge opercularis"
141,0.239295926731882,0.269429080105393,"Rist","Megalopyge opercularis"
142,0.263482498815662,0.28045774273175,"Rist","Megalopyge opercularis"
143,0.288440714663676,0.290756396524804,"Rist","Megalopyge opercularis"
144,0.313986032701386,0.300376586327178,"Rist","Megalopyge opercularis"
145,0.339917659799273,0.309397108885746,"Rist","Megalopyge opercularis"
146,0.366022189176021,0.3179159979225,"Rist","Megalopyge opercularis"
147,0.392077610501206,0.326040575445555,"Rist","Megalopyge opercularis"
148,0.417857564680364,0.333876400521809,"Rist","Megalopyge opercularis"
149,0.443135708605385,0.341516190994894,"Rist","Megalopyge opercularis"
150,0.467690053995041,0.349029907343987,"Rist","Megalopyge opercularis"
151,0.49130714914182,0.356457116328063,"Rist","Megalopyge opercularis"
152,0.513785982419536,0.363802481485518,"Rist","Megalopyge opercularis"
153,0.534941501025601,0.371034800203881,"Rist","Megalopyge opercularis"
154,0.554607656672413,0.378089513694778,"Rist","Megalopyge opercularis"
155,0.572639910717659,0.384874166473096,"Rist","Megalopyge opercularis"
156,0.588917153399375,0.391275976377178,"Rist","Megalopyge opercularis"
157,0.60334301430266,0.397170538689655,"Rist","Megalopyge opercularis"
158,0.615846562899044,0.402430720107949,"Rist","Megalopyge opercularis"
159,0.626382418066459,0.406934954258337,"Rist","Megalopyge opercularis"
160,0.634930303187807,0.410574370121419,"Rist","Megalopyge opercularis"
161,0.641494098199354,0.413258414417515,"Rist","Megalopyge opercularis"
162,0.646100451477154,0.414918831978564,"Rist","Megalopyge opercularis"
163,0.648797022564624,0.415512026451034,"Rist","Megalopyge opercularis"
164,0.649650431488103,0.41501993374999,"Rist","Megalopyge opercularis"
165,0.64874399196634,0.413449607776322,"Rist","Megalopyge opercularis"
166,0.646175304503846,0.410831750767202,"Rist","Megalopyge opercularis"
167,0.642053781566668,0.407218428678325,"Rist","Megalopyge opercularis"
168,0.636498171232853,0.402680203149133,"Rist","Megalopyge opercularis"
169,0.6296341383744,0.397302892238884,"Rist","Megalopyge opercularis"
170,0.621591954046921,0.391184146868437,"Rist","Megalopyge opercularis"
171,0.612504334800648,0.38443000199584,"Rist","Megalopyge opercularis"
172,0.602504464497078,0.377151533245673,"Rist","Megalopyge opercularis"
173,0.591724222284392,0.36946172251102,"Rist","Megalopyge opercularis"
174,0.58029263194741,0.361472610877572,"Rist","Megalopyge opercularis"
175,0.56833454013859,0.353292794656062,"Rist","Megalopyge opercularis"
176,0.555969524177721,0.345025300602962,"Rist","Megalopyge opercularis"
177,0.543311024284452,0.336765859525892,"Rist","Megalopyge opercularis"
178,0.530465690325543,0.328601583229948,"Rist","Megalopyge opercularis"
179,0.517532929415593,0.32061003785117,"Rist","Megalopyge opercularis"
180,0.504604637968681,0.312858696591716,"Rist","Megalopyge opercularis"
181,0.491765099983048,0.305404746439354,"Rist","Megalopyge opercularis"
182,0.479091032365995,0.298295216204166,"Rist","Megalopyge opercularis"
183,0.466651757859169,0.291567387117242,"Rist","Megalopyge opercularis"
184,0.454509486500354,0.285249442216749,"Rist","Megalopyge opercularis"
185,0.442719687438571,0.279361307073833,"Rist","Megalopyge opercularis"
186,0.431331534201736,0.273915632289314,"Rist","Megalopyge opercularis"
187,0.420388408098789,0.268918867948634,"Rist","Megalopyge opercularis"
188,0.409928446232994,0.264372382054752,"Rist","Megalopyge opercularis"
189,0.399985122535931,0.260273578865659,"Rist","Megalopyge opercularis"
190,0.390587852238229,0.256616978864799,"Rist","Megalopyge opercularis"
191,0.38176261222775,0.25339522933852,"Rist","Megalopyge opercularis"
192,0.373532571773207,0.250600022674772,"Rist","Megalopyge opercularis"
193,0.365918730090369,0.248222907848625,"Rist","Megalopyge opercularis"
194,0.358940559191935,0.246255988489149,"Rist","Megalopyge opercularis"
195,0.352616652394359,0.244692507938956,"Rist","Megalopyge opercularis"
196,0.346965380771562,0.243527327410937,"Rist","Megalopyge opercularis"
197,0.342005561774611,0.242757307609532,"Rist","Megalopyge opercularis"
198,0.337757146215983,0.242381606925058,"Rist","Megalopyge opercularis"
199,0.334241931900041,0.242401910738886,"Rist","Megalopyge opercularis"
200,0.331484314430517,0.242822606634575,"Rist","Megalopyge opercularis"
201,0.329512088223935,0.243650919679999,"Rist","Megalopyge opercularis"
202,0.32835731360019,0.244897020668512,"Rist","Megalopyge opercularis"
203,0.32805726913291,0.246574118503537,"Rist","Megalopyge opercularis"
204,0.32865551236767,0.248698545967443,"Rist","Megalopyge opercularis"
205,0.330203076743977,0.251289846069185,"Rist","Megalopyge opercularis"
206,0.332759838314295,0.254370864097921,"Rist","Megalopyge opercularis"
207,0.336396092931275,0.257967848521561,"Rist","Megalopyge opercularis"
208,0.341194393336472,0.262110561952137,"Rist","Megalopyge opercularis"
209,0.347251706494033,0.266832401672463,"Rist","Megalopyge opercularis"
210,0.35468196516413,0.272170527746932,"Rist","Megalopyge opercularis"
211,0.363619104864586,0.278165995733223,"Rist","Megalopyge opercularis"
212,0.374220699007482,0.28486389089928,"Rist","Megalopyge opercularis"
213,0.386672332396424,0.292313462299058,"Rist","Megalopyge opercularis"
214,0.401192888089967,0.300568259447298,"Rist","Megalopyge opercularis"
215,0.418040967049863,0.309686283850501,"Rist","Megalopyge opercularis"
216,0.437522716855294,0.319730186305981,"Rist","Megalopyge opercularis"
217,0.460001418841489,0.330767575285198,"Rist","Megalopyge opercularis"
218,0.485909277304883,0.342871563363787,"Rist","Megalopyge opercularis"
219,0.515761976547518,0.356121786783954,"Rist","Megalopyge opercularis"
220,0.550176730383342,0.370606320567719,"Rist","Megalopyge opercularis"
221,0.589894756211458,0.386425233153311,"Rist","Megalopyge opercularis"
222,0.635809377927034,0.403697072590606,"Rist","Megalopyge opercularis"
223,0.689001320538957,0.422570503872769,"Rist","Megalopyge opercularis"
224,0.750783233965854,0.443244872906247,"Rist","Megalopyge opercularis"
225,0.822754355837071,0.466005442652645,"Rist","Megalopyge opercularis"
226,0.906462513732704,0.491146351480064,"Rist","Megalopyge opercularis"
227,1.002714654436,0.518813692423113,"Rist","Megalopyge opercularis"
228,1.11203162362651,0.54924797246454,"Rist","Megalopyge opercularis"
229,1.23462078298237,0.582844747483199,"Rist","Megalopyge opercularis"
230,1.37022253765234,0.620147111685827,"Rist","Megalopyge opercularis"
231,1.51793828580992,0.661779377196824,"Rist","Megalopyge opercularis"
232,1.67605017677669,0.708299165690762,"Rist","Megalopyge opercularis"
233,1.84184982773593,0.759964448956239,"Rist","Megalopyge opercularis"
234,2.01150041934821,0.816446043118206,"Rist","Megalopyge opercularis"
235,2.17996315181617,0.876552719879952,"Rist","Megalopyge opercularis"
236,2.34102311167238,0.938056919737243,"Rist","Megalopyge opercularis"
237,2.48744897414764,0.997702018616205,"Rist","Megalopyge opercularis"
238,2.6113134074267,1.05143993850871,"Rist","Megalopyge opercularis"
239,2.70448490981653,1.09490210235763,"Rist","Megalopyge opercularis"
240,2.75927686883642,1.12405591456653,"Rist","Megalopyge opercularis"
241,2.76920788313785,1.13594537280083,"Rist","Megalopyge opercularis"
242,2.72979357462833,1.12936018489254,"Rist","Megalopyge opercularis"
243,2.63926155530512,1.10523295015563,"Rist","Megalopyge opercularis"
244,2.49906665815828,1.0665531879514,"Rist","Megalopyge opercularis"
245,2.31409103968068,1.01765482983637,"Rist","Megalopyge opercularis"
246,2.09244783853611,0.962936020683151,"Rist","Megalopyge opercularis"
247,1.84486608584513,0.905408979825721,"Rist","Megalopyge opercularis"
248,1.58370930608091,0.845773743130373,"Rist","Megalopyge opercularis"
249,1.32175484893637,0.782608399776715,"Rist","Megalopyge opercularis"
250,1.07091644036042,0.713641264863077,"Rist","Megalopyge opercularis"
251,0.841112130996366,0.637385633817038,"Rist","Megalopyge opercularis"
252,0.639455390310486,0.55428363634355,"Rist","Megalopyge opercularis"
253,0.469882273337776,0.466930267539118,"Rist","Megalopyge opercularis"
254,0.333238161798904,0.379471142957803,"Rist","Megalopyge opercularis"
255,0.227756965015495,0.296560719522602,"Rist","Megalopyge opercularis"
256,0.14979740131524,0.222306990601315,"Rist","Megalopyge opercularis"
257,0.0946710022200316,0.159515055244959,"Rist","Megalopyge opercularis"
258,0.0574082305190966,0.109371079860391,"Rist","Megalopyge opercularis"
259,0.0333534102562688,0.0715463778123498,"Rist","Megalopyge opercularis"
260,0.0185387153390899,0.0445906723769131,"Rist","Megalopyge opercularis"
261,0.00984366306526016,0.0264417882712838,"Rist","Megalopyge opercularis"
262,0.00498581276586654,0.0148992726076217,"Rist","Megalopyge opercularis"
263,0.00240536905396732,0.00796732121347562,"Rist","Megalopyge opercularis"
264,0.001103718722918,0.00403813655249962,"Rist","Megalopyge opercularis"
265,0.000480983794561559,0.00193739781992299,"Rist","Megalopyge opercularis"
266,0.000198775214315766,0.000878760909092822,"Rist","Megalopyge opercularis"
267,7.7788997709514e-05,0.000376337840001526,"Rist","Megalopyge opercularis"
268,2.87847649861296e-05,0.000151976690200321,"Rist","Megalopyge opercularis"
269,1.00568083673091e-05,5.7796308744703e-05,"Rist","Megalopyge opercularis"
270,3.31264611645438e-06,2.06716317711135e-05,"Rist","Megalopyge opercularis"
271,1.02723947930126e-06,6.94422921700734e-06,"Rist","Megalopyge opercularis"
272,2.99443270769268e-07,2.18809850918246e-06,"Rist","Megalopyge opercularis"
273,8.19347284331958e-08,6.4582999755047e-07,"Rist","Megalopyge opercularis"
274,2.10134079499924e-08,1.78315633959378e-07,"Rist","Megalopyge opercularis"
