"doy","fit","se","Site","validName"
69,5.63848904790421e-13,2.11143343715915e-11,"Rist","Peridea angulosa"
70,8.35348125200136e-13,3.08170751091467e-11,"Rist","Peridea angulosa"
71,1.23747666530495e-12,4.49649302663922e-11,"Rist","Peridea angulosa"
72,1.8328884922463e-12,6.55825323651394e-11,"Rist","Peridea angulosa"
73,2.7141218157175e-12,9.56086996912654e-11,"Rist","Peridea angulosa"
74,4.01773832132004e-12,1.3930438506389e-10,"Rist","Peridea angulosa"
75,5.94508042505087e-12,2.02839923145307e-10,"Rist","Peridea angulosa"
76,8.79270193463309e-12,2.95138890413623e-10,"Rist","Peridea angulosa"
77,1.2996914249299e-11,4.29088450355387e-10,"Rist","Peridea angulosa"
78,1.91988933604381e-11,6.2327193047477e-10,"Rist","Peridea angulosa"
79,2.83396795096994e-11,9.04443818418387e-10,"Rist","Peridea angulosa"
80,4.17985506703555e-11,1.31105760052483e-09,"Rist","Peridea angulosa"
81,6.15941997989464e-11,1.89828280504936e-09,"Rist","Peridea angulosa"
82,9.06766511022598e-11,2.74512277129907e-09,"Rist","Peridea angulosa"
83,1.33349976249963e-10,3.96448739730496e-09,"Rist","Peridea angulosa"
84,1.95883106914457e-10,5.71741021250897e-09,"Rist","Peridea angulosa"
85,2.87390462032484e-10,8.23305988368282e-09,"Rist","Peridea angulosa"
86,4.21098600611381e-10,1.18368271824991e-08,"Rist","Peridea angulosa"
87,6.16163660855293e-10,1.6989628594645e-08,"Rist","Peridea angulosa"
88,9.00272441149173e-10,2.4342735063891e-08,"Rist","Peridea angulosa"
89,1.31335513382079e-09,3.48140109458737e-08,"Rist","Peridea angulosa"
90,1.91287018119552e-09,4.96935668981373e-08,"Rist","Peridea angulosa"
91,2.78130537039838e-09,7.07896625301093e-08,"Rist","Peridea angulosa"
92,4.03679283743243e-09,1.00629459463461e-07,"Rist","Peridea angulosa"
93,5.84808420019099e-09,1.42734201033335e-07,"Rist","Peridea angulosa"
94,8.45560900150786e-09,2.01994930182321e-07,"Rist","Peridea angulosa"
95,1.22009892395603e-08,2.85183385439067e-07,"Rist","Peridea angulosa"
96,1.75682631118884e-08,4.01643767639258e-07,"Rist","Peridea angulosa"
97,2.52412580210922e-08,5.64225290148056e-07,"Rist","Peridea angulosa"
98,3.61831445261233e-08,7.90533578577494e-07,"Rist","Peridea angulosa"
99,5.17463252433589e-08,1.10460196822806e-06,"Rist","Peridea angulosa"
100,7.38236259409277e-08,1.53911258457525e-06,"Rist","Peridea angulosa"
101,1.05055462059499e-07,2.13833292844944e-06,"Rist","Peridea angulosa"
102,1.49112504157583e-07,2.96197775793204e-06,"Rist","Peridea angulosa"
103,2.11079670108659e-07,4.09025963738334e-06,"Rist","Peridea angulosa"
104,2.97975406867895e-07,5.63045584135617e-06,"Rist","Peridea angulosa"
105,4.19450641398983e-07,7.72539542332855e-06,"Rist","Peridea angulosa"
106,5.88725010271687e-07,1.05643589158433e-05,"Rist","Peridea angulosa"
107,8.23834634186454e-07,1.4396984483251e-05,"Rist","Peridea angulosa"
108,1.14928647945147e-06,1.95508877015013e-05,"Rist","Peridea angulosa"
109,1.59824000140321e-06,2.64538255605715e-05,"Rist","Peridea angulosa"
110,2.21536809418555e-06,3.56613651713266e-05,"Rist","Peridea angulosa"
111,3.06058717595961e-06,4.78911482301856e-05,"Rist","Peridea angulosa"
112,4.21389125353083e-06,6.40649650458701e-05,"Rist","Peridea angulosa"
113,5.7815776163647e-06,8.53599550703791e-05,"Rist","Peridea angulosa"
114,7.90421271032736e-06,0.000113270318805661,"Rist","Peridea angulosa"
115,1.07667556006484e-05,0.000149680938881396,"Rist","Peridea angulosa"
116,1.46113324735672e-05,0.000196954241840627,"Rist","Peridea angulosa"
117,1.97532371790524e-05,0.000258031458335635,"Rist","Peridea angulosa"
118,2.66008170358218e-05,0.000336549126073194,"Rist","Peridea angulosa"
119,3.56799856542871e-05,0.000436971192747683,"Rist","Peridea angulosa"
120,4.7664179185353e-05,0.000564736381016169,"Rist","Peridea angulosa"
121,6.3410630788107e-05,0.000726419542882626,"Rist","Peridea angulosa"
122,8.40038693540099e-05,0.000929904532285908,"Rist","Peridea angulosa"
123,0.00011080733905418,0.0011845646500335,"Rist","Peridea angulosa"
124,0.000145523969748397,0.00150144497056458,"Rist","Peridea angulosa"
125,0.000190266385760904,0.00189343887641989,"Rist","Peridea angulosa"
126,0.000247637200900089,0.00237544896663426,"Rist","Peridea angulosa"
127,0.000320819488513482,0.00296452027051802,"Rist","Peridea angulosa"
128,0.00041367701453982,0.00367993153213959,"Rist","Peridea angulosa"
129,0.000530863158647368,0.00454322842147871,"Rist","Peridea angulosa"
130,0.000677936607834116,0.00557818110605031,"Rist","Peridea angulosa"
131,0.000861480880126278,0.0068106479462906,"Rist","Peridea angulosa"
132,0.00108922352631767,0.00826832744284672,"Rist","Peridea angulosa"
133,0.00137014948338329,0.00998038224431273,"Rist","Peridea angulosa"
134,0.0017146015520045,0.0119769222659155,"Rist","Peridea angulosa"
135,0.00213435940352649,0.0142883389471674,"Rist","Peridea angulosa"
136,0.00264268697591242,0.0169444894487758,"Rist","Peridea angulosa"
137,0.00325433670915946,0.0199737380566609,"Rist","Peridea angulosa"
138,0.00398549794115945,0.0234018719261379,"Rist","Peridea angulosa"
