"doy","fit","se","Site","validName"
69,0.000608251806623596,0.00236010685292485,"Auca","Acrolophus heppneri"
70,0.000664787654181498,0.00253893170998997,"Auca","Acrolophus heppneri"
71,0.000726565580927146,0.00273065352876378,"Auca","Acrolophus heppneri"
72,0.000794056434559004,0.00293609510102057,"Auca","Acrolophus heppneri"
73,0.000867770593864814,0.00315611866699826,"Auca","Acrolophus heppneri"
74,0.00094826088512981,0.003391626360968,"Auca","Acrolophus heppneri"
75,0.00103612565947021,0.00364356049126131,"Auca","Acrolophus heppneri"
76,0.00113201203266246,0.00391290363711712,"Auca","Acrolophus heppneri"
77,0.00123661928787707,0.00420067854497077,"Auca","Acrolophus heppneri"
78,0.00135070244037282,0.0045079478074166,"Auca","Acrolophus heppneri"
79,0.00147507596164502,0.00483581330908831,"Auca","Acrolophus heppneri"
80,0.00161061765873524,0.00518541542517519,"Auca","Acrolophus heppneri"
81,0.00175827270238153,0.00555793196028428,"Auca","Acrolophus heppneri"
82,0.00191905779540294,0.00595457681792645,"Auca","Acrolophus heppneri"
83,0.00209406547015387,0.00637659839410548,"Auca","Acrolophus heppneri"
84,0.00228446850103864,0.00682527769237463,"Auca","Acrolophus heppneri"
85,0.00249152441493149,0.00730192616234219,"Auca","Acrolophus heppneri"
86,0.00271658007889196,0.00780788326899365,"Auca","Acrolophus heppneri"
87,0.00296107634079093,0.00834451380637835,"Auca","Acrolophus heppneri"
88,0.00322655269436373,0.0089132049761905,"Auca","Acrolophus heppneri"
89,0.00351465193578248,0.00951536325954769,"Auca","Acrolophus heppneri"
90,0.00382712477409121,0.0101524111187934,"Auca","Acrolophus heppneri"
91,0.00416583435278425,0.0108257835753538,"Auca","Acrolophus heppneri"
92,0.00453276063444212,0.0115369247194518,"Auca","Acrolophus heppneri"
93,0.00493000459469106,0.0122872842176714,"Auca","Acrolophus heppneri"
94,0.0053597921658495,0.0130783138947525,"Auca","Acrolophus heppneri"
95,0.00582447786450165,0.0139114644763274,"Auca","Acrolophus heppneri"
96,0.00632654803094158,0.0147881825892259,"Auca","Acrolophus heppneri"
97,0.00686862360201197,0.0157099081250754,"Auca","Acrolophus heppneri"
98,0.007453462332388,0.0166780720806975,"Auca","Acrolophus heppneri"
99,0.00808396037290214,0.0176940949946702,"Auca","Acrolophus heppneri"
100,0.00876315310815903,0.0187593861027027,"Auca","Acrolophus heppneri"
101,0.00949421514955089,0.0198753433343929,"Auca","Acrolophus heppneri"
102,0.0102804593739657,0.0210433542696499,"Auca","Acrolophus heppneri"
103,0.0111253348931087,0.0222647981636391,"Auca","Acrolophus heppneri"
104,0.0120324238335711,0.0235410491335655,"Auca","Acrolophus heppneri"
105,0.013005436803727,0.0248734805779437,"Auca","Acrolophus heppneri"
106,0.0140482069203893,0.0262634708682318,"Auca","Acrolophus heppneri"
107,0.0151646822660728,0.0277124103128977,"Auca","Acrolophus heppneri"
108,0.0163589166468903,0.0292217093443876,"Auca","Acrolophus heppneri"
109,0.0176350585217331,0.030792807819515,"Auca","Acrolophus heppneri"
110,0.0189973379756564,0.0324271852532776,"Auca","Acrolophus heppneri"
111,0.020450051614513,0.0341263717252775,"Auca","Acrolophus heppneri"
