"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.61446872269095e-13,"Auca","Acrolophus plumifrontella"
70,2.22044604925031e-16,1.58989047293332e-13,"Auca","Acrolophus plumifrontella"
71,2.22044604925031e-16,1.56532080569702e-13,"Auca","Acrolophus plumifrontella"
72,2.22044604925031e-16,1.54076535546077e-13,"Auca","Acrolophus plumifrontella"
73,2.22044604925031e-16,1.51622975811503e-13,"Auca","Acrolophus plumifrontella"
74,2.22044604925031e-16,1.49171965096747e-13,"Auca","Acrolophus plumifrontella"
75,2.22044604925031e-16,1.46724067274899e-13,"Auca","Acrolophus plumifrontella"
76,2.22044604925031e-16,1.44279846361997e-13,"Auca","Acrolophus plumifrontella"
77,2.22044604925031e-16,1.4183986651767e-13,"Auca","Acrolophus plumifrontella"
78,2.22044604925031e-16,1.39404692045783e-13,"Auca","Acrolophus plumifrontella"
79,2.22044604925031e-16,1.36974887395047e-13,"Auca","Acrolophus plumifrontella"
80,2.22044604925031e-16,1.34551017159593e-13,"Auca","Acrolophus plumifrontella"
81,2.22044604925031e-16,1.32133646079454e-13,"Auca","Acrolophus plumifrontella"
82,2.22044604925031e-16,1.29723339040947e-13,"Auca","Acrolophus plumifrontella"
83,2.22044604925031e-16,1.27320661076898e-13,"Auca","Acrolophus plumifrontella"
84,2.22044604925031e-16,1.24926177366685e-13,"Auca","Acrolophus plumifrontella"
85,2.22044604925031e-16,1.22540453236028e-13,"Auca","Acrolophus plumifrontella"
86,2.22044604925031e-16,1.2016405415648e-13,"Auca","Acrolophus plumifrontella"
87,2.22044604925031e-16,1.17797545744565e-13,"Auca","Acrolophus plumifrontella"
88,2.22044604925031e-16,1.15441493760452e-13,"Auca","Acrolophus plumifrontella"
89,2.22044604925031e-16,1.13096464106113e-13,"Auca","Acrolophus plumifrontella"
90,2.22044604925031e-16,1.10763022822846e-13,"Auca","Acrolophus plumifrontella"
91,2.22044604925031e-16,1.08441736088041e-13,"Auca","Acrolophus plumifrontella"
92,2.22044604925031e-16,1.06133170211073e-13,"Auca","Acrolophus plumifrontella"
93,2.22044604925031e-16,1.0383789162815e-13,"Auca","Acrolophus plumifrontella"
94,2.22044604925031e-16,1.01556466895947e-13,"Auca","Acrolophus plumifrontella"
95,2.22044604925031e-16,9.92894626838189e-14,"Auca","Acrolophus plumifrontella"
96,2.22044604925031e-16,9.70374457643571e-14,"Auca","Acrolophus plumifrontella"
97,2.22044604925031e-16,9.4800983002013e-14,"Auca","Acrolophus plumifrontella"
98,2.22044604925031e-16,9.25806413394832e-14,"Auca","Acrolophus plumifrontella"
99,2.22044604925031e-16,9.0376987781488e-14,"Auca","Acrolophus plumifrontella"
100,2.22044604925031e-16,8.81905893755293e-14,"Auca","Acrolophus plumifrontella"
101,2.22044604925031e-16,8.60220131891472e-14,"Auca","Acrolophus plumifrontella"
102,2.22044604925031e-16,8.38718262831209e-14,"Auca","Acrolophus plumifrontella"
103,2.22044604925031e-16,8.17405956799731e-14,"Auca","Acrolophus plumifrontella"
104,2.22044604925031e-16,7.96288883270412e-14,"Auca","Acrolophus plumifrontella"
105,2.22044604925031e-16,7.75372710532591e-14,"Auca","Acrolophus plumifrontella"
106,2.22044604925031e-16,7.54663105186675e-14,"Auca","Acrolophus plumifrontella"
107,2.22044604925031e-16,7.34165731555116e-14,"Auca","Acrolophus plumifrontella"
108,2.22044604925031e-16,7.13886250996113e-14,"Auca","Acrolophus plumifrontella"
109,2.22044604925031e-16,6.93830321104811e-14,"Auca","Acrolophus plumifrontella"
110,2.22044604925031e-16,6.74003594784416e-14,"Auca","Acrolophus plumifrontella"
111,2.22044604925031e-16,6.5441171916688e-14,"Auca","Acrolophus plumifrontella"
112,2.22044604925031e-16,6.35060334359614e-14,"Auca","Acrolophus plumifrontella"
113,2.22044604925031e-16,6.15955071991038e-14,"Auca","Acrolophus plumifrontella"
114,2.22044604925031e-16,5.97101553523497e-14,"Auca","Acrolophus plumifrontella"
115,2.22044604925031e-16,5.78505388297187e-14,"Auca","Acrolophus plumifrontella"
116,2.22044604925031e-16,5.60172171263073e-14,"Auca","Acrolophus plumifrontella"
117,2.22044604925031e-16,5.42107480356287e-14,"Auca","Acrolophus plumifrontella"
118,2.22044604925031e-16,5.2431687345402e-14,"Auca","Acrolophus plumifrontella"
119,2.22044604925031e-16,5.06805884853413e-14,"Auca","Acrolophus plumifrontella"
120,2.22044604925031e-16,4.89580021195183e-14,"Auca","Acrolophus plumifrontella"
121,2.22044604925031e-16,4.72644756747665e-14,"Auca","Acrolophus plumifrontella"
122,2.22044604925031e-16,4.56005527953483e-14,"Auca","Acrolophus plumifrontella"
123,2.22044604925031e-16,4.39667727126974e-14,"Auca","Acrolophus plumifrontella"
124,2.22044604925031e-16,4.23636695174936e-14,"Auca","Acrolophus plumifrontella"
125,2.22044604925031e-16,4.07917713196007e-14,"Auca","Acrolophus plumifrontella"
126,2.22044604925031e-16,3.92515992795295e-14,"Auca","Acrolophus plumifrontella"
127,2.22044604925031e-16,3.77436664930889e-14,"Auca","Acrolophus plumifrontella"
128,2.22044604925031e-16,3.62684767088023e-14,"Auca","Acrolophus plumifrontella"
129,2.22044604925031e-16,3.48265228555706e-14,"Auca","Acrolophus plumifrontella"
130,2.22044604925031e-16,3.34182853560531e-14,"Auca","Acrolophus plumifrontella"
131,2.22044604925031e-16,3.20442301994855e-14,"Auca","Acrolophus plumifrontella"
132,2.22044604925031e-16,3.07048067463839e-14,"Auca","Acrolophus plumifrontella"
133,2.22044604925031e-16,2.94004452371154e-14,"Auca","Acrolophus plumifrontella"
134,2.22044604925031e-16,2.81315539770905e-14,"Auca","Acrolophus plumifrontella"
135,2.22044604925031e-16,2.68985161739409e-14,"Auca","Acrolophus plumifrontella"
136,2.22044604925031e-16,2.57016864072561e-14,"Auca","Acrolophus plumifrontella"
137,2.22044604925031e-16,2.45413867202763e-14,"Auca","Acrolophus plumifrontella"
138,2.22044604925031e-16,2.34179023366223e-14,"Auca","Acrolophus plumifrontella"
139,2.22044604925031e-16,2.23314770252795e-14,"Auca","Acrolophus plumifrontella"
140,2.22044604925031e-16,2.12822978935293e-14,"Auca","Acrolophus plumifrontella"
141,2.22044604925031e-16,2.0270107455189e-14,"Auca","Acrolophus plumifrontella"
142,2.22044604925031e-16,1.92941120061226e-14,"Auca","Acrolophus plumifrontella"
143,2.22044604925031e-16,1.83534810145209e-14,"Auca","Acrolophus plumifrontella"
144,2.22044604925031e-16,1.74473823702083e-14,"Auca","Acrolophus plumifrontella"
145,2.22044604925031e-16,1.65749825260449e-14,"Auca","Acrolophus plumifrontella"
146,2.22044604925031e-16,1.57354466782158e-14,"Auca","Acrolophus plumifrontella"
147,2.22044604925031e-16,1.49279389906725e-14,"Auca","Acrolophus plumifrontella"
148,2.22044604925031e-16,1.41516228693719e-14,"Auca","Acrolophus plumifrontella"
149,2.22044604925031e-16,1.3405661292293e-14,"Auca","Acrolophus plumifrontella"
150,2.22044604925031e-16,1.26892172014992e-14,"Auca","Acrolophus plumifrontella"
151,2.22044604925031e-16,1.20014539637218e-14,"Auca","Acrolophus plumifrontella"
152,2.22044604925031e-16,1.1341535906058e-14,"Auca","Acrolophus plumifrontella"
153,2.22044604925031e-16,1.07086289333622e-14,"Auca","Acrolophus plumifrontella"
154,2.22044604925031e-16,1.01019012337623e-14,"Auca","Acrolophus plumifrontella"
155,2.22044604925031e-16,9.52052407839581e-15,"Auca","Acrolophus plumifrontella"
156,2.22044604925031e-16,8.96367272093567e-15,"Auca","Acrolophus plumifrontella"
157,2.22044604925031e-16,8.4305274017319e-15,"Auca","Acrolophus plumifrontella"
158,2.22044604925031e-16,7.92027446040426e-15,"Auca","Acrolophus plumifrontella"
159,2.22044604925031e-16,7.43210755949722e-15,"Auca","Acrolophus plumifrontella"
160,3.16657348203837e-16,9.93309858601053e-15,"Auca","Acrolophus plumifrontella"
161,2.57164537404791e-15,7.54991264912999e-14,"Auca","Acrolophus plumifrontella"
162,1.99644806367939e-14,5.47761910476055e-13,"Auca","Acrolophus plumifrontella"
163,1.4801760245248e-13,3.78936124002269e-12,"Auca","Acrolophus plumifrontella"
164,1.04703237246298e-12,2.49682714214627e-11,"Auca","Acrolophus plumifrontella"
165,7.05961851317168e-12,1.56521649261573e-10,"Auca","Acrolophus plumifrontella"
166,4.53272864760085e-11,9.32456573654509e-10,"Auca","Acrolophus plumifrontella"
167,2.76871692643252e-10,5.27282759535828e-09,"Auca","Acrolophus plumifrontella"
168,1.60738800224866e-09,2.82681336769253e-08,"Auca","Acrolophus plumifrontella"
169,8.86072390883254e-09,1.43499233369302e-07,"Auca","Acrolophus plumifrontella"
170,4.63347673144058e-08,6.88874139227041e-07,"Auca","Acrolophus plumifrontella"
