"doy","fit","se","Site","validName"
69,0.13029864507273,0.170455440213654,"Auca","Allotria elonympha"
70,0.131112704654013,0.169368489606359,"Auca","Allotria elonympha"
71,0.13193186248378,0.168281420277022,"Auca","Allotria elonympha"
72,0.132756162938318,0.167195497621963,"Auca","Allotria elonympha"
73,0.133585650904491,0.166112017847911,"Auca","Allotria elonympha"
74,0.134420371785861,0.16503230718272,"Auca","Allotria elonympha"
75,0.135260371508906,0.163957720909723,"Auca","Allotria elonympha"
76,0.136105696529306,0.162889642210571,"Auca","Allotria elonympha"
77,0.136956393838321,0.161829480801119,"Auca","Allotria elonympha"
78,0.137812510969257,0.160778671344856,"Auca","Allotria elonympha"
79,0.138674096004005,0.15973867162844,"Auca","Allotria elonympha"
80,0.139541197579685,0.158710960484267,"Auca","Allotria elonympha"
81,0.140413864895364,0.157697035445629,"Auca","Allotria elonympha"
82,0.141292147718874,0.156698410120926,"Auca","Allotria elonympha"
83,0.142176096393716,0.155716611274727,"Auca","Allotria elonympha"
84,0.143065761846064,0.154753175605146,"Auca","Allotria elonympha"
85,0.143961195591854,0.153809646209098,"Auca","Allotria elonympha"
86,0.144862449743978,0.152887568729566,"Auca","Allotria elonympha"
87,0.145769577019572,0.151988487182053,"Auca","Allotria elonympha"
88,0.146682630747401,0.151113939460884,"Auca","Allotria elonympha"
89,0.14760166487535,0.150265452530018,"Auca","Allotria elonympha"
90,0.148526733978012,0.149444537307499,"Auca","Allotria elonympha"
91,0.149457893264383,0.148652683257545,"Auca","Allotria elonympha"
92,0.150395198585658,0.147891352709551,"Auca","Allotria elonympha"
93,0.151338706443146,0.147161974928872,"Auca","Allotria elonympha"
94,0.152288473996275,0.146465939970018,"Auca","Allotria elonympha"
95,0.153244559070727,0.145804592348862,"Auca","Allotria elonympha"
96,0.154207020166668,0.145179224576286,"Auca","Allotria elonympha"
97,0.155175916467106,0.144591070601451,"Auca","Allotria elonympha"
98,0.156151307846356,0.144041299218231,"Auca","Allotria elonympha"
99,0.157133254878626,0.143531007493257,"Auca","Allotria elonympha"
100,0.158121818846722,0.143061214278149,"Auca","Allotria elonympha"
101,0.159117061750872,0.142632853871908,"Auca","Allotria elonympha"
102,0.160119046317678,0.142246769901702,"Auca","Allotria elonympha"
103,0.161127836009189,0.141903709491435,"Auca","Allotria elonympha"
104,0.1621434950321,0.141604317787347,"Auca","Allotria elonympha"
105,0.163166088347089,0.141349132908378,"Auca","Allotria elonympha"
106,0.164195681678272,0.141138581386116,"Auca","Allotria elonympha"
107,0.1652323415228,0.140972974154812,"Auca","Allotria elonympha"
108,0.166276135160592,0.140852503146304,"Auca","Allotria elonympha"
109,0.167327130664199,0.140777238537754,"Auca","Allotria elonympha"
110,0.168385396908813,0.140747126692114,"Auca","Allotria elonympha"
111,0.169451003582417,0.140761988822346,"Auca","Allotria elonympha"
112,0.170524021196077,0.14082152040087,"Auca","Allotria elonympha"
113,0.171604521094383,0.140925291325794,"Auca","Allotria elonympha"
