"doy","fit","se","Site","validName"
69,0.00356181445975156,0.0114459427207741,"Auca","Apantesis vittata"
70,0.00392038494409915,0.0123795760480446,"Auca","Apantesis vittata"
71,0.00431496286288171,0.0133852760162245,"Auca","Apantesis vittata"
72,0.00474905578579881,0.0144678983769052,"Auca","Apantesis vittata"
73,0.00522649174639659,0.0156325314159583,"Auca","Apantesis vittata"
74,0.00575144518669548,0.0168844950494839,"Auca","Apantesis vittata"
75,0.0063284645194683,0.018229338095317,"Auca","Apantesis vittata"
76,0.00696250133965938,0.0196728335074398,"Auca","Apantesis vittata"
77,0.00765894130552776,0.0212209713567791,"Auca","Apantesis vittata"
78,0.00842363669706301,0.0228799493412297,"Auca","Apantesis vittata"
79,0.00926294064384729,0.0246561606110039,"Auca","Apantesis vittata"
80,0.0101837429966071,0.0265561787033275,"Auca","Apantesis vittata"
81,0.0111935077959947,0.0285867393938938,"Auca","Apantesis vittata"
82,0.0123003122684467,0.0307547192922127,"Auca","Apantesis vittata"
83,0.0135128872520769,0.0330671110349825,"Auca","Apantesis vittata"
84,0.014840658925272,0.0355309949668035,"Auca","Apantesis vittata"
85,0.0162937916767904,0.0381535072419343,"Auca","Apantesis vittata"
86,0.0178832319185553,0.0409418043353207,"Auca","Apantesis vittata"
87,0.0196207526008521,0.0439030240167477,"Auca","Apantesis vittata"
88,0.0215189981441973,0.0470442429195616,"Auca","Apantesis vittata"
89,0.0235915294526867,0.0503724309257342,"Auca","Apantesis vittata"
90,0.025852868620175,0.0538944026927284,"Auca","Apantesis vittata"
91,0.0283185428832489,0.0576167667650501,"Auca","Apantesis vittata"
92,0.0310051273137931,0.0615458728446501,"Auca","Apantesis vittata"
93,0.0339302856792473,0.0656877579391867,"Auca","Apantesis vittata"
94,0.037112808830751,0.0700480922648127,"Auca","Apantesis vittata"
95,0.0405726499087316,0.0746321259492699,"Auca","Apantesis vittata"
96,0.0443309555826691,0.0794446377595401,"Auca","Apantesis vittata"
97,0.0484100924674962,0.0844898872631453,"Auca","Apantesis vittata"
98,0.0528336677842166,0.0897715720193707,"Auca","Apantesis vittata"
99,0.0576265432578478,0.0952927915808419,"Auca","Apantesis vittata"
100,0.0628148411729259,0.101056020260299,"Auca","Apantesis vittata"
101,0.0684259414368714,0.107063090773513,"Auca","Apantesis vittata"
102,0.0744884684360521,0.113315190996673,"Auca","Apantesis vittata"
103,0.0810322664100943,0.119812876162664,"Auca","Apantesis vittata"
104,0.0880883620187623,0.126556098850363,"Auca","Apantesis vittata"
105,0.0956889127346127,0.133544259077054,"Auca","Apantesis vittata"
106,0.10386713966583,0.140776276666055,"Auca","Apantesis vittata"
107,0.112657243399521,0.148250687807178,"Auca","Apantesis vittata"
108,0.122094301458782,0.155965767332017,"Auca","Apantesis vittata"
109,0.132214145989553,0.163919677662971,"Auca","Apantesis vittata"
110,0.143053220338375,0.172110644637949,"Auca","Apantesis vittata"
111,0.154648413252145,0.180537159436598,"Auca","Apantesis vittata"
112,0.16703686952859,0.18919820461732,"Auca","Apantesis vittata"
113,0.180255776073784,0.198093500803324,"Auca","Apantesis vittata"
114,0.194342122483116,0.207223768827815,"Auca","Apantesis vittata"
115,0.209332435456632,0.21659100017801,"Auca","Apantesis vittata"
116,0.225262486590547,0.226198726402674,"Auca","Apantesis vittata"
117,0.24216697335526,0.236052275836414,"Auca","Apantesis vittata"
118,0.260079173377344,0.246159003650599,"Auca","Apantesis vittata"
119,0.279030572489062,0.256528479011564,"Auca","Apantesis vittata"
120,0.299050467393602,0.267172611201622,"Auca","Apantesis vittata"
121,0.320165544216304,0.27810569516758,"Auca","Apantesis vittata"
122,0.342399434669748,0.289344356365919,"Auca","Apantesis vittata"
123,0.365772252050655,0.300907375245834,"Auca","Apantesis vittata"
124,0.390300109805265,0.312815373506346,"Auca","Apantesis vittata"
125,0.415994625942135,0.325090347582265,"Auca","Apantesis vittata"
126,0.442862417130956,0.337755039759667,"Auca","Apantesis vittata"
127,0.47090458689576,0.35083214385911,"Auca","Apantesis vittata"
128,0.500116212882224,0.364343350347276,"Auca","Apantesis vittata"
129,0.530485838742139,0.3783082446535,"Auca","Apantesis vittata"
130,0.56199497672273,0.392743081815018,"Auca","Apantesis vittata"
131,0.594617627562713,0.40765946966758,"Auca","Apantesis vittata"
132,0.628319824768195,0.423063000902108,"Auca","Apantesis vittata"
133,0.663059210756458,0.438951880735499,"Auca","Apantesis vittata"
134,0.698784652700531,0.455315601150406,"Auca","Apantesis vittata"
135,0.735435906168153,0.472133714325067,"Auca","Apantesis vittata"
136,0.772943334811233,0.489374756948769,"Auca","Apantesis vittata"
137,0.811227694412428,0.506995373817834,"Auca","Apantesis vittata"
138,0.850199989520935,0.524939683870195,"Auca","Apantesis vittata"
139,0.889761410697895,0.543138925224107,"Auca","Apantesis vittata"
140,0.92980361785816,0.561511704322857,"Auca","Apantesis vittata"
141,0.970219106775484,0.579976330976301,"Auca","Apantesis vittata"
142,1.01090688284459,0.598459175171946,"Auca","Apantesis vittata"
143,1.05176191952701,0.616883787233771,"Auca","Apantesis vittata"
144,1.09267475609234,0.635170931563053,"Auca","Apantesis vittata"
145,1.13353197321846,0.653239600456467,"Auca","Apantesis vittata"
146,1.17421671101809,0.67100805680778,"Auca","Apantesis vittata"
147,1.21460922625171,0.688394887386749,"Auca","Apantesis vittata"
148,1.25458748501685,0.705320049070604,"Auca","Apantesis vittata"
149,1.29402778676537,0.721705891152247,"Auca","Apantesis vittata"
150,1.33280541509972,0.737478137645981,"Auca","Apantesis vittata"
151,1.37079531044222,0.752566814355288,"Auca","Apantesis vittata"
152,1.40787275936314,0.766907106368842,"Auca","Apantesis vittata"
153,1.44391409509899,0.780440132629704,"Auca","Apantesis vittata"
154,1.47879740359513,0.793113625300697,"Auca","Apantesis vittata"
155,1.5124032292704,0.804882502850006,"Auca","Apantesis vittata"
156,1.54461527462832,0.815709327127861,"Auca","Apantesis vittata"
157,1.57532108783024,0.825564636216906,"Auca","Apantesis vittata"
158,1.60441273240272,0.834427146533726,"Auca","Apantesis vittata"
159,1.6317874333723,0.842283819548116,"Auca","Apantesis vittata"
160,1.65734819430629,0.849129790578728,"Auca","Apantesis vittata"
161,1.68100437998483,0.854968159418807,"Auca","Apantesis vittata"
162,1.70267225973503,0.859809645037844,"Auca","Apantesis vittata"
163,1.72227550681873,0.863672109275956,"Auca","Apantesis vittata"
164,1.73974564967641,0.86657995726888,"Auca","Apantesis vittata"
165,1.75502247128661,0.868563425266555,"Auca","Apantesis vittata"
166,1.76805435339641,0.869657769474308,"Auca","Apantesis vittata"
