"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.36338079733223e-13,"Auca","Bleptina caradrinalis"
70,2.22044604925031e-16,1.33789910476124e-13,"Auca","Bleptina caradrinalis"
71,2.22044604925031e-16,1.31242838216634e-13,"Auca","Bleptina caradrinalis"
72,2.22044604925031e-16,1.28697669380696e-13,"Auca","Bleptina caradrinalis"
73,2.22044604925031e-16,1.26155210548852e-13,"Auca","Bleptina caradrinalis"
74,2.22044604925031e-16,1.23616268454483e-13,"Auca","Bleptina caradrinalis"
75,2.22044604925031e-16,1.21081649982255e-13,"Auca","Bleptina caradrinalis"
76,2.22044604925031e-16,1.18552162166813e-13,"Auca","Bleptina caradrinalis"
77,2.22044604925031e-16,1.16028612191678e-13,"Auca","Bleptina caradrinalis"
78,2.22044604925031e-16,1.13511807388391e-13,"Auca","Bleptina caradrinalis"
79,2.22044604925031e-16,1.11002555235864e-13,"Auca","Bleptina caradrinalis"
80,2.22044604925031e-16,1.08501663359965e-13,"Auca","Bleptina caradrinalis"
81,2.22044604925031e-16,1.06009939533318e-13,"Auca","Bleptina caradrinalis"
82,2.22044604925031e-16,1.03528191675326e-13,"Auca","Bleptina caradrinalis"
83,2.22044604925031e-16,1.01057227852404e-13,"Auca","Bleptina caradrinalis"
84,2.22044604925031e-16,9.85978562784337e-14,"Auca","Bleptina caradrinalis"
85,2.22044604925031e-16,9.61508853154076e-14,"Auca","Bleptina caradrinalis"
86,2.22044604925031e-16,9.37171234742872e-14,"Auca","Bleptina caradrinalis"
87,2.22044604925031e-16,9.12973794160347e-14,"Auca","Bleptina caradrinalis"
88,2.22044604925031e-16,8.88924619528178e-14,"Auca","Bleptina caradrinalis"
89,2.22044604925031e-16,8.65031800493674e-14,"Auca","Bleptina caradrinalis"
90,2.22044604925031e-16,8.41303428244578e-14,"Auca","Bleptina caradrinalis"
91,2.22044604925031e-16,8.17747595524798e-14,"Auca","Bleptina caradrinalis"
92,2.22044604925031e-16,7.9437239665066e-14,"Auca","Bleptina caradrinalis"
93,2.22044604925031e-16,7.71185927527011e-14,"Auca","Bleptina caradrinalis"
94,2.22044604925031e-16,7.4819628566272e-14,"Auca","Bleptina caradrinalis"
95,2.22044604925031e-16,7.25411570184443e-14,"Auca","Bleptina caradrinalis"
96,2.22044604925031e-16,7.02839881847746e-14,"Auca","Bleptina caradrinalis"
97,2.22044604925031e-16,6.8048932304412e-14,"Auca","Bleptina caradrinalis"
98,2.22044604925031e-16,6.583679978021e-14,"Auca","Bleptina caradrinalis"
99,2.22044604925031e-16,6.36484011780411e-14,"Auca","Bleptina caradrinalis"
100,2.22044604925031e-16,6.14845472250314e-14,"Auca","Bleptina caradrinalis"
101,2.22044604925031e-16,5.93460488063718e-14,"Auca","Bleptina caradrinalis"
102,2.22044604925031e-16,5.72337169602846e-14,"Auca","Bleptina caradrinalis"
103,2.22044604925031e-16,5.51483628705841e-14,"Auca","Bleptina caradrinalis"
104,2.22044604925031e-16,5.30907978561775e-14,"Auca","Bleptina caradrinalis"
105,2.22044604925031e-16,5.10618333566407e-14,"Auca","Bleptina caradrinalis"
106,2.22044604925031e-16,4.90622809127889e-14,"Auca","Bleptina caradrinalis"
107,2.22044604925031e-16,4.70929521409193e-14,"Auca","Bleptina caradrinalis"
108,2.22044604925031e-16,4.51546586990002e-14,"Auca","Bleptina caradrinalis"
109,2.22044604925031e-16,4.32482122426555e-14,"Auca","Bleptina caradrinalis"
110,2.22044604925031e-16,4.13744243682518e-14,"Auca","Bleptina caradrinalis"
111,2.22044604925031e-16,3.95341065395818e-14,"Auca","Bleptina caradrinalis"
112,2.22044604925031e-16,3.77280699937948e-14,"Auca","Bleptina caradrinalis"
113,2.22044604925031e-16,3.59571256209151e-14,"Auca","Bleptina caradrinalis"
114,2.22044604925031e-16,3.42220838097985e-14,"Auca","Bleptina caradrinalis"
115,2.22044604925031e-16,3.25237542512978e-14,"Auca","Bleptina caradrinalis"
116,2.22044604925031e-16,3.08629456867489e-14,"Auca","Bleptina caradrinalis"
117,2.22044604925031e-16,2.92404655864965e-14,"Auca","Bleptina caradrinalis"
118,2.22044604925031e-16,2.76571197385527e-14,"Auca","Bleptina caradrinalis"
119,2.22044604925031e-16,2.61137117215904e-14,"Auca","Bleptina caradrinalis"
120,2.22044604925031e-16,2.46110422286123e-14,"Auca","Bleptina caradrinalis"
121,2.22044604925031e-16,2.31499081971852e-14,"Auca","Bleptina caradrinalis"
122,2.22044604925031e-16,2.1731101688369e-14,"Auca","Bleptina caradrinalis"
123,2.22044604925031e-16,2.03554084381325e-14,"Auca","Bleptina caradrinalis"
124,2.22044604925031e-16,1.90236059805076e-14,"Auca","Bleptina caradrinalis"
125,2.22044604925031e-16,1.77364612091539e-14,"Auca","Bleptina caradrinalis"
126,2.22044604925031e-16,1.64947272003751e-14,"Auca","Bleptina caradrinalis"
127,2.22044604925031e-16,1.52991390625345e-14,"Auca","Bleptina caradrinalis"
128,2.22044604925031e-16,1.41504084995307e-14,"Auca","Bleptina caradrinalis"
129,2.22044604925031e-16,1.3049216673831e-14,"Auca","Bleptina caradrinalis"
130,2.22044604925031e-16,1.19962048206994e-14,"Auca","Bleptina caradrinalis"
131,5.3935504868822e-16,2.66999062806612e-14,"Auca","Bleptina caradrinalis"
132,3.02293156990174e-14,1.36644568530779e-12,"Auca","Bleptina caradrinalis"
133,1.36697886127139e-12,5.62181760949296e-11,"Auca","Bleptina caradrinalis"
134,4.97044774372099e-11,1.85270314436914e-09,"Auca","Bleptina caradrinalis"
135,1.44827079397311e-09,4.87327539673296e-08,"Auca","Bleptina caradrinalis"
