"doy","fit","se","Site","validName"
69,1.98754059953303e-06,2.17662460982577e-05,"Auca","Catocala lineella"
70,2.41464123214789e-06,2.60068780890966e-05,"Auca","Catocala lineella"
71,2.93338652163848e-06,3.10640951661555e-05,"Auca","Catocala lineella"
72,3.56324861087701e-06,3.70914205667246e-05,"Auca","Catocala lineella"
73,4.32776017026565e-06,4.42701445903287e-05,"Auca","Catocala lineella"
74,5.25533677397307e-06,5.281405847694e-05,"Auca","Catocala lineella"
75,6.38025886092447e-06,6.29749245331746e-05,"Auca","Catocala lineella"
76,7.7438423760173e-06,7.50487804043832e-05,"Auca","Catocala lineella"
77,9.39583201061364e-06,8.9383184607068e-05,"Auca","Catocala lineella"
78,1.1396056464721e-05,0.000106385519626114,"Auca","Catocala lineella"
79,1.38163914025563e-05,0.000126532477780156,"Auca","Catocala lineella"
80,1.67430828332549e-05,0.000150380863333106,"Auca","Catocala lineella"
81,2.02794915802307e-05,0.000178579851570519,"Auca","Catocala lineella"
82,2.4549328359638e-05,0.00021188485127173,"Auca","Catocala lineella"
83,2.97004588123957e-05,0.000251173120607248,"Auca","Catocala lineella"
84,3.59093686501852e-05,0.000297461287294802,"Auca","Catocala lineella"
85,4.33863908851821e-05,0.000351924921079168,"Auca","Catocala lineella"
86,5.23818098863383e-05,0.000415920299388187,"Auca","Catocala lineella"
87,6.31929706719438e-05,0.000491008494402003,"Auca","Catocala lineella"
88,7.61725362883884e-05,0.000578981890724153,"Auca","Catocala lineella"
89,9.17380511553046e-05,0.000681893216282576,"Auca","Catocala lineella"
90,0.000110382983618354,0.000802087133920533,"Auca","Catocala lineella"
91,0.000132689436292771,0.000942234396293981,"Auca","Catocala lineella"
92,0.000159342727646728,0.00110536851118951,"Auca","Catocala lineella"
93,0.000191148062083679,0.00129492479738627,"Auca","Catocala lineella"
94,0.000229049517816771,0.0015147816321163,"Auca","Catocala lineella"
95,0.000274151591209191,0.00176930359977659,"Auca","Catocala lineella"
96,0.000327743541932384,0.00206338614801004,"Auca","Catocala lineella"
97,0.00039132678403475,0.00240250124236497,"Auca","Catocala lineella"
98,0.000466645562387177,0.00279274338592951,"Auca","Catocala lineella"
99,0.000555721140350025,0.0032408752379044,"Auca","Catocala lineella"
100,0.000660889701064735,0.00375437192825859,"Auca","Catocala lineella"
101,0.000784844129504422,0.00434146302868121,"Auca","Catocala lineella"
102,0.000930679793153797,0.00501117100837801,"Auca","Catocala lineella"
103,0.0011019443736417,0.0057733448833663,"Auca","Catocala lineella"
104,0.00130269171746334,0.00663868766735609,"Auca","Catocala lineella"
105,0.001537539568757,0.00761877615954545,"Auca","Catocala lineella"
106,0.00181173091869713,0.00872607156882074,"Auca","Catocala lineella"
107,0.00213119855241022,0.00997391948429724,"Auca","Catocala lineella"
108,0.00250263219375623,0.0113765377678849,"Auca","Catocala lineella"
109,0.00293354743972617,0.0129489910735735,"Auca","Catocala lineella"
110,0.00343235543919393,0.01470715089634,"Auca","Catocala lineella"
111,0.00400843200587642,0.0166676403238062,"Auca","Catocala lineella"
112,0.00467218456433065,0.0188477630044651,"Auca","Catocala lineella"
113,0.00543511501378775,0.0212654162501012,"Auca","Catocala lineella"
114,0.00630987626240456,0.0239389886424917,"Auca","Catocala lineella"
115,0.00731031984080246,0.0268872429926658,"Auca","Catocala lineella"
116,0.00845153165737488,0.0301291859725481,"Auca","Catocala lineella"
117,0.00974985261986309,0.0336839261614321,"Auca","Catocala lineella"
118,0.0112228805315931,0.0375705225714565,"Auca","Catocala lineella"
119,0.0128894493924023,0.0418078258769324,"Auca","Catocala lineella"
120,0.0147695820118539,0.0464143145064794,"Auca","Catocala lineella"
121,0.0168844116961257,0.051407927398346,"Auca","Catocala lineella"
122,0.0192560687219899,0.0568058945080429,"Auca","Catocala lineella"
123,0.0219075273847861,0.0626245650487668,"Auca","Catocala lineella"
124,0.0248624096258967,0.0688792319205071,"Auca","Catocala lineella"
125,0.0281447416321584,0.0755839488636136,"Auca","Catocala lineella"
126,0.0317786603765077,0.0827513346292601,"Auca","Catocala lineella"
127,0.0357880678546418,0.0903923560287909,"Auca","Catocala lineella"
128,0.0401962317809412,0.0985160793145963,"Auca","Catocala lineella"
129,0.0450253327467174,0.107129377239097,"Auca","Catocala lineella"
130,0.0502959593158127,0.116236577684319,"Auca","Catocala lineella"
131,0.0560265542282726,0.125839039347844,"Auca","Catocala lineella"
132,0.0622328167830475,0.135934641020429,"Auca","Catocala lineella"
133,0.068927068544266,0.146517173871851,"Auca","Catocala lineella"
134,0.076117591718283,0.157575631159554,"Auca","Catocala lineella"
135,0.0838079518226776,0.169093397023429,"Auca","Catocala lineella"
136,0.0919963185423184,0.181047345455793,"Auca","Catocala lineella"
137,0.10067480085748,0.193406871817179,"Auca","Catocala lineella"
138,0.109828814539463,0.206132891821917,"Auca","Catocala lineella"
139,0.119436501836069,0.219176855914453,"Auca","Catocala lineella"
140,0.129468318366369,0.232480023092143,"Auca","Catocala lineella"
141,0.13989050046116,0.24598032241765,"Auca","Catocala lineella"
142,0.150667560660254,0.259617460176869,"Auca","Catocala lineella"
143,0.16175871970913,0.273326134907266,"Auca","Catocala lineella"
144,0.173117770325956,0.28703588626225,"Auca","Catocala lineella"
145,0.184693324448595,0.300671667614811,"Auca","Catocala lineella"
146,0.196429151751797,0.314154570210343,"Auca","Catocala lineella"
147,0.208264607524923,0.327402690569166,"Auca","Catocala lineella"
148,0.220135146028635,0.340332126960194,"Auca","Catocala lineella"
149,0.231972913500816,0.352858085256603,"Auca","Catocala lineella"
150,0.243707413111409,0.364896069600044,"Auca","Catocala lineella"
151,0.255266232425525,0.376363129262354,"Auca","Catocala lineella"
152,0.2665758223742,0.387179130080116,"Auca","Catocala lineella"
153,0.277562315398006,0.397268016974226,"Auca","Catocala lineella"
154,0.288152369359904,0.406559033428876,"Auca","Catocala lineella"
155,0.298274023052315,0.414987864414394,"Auca","Catocala lineella"
156,0.307857548673008,0.422497671068146,"Auca","Catocala lineella"
157,0.316836286529416,0.429039988421486,"Auca","Catocala lineella"
158,0.325147447455929,0.434575461461549,"Auca","Catocala lineella"
159,0.332732868988285,0.439074399689351,"Auca","Catocala lineella"
160,0.339539712218491,0.442517135897166,"Auca","Catocala lineella"
161,0.345521087428644,0.444894180930231,"Auca","Catocala lineella"
162,0.350636598040318,0.446206172499994,"Auca","Catocala lineella"
163,0.354852794078601,0.446463622447647,"Auca","Catocala lineella"
164,0.358143528191081,0.445686472989494,"Auca","Catocala lineella"
165,0.360490209233034,0.443903478188167,"Auca","Catocala lineella"
166,0.361881950478653,0.441151431979373,"Auca","Catocala lineella"
167,0.362315611591651,0.437474268358901,"Auca","Catocala lineella"
168,0.361795735534902,0.432922062641769,"Auca","Catocala lineella"
169,0.360334383568019,0.427549964923746,"Auca","Catocala lineella"
170,0.357950873328003,0.421417097921079,"Auca","Catocala lineella"
171,0.354671426670045,0.414585451200177,"Auca","Catocala lineella"
