"doy","fit","se","Site","validName"
69,7.81429237257443e-13,1.47587216190187e-07,"Auca","Catocala micronympha"
70,7.81429237257443e-13,1.47071842767798e-07,"Auca","Catocala micronympha"
71,7.81429237257443e-13,1.46557583334972e-07,"Auca","Catocala micronympha"
72,7.81429237257443e-13,1.46044449659625e-07,"Auca","Catocala micronympha"
73,7.81429237257443e-13,1.45532453649702e-07,"Auca","Catocala micronympha"
74,7.81429237257443e-13,1.45021607354722e-07,"Auca","Catocala micronympha"
75,7.81429237257443e-13,1.44511922967331e-07,"Auca","Catocala micronympha"
76,7.81429237257443e-13,1.44003412824866e-07,"Auca","Catocala micronympha"
77,7.81429237257443e-13,1.43496089410918e-07,"Auca","Catocala micronympha"
78,7.81429237257443e-13,1.42989965356902e-07,"Auca","Catocala micronympha"
79,7.81429237257443e-13,1.4248505344363e-07,"Auca","Catocala micronympha"
80,7.81429237257443e-13,1.41981366602892e-07,"Auca","Catocala micronympha"
81,7.81429237257443e-13,1.4147891791903e-07,"Auca","Catocala micronympha"
82,7.81429237257443e-13,1.40977720630527e-07,"Auca","Catocala micronympha"
83,7.81429237257443e-13,1.40477788131585e-07,"Auca","Catocala micronympha"
84,7.81429237257443e-13,1.39979133973712e-07,"Auca","Catocala micronympha"
85,7.81429237257443e-13,1.39481771867304e-07,"Auca","Catocala micronympha"
86,7.81429237257443e-13,1.38985715683229e-07,"Auca","Catocala micronympha"
87,7.81429237257443e-13,1.38490979454405e-07,"Auca","Catocala micronympha"
88,7.81429237257443e-13,1.37997577377379e-07,"Auca","Catocala micronympha"
89,7.81429237257443e-13,1.37505523813901e-07,"Auca","Catocala micronympha"
90,7.81429237257443e-13,1.37014833292492e-07,"Auca","Catocala micronympha"
91,7.81429237257443e-13,1.36525520510005e-07,"Auca","Catocala micronympha"
92,7.81429237257443e-13,1.36037600333181e-07,"Auca","Catocala micronympha"
93,7.81429237257443e-13,1.35551087800199e-07,"Auca","Catocala micronympha"
94,7.81429237257443e-13,1.35065998122209e-07,"Auca","Catocala micronympha"
95,7.81429237257443e-13,1.34582346684861e-07,"Auca","Catocala micronympha"
96,7.81429237257443e-13,1.3410014904982e-07,"Auca","Catocala micronympha"
97,7.81429237257443e-13,1.33619420956267e-07,"Auca","Catocala micronympha"
98,7.81429237257443e-13,1.33140178322385e-07,"Auca","Catocala micronympha"
99,7.81429237257443e-13,1.3266243724683e-07,"Auca","Catocala micronympha"
100,7.81429237257443e-13,1.32186214010184e-07,"Auca","Catocala micronympha"
101,7.81429237257443e-13,1.31711525076385e-07,"Auca","Catocala micronympha"
102,7.81429237257443e-13,1.31238387094145e-07,"Auca","Catocala micronympha"
103,7.81429237257443e-13,1.30766816898333e-07,"Auca","Catocala micronympha"
104,7.81429237257443e-13,1.30296831511345e-07,"Auca","Catocala micronympha"
105,7.81429237257443e-13,1.2982844814444e-07,"Auca","Catocala micronympha"
106,7.81429237257443e-13,1.29361684199054e-07,"Auca","Catocala micronympha"
107,7.81429237257443e-13,1.28896557268074e-07,"Auca","Catocala micronympha"
108,7.81429237257445e-13,1.28433085137095e-07,"Auca","Catocala micronympha"
109,7.81429237257445e-13,1.27971285785628e-07,"Auca","Catocala micronympha"
110,7.81429237257445e-13,1.2751117738828e-07,"Auca","Catocala micronympha"
111,7.81429237257445e-13,1.27052778315895e-07,"Auca","Catocala micronympha"
112,7.81429237257445e-13,1.26596107136652e-07,"Auca","Catocala micronympha"
113,7.81429237257445e-13,1.26141182617119e-07,"Auca","Catocala micronympha"
114,7.81429237257445e-13,1.25688023723266e-07,"Auca","Catocala micronympha"
115,7.81429237257445e-13,1.25236649621423e-07,"Auca","Catocala micronympha"
116,7.81429237257445e-13,1.24787079679195e-07,"Auca","Catocala micronympha"
117,7.81429237257443e-13,1.24339333466319e-07,"Auca","Catocala micronympha"
118,7.81429237257445e-13,1.23893430755466e-07,"Auca","Catocala micronympha"
119,7.81429237257445e-13,1.2344939152298e-07,"Auca","Catocala micronympha"
120,7.81429237257445e-13,1.23007235949568e-07,"Auca","Catocala micronympha"
121,7.81429237257445e-13,1.22566984420909e-07,"Auca","Catocala micronympha"
122,7.81429237257445e-13,1.22128657528206e-07,"Auca","Catocala micronympha"
123,7.81429237257445e-13,1.21692276068664e-07,"Auca","Catocala micronympha"
124,7.81429237257445e-13,1.21257861045897e-07,"Auca","Catocala micronympha"
125,7.81429237257448e-13,1.20825433670251e-07,"Auca","Catocala micronympha"
126,7.81429237257448e-13,1.20395015359051e-07,"Auca","Catocala micronympha"
127,7.81429237257448e-13,1.19966627736765e-07,"Auca","Catocala micronympha"
128,7.81429237257448e-13,1.19540292635082e-07,"Auca","Catocala micronympha"
129,7.81429237257448e-13,1.19116032092889e-07,"Auca","Catocala micronympha"
