"doy","fit","se","Site","validName"
69,0.103468194143061,0.126893629350368,"Auca","Dioryctria amatella"
70,0.102914867297313,0.125613733571776,"Auca","Dioryctria amatella"
71,0.102364499534223,0.124345934897012,"Auca","Dioryctria amatella"
72,0.101817075032461,0.123090158933292,"Auca","Dioryctria amatella"
73,0.101272578055253,0.121846331941792,"Auca","Dioryctria amatella"
74,0.10073099294993,0.120614380833697,"Auca","Dioryctria amatella"
75,0.100192304147479,0.119394233166177,"Auca","Dioryctria amatella"
76,0.0996564961620984,0.118185817138309,"Auca","Dioryctria amatella"
77,0.0991235535907486,0.116989061586923,"Auca","Dioryctria amatella"
78,0.0985934611127143,0.115803895982389,"Auca","Dioryctria amatella"
79,0.0980662034891632,0.114630250424309,"Auca","Dioryctria amatella"
80,0.0975417655627081,0.113468055637139,"Auca","Dioryctria amatella"
81,0.0970201322569733,0.112317242965722,"Auca","Dioryctria amatella"
82,0.0965012885761605,0.111177744370722,"Auca","Dioryctria amatella"
83,0.0959852196046192,0.110049492423964,"Auca","Dioryctria amatella"
84,0.0954719105064184,0.10893242030367,"Auca","Dioryctria amatella"
85,0.0949613465249206,0.107826461789579,"Auca","Dioryctria amatella"
86,0.0944535129823586,0.10673155125796,"Auca","Dioryctria amatella"
87,0.093948395279414,0.105647623676492,"Auca","Dioryctria amatella"
88,0.0934459788947981,0.104574614599021,"Auca","Dioryctria amatella"
89,0.0929462493848354,0.103512460160185,"Auca","Dioryctria amatella"
90,0.0924491923830486,0.102461097069882,"Auca","Dioryctria amatella"
91,0.0919547935997466,0.101420462607609,"Auca","Dioryctria amatella"
92,0.091463038821614,0.100390494616626,"Auca","Dioryctria amatella"
93,0.0909739139113038,0.0993711314979722,"Auca","Dioryctria amatella"
94,0.0904874048070306,0.0983623122042964,"Auca","Dioryctria amatella"
95,0.090003497522168,0.0973639762335227,"Auca","Dioryctria amatella"
96,0.0895221781448464,0.0963760636223216,"Auca","Dioryctria amatella"
97,0.0890434328375537,0.0953985149393909,"Auca","Dioryctria amatella"
98,0.0885672478367388,0.0944312712785347,"Auca","Dioryctria amatella"
99,0.0880936094524156,0.0934742742515335,"Auca","Dioryctria amatella"
100,0.0876225040677707,0.0925274659807959,"Auca","Dioryctria amatella"
101,0.0871539181387726,0.0915907890917866,"Auca","Dioryctria amatella"
102,0.0866878381937815,0.0906641867052183,"Auca","Dioryctria amatella"
103,0.0862242508331649,0.089747602429006,"Auca","Dioryctria amatella"
104,0.0857631427289113,0.0888409803499674,"Auca","Dioryctria amatella"
105,0.0853045006242481,0.0879442650252672,"Auca","Dioryctria amatella"
106,0.0848483113332604,0.0870574014735955,"Auca","Dioryctria amatella"
107,0.0843945617405142,0.0861803351660715,"Auca","Dioryctria amatella"
108,0.0839432388006779,0.0853130120168642,"Auca","Dioryctria amatella"
109,0.0834943295381491,0.0844553783735241,"Auca","Dioryctria amatella"
110,0.0830478210466814,0.0836073810070158,"Auca","Dioryctria amatella"
111,0.0826037004890143,0.0827689671014453,"Auca","Dioryctria amatella"
112,0.0821619550965048,0.0819400842434751,"Auca","Dioryctria amatella"
113,0.0817225721687606,0.0811206804114168,"Auca","Dioryctria amatella"
114,0.0812855390732748,0.080310703963998,"Auca","Dioryctria amatella"
115,0.0808508432450648,0.0795101036287958,"Auca","Dioryctria amatella"
116,0.0804184721863106,0.0787188284903287,"Auca","Dioryctria amatella"
117,0.0799884134659955,0.0779368279778025,"Auca","Dioryctria amatella"
118,0.0795606547195507,0.0771640518525073,"Auca","Dioryctria amatella"
119,0.0791351836484989,0.0764004501948546,"Auca","Dioryctria amatella"
120,0.0787119880201018,0.0756459733910564,"Auca","Dioryctria amatella"
121,0.0782910556670094,0.0749005721194395,"Auca","Dioryctria amatella"
122,0.0778723744869097,0.0741641973363915,"Auca","Dioryctria amatella"
123,0.0774559324421819,0.0734368002619379,"Auca","Dioryctria amatella"
124,0.0770417175595507,0.0727183323649479,"Auca","Dioryctria amatella"
125,0.0766297179297423,0.0720087453479676,"Auca","Dioryctria amatella"
126,0.0762199217071428,0.0713079911316829,"Auca","Dioryctria amatella"
127,0.0758123171094579,0.07061602183901,"Auca","Dioryctria amatella"
128,0.0754068924173749,0.0699327897788195,"Auca","Dioryctria amatella"
129,0.0750036359742255,0.0692582474292941,"Auca","Dioryctria amatella"
130,0.0746025361856523,0.0685923474209274,"Auca","Dioryctria amatella"
131,0.0742035815192745,0.0679350425191668,"Auca","Dioryctria amatella"
132,0.0738067605043579,0.06728628560671,"Auca","Dioryctria amatella"
133,0.0734120617314856,0.0666460296654626,"Auca","Dioryctria amatella"
134,0.0730194738522291,0.0660142277581653,"Auca","Dioryctria amatella"
135,0.072628985578824,0.0653908330097063,"Auca","Dioryctria amatella"
136,0.072240585683845,0.0647757985881262,"Auca","Dioryctria amatella"
137,0.071854262999884,0.0641690776853359,"Auca","Dioryctria amatella"
