"doy","fit","se","Site","validName"
69,0.105209536212783,0.111679626554467,"Auca","Euchlaena amoenaria"
70,0.108290707264975,0.113304766829165,"Auca","Euchlaena amoenaria"
71,0.111461440370186,0.11493948423874,"Auca","Euchlaena amoenaria"
72,0.114723626064271,0.116583385653574,"Auca","Euchlaena amoenaria"
73,0.118079147726429,0.11823611289846,"Auca","Euchlaena amoenaria"
74,0.121529877857483,0.119897348934406,"Auca","Euchlaena amoenaria"
75,0.125077674135239,0.121566824362264,"Auca","Euchlaena amoenaria"
76,0.128724375242109,0.123244324227886,"Auca","Euchlaena amoenaria"
77,0.132471796460588,0.124929695102187,"Auca","Euchlaena amoenaria"
78,0.136321725032649,0.126622852402486,"Auca","Euchlaena amoenaria"
79,0.140275915279653,0.128323787913728,"Auca","Euchlaena amoenaria"
80,0.144336083479947,0.13003257745976,"Auca","Euchlaena amoenaria"
81,0.148503902501986,0.131749388665571,"Auca","Euchlaena amoenaria"
82,0.152780996191498,0.133474488741547,"Auca","Euchlaena amoenaria"
83,0.157168933511993,0.135208252210222,"Auca","Euchlaena amoenaria"
84,0.161669222438757,0.136951168484917,"Auca","Euchlaena amoenaria"
85,0.166283303607354,0.138703849198083,"Auca","Euchlaena amoenaria"
86,0.171012543718643,0.140467035165333,"Auca","Euchlaena amoenaria"
87,0.175858228703345,0.142241602859181,"Auca","Euchlaena amoenaria"
88,0.180821556650307,0.144028570254719,"Auca","Euchlaena amoenaria"
89,0.185903630503776,0.145829101898094,"Auca","Euchlaena amoenaria"
90,0.191105450536236,0.147644513038077,"Auca","Euchlaena amoenaria"
91,0.196427906604699,0.149476272651632,"Auca","Euchlaena amoenaria"
92,0.201871770199679,0.151326005186677,"Auca","Euchlaena amoenaria"
93,0.207437686297571,0.153195490839614,"Auca","Euchlaena amoenaria"
94,0.213126165028617,0.155086664182318,"Auca","Euchlaena amoenaria"
95,0.218937573174261,0.157001610953599,"Auca","Euchlaena amoenaria"
96,0.224872125509293,0.158942562834287,"Auca","Euchlaena amoenaria"
97,0.23092987600588,0.160911890033585,"Auca","Euchlaena amoenaria"
98,0.237110708918321,0.162912091527668,"Auca","Euchlaena amoenaria"
99,0.243414329769131,0.164945782810141,"Auca","Euchlaena amoenaria"
100,0.249840256258913,0.167015681038142,"Auca","Euchlaena amoenaria"
101,0.256387809124287,0.169124587487864,"Auca","Euchlaena amoenaria"
102,0.263056102970077,0.17127536726891,"Auca","Euchlaena amoenaria"
103,0.269844037103824,0.173470926288047,"Auca","Euchlaena amoenaria"
104,0.276750286402615,0.175714185499057,"Auca","Euchlaena amoenaria"
105,0.283773292244145,0.178008052525755,"Auca","Euchlaena amoenaria"
106,0.290911253535813,0.180355390798806,"Auca","Euchlaena amoenaria"
107,0.29816211787754,0.182758986402544,"Auca","Euchlaena amoenaria"
108,0.305523572895872,0.185221512883992,"Auca","Euchlaena amoenaria"
109,0.312993037788694,0.187745494331105,"Auca","Euchlaena amoenaria"
110,0.32056765512168,0.190333267079151,"Auca","Euchlaena amoenaria"
111,0.32824428291924,0.192986940451296,"Auca","Euchlaena amoenaria"
112,0.336019487094352,0.19570835698014,"Auca","Euchlaena amoenaria"
113,0.343889534263127,0.198499052589706,"Auca","Euchlaena amoenaria"
114,0.351850384991356,0.201360217240788,"Auca","Euchlaena amoenaria"
115,0.359897687521517,0.204292656555776,"Auca","Euchlaena amoenaria"
116,0.368026772029803,0.207296754941526,"Auca","Euchlaena amoenaria"
117,0.376232645463695,0.210372440720413,"Auca","Euchlaena amoenaria"
118,0.384509987011293,0.21351915376079,"Auca","Euchlaena amoenaria"
119,0.392853144254204,0.216735816069489,"Auca","Euchlaena amoenaria"
120,0.401256130056101,0.220020805771925,"Auca","Euchlaena amoenaria"
121,0.409712620239139,0.223371934861336,"Auca","Euchlaena amoenaria"
122,0.418215952100269,0.226786431049453,"Auca","Euchlaena amoenaria"
123,0.426759123819062,0.230260923998352,"Auca","Euchlaena amoenaria"
124,0.435334794807924,0.23379143615921,"Auca","Euchlaena amoenaria"
125,0.443935287054587,0.237373378390056,"Auca","Euchlaena amoenaria"
126,0.452552587505423,0.241001550472894,"Auca","Euchlaena amoenaria"
127,0.461178351536468,0.244670146602249,"Auca","Euchlaena amoenaria"
128,0.469803907557065,0.24837276587319,"Auca","Euchlaena amoenaria"
129,0.478420262788665,0.252102427758061,"Auca","Euchlaena amoenaria"
130,0.487018110258647,0.255851592527832,"Auca","Euchlaena amoenaria"
131,0.495587837045919,0.259612186546305,"Auca","Euchlaena amoenaria"
132,0.504119533811635,0.2633756323431,"Auca","Euchlaena amoenaria"
133,0.512603005644545,0.267132883354156,"Auca","Euchlaena amoenaria"
134,0.521027784246272,0.270874463205584,"Auca","Euchlaena amoenaria"
135,0.529383141477269,0.274590509407543,"Auca","Euchlaena amoenaria"
136,0.537658104279232,0.278270821318508,"Auca","Euchlaena amoenaria"
137,0.545841470984472,0.281904912235994,"Auca","Euchlaena amoenaria"
138,0.553921829017027,0.285482065466702,"Auca","Euchlaena amoenaria"
139,0.561887573984351,0.288991394226328,"Auca","Euchlaena amoenaria"
140,0.569726983002263,0.292421962073734,"Auca","Euchlaena amoenaria"
141,0.577430268874724,0.295765045866707,"Auca","Euchlaena amoenaria"
142,0.584990370217942,0.299015069113625,"Auca","Euchlaena amoenaria"
143,0.592400553882852,0.302167057538523,"Auca","Euchlaena amoenaria"
144,0.599654250104354,0.305216463051241,"Auca","Euchlaena amoenaria"
145,0.606745063185288,0.308159173247641,"Auca","Euchlaena amoenaria"
146,0.613666781774911,0.310991518127927,"Auca","Euchlaena amoenaria"
147,0.620413388718289,0.313710274086941,"Auca","Euchlaena amoenaria"
148,0.626979070454528,0.316312665233885,"Auca","Euchlaena amoenaria"
149,0.633358225943405,0.318796362103041,"Auca","Euchlaena amoenaria"
150,0.639545475101533,0.321159477821891,"Auca","Euchlaena amoenaria"
151,0.645535666730969,0.323400561808581,"Auca","Euchlaena amoenaria"
152,0.651323885924796,0.325518591077037,"Auca","Euchlaena amoenaria"
153,0.656905460936068,0.327512959235113,"Auca","Euchlaena amoenaria"
154,0.662275969498186,0.329383463269071,"Auca","Euchlaena amoenaria"
155,0.667431244586626,0.331130288216217,"Auca","Euchlaena amoenaria"
156,0.672367379613705,0.332753989836817,"Auca","Euchlaena amoenaria"
157,0.677080733049868,0.334255475406121,"Auca","Euchlaena amoenaria"
158,0.681567932466776,0.335635982757644,"Auca","Euchlaena amoenaria"
159,0.685825877999229,0.336897057719367,"Auca","Euchlaena amoenaria"
160,0.689851745224733,0.33804053009531,"Auca","Euchlaena amoenaria"
161,0.693642987461219,0.339068488355691,"Auca","Euchlaena amoenaria"
162,0.697197337485129,0.339983253209523,"Auca","Euchlaena amoenaria"
163,0.700512808673734,0.340787350243743,"Auca","Euchlaena amoenaria"
164,0.703587695577137,0.341483481822681,"Auca","Euchlaena amoenaria"
165,0.706420573927004,0.342074498450544,"Auca","Euchlaena amoenaria"
166,0.709010300090522,0.342563369807443,"Auca","Euchlaena amoenaria"
167,0.711356009979569,0.342953155676047,"Auca","Euchlaena amoenaria"
168,0.713457117426424,0.343246976980971,"Auca","Euchlaena amoenaria"
169,0.715313312038679,0.34344798716623,"Auca","Euchlaena amoenaria"
170,0.716924556547237,0.343559344137343,"Auca","Euchlaena amoenaria"
171,0.718291083662462,0.343584182993675,"Auca","Euchlaena amoenaria"
172,0.719413392454618,0.343525589773207,"Auca","Euchlaena amoenaria"
173,0.720292244275774,0.343386576426018,"Auca","Euchlaena amoenaria"
174,0.72092865824124,0.343170057224141,"Auca","Euchlaena amoenaria"
175,0.721323906289508,0.342878826804231,"Auca","Euchlaena amoenaria"
176,0.721479507840369,0.342515540025477,"Auca","Euchlaena amoenaria"
177,0.721397224071631,0.342082693808643,"Auca","Euchlaena amoenaria"
178,0.721079051835404,0.3415826111031,"Auca","Euchlaena amoenaria"
179,0.720527217235487,0.341017427107366,"Auca","Euchlaena amoenaria"
180,0.719744168887778,0.340389077845445,"Auca","Euchlaena amoenaria"
181,0.718732570886021,0.339699291176258,"Auca","Euchlaena amoenaria"
182,0.717495295495458,0.338949580287303,"Auca","Euchlaena amoenaria"
183,0.716035415597135,0.338141239696608,"Auca","Euchlaena amoenaria"
184,0.714356196905752,0.337275343759688,"Auca","Euchlaena amoenaria"
185,0.712461089983965,0.336352747650899,"Auca","Euchlaena amoenaria"
186,0.710353722076014,0.33537409076195,"Auca","Euchlaena amoenaria"
187,0.708037888783458,0.334339802434781,"Auca","Euchlaena amoenaria"
188,0.705517545605608,0.333250109921988,"Auca","Euchlaena amoenaria"
189,0.702796799367007,0.332105048445966,"Auca","Euchlaena amoenaria"
190,0.699879899554025,0.330904473208273,"Auca","Euchlaena amoenaria"
191,0.696771229582238,0.329648073183676,"Auca","Euchlaena amoenaria"
192,0.693475298015868,0.328335386519233,"Auca","Euchlaena amoenaria"
193,0.689996729760077,0.326965817347706,"Auca","Euchlaena amoenaria"
194,0.686340257246379,0.325538653816687,"Auca","Euchlaena amoenaria"
195,0.682510711630884,0.324053087130091,"Auca","Euchlaena amoenaria"
196,0.678513014024445,0.322508231397024,"Auca","Euchlaena amoenaria"
197,0.674352166773177,0.320903144084427,"Auca","Euchlaena amoenaria"
198,0.670033244807063,0.319236846874006,"Auca","Euchlaena amoenaria"
199,0.665561387073728,0.317508346730709,"Auca","Euchlaena amoenaria"
200,0.660941788073633,0.315716656998999,"Auca","Euchlaena amoenaria"
201,0.656179689512249,0.313860818354166,"Auca","Euchlaena amoenaria"
202,0.651280372083915,0.311939919448563,"Auca","Euchlaena amoenaria"
203,0.646249147401319,0.309953117106598,"Auca","Euchlaena amoenaria"
204,0.641091350083719,0.307899655937306,"Auca","Euchlaena amoenaria"
205,0.635812330016153,0.305778887248895,"Auca","Euchlaena amoenaria"
206,0.630417444791095,0.303590287165656,"Auca","Euchlaena amoenaria"
207,0.624912052343139,0.30133347386365,"Auca","Euchlaena amoenaria"
208,0.619301503786464,0.299008223857402,"Auca","Euchlaena amoenaria"
209,0.613591136463991,0.296614487285223,"Auca","Euchlaena amoenaria"
210,0.60778626721629,0.294152402155496,"Auca","Euchlaena amoenaria"
211,0.601892185877492,0.291622307530167,"Auca","Euchlaena amoenaria"
212,0.595914149004618,0.289024755634556,"Auca","Euchlaena amoenaria"
213,0.589857373845937,0.286360522894383,"Auca","Euchlaena amoenaria"
214,0.583727032553171,0.283630619911411,"Auca","Euchlaena amoenaria"
215,0.5775282466416,0.280836300398312,"Auca","Euchlaena amoenaria"
216,0.571266081701323,0.277979069101097,"Auca","Euchlaena amoenaria"
217,0.564945542362257,0.275060688743736,"Auca","Euchlaena amoenaria"
218,0.558571567514658,0.272083186034287,"Auca","Euchlaena amoenaria"
219,0.552149025786325,0.269048856774909,"Auca","Euchlaena amoenaria"
220,0.545682711276952,0.265960270119465,"Auca","Euchlaena amoenaria"
221,0.539177339549418,0.262820272021959,"Auca","Euchlaena amoenaria"
222,0.532637543877248,0.259631987916686,"Auca","Euchlaena amoenaria"
223,0.526067871746842,0.256398824666531,"Auca","Euchlaena amoenaria"
224,0.519472781612516,0.253124471809339,"Auca","Euchlaena amoenaria"
225,0.512856640706278,0.249812906871657,"Auca","Euchlaena amoenaria"
226,0.50622388976958,0.246469368110697,"Auca","Euchlaena amoenaria"
227,0.499579234011983,0.243101371930765,"Auca","Euchlaena amoenaria"
228,0.492927299933311,0.239716582226114,"Auca","Euchlaena amoenaria"
229,0.486272581117578,0.236322454406395,"Auca","Euchlaena amoenaria"
230,0.479619436499283,0.232926195661739,"Auca","Euchlaena amoenaria"
231,0.472972088947005,0.229534729234493,"Auca","Euchlaena amoenaria"
232,0.466334624153849,0.226154662559625,"Auca","Euchlaena amoenaria"
233,0.459710989823972,0.22279225915736,"Auca","Euchlaena amoenaria"
234,0.453104995144082,0.21945341418073,"Auca","Euchlaena amoenaria"
235,0.446520310528585,0.216143633536937,"Auca","Euchlaena amoenaria"
236,0.439960467626843,0.212868016514448,"Auca","Euchlaena amoenaria"
237,0.433428859580846,0.209631241857121,"Auca","Euchlaena amoenaria"
238,0.426928741521513,0.206437557232186,"Auca","Euchlaena amoenaria"
239,0.420463231291749,0.203290772040312,"Auca","Euchlaena amoenaria"
240,0.414035310384389,0.200194253513128,"Auca","Euchlaena amoenaria"
241,0.407647825083137,0.197150926036492,"Auca","Euchlaena amoenaria"
242,0.401303487794703,0.19416327362658,"Auca","Euchlaena amoenaria"
243,0.395004878560388,0.191233345470765,"Auca","Euchlaena amoenaria"
244,0.388754446735505,0.188362764426839,"Auca","Euchlaena amoenaria"
245,0.382554512825164,0.185552738352784,"Auca","Euchlaena amoenaria"
246,0.376407270465122,0.182804074116012,"Auca","Euchlaena amoenaria"
247,0.370314788536604,0.180117194106419,"Auca","Euchlaena amoenaria"
248,0.364279013404209,0.17749215505288,"Auca","Euchlaena amoenaria"
249,0.358301771266277,0.174928668918845,"Auca","Euchlaena amoenaria"
250,0.352384770607334,0.172426125630579,"Auca","Euchlaena amoenaria"
251,0.346529604742533,0.169983617372261,"Auca","Euchlaena amoenaria"
252,0.34073775444428,0.16759996416655,"Auca","Euchlaena amoenaria"
253,0.335010590641558,0.165273740448003,"Auca","Euchlaena amoenaria"
254,0.329349377182759,0.163003302330599,"Auca","Euchlaena amoenaria"
255,0.323755273653198,0.160786815269748,"Auca","Euchlaena amoenaria"
256,0.318229338238766,0.158622281823873,"Auca","Euchlaena amoenaria"
257,0.312772530627566,0.156507569230724,"Auca","Euchlaena amoenaria"
258,0.307385714941689,0.154440436528776,"Auca","Euchlaena amoenaria"
259,0.30206966269166,0.152418560973806,"Auca","Euchlaena amoenaria"
260,0.296825055746415,0.15043956352452,"Auca","Euchlaena amoenaria"
261,0.291652489312025,0.148501033197936,"Auca","Euchlaena amoenaria"
262,0.286552474912744,0.146600550124457,"Auca","Euchlaena amoenaria"
263,0.28152544336829,0.14473570716318,"Auca","Euchlaena amoenaria"
264,0.276571747761623,0.142904129969152,"Auca","Euchlaena amoenaria"
265,0.271691666391828,0.141103495435235,"Auca","Euchlaena amoenaria"
266,0.266885405707029,0.139331548461086,"Auca","Euchlaena amoenaria"
267,0.26215310321262,0.13758611703004,"Auca","Euchlaena amoenaria"
268,0.257494830350396,0.135865125600748,"Auca","Euchlaena amoenaria"
269,0.252910595344505,0.134166606843898,"Auca","Euchlaena amoenaria"
270,0.248400346010437,0.132488711775004,"Auca","Euchlaena amoenaria"
271,0.243963972523586,0.130829718351883,"Auca","Euchlaena amoenaria"
272,0.239601310144189,0.129188038620027,"Auca","Euchlaena amoenaria"
273,0.235312141895764,0.127562224500615,"Auca","Euchlaena amoenaria"
274,0.231096201194412,0.125950972324632,"Auca","Euchlaena amoenaria"
275,0.226953174426645,0.124353126222473,"Auca","Euchlaena amoenaria"
276,0.222882703473622,0.122767680481895,"Auca","Euchlaena amoenaria"
277,0.218884388179972,0.12119378098838,"Auca","Euchlaena amoenaria"
278,0.214957788765556,0.11963072586119,"Auca","Euchlaena amoenaria"
279,0.211102428178813,0.118077965395873,"Auca","Euchlaena amoenaria"
280,0.207317794390501,0.116535101419963,"Auca","Euchlaena amoenaria"
281,0.203603342626871,0.115001886163365,"Auca","Euchlaena amoenaria"
282,0.199958497541514,0.113478220738555,"Auca","Euchlaena amoenaria"
283,0.196382616710926,0.111964252924481,"Auca","Euchlaena amoenaria"
284,0.192874753768395,0.110460980650776,"Auca","Euchlaena amoenaria"
285,0.18943383715699,0.108969759124776,"Auca","Euchlaena amoenaria"
286,0.186058802560204,0.107491938053191,"Auca","Euchlaena amoenaria"
287,0.182748593881081,0.106028844684107,"Auca","Euchlaena amoenaria"
288,0.179502163585426,0.104581770635291,"Auca","Euchlaena amoenaria"
289,0.176318473024061,0.10315196068216,"Auca","Euchlaena amoenaria"
290,0.173196492734753,0.10174060330019,"Auca","Euchlaena amoenaria"
291,0.170135202724425,0.100348822779129,"Auca","Euchlaena amoenaria"
292,0.167133592732271,0.0989776727467289,"Auca","Euchlaena amoenaria"
293,0.164190662474356,0.0976281309579205,"Auca","Euchlaena amoenaria"
294,0.16130542187034,0.0963010952215584,"Auca","Euchlaena amoenaria"
295,0.158476891252867,0.0949973803512038,"Auca","Euchlaena amoenaria"
296,0.155704101560251,0.0937177160389858,"Auca","Euchlaena amoenaria"
297,0.152986094512994,0.0924627455625626,"Auca","Euchlaena amoenaria"
298,0.150321922774732,0.0912330252447064,"Auca","Euchlaena amoenaria"
299,0.147710650098147,0.0900290245931887,"Auca","Euchlaena amoenaria"
300,0.145151351456408,0.0888511270555839,"Auca","Euchlaena amoenaria"
301,0.142643113160672,0.0876996313294553,"Auca","Euchlaena amoenaria"
302,0.140185032964177,0.0865747531732654,"Auca","Euchlaena amoenaria"
303,0.137776220153443,0.085476627667383,"Auca","Euchlaena amoenaria"
304,0.135415795627105,0.0844053118778586,"Auca","Euchlaena amoenaria"
305,0.133102891962856,0.0833607878783204,"Auca","Euchlaena amoenaria"
306,0.130836653473006,0.0823429660875184,"Auca","Euchlaena amoenaria"
307,0.128616236249129,0.0813516888818154,"Auca","Euchlaena amoenaria"
308,0.126440808196267,0.0803867344433999,"Auca","Euchlaena amoenaria"
309,0.124309549057144,0.0794478208062522,"Auca","Euchlaena amoenaria"
310,0.122221650426846,0.0785346100630417,"Auca","Euchlaena amoenaria"
311,0.120176315758391,0.0776467126972178,"Auca","Euchlaena amoenaria"
312,0.118172760359627,0.0767836920056722,"Auca","Euchlaena amoenaria"
313,0.116210211381857,0.0759450685785258,"Auca","Euchlaena amoenaria"
314,0.114287907800611,0.0751303248038955,"Auca","Euchlaena amoenaria"
315,0.11240510038894,0.0743389093669369,"Auca","Euchlaena amoenaria"
316,0.110561051683633,0.0735702417140702,"Auca","Euchlaena amoenaria"
317,0.108755035944707,0.0728237164550833,"Auca","Euchlaena amoenaria"
318,0.106986339108558,0.0720987076777623,"Auca","Euchlaena amoenaria"
319,0.10525425873509,0.0713945731518258,"Auca","Euchlaena amoenaria"
320,0.103558103949198,0.0707106584011946,"Auca","Euchlaena amoenaria"
321,0.101897195376904,0.0700463006260168,"Auca","Euchlaena amoenaria"
322,0.100270865076486,0.069400832458327,"Auca","Euchlaena amoenaria"
323,0.0986784564649033,0.0687735855377372,"Auca","Euchlaena amoenaria"
324,0.097119324239815,0.0681638938960887,"Auca","Euchlaena amoenaria"
325,0.0955928342974897,0.0675710971425006,"Auca","Euchlaena amoenaria"
326,0.0940983636468813,0.0669945434427078,"Auca","Euchlaena amoenaria"
327,0.0926353003201459,0.0664335922889416,"Auca","Euchlaena amoenaria"
328,0.0912030432798613,0.065887617058851,"Auca","Euchlaena amoenaria"
329,0.0898010023232034,0.0653560073640638,"Auca","Euchlaena amoenaria"
