"doy","fit","se","Site","validName"
69,2.22044604925031e-16,3.04705834213585e-13,"Auca","Euchlaena deplanaria"
70,2.22044604925031e-16,2.98797444462151e-13,"Auca","Euchlaena deplanaria"
71,2.22044604925031e-16,2.92891124909828e-13,"Auca","Euchlaena deplanaria"
72,2.22044604925031e-16,2.8698883992322e-13,"Auca","Euchlaena deplanaria"
73,2.22044604925031e-16,2.81092553959765e-13,"Auca","Euchlaena deplanaria"
74,2.22044604925031e-16,2.7520423157015e-13,"Auca","Euchlaena deplanaria"
75,2.22044604925031e-16,2.69325837401102e-13,"Auca","Euchlaena deplanaria"
76,2.22044604925031e-16,2.63459336198568e-13,"Auca","Euchlaena deplanaria"
77,2.22044604925031e-16,2.57606692811348e-13,"Auca","Euchlaena deplanaria"
78,2.22044604925031e-16,2.51769872195194e-13,"Auca","Euchlaena deplanaria"
79,2.22044604925031e-16,2.45950839417436e-13,"Auca","Euchlaena deplanaria"
80,2.22044604925031e-16,2.40151559662185e-13,"Auca","Euchlaena deplanaria"
81,2.22044604925031e-16,2.34373998236171e-13,"Auca","Euchlaena deplanaria"
82,2.22044604925031e-16,2.28620120575278e-13,"Auca","Euchlaena deplanaria"
83,2.22044604925031e-16,2.22891892251862e-13,"Auca","Euchlaena deplanaria"
84,2.22044604925031e-16,2.1719127898293e-13,"Auca","Euchlaena deplanaria"
85,2.22044604925031e-16,2.11520246639282e-13,"Auca","Euchlaena deplanaria"
86,2.22044604925031e-16,2.05880761255727e-13,"Auca","Euchlaena deplanaria"
87,2.22044604925031e-16,2.0027478904251e-13,"Auca","Euchlaena deplanaria"
88,2.22044604925031e-16,1.94704296398079e-13,"Auca","Euchlaena deplanaria"
89,2.22044604925031e-16,1.89171249923385e-13,"Auca","Euchlaena deplanaria"
90,2.22044604925031e-16,1.83677616437895e-13,"Auca","Euchlaena deplanaria"
91,2.22044604925031e-16,1.78225362997544e-13,"Auca","Euchlaena deplanaria"
92,2.22044604925031e-16,1.72816456914892e-13,"Auca","Euchlaena deplanaria"
93,2.22044604925031e-16,1.6745286578179e-13,"Auca","Euchlaena deplanaria"
94,2.22044604925031e-16,1.62136557494894e-13,"Auca","Euchlaena deplanaria"
