"doy","fit","se","Site","validName"
69,0.0410581723938744,0.0628739980994653,"Auca","Heterocampa subrotata"
70,0.0410919428907274,0.0626494500090443,"Auca","Heterocampa subrotata"
71,0.0411257406587574,0.0624250707286099,"Auca","Heterocampa subrotata"
72,0.0411595652139685,0.0622008706384197,"Auca","Heterocampa subrotata"
73,0.0411934160707181,0.0619768600444232,"Auca","Heterocampa subrotata"
74,0.0412272927417139,0.0617530491746,"Auca","Heterocampa subrotata"
75,0.0412611947380107,0.0615294481753806,"Auca","Heterocampa subrotata"
76,0.0412951215690069,0.0613060671081581,"Auca","Heterocampa subrotata"
77,0.0413290727424421,0.0610829159458932,"Auca","Heterocampa subrotata"
78,0.0413630477643934,0.0608600045698207,"Auca","Heterocampa subrotata"
79,0.0413970461392727,0.0606373427662618,"Auca","Heterocampa subrotata"
80,0.0414310673698238,0.0604149402235491,"Auca","Heterocampa subrotata"
81,0.0414651109571197,0.0601928065290689,"Auca","Heterocampa subrotata"
82,0.0414991764005597,0.0599709511664302,"Auca","Heterocampa subrotata"
83,0.0415332631978666,0.0597493835127633,"Auca","Heterocampa subrotata"
84,0.0415673708450839,0.0595281128361583,"Auca","Heterocampa subrotata"
85,0.0416014988365737,0.0593071482932478,"Auca","Heterocampa subrotata"
86,0.0416356466650138,0.0590864989269434,"Auca","Heterocampa subrotata"
87,0.0416698138213952,0.0588661736643315,"Auca","Heterocampa subrotata"
88,0.0417039997950198,0.0586461813147374,"Auca","Heterocampa subrotata"
89,0.041738204073498,0.0584265305679657,"Auca","Heterocampa subrotata"
90,0.0417724261427464,0.0582072299927238,"Auca","Heterocampa subrotata"
91,0.0418066654869857,0.0579882880352389,"Auca","Heterocampa subrotata"
92,0.0418409215887385,0.0577697130180759,"Auca","Heterocampa subrotata"
93,0.0418751939288267,0.0575515131391651,"Auca","Heterocampa subrotata"
94,0.0419094819863705,0.0573336964710494,"Auca","Heterocampa subrotata"
95,0.0419437852387854,0.0571162709603604,"Auca","Heterocampa subrotata"
96,0.0419781031617809,0.056899244427533,"Auca","Heterocampa subrotata"
97,0.0420124352293584,0.0566826245667668,"Auca","Heterocampa subrotata"
98,0.0420467809138097,0.0564664189462482,"Auca","Heterocampa subrotata"
99,0.0420811396857147,0.0562506350086397,"Auca","Heterocampa subrotata"
100,0.0421155110139406,0.0560352800718493,"Auca","Heterocampa subrotata"
101,0.0421498943656397,0.0558203613300907,"Auca","Heterocampa subrotata"
102,0.0421842892062479,0.0556058858552446,"Auca","Heterocampa subrotata"
103,0.0422186949994838,0.0553918605985339,"Auca","Heterocampa subrotata"
104,0.0422531112073466,0.0551782923925237,"Auca","Heterocampa subrotata"
105,0.0422875372901154,0.0549651879534582,"Auca","Heterocampa subrotata"
106,0.0423219727063476,0.0547525538839476,"Auca","Heterocampa subrotata"
107,0.042356416912878,0.0545403966760163,"Auca","Heterocampa subrotata"
108,0.0423908693648174,0.0543287227145265,"Auca","Heterocampa subrotata"
109,0.0424253295155518,0.0541175382809903,"Auca","Heterocampa subrotata"
110,0.0424597968167413,0.0539068495577826,"Auca","Heterocampa subrotata"
111,0.0424942707183195,0.0536966626327698,"Auca","Heterocampa subrotata"
112,0.0425287506684923,0.0534869835043686,"Auca","Heterocampa subrotata"
113,0.0425632361137374,0.0532778180870473,"Auca","Heterocampa subrotata"
114,0.0425977264988034,0.0530691722172867,"Auca","Heterocampa subrotata"
115,0.0426322212667097,0.0528610516600143,"Auca","Heterocampa subrotata"
116,0.0426667198587453,0.0526534621155266,"Auca","Heterocampa subrotata"
117,0.0427012217144689,0.0524464092269166,"Auca","Heterocampa subrotata"
118,0.0427357262717082,0.0522398985880208,"Auca","Heterocampa subrotata"
119,0.0427702329665598,0.0520339357519027,"Auca","Heterocampa subrotata"
