"doy","fit","se","Site","validName"
69,0.00768305027126228,0.0224229904181583,"Auca","Hypomecis umbrosaria"
70,0.00798710114839855,0.0229718215792666,"Auca","Hypomecis umbrosaria"
71,0.00830316518937625,0.0235299684910724,"Auca","Hypomecis umbrosaria"
72,0.0086316960822674,0.0240974120068051,"Auca","Hypomecis umbrosaria"
73,0.00897316298266716,0.0246741277088628,"Auca","Hypomecis umbrosaria"
74,0.00932805093274409,0.0252600863504741,"Auca","Hypomecis umbrosaria"
75,0.00969686128492316,0.0258552543855314,"Auca","Hypomecis umbrosaria"
76,0.0100801121297878,0.0264595945937059,"Auca","Hypomecis umbrosaria"
77,0.0104783387277493,0.0270730668081572,"Auca","Hypomecis umbrosaria"
78,0.0108920939439923,0.0276956287533122,"Auca","Hypomecis umbrosaria"
79,0.0113219486861633,0.0283272370002966,"Auca","Hypomecis umbrosaria"
80,0.0117684923442259,0.0289678480476505,"Auca","Hypomecis umbrosaria"
81,0.0122323332318629,0.0296174195349338,"Auca","Hypomecis umbrosaria"
82,0.0127140990287552,0.0302759115967046,"Auca","Hypomecis umbrosaria"
83,0.0132144372230234,0.0309432883641312,"Auca","Hypomecis umbrosaria"
84,0.0137340155530638,0.0316195196211502,"Auca","Hypomecis umbrosaria"
85,0.0142735224479593,0.0323045826215854,"Auca","Hypomecis umbrosaria"
86,0.0148336674655934,0.0329984640729839,"Auca","Hypomecis umbrosaria"
87,0.0154151817275378,0.0337011622920709,"Auca","Hypomecis umbrosaria"
88,0.016018818349726,0.034412689535658,"Auca","Hypomecis umbrosaria"
89,0.0166453528678689,0.0351330745095243,"Auca","Hypomecis umbrosaria"
90,0.017295583656505,0.0358623650562,"Auca","Hypomecis umbrosaria"
91,0.0179703323405151,0.0366006310206955,"Auca","Hypomecis umbrosaria"
92,0.0186704441978693,0.0373479672909852,"Auca","Hypomecis umbrosaria"
93,0.0193967885523066,0.0381044970074704,"Auca","Hypomecis umbrosaria"
94,0.0201502591545814,0.0388703749326541,"Auca","Hypomecis umbrosaria"
95,0.0209317745508412,0.0396457909688533,"Auca","Hypomecis umbrosaria"
96,0.0217422784366327,0.0404309738079246,"Auca","Hypomecis umbrosaria"
97,0.0225827399949604,0.0412261946926608,"Auca","Hypomecis umbrosaria"
98,0.0234541542167514,0.0420317712647346,"Auca","Hypomecis umbrosaria"
99,0.0243575422020059,0.0428480714688076,"Auca","Hypomecis umbrosaria"
100,0.0252939514398423,0.0436755174767142,"Auca","Hypomecis umbrosaria"
101,0.0262644560655685,0.0445145895894935,"Auca","Hypomecis umbrosaria"
102,0.0272701570928394,0.0453658300685289,"Auca","Hypomecis umbrosaria"
103,0.0283121826188849,0.0462298468402452,"Auca","Hypomecis umbrosaria"
104,0.0293916880007183,0.0471073170117878,"Auca","Hypomecis umbrosaria"
105,0.0305098560001618,0.047998990128021,"Auca","Hypomecis umbrosaria"
106,0.0316678968954503,0.0489056910931618,"Auca","Hypomecis umbrosaria"
107,0.0328670485571046,0.0498283226736305,"Auca","Hypomecis umbrosaria"
108,0.0341085764856904,0.0507678674924567,"Auca","Hypomecis umbrosaria"
109,0.0353937738090112,0.0517253894200892,"Auca","Hypomecis umbrosaria"
110,0.0367239612362125,0.0527020342620107,"Auca","Hypomecis umbrosaria"
111,0.0381004869662109,0.053699029640448,"Auca","Hypomecis umbrosaria"
112,0.0395247265477934,0.0547176839660221,"Auca","Hypomecis umbrosaria"
113,0.0409980826886726,0.055759384395714,"Auca","Hypomecis umbrosaria"
114,0.042521985010726,0.0568255936763448,"Auca","Hypomecis umbrosaria"
115,0.0440978897485889,0.0579178457781422,"Auca","Hypomecis umbrosaria"
116,0.0457272793887222,0.05903774023114,"Auca","Hypomecis umbrosaria"
117,0.0474116622460285,0.0601869350882631,"Auca","Hypomecis umbrosaria"
118,0.0491525719750474,0.0613671384530712,"Auca","Hypomecis umbrosaria"
119,0.0509515670127236,0.0625800985272252,"Auca","Hypomecis umbrosaria"
120,0.0528102299497125,0.0638275921526369,"Auca","Hypomecis umbrosaria"
121,0.0547301668271606,0.0651114118456787,"Auca","Hypomecis umbrosaria"
122,0.0567130063558807,0.0664333513453443,"Auca","Hypomecis umbrosaria"
123,0.0587603990548322,0.067795189723327,"Auca","Hypomecis umbrosaria"
124,0.0608740163058135,0.0691986741309735,"Auca","Hypomecis umbrosaria"
125,0.0630555493212776,0.0706455012852669,"Auca","Hypomecis umbrosaria"
126,0.065306708022199,0.0721372978226434,"Auca","Hypomecis umbrosaria"
127,0.0676292198229397,0.0736755996748076,"Auca","Hypomecis umbrosaria"
128,0.0700248283201049,0.0752618306441139,"Auca","Hypomecis umbrosaria"
129,0.0724952918824118,0.0768972803769343,"Auca","Hypomecis umbrosaria"
130,0.0750423821386617,0.0785830819513475,"Auca","Hypomecis umbrosaria"
131,0.077667882360968,0.0803201893102214,"Auca","Hypomecis umbrosaria"
132,0.0803735857404752,0.0821093547823449,"Auca","Hypomecis umbrosaria"
133,0.0831612935528959,0.0839511069429385,"Auca","Hypomecis umbrosaria"
134,0.0860328132113023,0.0858457290711422,"Auca","Hypomecis umbrosaria"
135,0.0889899562037286,0.0877932384666557,"Auca","Hypomecis umbrosaria"
136,0.092034535913276,0.0897933668915483,"Auca","Hypomecis umbrosaria"
137,0.0951683653185654,0.0918455424074505,"Auca","Hypomecis umbrosaria"
138,0.0983932545725485,0.0939488728841412,"Auca","Hypomecis umbrosaria"
139,0.101711008457871,0.0961021314642857,"Auca","Hypomecis umbrosaria"
140,0.105123419380766,0.0983037497363476,"Auca","Hypomecis umbrosaria"
141,0.108632094127365,0.100552041829971,"Auca","Hypomecis umbrosaria"
142,0.112238368157829,0.102845401730066,"Auca","Hypomecis umbrosaria"
143,0.11594348770658,0.105182121237936,"Auca","Hypomecis umbrosaria"
144,0.119748616838395,0.107560381231268,"Auca","Hypomecis umbrosaria"
145,0.123654830108258,0.109978260040817,"Auca","Hypomecis umbrosaria"
146,0.127663104993825,0.112433742637696,"Auca","Hypomecis umbrosaria"
147,0.131774314110603,0.114924730631142,"Auca","Hypomecis umbrosaria"
148,0.135989217221592,0.117449053072873,"Auca","Hypomecis umbrosaria"
149,0.140308453054851,0.120004478059024,"Auca","Hypomecis umbrosaria"
150,0.144732530944215,0.122588725113921,"Auca","Hypomecis umbrosaria"
151,0.14926182231028,0.125199478331667,"Auca","Hypomecis umbrosaria"
152,0.15389655200064,0.127834400241587,"Auca","Hypomecis umbrosaria"
153,0.158636789510344,0.130491146351993,"Auca","Hypomecis umbrosaria"
154,0.163482440105535,0.133167380313477,"Auca","Hypomecis umbrosaria"
155,0.168433235875298,0.135860789628056,"Auca","Hypomecis umbrosaria"
156,0.173488726738792,0.138569101814064,"Auca","Hypomecis umbrosaria"
157,0.178648271436853,0.141290100918695,"Auca","Hypomecis umbrosaria"
158,0.183911028539371,0.144021644250805,"Auca","Hypomecis umbrosaria"
159,0.189275947501807,0.146761679186053,"Auca","Hypomecis umbrosaria"
160,0.194741759806363,0.149508259874941,"Auca","Hypomecis umbrosaria"
161,0.20030697022532,0.152259563662148,"Auca","Hypomecis umbrosaria"
162,0.205969848246127,0.155013907002995,"Auca","Hypomecis umbrosaria"
163,0.211728419699751,0.157769760640449,"Auca","Hypomecis umbrosaria"
164,0.217580458635727,0.16052576378426,"Auca","Hypomecis umbrosaria"
165,0.223523479489095,0.163280737013237,"Auca","Hypomecis umbrosaria"
166,0.229554729586159,0.166033693603016,"Auca","Hypomecis umbrosaria"
167,0.235671182037543,0.16878384896581,"Auca","Hypomecis umbrosaria"
168,0.241869529068442,0.171530627876358,"Auca","Hypomecis umbrosaria"
169,0.248146175837237,0.174273669150722,"Auca","Hypomecis umbrosaria"
170,0.254497234794728,0.177012827442663,"Auca","Hypomecis umbrosaria"
171,0.2609185206371,0.179748171827172,"Auca","Hypomecis umbrosaria"
172,0.267405545906407,0.182479980853487,"Auca","Hypomecis umbrosaria"
173,0.273953517292756,0.185208733771521,"Auca","Hypomecis umbrosaria"
174,0.280557332692544,0.187935097667142,"Auca","Hypomecis umbrosaria"
175,0.287211579076953,0.190659910283868,"Auca","Hypomecis umbrosaria"
176,0.29391053122448,0.193384158361806,"Auca","Hypomecis umbrosaria"
177,0.30064815137054,0.196108951389438,"Auca","Hypomecis umbrosaria"
178,0.307418089826081,0.198835490739757,"Auca","Hypomecis umbrosaria"
179,0.31421368661572,0.201565034248919,"Auca","Hypomecis umbrosaria"
180,0.321027974184119,0.204298856391631,"Auca","Hypomecis umbrosaria"
181,0.327853681217092,0.207038204311439,"Auca","Hypomecis umbrosaria"
182,0.33468323762143,0.209784250073536,"Auca","Hypomecis umbrosaria"
183,0.341508780704385,0.212538039619966,"Auca","Hypomecis umbrosaria"
184,0.348322162590414,0.215300439018814,"Auca","Hypomecis umbrosaria"
185,0.355114958908981,0.218072078706609,"Auca","Hypomecis umbrosaria"
186,0.361878478782988,0.220853296522739,"Auca","Hypomecis umbrosaria"
187,0.368603776142799,0.223644080422372,"Auca","Hypomecis umbrosaria"
188,0.375281662385772,0.226444011826376,"Auca","Hypomecis umbrosaria"
189,0.381902720395785,0.229252210619705,"Auca","Hypomecis umbrosaria"
190,0.388457319931405,0.232067282840803,"Auca","Hypomecis umbrosaria"
191,0.394935634385126,0.234887272111828,"Auca","Hypomecis umbrosaria"
192,0.40132765890955,0.237709615841789,"Auca","Hypomecis umbrosaria"
193,0.407623229899468,0.240531107191906,"Auca","Hypomecis umbrosaria"
194,0.413812045811543,0.243347863725741,"Auca","Hypomecis umbrosaria"
195,0.41988368929583,0.24615530357777,"Auca","Hypomecis umbrosaria"
196,0.425827650605561,0.248948129866066,"Auca","Hypomecis umbrosaria"
197,0.431633352243682,0.251720323951224,"Auca","Hypomecis umbrosaria"
198,0.437290174796433,0.254465148008717,"Auca","Hypomecis umbrosaria"
199,0.442787483896032,0.257175157239989,"Auca","Hypomecis umbrosaria"
200,0.448114658246112,0.259842221903138,"Auca","Hypomecis umbrosaria"
201,0.453261118635204,0.262457559201307,"Auca","Hypomecis umbrosaria"
202,0.458216357855181,0.26501177492963,"Auca","Hypomecis umbrosaria"
