"doy","fit","se","Site","validName"
69,5.96823847340719e-10,1.31412369535683e-08,"Auca","Hypsoropha hormos"
70,6.90571110045628e-10,1.50851367205746e-08,"Auca","Hypsoropha hormos"
71,7.99029129155087e-10,1.73161586960329e-08,"Auca","Hypsoropha hormos"
72,9.24486887347768e-10,1.9876343831043e-08,"Auca","Hypsoropha hormos"
73,1.06958377156463e-09,2.28137902027597e-08,"Auca","Hypsoropha hormos"
74,1.23736186893021e-09,2.61835045325657e-08,"Auca","Hypsoropha hormos"
75,1.43132578470709e-09,3.00483692786881e-08,"Auca","Hypsoropha hormos"
76,1.65551100833032e-09,3.44802402239947e-08,"Auca","Hypsoropha hormos"
77,1.91456198294814e-09,3.95611912680508e-08,"Auca","Hypsoropha hormos"
78,2.21382117764952e-09,4.53849251106868e-08,"Auca","Hypsoropha hormos"
79,2.55943062092752e-09,5.20583706979137e-08,"Auca","Hypsoropha hormos"
80,2.95844753020207e-09,5.97034907062916e-08,"Auca","Hypsoropha hormos"
81,3.41897586671844e-09,6.84593249851436e-08,"Auca","Hypsoropha hormos"
82,3.95031585917915e-09,7.84842987738204e-08,"Auca","Hypsoropha hormos"
83,4.56313377438007e-09,8.99588276798007e-08,"Auca","Hypsoropha hormos"
84,5.26965447018524e-09,1.0308825485821e-07,"Auca","Hypsoropha hormos"
85,6.08387954662006e-09,1.18106159589065e-07,"Auca","Hypsoropha hormos"
86,7.02183421579506e-09,1.35278080517908e-07,"Auca","Hypsoropha hormos"
87,8.10184634176798e-09,1.5490570121927e-07,"Auca","Hypsoropha hormos"
88,9.34486145806812e-09,1.7733155046815e-07,"Auca","Hypsoropha hormos"
89,1.07747979539506e-08,2.029442746662e-07,"Auca","Hypsoropha hormos"
90,1.24189470306785e-08,2.32184545265335e-07,"Auca","Hypsoropha hormos"
91,1.43084224660002e-08,2.6555166975471e-07,"Auca","Hypsoropha hormos"
92,1.64786656877276e-08,3.03610980812692e-07,"Auca","Hypsoropha hormos"
93,1.8970012144566e-08,3.47002084549818e-07,"Auca","Hypsoropha hormos"
94,2.18283254719749e-08,3.96448055347258e-07,"Auca","Hypsoropha hormos"
95,2.51057064799082e-08,4.52765671581163e-07,"Auca","Hypsoropha hormos"
96,2.88612845338137e-08,5.1687679345447e-07,"Auca","Hypsoropha hormos"
97,3.31620994551772e-08,5.89820991156077e-07,"Auca","Hypsoropha hormos"
98,3.80840826267582e-08,6.72769538534741e-07,"Auca","Hypsoropha hormos"
99,4.37131465425515e-08,7.67040894291458e-07,"Auca","Hypsoropha hormos"
100,5.0146392583936e-08,8.74117799216089e-07,"Auca","Hypsoropha hormos"
101,5.74934473199475e-08,9.956661240486e-07,"Auca","Hypsoropha hormos"
102,6.5877938107787e-08,1.13355560793205e-06,"Auca","Hypsoropha hormos"
103,7.54391191937906e-08,1.28988263190692e-06,"Auca","Hypsoropha hormos"
104,8.63336598672645e-08,1.4669951752072e-06,"Auca","Hypsoropha hormos"
105,9.8737606478963e-08,1.6675201039454e-06,"Auca","Hypsoropha hormos"
106,1.12848530279517e-07,1.89439294177285e-06,"Auca","Hypsoropha hormos"
107,1.28887873034413e-07,2.1508902698801e-06,"Auca","Hypsoropha hormos"
108,1.47103502202273e-07,2.44066489882926e-06,"Auca","Hypsoropha hormos"
109,1.67772487090091e-07,2.76778394671099e-06,"Auca","Hypsoropha hormos"
110,1.91204106787866e-07,3.13676994647695e-06,"Auca","Hypsoropha hormos"
111,2.17743099797866e-07,3.55264508945689e-06,"Auca","Hypsoropha hormos"
112,2.47773164070278e-07,4.02097869143905e-06,"Auca","Hypsoropha hormos"
113,2.81720714594378e-07,4.5479379416491e-06,"Auca","Hypsoropha hormos"
114,3.20058903727715e-07,5.14034196286122e-06,"Auca","Hypsoropha hormos"
115,3.63311907029233e-07,5.80571917206022e-06,"Auca","Hypsoropha hormos"
116,4.12059474448323e-07,6.55236788488231e-06,"Auca","Hypsoropha hormos"
117,4.66941743264078e-07,7.38942005285526e-06,"Auca","Hypsoropha hormos"
118,5.28664305121048e-07,8.32690795961618e-06,"Auca","Hypsoropha hormos"
119,5.9800351482649e-07,9.3758336302558e-06,"Auca","Hypsoropha hormos"
120,6.75812023219257e-07,1.05482406262357e-05,"Auca","Hypsoropha hormos"
121,7.63024510357052e-07,1.18572878065712e-05,"Auca","Hypsoropha hormos"
122,8.60663588470116e-07,1.33173245339407e-05,"Auca","Hypsoropha hormos"
123,9.69845836575163e-07,1.49439666919823e-05,"Auca","Hypsoropha hormos"
124,1.09178792032841e-06,1.67541727574359e-05,"Auca","Hypsoropha hormos"
125,1.22781274162469e-06,1.87663190383496e-05,"Auca","Hypsoropha hormos"
126,1.37935555264528e-06,2.10002730479774e-05,"Auca","Hypsoropha hormos"
127,1.54796995855949e-06,2.3477463834253e-05,"Auca","Hypsoropha hormos"
128,1.73533372195871e-06,2.62209479282158e-05,"Auca","Hypsoropha hormos"
129,1.94325427043013e-06,2.92554694132564e-05,"Auca","Hypsoropha hormos"
130,2.17367379657778e-06,3.26075124528104e-05,"Auca","Hypsoropha hormos"
131,2.4286738274095e-06,3.63053444498506e-05,"Auca","Hypsoropha hormos"
132,2.71047912750608e-06,4.0379047850446e-05,"Auca","Hypsoropha hormos"
133,3.0214607879799e-06,4.48605384495343e-05,"Auca","Hypsoropha hormos"
134,3.36413834115501e-06,4.97835679141544e-05,"Auca","Hypsoropha hormos"
135,3.74118072943822e-06,5.51837081125351e-05,"Auca","Hypsoropha hormos"
136,4.15540594631066e-06,6.10983147319191e-05,"Auca","Hypsoropha hormos"
137,4.60977915810223e-06,6.75664675896195e-05,"Auca","Hypsoropha hormos"
138,5.107409107593e-06,7.46288849966729e-05,"Auca","Hypsoropha hormos"
139,5.65154259492799e-06,8.23278095280862e-05,"Auca","Hypsoropha hormos"
140,6.24555662033522e-06,9.07068608808687e-05,"Auca","Hypsoropha hormos"
141,6.89293959724717e-06,9.98107866947285e-05,"Auca","Hypsoropha hormos"
142,7.59727130519027e-06,0.000109685199971294,"Auca","Hypsoropha hormos"
143,8.36221350315325e-06,0.00012037638794686,"Auca","Hypsoropha hormos"
144,9.19149031342432e-06,0.000131931017138683,"Auca","Hypsoropha hormos"
145,1.0088864638105e-05,0.000144395790712402,"Auca","Hypsoropha hormos"
146,1.10581110939694e-05,0.000157817062391041,"Auca","Hypsoropha hormos"
147,1.2102985348632e-05,0.000172240406221346,"Auca","Hypsoropha hormos"
148,1.32271897801146e-05,0.000187710142091523,"Auca","Hypsoropha hormos"
149,1.44343354280581e-05,0.000204268817554143,"Auca","Hypsoropha hormos"
150,1.57279002581266e-05,0.000221956647247626,"Auca","Hypsoropha hormos"
151,1.711118382154e-05,0.000240810912025449,"Auca","Hypsoropha hormos"
152,1.85872584589598e-05,0.000260865320788368,"Auca","Hypsoropha hormos"
153,2.0158917271719e-05,0.000282149338962984,"Auca","Hypsoropha hormos"
154,2.18286191630412e-05,0.000304687488569256,"Auca","Hypsoropha hormos"
155,2.3598431336583e-05,0.000328498625856411,"Auca","Hypsoropha hormos"
156,2.54699697283063e-05,0.000353595203545095,"Auca","Hypsoropha hormos"
157,2.74443379390073e-05,0.000379982525774592,"Auca","Hypsoropha hormos"
158,2.95220653272548e-05,0.000407658004896349,"Auca","Hypsoropha hormos"
159,3.1703045014205e-05,0.000436610430255053,"Auca","Hypsoropha hormos"
160,3.39864726407476e-05,0.000466819260030614,"Auca","Hypsoropha hormos"
161,3.63707868014637e-05,0.000498253948051172,"Auca","Hypsoropha hormos"
162,3.88536121565298e-05,0.000530873318200298,"Auca","Hypsoropha hormos"
163,4.14317062894516e-05,0.000564624999601763,"Auca","Hypsoropha hormos"
164,4.41009114327401e-05,0.000599444936143965,"Auca","Hypsoropha hormos"
165,4.68561122226814e-05,0.000635256984074825,"Auca","Hypsoropha hormos"
166,4.96912006656356e-05,0.000671972611330893,"Auca","Hypsoropha hormos"
167,5.25990494993026e-05,0.000709490711937226,"Auca","Hypsoropha hormos"
168,5.55714951108653e-05,0.00074769754820741,"Auca","Hypsoropha hormos"
169,5.85993311278555e-05,0.000786466832569905,"Auca","Hypsoropha hormos"
170,6.16723137253343e-05,0.000825659959636686,"Auca","Hypsoropha hormos"
171,6.47791795934314e-05,0.000865126397609282,"Auca","Hypsoropha hormos"
172,6.79076773817787e-05,0.000904704246287447,"Auca","Hypsoropha hormos"
173,7.10446132819424e-05,0.000944220966817315,"Auca","Hypsoropha hormos"
174,7.41759112263037e-05,0.000983494285907121,"Auca","Hypsoropha hormos"
175,7.72866879734065e-05,0.00102233327457567,"Auca","Hypsoropha hormos"
176,8.03613431178155e-05,0.00106053959861704,"Auca","Hypsoropha hormos"
177,8.33836638100868e-05,0.00109790893490818,"Auca","Hypsoropha hormos"
178,8.63369437033102e-05,0.00113423254450459,"Auca","Hypsoropha hormos"
179,8.92041153615681e-05,0.00116929899022406,"Auca","Hypsoropha hormos"
180,9.19678950777782e-05,0.00120289598317238,"Auca","Hypsoropha hormos"
181,9.46109387598198e-05,0.001234812339491,"Auca","Hypsoropha hormos"
182,9.71160072609866e-05,0.00126484002557769,"Auca","Hypsoropha hormos"
183,9.94661392606166e-05,0.00129277626722525,"Auca","Hypsoropha hormos"
184,0.000101644829550235,0.00131842569561564,"Auca","Hypsoropha hormos"
185,0.000103636210356942,0.00134160250097447,"Auca","Hypsoropha hormos"
186,0.000105425233145987,0.00136213256300315,"Auca","Hypsoropha hormos"
187,0.000106997848195131,0.00137985552602816,"Auca","Hypsoropha hormos"
188,0.00010834117913059,0.0013946267861971,"Auca","Hypsoropha hormos"
189,0.000109443689563218,0.00140631935805184,"Auca","Hypsoropha hormos"
190,0.000110295338968368,0.00141482558845748,"Auca","Hypsoropha hormos"
191,0.000110887725016667,0.00142005868717791,"Auca","Hypsoropha hormos"
192,0.00011121420968729,0.00142195404537026,"Auca","Hypsoropha hormos"
193,0.000111270026680481,0.00142047031590688,"Auca","Hypsoropha hormos"
194,0.00011105236789058,0.00141559023269578,"Auca","Hypsoropha hormos"
195,0.000110560447001696,0.0014073211500103,"Auca","Hypsoropha hormos"
196,0.000109795538620572,0.00139569528719224,"Auca","Hypsoropha hormos"
197,0.000108760991759081,0.00138076966887997,"Auca","Hypsoropha hormos"
198,0.000107462216914224,0.00136262575603909,"Auca","Hypsoropha hormos"
199,0.000105906646457561,0.00134136876843275,"Auca","Hypsoropha hormos"
200,0.000104103668528497,0.00131712670464341,"Auca","Hypsoropha hormos"
201,0.000102064535115763,0.00129004907122722,"Auca","Hypsoropha hormos"
202,9.98022454973022e-05,0.00126030533791691,"Auca","Hypsoropha hormos"
203,9.73314066786744e-05,0.0012280831408646,"Auca","Hypsoropha hormos"
204,9.46680729126531e-05,0.0011935862606083,"Auca","Hypsoropha hormos"
205,9.18295667863414e-05,0.00115703240563886,"Auca","Hypsoropha hormos"
206,8.88342847169361e-05,0.00111865083603426,"Auca","Hypsoropha hormos"
207,8.57014899936069e-05,0.00107867986452215,"Auca","Hypsoropha hormos"
208,8.24510967333671e-05,0.00103736427445792,"Auca","Hypsoropha hormos"
209,7.9103448277031e-05,0.00099495269550794,"Auca","Hypsoropha hormos"
210,7.56790936332681e-05,0.000951694978273278,"Auca","Hypsoropha hormos"
211,7.21985655823521e-05,0.000907839608667849,"Auca","Hypsoropha hormos"
212,6.86821639763773e-05,0.000863631201588145,"Auca","Hypsoropha hormos"
213,6.51497476218035e-05,0.000819308111315227,"Auca","Hypsoropha hormos"
214,6.16205379073724e-05,0.000775100193229747,"Auca","Hypsoropha hormos"
215,5.81129370520694e-05,0.00073122674787559,"Auca","Hypsoropha hormos"
216,5.46443635017741e-05,0.000687894674270653,"Auca","Hypsoropha hormos"
217,5.12311066092284e-05,0.000645296854746191,"Auca","Hypsoropha hormos"
218,4.78882023004948e-05,0.00060361078861793,"Auca","Hypsoropha hormos"
219,4.46293309739442e-05,0.000562997486784112,"Auca","Hypsoropha hormos"
220,4.14667384068932e-05,0.000523600634038424,"Auca","Hypsoropha hormos"
221,3.84111799726177e-05,0.000485546020613028,"Auca","Hypsoropha hormos"
222,3.54718880083955e-05,0.000448941239355762,"Auca","Hypsoropha hormos"
223,3.26565617347926e-05,0.00041387564011606,"Auca","Hypsoropha hormos"
224,2.99713787178625e-05,0.000380420528474123,"Auca","Hypsoropha hormos"
225,2.74210297100949e-05,0.000348629630892951,"Auca","Hypsoropha hormos"
226,2.50093854140603e-05,0.000318547207410421,"Auca","Hypsoropha hormos"
227,2.27399764365263e-05,0.000290213943878955,"Auca","Hypsoropha hormos"
228,2.06145327824216e-05,0.000263649287356438,"Auca","Hypsoropha hormos"
229,1.86329767105952e-05,0.000238851312029589,"Auca","Hypsoropha hormos"
230,1.67936465812226e-05,0.000215799367185808,"Auca","Hypsoropha hormos"
231,1.50935210522646e-05,0.000194456721163577,"Auca","Hypsoropha hormos"
232,1.35284385052743e-05,0.000174773143250827,"Auca","Hypsoropha hormos"
233,1.20933074602807e-05,0.000156687375701519,"Auca","Hypsoropha hormos"
234,1.07823046114272e-05,0.000140129458081274,"Auca","Hypsoropha hormos"
235,9.58905795093407e-06,0.000125022875719118,"Auca","Hypsoropha hormos"
236,8.50681322637987e-06,0.000111286512891985,"Auca","Hypsoropha hormos"
237,7.52858267895261e-06,9.88363993288809e-05,"Auca","Hypsoropha hormos"
238,6.64727562751597e-06,8.75872455833512e-05,"Auca","Hypsoropha hormos"
239,5.8558109894788e-06,7.74537687336285e-05,"Auca","Hypsoropha hormos"
240,5.14721226328452e-06,6.83518147249752e-05,"Auca","Hypsoropha hormos"
241,4.51468584119615e-06,6.01992875025252e-05,"Auca","Hypsoropha hormos"
242,3.9516837801107e-06,5.29168979600977e-05,"Auca","Hypsoropha hormos"
243,3.45195233961296e-06,4.64287477368853e-05,"Auca","Hypsoropha hormos"
244,3.00956770899874e-06,4.06627641299262e-05,"Auca","Hypsoropha hormos"
245,2.61896039793906e-06,3.55510029631243e-05,"Auca","Hypsoropha hormos"
246,2.27492976846857e-06,3.10298362724486e-05,"Auca","Hypsoropha hormos"
247,1.9726501485296e-06,2.70400412380107e-05,"Auca","Hypsoropha hormos"
248,1.70766989837262e-06,2.35268060170733e-05,"Auca","Hypsoropha hormos"
249,1.47590470894453e-06,2.04396670989593e-05,"Auca","Hypsoropha hormos"
250,1.2736263033465e-06,1.77323915944692e-05,"Auca","Hypsoropha hormos"
