"doy","fit","se","Site","validName"
69,36214922387166.5,245634814338234272,"Auca","Hypsoropha monilis"
70,2.22044604925031e-16,7.08605435141946e-12,"Auca","Hypsoropha monilis"
71,2.22044604925031e-16,1.5678169760594e-11,"Auca","Hypsoropha monilis"
72,2.22044604925031e-16,2.42702851714321e-11,"Auca","Hypsoropha monilis"
73,2.22044604925031e-16,3.28624005826631e-11,"Auca","Hypsoropha monilis"
74,2.22044604925031e-16,4.14545159940172e-11,"Auca","Hypsoropha monilis"
75,2.22044604925031e-16,5.00466314054452e-11,"Auca","Hypsoropha monilis"
76,2.22044604925031e-16,5.86387468169096e-11,"Auca","Hypsoropha monilis"
77,2.22044604925031e-16,6.72308622283937e-11,"Auca","Hypsoropha monilis"
78,2.22044604925031e-16,7.58229776398985e-11,"Auca","Hypsoropha monilis"
79,2.22044604925031e-16,8.44150930514121e-11,"Auca","Hypsoropha monilis"
80,2.22044604925031e-16,9.30072084629338e-11,"Auca","Hypsoropha monilis"
81,2.22044604925031e-16,1.01599323874458e-10,"Auca","Hypsoropha monilis"
82,2.22044604925031e-16,1.10191439285991e-10,"Auca","Hypsoropha monilis"
83,2.22044604925031e-16,1.18783554697527e-10,"Auca","Hypsoropha monilis"
84,2.22044604925031e-16,1.27375670109064e-10,"Auca","Hypsoropha monilis"
85,2.22044604925031e-16,1.35967785520603e-10,"Auca","Hypsoropha monilis"
86,2.22044604925031e-16,1.44559900932146e-10,"Auca","Hypsoropha monilis"
87,2.22044604925031e-16,1.53152016343688e-10,"Auca","Hypsoropha monilis"
88,2.22044604925031e-16,1.61744131755233e-10,"Auca","Hypsoropha monilis"
89,2.22044604925031e-16,1.70336247166777e-10,"Auca","Hypsoropha monilis"
90,2.22044604925031e-16,1.78928362578325e-10,"Auca","Hypsoropha monilis"
91,2.22044604925031e-16,1.87520477989871e-10,"Auca","Hypsoropha monilis"
92,2.22044604925031e-16,1.9611259340142e-10,"Auca","Hypsoropha monilis"
93,2.22044604925031e-16,2.04704708812967e-10,"Auca","Hypsoropha monilis"
94,2.22044604925031e-16,2.13296824224518e-10,"Auca","Hypsoropha monilis"
95,2.22044604925031e-16,2.21888939636067e-10,"Auca","Hypsoropha monilis"
96,2.22044604925031e-16,2.30481055047616e-10,"Auca","Hypsoropha monilis"
97,2.22044604925031e-16,2.39073170459167e-10,"Auca","Hypsoropha monilis"
98,2.22044604925031e-16,2.47665285870717e-10,"Auca","Hypsoropha monilis"
99,2.22044604925031e-16,2.56257401282269e-10,"Auca","Hypsoropha monilis"
100,2.22044604925031e-16,2.6484951669382e-10,"Auca","Hypsoropha monilis"
101,2.22044604925031e-16,2.73441632105371e-10,"Auca","Hypsoropha monilis"
102,2.22044604925031e-16,2.82033747516922e-10,"Auca","Hypsoropha monilis"
103,2.22044604925031e-16,2.90625862928474e-10,"Auca","Hypsoropha monilis"
104,2.22044604925031e-16,2.99217978340027e-10,"Auca","Hypsoropha monilis"
105,2.22044604925031e-16,3.07810093751579e-10,"Auca","Hypsoropha monilis"
106,2.22044604925031e-16,3.16402209163132e-10,"Auca","Hypsoropha monilis"
107,2.22044604925031e-16,3.24994324574683e-10,"Auca","Hypsoropha monilis"
108,2.22044604925031e-16,3.33586439986235e-10,"Auca","Hypsoropha monilis"
109,2.22044604925031e-16,3.42178555397789e-10,"Auca","Hypsoropha monilis"
110,2.22044604925031e-16,3.50770670809341e-10,"Auca","Hypsoropha monilis"
111,2.22044604925031e-16,3.59362786220894e-10,"Auca","Hypsoropha monilis"
112,2.22044604925031e-16,3.67954901632447e-10,"Auca","Hypsoropha monilis"
113,2.22044604925031e-16,3.76547017044e-10,"Auca","Hypsoropha monilis"
114,2.22044604925031e-16,3.85139132455553e-10,"Auca","Hypsoropha monilis"
115,2.22044604925031e-16,3.93731247867106e-10,"Auca","Hypsoropha monilis"
116,2.22044604925031e-16,4.02323363278659e-10,"Auca","Hypsoropha monilis"
117,2.22044604925031e-16,4.10915478690212e-10,"Auca","Hypsoropha monilis"
118,2.22044604925031e-16,4.19507594101765e-10,"Auca","Hypsoropha monilis"
119,2.22044604925031e-16,4.28099709513319e-10,"Auca","Hypsoropha monilis"
120,2.22044604925031e-16,4.36691824924872e-10,"Auca","Hypsoropha monilis"
121,2.22044604925031e-16,4.45283940336425e-10,"Auca","Hypsoropha monilis"
122,2.22044604925031e-16,4.53876055747979e-10,"Auca","Hypsoropha monilis"
123,2.22044604925031e-16,4.62468171159532e-10,"Auca","Hypsoropha monilis"
124,2.22044604925031e-16,4.71060286571085e-10,"Auca","Hypsoropha monilis"
125,2.22044604925031e-16,4.79652401982638e-10,"Auca","Hypsoropha monilis"
126,2.22044604925031e-16,4.88244517394192e-10,"Auca","Hypsoropha monilis"
127,2.22044604925031e-16,4.96836632805746e-10,"Auca","Hypsoropha monilis"
128,2.22044604925031e-16,5.05428748217299e-10,"Auca","Hypsoropha monilis"
129,2.22044604925031e-16,5.14020863628853e-10,"Auca","Hypsoropha monilis"
130,2.22044604925031e-16,5.22612979040407e-10,"Auca","Hypsoropha monilis"
131,2.22044604925031e-16,5.3120509445196e-10,"Auca","Hypsoropha monilis"
132,2.22044604925031e-16,5.39797209863513e-10,"Auca","Hypsoropha monilis"
133,2.22044604925031e-16,5.48389325275067e-10,"Auca","Hypsoropha monilis"
134,2.22044604925031e-16,5.56981440686621e-10,"Auca","Hypsoropha monilis"
135,2.22044604925031e-16,5.65573556098174e-10,"Auca","Hypsoropha monilis"
136,2.22044604925031e-16,5.74165671509728e-10,"Auca","Hypsoropha monilis"
137,2.22044604925031e-16,5.82757786921282e-10,"Auca","Hypsoropha monilis"
138,2.22044604925031e-16,5.91349902332835e-10,"Auca","Hypsoropha monilis"
139,2.22044604925031e-16,5.99942017744389e-10,"Auca","Hypsoropha monilis"
140,2.22044604925031e-16,6.08534133155942e-10,"Auca","Hypsoropha monilis"
141,2.22044604925031e-16,6.17126248567496e-10,"Auca","Hypsoropha monilis"
142,2.22044604925031e-16,6.25718363979049e-10,"Auca","Hypsoropha monilis"
143,2.22044604925031e-16,6.34310479390603e-10,"Auca","Hypsoropha monilis"
144,2.22044604925031e-16,6.42902594802157e-10,"Auca","Hypsoropha monilis"
145,2.22044604925031e-16,6.5149471021371e-10,"Auca","Hypsoropha monilis"
146,2.22044604925031e-16,6.60086825625264e-10,"Auca","Hypsoropha monilis"
147,2.22044604925031e-16,6.68678941036818e-10,"Auca","Hypsoropha monilis"
148,2.22044604925031e-16,6.77271056448371e-10,"Auca","Hypsoropha monilis"
149,2.22044604925031e-16,6.85863171859925e-10,"Auca","Hypsoropha monilis"
150,2.22044604925031e-16,6.94455287271479e-10,"Auca","Hypsoropha monilis"
151,2.22044604925031e-16,7.03047402683032e-10,"Auca","Hypsoropha monilis"
152,2.22044604925031e-16,7.11639518094586e-10,"Auca","Hypsoropha monilis"
153,2.22044604925031e-16,7.20231633506139e-10,"Auca","Hypsoropha monilis"
154,2.22044604925031e-16,7.28823748917693e-10,"Auca","Hypsoropha monilis"
155,2.22044604925031e-16,7.37415864329247e-10,"Auca","Hypsoropha monilis"
156,2.22044604925031e-16,7.460079797408e-10,"Auca","Hypsoropha monilis"
157,2.22044604925031e-16,7.54600095152354e-10,"Auca","Hypsoropha monilis"
158,2.22044604925031e-16,7.63192210563908e-10,"Auca","Hypsoropha monilis"
159,2.22044604925031e-16,7.71784325975461e-10,"Auca","Hypsoropha monilis"
160,2.22044604925031e-16,7.80376441387015e-10,"Auca","Hypsoropha monilis"
161,2.22044604925031e-16,7.88968556798569e-10,"Auca","Hypsoropha monilis"
162,2.22044604925031e-16,7.97560672210122e-10,"Auca","Hypsoropha monilis"
163,2.22044604925031e-16,8.06152787621676e-10,"Auca","Hypsoropha monilis"
164,2.22044604925031e-16,8.1474490303323e-10,"Auca","Hypsoropha monilis"
165,2.22044604925031e-16,8.23337018444783e-10,"Auca","Hypsoropha monilis"
166,2.22044604925031e-16,8.31929133856337e-10,"Auca","Hypsoropha monilis"
167,2.22044604925031e-16,8.4052124926789e-10,"Auca","Hypsoropha monilis"
