"doy","fit","se","Site","validName"
69,0.140765926762305,0.209151433654421,"Auca","Idia aemula"
70,0.142039583324239,0.206188810237585,"Auca","Idia aemula"
71,0.143323395731878,0.20320645801482,"Auca","Idia aemula"
72,0.144616050557411,0.200208197354455,"Auca","Idia aemula"
73,0.14591618495824,0.197198356822218,"Auca","Idia aemula"
74,0.147222385893218,0.194181793428667,"Auca","Idia aemula"
75,0.14853318947215,0.191163911132714,"Auca","Idia aemula"
76,0.14984708044716,0.188150676873557,"Auca","Idia aemula"
77,0.151162491854666,0.185148633251973,"Auca","Idia aemula"
78,0.15247780481681,0.182164906812105,"Auca","Idia aemula"
79,0.153791348511305,0.179207210689137,"Auca","Idia aemula"
80,0.155101400318615,0.176283840191885,"Auca","Idia aemula"
81,0.156406186155426,0.173403659691299,"Auca","Idia aemula"
82,0.157703881003228,0.170576078999599,"Auca","Idia aemula"
83,0.158992609640702,0.167811017269537,"Auca","Idia aemula"
84,0.160270447588429,0.16511885234455,"Auca","Idia aemula"
85,0.161535422274123,0.162510353480578,"Auca","Idia aemula"
86,0.16278551442628,0.159996595477144,"Auca","Idia aemula"
87,0.164018659703734,0.157588852540795,"Auca","Idia aemula"
88,0.165232750568101,0.155298470699906,"Auca","Idia aemula"
89,0.166425638405558,0.15313671833112,"Auca","Idia aemula"
90,0.167595135903753,0.151114615364486,"Auca","Idia aemula"
91,0.168739019688938,0.14924274300106,"Auca","Idia aemula"
92,0.169855033227597,0.14753103726225,"Auca","Idia aemula"
93,0.170940889995983,0.145988571309052,"Auca","Idia aemula"
94,0.17199427692,0.144623333088891,"Auca","Idia aemula"
95,0.173012858086819,0.143442006313994,"Auca","Idia aemula"
96,0.173994278728495,0.142449763848906,"Auca","Idia aemula"
97,0.174936169476643,0.141650083089405,"Auca","Idia aemula"
98,0.175836150885926,0.141044592692404,"Auca","Idia aemula"
99,0.176691838222775,0.14063295898321,"Auca","Idia aemula"
100,0.177500846514294,0.140412818543031,"Auca","Idia aemula"
101,0.178260795850829,0.140379761001617,"Auca","Idia aemula"
102,0.178969316934089,0.140527363166684,"Auca","Idia aemula"
103,0.179624056861107,0.140847272621351,"Auca","Idia aemula"
104,0.180222685132646,0.14132933613945,"Auca","Idia aemula"
105,0.180762899872953,0.141961765994484,"Auca","Idia aemula"
106,0.181242434246013,0.142731335675915,"Auca","Idia aemula"
107,0.181659063051685,0.143623595769826,"Auca","Idia aemula"
108,0.182010609483342,0.144623100790098,"Auca","Idia aemula"
109,0.182294952026838,0.14571363844608,"Auca","Idia aemula"
110,0.182510031478855,0.146878454026675,"Auca","Idia aemula"
111,0.18265385806096,0.148100464067747,"Auca","Idia aemula"
112,0.182724518603978,0.149362455057669,"Auca","Idia aemula"
113,0.182720183775618,0.150647264465494,"Auca","Idia aemula"
114,0.182639115322748,0.151937942733749,"Auca","Idia aemula"
115,0.182479673298148,0.153217895996287,"Auca","Idia aemula"
116,0.182240323240212,0.154471010135958,"Auca","Idia aemula"
117,0.181919643272738,0.155681757393744,"Auca","Idia aemula"
118,0.181516331090802,0.156835287108562,"Auca","Idia aemula"
119,0.181029210797678,0.157917502344547,"Auca","Idia aemula"
120,0.180457239556902,0.158915124193204,"Auca","Idia aemula"
121,0.179799514022913,0.159815745462474,"Auca","Idia aemula"
122,0.179055276513178,0.160607875319529,"Auca","Idia aemula"
123,0.178223920884448,0.161280976268381,"Auca","Idia aemula"
124,0.177304998075714,0.161825494639908,"Auca","Idia aemula"
125,0.176298221280576,0.162232885566955,"Auca","Idia aemula"
126,0.175203470712171,0.16249563322199,"Auca","Idia aemula"
127,0.174020797924434,0.16260726691608,"Auca","Idia aemula"
128,0.172750429654401,0.162562373499312,"Auca","Idia aemula"
129,0.171392771151421,0.162356606365441,"Auca","Idia aemula"
130,0.169948408960637,0.161986691247067,"Auca","Idia aemula"
131,0.168418113129776,0.161450428890575,"Auca","Idia aemula"
132,0.166802838810324,0.160746694620305,"Auca","Idia aemula"
133,0.16510372722642,0.159875434736523,"Auca","Idia aemula"
134,0.163322105987354,0.15883765963914,"Auca","Idia aemula"
135,0.161459488722339,0.157635433526198,"Auca","Idia aemula"
136,0.159517574019309,0.156271860480343,"Auca","Idia aemula"
137,0.157498243652759,0.154751066725447,"Auca","Idia aemula"
138,0.15540356008918,0.15307817880683,"Auca","Idia aemula"
139,0.153235763262362,0.151259297420164,"Auca","Idia aemula"
140,0.150997307841581,0.1493015507179,"Auca","Idia aemula"
141,0.148692393013999,0.147216147955285,"Auca","Idia aemula"
142,0.146327295618388,0.145018801586342,"Auca","Idia aemula"
143,0.143908338936732,0.142725391698901,"Auca","Idia aemula"
144,0.141441731413075,0.140351545704629,"Auca","Idia aemula"
145,0.138933548258922,0.137912519014011,"Auca","Idia aemula"
146,0.136389714753288,0.135423085521451,"Auca","Idia aemula"
147,0.133815991235376,0.132897437964994,"Auca","Idia aemula"
148,0.131217959775526,0.130349098244541,"Auca","Idia aemula"
149,0.128601012498771,0.127790837806199,"Auca","Idia aemula"
150,0.125970341525103,0.125234608226218,"Auca","Idia aemula"
151,0.123330930481386,0.122691482152375,"Auca","Idia aemula"
152,0.120687547531782,0.120171604779,"Auca","Idia aemula"
153,0.118044739866547,0.11768415603884,"Auca","Idia aemula"
154,0.115406829583084,0.115237323684695,"Auca","Idia aemula"
155,0.112777910888222,0.112838287400544,"Auca","Idia aemula"
156,0.110161848546706,0.110493214020779,"Auca","Idia aemula"
157,0.107562277497877,0.108207263843657,"Auca","Idia aemula"
158,0.104982603560359,0.105984607899876,"Auca","Idia aemula"
159,0.102426005143255,0.103828455880801,"Auca","Idia aemula"
160,0.0998954358818025,0.101741094248045,"Auca","Idia aemula"
161,0.0973936281155844,0.0997239338446129,"Auca","Idia aemula"
162,0.0949230971281713,0.0977775661186163,"Auca","Idia aemula"
163,0.0924861460684363,0.0959018268664014,"Auca","Idia aemula"
164,0.0900848714756526,0.0940958662168351,"Auca","Idia aemula"
165,0.0877211693328006,0.0923582234260236,"Auca","Idia aemula"
166,0.0853967415752106,0.0906869049437626,"Auca","Idia aemula"
167,0.0831131029846952,0.0890794641584325,"Auca","Idia aemula"
168,0.0808715884026202,0.0875330812307641,"Auca","Idia aemula"
169,0.0786733601988692,0.0860446414893913,"Auca","Idia aemula"
170,0.076519415937333,0.0846108109784572,"Auca","Idia aemula"
171,0.0744105961823376,0.0832281079118816,"Auca","Idia aemula"
172,0.0723475923942885,0.0818929689894668,"Auca","Idia aemula"
173,0.0703309548666989,0.0806018097541829,"Auca","Idia aemula"
174,0.0683611006606571,0.0793510784046139,"Auca","Idia aemula"
175,0.0664383214966417,0.0781373027091456,"Auca","Idia aemula"
176,0.064562791567377,0.076957129888082,"Auca","Idia aemula"
177,0.062734575239119,0.0758073595277836,"Auca","Idia aemula"
178,0.0609536346123442,0.0746849697609614,"Auca","Idia aemula"
179,0.0592198369162681,0.0735871370858714,"Auca","Idia aemula"
180,0.0575329617149305,0.0725112503031656,"Auca","Idia aemula"
181,0.0558927079057294,0.0714549191234045,"Auca","Idia aemula"
182,0.0542987004942762,0.0704159780431356,"Auca","Idia aemula"
183,0.0527504971322493,0.0693924861064475,"Auca","Idia aemula"
184,0.0512475944075576,0.0683827231661168,"Auca","Idia aemula"
185,0.0497894338785754,0.0673851832381658,"Auca","Idia aemula"
186,0.0483754078464799,0.0663985655100578,"Auca","Idia aemula"
187,0.0470048648618124,0.0654217635197661,"Auca","Idia aemula"
188,0.0456771149632985,0.064453852973998,"Auca","Idia aemula"
189,0.0443914346486994,0.0634940786218456,"Auca","Idia aemula"
190,0.0431470715790406,0.0625418405474196,"Auca","Idia aemula"
191,0.0419432490189731,0.0615966801934377,"Auca","Idia aemula"
192,0.0407791700172757,0.060658266378627,"Auca","Idia aemula"
193,0.0396540213326153,0.0597263815260949,"Auca","Idia aemula"
194,0.0385669771106478,0.0588009082781015,"Auca","Idia aemula"
195,0.0375172023193789,0.0578818166352378,"Auca","Idia aemula"
196,0.0365038559504148,0.0569691517249428,"Auca","Idia aemula"
197,0.0355260939943316,0.056063022275513,"Auca","Idia aemula"
198,0.0345830721988833,0.0551635898470592,"Auca","Idia aemula"
199,0.0336739486191658,0.0542710588499842,"Auca","Idia aemula"
200,0.0327978859691537,0.0533856673641571,"Auca","Idia aemula"
201,0.0319540537842591,0.0525076787577249,"Auca","Idia aemula"
202,0.031141630404711,0.0516373740930673,"Auca","Idia aemula"
203,0.0303598047896395,0.0507750452984449,"Auca","Idia aemula"
204,0.0296077781717866,0.0499209890770977,"Auca","Idia aemula"
205,0.0288847655627385,0.0490755015206251,"Auca","Idia aemula"
206,0.0281899971185195,0.0482388733901674,"Auca","Idia aemula"
207,0.0275227193752837,0.0474113860269731,"Auca","Idia aemula"
208,0.0268821963647149,0.0465933078531782,"Auca","Idia aemula"
209,0.0262677106185901,0.0457848914238683,"Auca","Idia aemula"
210,0.0256785640717903,0.0449863709926004,"Auca","Idia aemula"
211,0.0251140788728571,0.0441979605544118,"Auca","Idia aemula"
212,0.024573598110996,0.0434198523328449,"Auca","Idia aemula"
213,0.0240564864682312,0.042652215680615,"Auca","Idia aemula"
214,0.0235621308052157,0.041895196367192,"Auca","Idia aemula"
215,0.0230899406890058,0.0411489162307495,"Auca","Idia aemula"
216,0.0226393488709228,0.0404134731766705,"Auca","Idia aemula"
217,0.0222098117224497,0.0396889415101135,"Auca","Idia aemula"
218,0.0218008096369509,0.0389753725961144,"Auca","Idia aemula"
219,0.0214118474048613,0.038272795847413,"Auca","Idia aemula"
220,0.0210424545698751,0.0375812200477903,"Auca","Idia aemula"
221,0.020692185773569,0.036900635027332,"Auca","Idia aemula"
222,0.0203606210958312,0.036231013715927,"Auca","Idia aemula"
223,0.0200473663984372,0.0355723146127159,"Auca","Idia aemula"
224,0.0197520536791159,0.0349244847224384,"Auca","Idia aemula"
225,0.0194743416047403,0.0342874651357737,"Auca","Idia aemula"
226,0.0192139494661545,0.0336616313585173,"Auca","Idia aemula"
227,0.0189706964711015,0.0330482832817801,"Auca","Idia aemula"
228,0.0187444346003682,0.032448743587324,"Auca","Idia aemula"
229,0.0185350396947215,0.0318642311398358,"Auca","Idia aemula"
230,0.0183424130478089,0.0312958721372743,"Auca","Idia aemula"
231,0.0181664830529042,0.0307447111372809,"Auca","Idia aemula"
232,0.0180072069192607,0.0302117219276917,"Auca","Idia aemula"
233,0.0178645724748354,0.029697818220545,"Auca","Idia aemula"
