"doy","fit","se","Site","validName"
69,2.22044604925031e-16,3.8293166825465e-13,"Auca","Iridopsis defectaria"
70,2.22044604925031e-16,3.80649684802848e-13,"Auca","Iridopsis defectaria"
71,2.22044604925031e-16,3.78370828536346e-13,"Auca","Iridopsis defectaria"
72,2.22044604925031e-16,3.76095224545713e-13,"Auca","Iridopsis defectaria"
73,2.22044604925031e-16,3.73822995667561e-13,"Auca","Iridopsis defectaria"
74,2.22044604925031e-16,3.71554262412356e-13,"Auca","Iridopsis defectaria"
75,2.22044604925031e-16,3.69289142892617e-13,"Auca","Iridopsis defectaria"
76,2.22044604925031e-16,3.67027752751548e-13,"Auca","Iridopsis defectaria"
77,2.22044604925031e-16,3.64770205092186e-13,"Auca","Iridopsis defectaria"
78,2.22044604925031e-16,3.62516610407105e-13,"Auca","Iridopsis defectaria"
79,2.22044604925031e-16,3.60267076508768e-13,"Auca","Iridopsis defectaria"
80,2.22044604925031e-16,3.58021708460586e-13,"Auca","Iridopsis defectaria"
81,2.22044604925031e-16,3.55780608508756e-13,"Auca","Iridopsis defectaria"
82,2.22044604925031e-16,3.53543876014978e-13,"Auca","Iridopsis defectaria"
83,2.22044604925031e-16,3.51311607390118e-13,"Auca","Iridopsis defectaria"
84,2.22044604925031e-16,3.49083896028909e-13,"Auca","Iridopsis defectaria"
85,2.22044604925031e-16,3.46860832245794e-13,"Auca","Iridopsis defectaria"
86,2.22044604925031e-16,3.44642503211995e-13,"Auca","Iridopsis defectaria"
87,2.22044604925031e-16,3.42428992893923e-13,"Auca","Iridopsis defectaria"
88,2.22044604925031e-16,3.40220381993024e-13,"Auca","Iridopsis defectaria"
89,2.22044604925031e-16,3.38016747887182e-13,"Auca","Iridopsis defectaria"
90,2.22044604925031e-16,3.35818164573798e-13,"Auca","Iridopsis defectaria"
91,2.22044604925031e-16,3.33624702614658e-13,"Auca","Iridopsis defectaria"
92,2.22044604925031e-16,3.31436429082724e-13,"Auca","Iridopsis defectaria"
93,2.22044604925031e-16,3.29253407510982e-13,"Auca","Iridopsis defectaria"
94,2.22044604925031e-16,3.2707569784348e-13,"Auca","Iridopsis defectaria"
95,2.22044604925031e-16,3.24903356388708e-13,"Auca","Iridopsis defectaria"
96,2.22044604925031e-16,3.22736435775464e-13,"Auca","Iridopsis defectaria"
97,2.22044604925031e-16,3.20574984911362e-13,"Auca","Iridopsis defectaria"
98,2.22044604925031e-16,3.18419048944147e-13,"Auca","Iridopsis defectaria"
99,2.22044604925031e-16,3.16268669225994e-13,"Auca","Iridopsis defectaria"
100,2.22044604925031e-16,3.14123883280942e-13,"Auca","Iridopsis defectaria"
101,2.22044604925031e-16,3.11984724775677e-13,"Auca","Iridopsis defectaria"
102,2.22044604925031e-16,3.09851223493826e-13,"Auca","Iridopsis defectaria"
103,2.22044604925031e-16,3.07723405313976e-13,"Auca","Iridopsis defectaria"
104,2.22044604925031e-16,3.0560129219161e-13,"Auca","Iridopsis defectaria"
105,2.22044604925031e-16,3.03484902145189e-13,"Auca","Iridopsis defectaria"
106,2.22044604925031e-16,3.01374249246572e-13,"Auca","Iridopsis defectaria"
107,2.22044604925031e-16,2.99269343616034e-13,"Auca","Iridopsis defectaria"
108,2.22044604925031e-16,2.97170191422092e-13,"Auca","Iridopsis defectaria"
109,2.22044604925031e-16,2.95076794886407e-13,"Auca","Iridopsis defectaria"
110,2.22044604925031e-16,2.92989152293999e-13,"Auca","Iridopsis defectaria"
111,2.22044604925031e-16,2.90907258009056e-13,"Auca","Iridopsis defectaria"
112,2.22044604925031e-16,2.888311024966e-13,"Auca","Iridopsis defectaria"
113,2.22044604925031e-16,2.86760672350309e-13,"Auca","Iridopsis defectaria"
114,2.22044604925031e-16,2.84695950326781e-13,"Auca","Iridopsis defectaria"
115,2.22044604925031e-16,2.82636915386566e-13,"Auca","Iridopsis defectaria"
116,2.22044604925031e-16,2.80583542742274e-13,"Auca","Iridopsis defectaria"
117,2.22044604925031e-16,2.78535803914103e-13,"Auca","Iridopsis defectaria"
118,2.22044604925031e-16,2.7649366679314e-13,"Auca","Iridopsis defectaria"
119,2.22044604925031e-16,2.74457095712801e-13,"Auca","Iridopsis defectaria"
120,2.22044604925031e-16,2.72426051528784e-13,"Auca","Iridopsis defectaria"
121,2.22044604925031e-16,2.70400491707948e-13,"Auca","Iridopsis defectaria"
