"doy","fit","se","Site","validName"
69,2.22044604925031e-16,4.41232035172261e-10,"Auca","Leucanopsis longa"
70,2.22044604925031e-16,4.40262854291216e-10,"Auca","Leucanopsis longa"
71,2.22044604925031e-16,4.39294556385515e-10,"Auca","Leucanopsis longa"
72,2.22044604925031e-16,4.38327147306835e-10,"Auca","Leucanopsis longa"
73,2.22044604925031e-16,4.37360632953234e-10,"Auca","Leucanopsis longa"
74,2.22044604925031e-16,4.36395019269543e-10,"Auca","Leucanopsis longa"
75,2.22044604925031e-16,4.35430312247757e-10,"Auca","Leucanopsis longa"
76,2.22044604925031e-16,4.34466517927445e-10,"Auca","Leucanopsis longa"
77,2.22044604925031e-16,4.33503642396142e-10,"Auca","Leucanopsis longa"
78,2.22044604925031e-16,4.32541691789763e-10,"Auca","Leucanopsis longa"
79,2.22044604925031e-16,4.31580672293006e-10,"Auca","Leucanopsis longa"
80,2.22044604925031e-16,4.30620590139766e-10,"Auca","Leucanopsis longa"
81,2.22044604925031e-16,4.29661451613548e-10,"Auca","Leucanopsis longa"
82,2.22044604925031e-16,4.28703263047889e-10,"Auca","Leucanopsis longa"
83,2.22044604925031e-16,4.27746030826771e-10,"Auca","Leucanopsis longa"
84,2.22044604925031e-16,4.26789761385055e-10,"Auca","Leucanopsis longa"
85,2.22044604925031e-16,4.25834461208896e-10,"Auca","Leucanopsis longa"
86,2.22044604925031e-16,4.24880136836184e-10,"Auca","Leucanopsis longa"
87,2.22044604925031e-16,4.23926794856968e-10,"Auca","Leucanopsis longa"
88,2.22044604925031e-16,4.22974441913899e-10,"Auca","Leucanopsis longa"
89,2.22044604925031e-16,4.22023084702663e-10,"Auca","Leucanopsis longa"
90,2.22044604925031e-16,4.21072729972426e-10,"Auca","Leucanopsis longa"
91,2.22044604925031e-16,4.20123384526281e-10,"Auca","Leucanopsis longa"
92,2.22044604925031e-16,4.1917505522169e-10,"Auca","Leucanopsis longa"
93,2.22044604925031e-16,4.18227748970942e-10,"Auca","Leucanopsis longa"
94,2.22044604925031e-16,4.17281472741601e-10,"Auca","Leucanopsis longa"
95,2.22044604925031e-16,4.16336233556968e-10,"Auca","Leucanopsis longa"
96,2.22044604925031e-16,4.15392038496539e-10,"Auca","Leucanopsis longa"
97,2.22044604925031e-16,4.14448894696465e-10,"Auca","Leucanopsis longa"
98,2.22044604925031e-16,4.13506809350025e-10,"Auca","Leucanopsis longa"
99,2.22044604925031e-16,4.12565789708088e-10,"Auca","Leucanopsis longa"
100,2.22044604925031e-16,4.1162584307959e-10,"Auca","Leucanopsis longa"
101,2.22044604925031e-16,4.10686976832006e-10,"Auca","Leucanopsis longa"
102,2.22044604925031e-16,4.09749198391829e-10,"Auca","Leucanopsis longa"
103,2.22044604925031e-16,4.0881251524505e-10,"Auca","Leucanopsis longa"
104,2.22044604925031e-16,4.07876934937644e-10,"Auca","Leucanopsis longa"
105,2.22044604925031e-16,4.06942465076052e-10,"Auca","Leucanopsis longa"
106,2.22044604925031e-16,4.06009113327676e-10,"Auca","Leucanopsis longa"
107,2.22044604925031e-16,4.05076887421365e-10,"Auca","Leucanopsis longa"
108,2.22044604925031e-16,4.04145795147916e-10,"Auca","Leucanopsis longa"
109,2.22044604925031e-16,4.03215844360568e-10,"Auca","Leucanopsis longa"
110,2.22044604925031e-16,4.02287042975503e-10,"Auca","Leucanopsis longa"
111,2.22044604925031e-16,4.01359398972352e-10,"Auca","Leucanopsis longa"
112,2.22044604925031e-16,4.00432920394696e-10,"Auca","Leucanopsis longa"
113,2.22044604925031e-16,3.9950761535058e-10,"Auca","Leucanopsis longa"
114,2.22044604925031e-16,3.98583492013021e-10,"Auca","Leucanopsis longa"
115,2.22044604925031e-16,3.97660558620521e-10,"Auca","Leucanopsis longa"
116,2.22044604925031e-16,3.96738823477587e-10,"Auca","Leucanopsis longa"
117,2.22044604925031e-16,3.95818294955247e-10,"Auca","Leucanopsis longa"
118,2.22044604925031e-16,3.94898981491575e-10,"Auca","Leucanopsis longa"
119,2.22044604925031e-16,3.93980891592208e-10,"Auca","Leucanopsis longa"
120,2.22044604925031e-16,3.93064033830881e-10,"Auca","Leucanopsis longa"
