"doy","fit","se","Site","validName"
69,1.91669261989868e-08,5.04357412184256e-07,"Auca","Lochmaeus manteo"
70,2.21337166190121e-08,5.74397471249007e-07,"Auca","Lochmaeus manteo"
71,2.55597386211251e-08,6.54042096437836e-07,"Auca","Lochmaeus manteo"
72,2.95160915011686e-08,7.44589962909489e-07,"Auca","Lochmaeus manteo"
73,3.40848865400015e-08,8.47512570857755e-07,"Auca","Lochmaeus manteo"
74,3.93609535199794e-08,9.64476827402156e-07,"Auca","Lochmaeus manteo"
75,4.54538118947066e-08,1.09737051671542e-06,"Auca","Lochmaeus manteo"
76,5.248994769321e-08,1.24833101857297e-06,"Auca","Lochmaeus manteo"
77,6.0615443623538e-08,1.41977767909147e-06,"Auca","Lochmaeus manteo"
78,6.99990172179146e-08,1.61444828609197e-06,"Auca","Lochmaeus manteo"
79,8.08355303867472e-08,1.83544015584718e-06,"Auca","Lochmaeus manteo"
80,9.33500436009527e-08,2.08625639858304e-06,"Auca","Lochmaeus manteo"
81,1.07802499308019e-07,2.37085799769885e-06,"Auca","Lochmaeus manteo"
82,1.24493132346192e-07,2.69372241302006e-06,"Auca","Lochmaeus manteo"
83,1.43768720329589e-07,3.05990950235793e-06,"Auca","Lochmaeus manteo"
84,1.66029804554688e-07,3.47513564916547e-06,"Auca","Lochmaeus manteo"
85,1.91739032295024e-07,3.94585708819492e-06,"Auca","Lochmaeus manteo"
86,2.21430794833682e-07,4.47936353693646e-06,"Auca","Lochmaeus manteo"
87,2.55722362726333e-07,5.08388336953185e-06,"Auca","Lochmaeus manteo"
88,2.95326751162844e-07,5.7687017132282e-06,"Auca","Lochmaeus manteo"
89,3.41067584563676e-07,6.54429300683905e-06,"Auca","Lochmaeus manteo"
90,3.93896271472925e-07,7.42246973785475e-06,"Auca","Lochmaeus manteo"
91,4.54911849276633e-07,8.41654927172445e-06,"Auca","Lochmaeus manteo"
92,5.25383914305599e-07,9.54154090556933e-06,"Auca","Lochmaeus manteo"
93,6.06779117658508e-07,1.08143555215655e-05,"Auca","Lochmaeus manteo"
94,7.007917819715e-07,1.22540404851199e-05,"Auca","Lochmaeus manteo"
95,8.09379280946358e-07,1.38820427327182e-05,"Auca","Lochmaeus manteo"
96,9.34802923561019e-07,1.57225033272712e-05,"Auca","Lochmaeus manteo"
97,1.07967520063968e-06,1.78025871286297e-05,"Auca","Lochmaeus manteo"
98,1.24701438530439e-06,2.0152851637853e-05,"Auca","Lochmaeus manteo"
99,1.4403076335978e-06,2.280765953048e-05,"Auca","Lochmaeus manteo"
100,1.66358391053553e-06,2.58056399017505e-05,"Auca","Lochmaeus manteo"
101,1.92149827380688e-06,2.91902038114162e-05,"Auca","Lochmaeus manteo"
102,2.21942928668264e-06,3.30101203442465e-05,"Auca","Lochmaeus manteo"
103,2.56359160848195e-06,3.73201601022239e-05,"Auca","Lochmaeus manteo"
104,2.96116613107217e-06,4.21818138245236e-05,"Auca","Lochmaeus manteo"
105,3.4204504001198e-06,4.76640947016404e-05,"Auca","Lochmaeus manteo"
106,3.95103248804272e-06,5.38444339219112e-05,"Auca","Lochmaeus manteo"
107,4.56399198093389e-06,6.08096800753093e-05,"Auca","Lochmaeus manteo"
108,5.27213231466678e-06,6.86572142558215e-05,"Auca","Lochmaeus manteo"
109,6.0902493581418e-06,7.74961940673385e-05,"Auca","Lochmaeus manteo"
110,7.03544190829974e-06,8.74489412688366e-05,"Auca","Lochmaeus manteo"
111,8.12747064843981e-06,9.86524895158056e-05,"Auca","Lochmaeus manteo"
112,9.38917314743824e-06,0.000111260310593139,"Auca","Lochmaeus manteo"
113,1.08469436645464e-05,0.000125444239720928,"Auca","Lochmaeus manteo"
114,1.25312878978811e-05,0.000141396622984471,"Auca","Lochmaeus manteo"
115,1.44774644038222e-05,0.000159332712734591,"Auca","Lochmaeus manteo"
116,1.67262262532519e-05,0.000179493339971533,"Auca","Lochmaeus manteo"
117,1.93246786181922e-05,0.000202147896320094,"Auca","Lochmaeus manteo"
118,2.23272704444407e-05,0.000227597662288017,"Auca","Lochmaeus manteo"
119,2.57969412149299e-05,0.00025617952314611,"Auca","Lochmaeus manteo"
120,2.98064471057658e-05,0.000288270119059023,"Auca","Lochmaeus manteo"
121,3.44398946528646e-05,0.000324290482123431,"Auca","Lochmaeus manteo"
122,3.97945144636112e-05,0.000364711219840566,"Auca","Lochmaeus manteo"
123,4.598271261975e-05,0.000410058312380663,"Auca","Lochmaeus manteo"
124,5.31344433345028e-05,0.00046091959991916,"Auca","Lochmaeus manteo"
125,6.13999532757814e-05,0.00051795204648297,"Auca","Lochmaeus manteo"
126,7.09529558954999e-05,0.000581889878297572,"Auca","Lochmaeus manteo"
127,8.19943032829259e-05,0.000653553707741798,"Auca","Lochmaeus manteo"
128,9.4756233685203e-05,0.000733860768876497,"Auca","Lochmaeus manteo"
129,0.000109507285139481,0.000823836407302628,"Auca","Lochmaeus manteo"
130,0.000126557979903522,0.00092462698601256,"Auca","Lochmaeus manteo"
131,0.000146267400862377,0.00103751439011146,"Auca","Lochmaeus manteo"
132,0.000169050800183483,0.00116393233697796,"Auca","Lochmaeus manteo"
133,0.000195388402603709,0.00130548472475951,"Auca","Lochmaeus manteo"
134,0.000225835591337124,0.00146396628118158,"Auca","Lochmaeus manteo"
135,0.000261034694245271,0.00164138580657254,"Auca","Lochmaeus manteo"
136,0.000301728622254014,0.00183999233979698,"Auca","Lochmaeus manteo"
137,0.000348776651776261,0.00206230461341695,"Auca","Lochmaeus manteo"
138,0.00040317268896968,0.00231114420476624,"Auca","Lochmaeus manteo"
139,0.00046606640702203,0.00258967283257751,"Auca","Lochmaeus manteo"
