"doy","fit","se","Site","validName"
69,2.71230508676585e-06,6.08050539649321e-05,"Auca","Malacosoma disstria"
70,2.74588461295394e-06,6.19804568124968e-05,"Auca","Malacosoma disstria"
71,2.77977113710839e-06,6.31832554554642e-05,"Auca","Malacosoma disstria"
72,2.81385571611723e-06,6.44109990616132e-05,"Auca","Malacosoma disstria"
73,2.84802401216416e-06,6.56610099678901e-05,"Auca","Malacosoma disstria"
74,2.88215623865748e-06,6.69303744392482e-05,"Auca","Malacosoma disstria"
75,2.91612715477673e-06,6.8215934709587e-05,"Auca","Malacosoma disstria"
76,2.949806112443e-06,6.95142824941348e-05,"Auca","Malacosoma disstria"
77,2.98305715948572e-06,7.08217541702261e-05,"Auca","Malacosoma disstria"
78,3.01573920268908e-06,7.21344278290801e-05,"Auca","Malacosoma disstria"
79,3.04770623422818e-06,7.34481224040845e-05,"Auca","Malacosoma disstria"
80,3.07880762476731e-06,7.475839908138e-05,"Auca","Malacosoma disstria"
81,3.10888848616319e-06,7.60605651953774e-05,"Auca","Malacosoma disstria"
82,3.13779010630737e-06,7.73496808052515e-05,"Auca","Malacosoma disstria"
83,3.16535045813762e-06,7.86205681377883e-05,"Auca","Malacosoma disstria"
84,3.1914047842563e-06,7.98678240671656e-05,"Auca","Malacosoma disstria"
85,3.21578625790677e-06,8.10858357829036e-05,"Auca","Malacosoma disstria"
86,3.23832672027783e-06,8.22687997731216e-05,"Auca","Malacosoma disstria"
87,3.25885749323764e-06,8.34107442213156e-05,"Auca","Malacosoma disstria"
88,3.27721026564167e-06,8.45055548810096e-05,"Auca","Malacosoma disstria"
89,3.2932180503228e-06,8.55470044538131e-05,"Auca","Malacosoma disstria"
90,3.30671620776521e-06,8.65287854528881e-05,"Auca","Malacosoma disstria"
91,3.31754353129533e-06,8.74445464856948e-05,"Auca","Malacosoma disstria"
92,3.32554338740909e-06,8.82879318376283e-05,"Auca","Malacosoma disstria"
93,3.33056490361082e-06,8.90526241822474e-05,"Auca","Malacosoma disstria"
94,3.3324641948805e-06,8.97323901848127e-05,"Auca","Malacosoma disstria"
95,3.33110561863983e-06,9.03211287047324e-05,"Auca","Malacosoma disstria"
96,3.32636304687029e-06,9.08129212400137e-05,"Auca","Malacosoma disstria"
97,3.31812114287693e-06,9.12020841941106e-05,"Auca","Malacosoma disstria"
98,3.30627662911642e-06,9.14832224838179e-05,"Auca","Malacosoma disstria"
99,3.29073953154281e-06,9.16512839473549e-05,"Auca","Malacosoma disstria"
100,3.27143438509885e-06,9.17016139558929e-05,"Auca","Malacosoma disstria"
101,3.24830138432544e-06,9.16300095810933e-05,"Auca","Malacosoma disstria"
102,3.22129746259939e-06,9.14327726270232e-05,"Auca","Malacosoma disstria"
103,3.19039728327268e-06,9.11067607988396e-05,"Auca","Malacosoma disstria"
104,3.15559412599561e-06,9.06494362542096e-05,"Auca","Malacosoma disstria"
105,3.1169006517838e-06,9.0058910768004e-05,"Auca","Malacosoma disstria"
106,3.07434953095528e-06,8.93339867377171e-05,"Auca","Malacosoma disstria"
107,3.02799391892741e-06,8.84741932673094e-05,"Auca","Malacosoma disstria"
108,2.97790776603889e-06,8.74798165918433e-05,"Auca","Malacosoma disstria"
109,2.92418594904565e-06,8.63519241448911e-05,"Auca","Malacosoma disstria"
110,2.86694421372929e-06,8.50923816256667e-05,"Auca","Malacosoma disstria"
111,2.80631892014271e-06,8.37038624932569e-05,"Auca","Malacosoma disstria"
112,2.74246658437663e-06,8.21898494007597e-05,"Auca","Malacosoma disstria"
113,2.67556321334027e-06,8.0554627181969e-05,"Auca","Malacosoma disstria"
114,2.60580343187258e-06,7.88032671163065e-05,"Auca","Malacosoma disstria"
115,2.53339940449561e-06,7.69416023224426e-05,"Auca","Malacosoma disstria"
116,2.45857955724216e-06,7.49761942656363e-05,"Auca","Malacosoma disstria"
117,2.3815871081773e-06,7.29142905058276e-05,"Auca","Malacosoma disstria"
118,2.30267841843226e-06,7.0763773960451e-05,"Auca","Malacosoma disstria"
119,2.22212117871027e-06,6.85331041047221e-05,"Auca","Malacosoma disstria"
120,2.14019244924456e-06,6.62312506797262e-05,"Auca","Malacosoma disstria"
121,2.05717657401785e-06,6.38676206216194e-05,"Auca","Malacosoma disstria"
122,1.97336299262517e-06,6.14519790602894e-05,"Auca","Malacosoma disstria"
123,1.88904397540946e-06,5.8994365359443e-05,"Auca","Malacosoma disstria"
124,1.80451230936494e-06,5.65050052791292e-05,"Auca","Malacosoma disstria"
125,1.72005896373e-06,5.39942204330368e-05,"Auca","Malacosoma disstria"
126,1.6359707651315e-06,5.14723362837624e-05,"Auca","Malacosoma disstria"
127,1.55252811256155e-06,4.8949589967353e-05,"Auca","Malacosoma disstria"
128,1.47000276233796e-06,4.64360392619026e-05,"Auca","Malacosoma disstria"
129,1.38865571250708e-06,4.39414740125369e-05,"Auca","Malacosoma disstria"
130,1.30873521489316e-06,4.14753312961684e-05,"Auca","Malacosoma disstria"
131,1.23047494119339e-06,3.90466155539267e-05,"Auca","Malacosoma disstria"
132,1.15409232719176e-06,3.66638248379858e-05,"Auca","Malacosoma disstria"
133,1.07978711635587e-06,3.43348842139824e-05,"Auca","Malacosoma disstria"
134,1.00774012084523e-06,3.20670872325491e-05,"Auca","Malacosoma disstria"
135,9.38112214361801e-07,2.98670462364303e-05,"Auca","Malacosoma disstria"
