"doy","fit","se","Site","validName"
69,1.38771206149e-06,5.00584277852531e-06,"Auca","Megalopyge opercularis"
70,1.86902635163232e-06,6.61694774267766e-06,"Auca","Megalopyge opercularis"
71,2.51705294538432e-06,8.74278000695279e-06,"Auca","Megalopyge opercularis"
72,3.38915168562604e-06,1.15454399540695e-05,"Auca","Megalopyge opercularis"
73,4.56217832277885e-06,1.52369534080552e-05,"Auca","Megalopyge opercularis"
74,6.13899055982483e-06,2.00941670992115e-05,"Auca","Megalopyge opercularis"
75,8.25707060406457e-06,2.6477895789523e-05,"Auca","Megalopyge opercularis"
76,1.10999294680687e-05,3.48574613504004e-05,"Auca","Megalopyge opercularis"
77,1.4912157890022e-05,4.58420431071818e-05,"Auca","Megalopyge opercularis"
78,2.00192445767077e-05,6.02205965607625e-05,"Auca","Megalopyge opercularis"
79,2.68536089377113e-05,7.90125032262871e-05,"Auca","Megalopyge opercularis"
80,3.598871019332e-05,0.000103531597049695,"Auca","Megalopyge opercularis"
81,4.81836190244865e-05,0.000135466781598837,"Auca","Megalopyge opercularis"
82,6.44410973531717e-05,0.000176983114798044,"Auca","Megalopyge opercularis"
83,8.6083056707839e-05,0.000230848000032218,"Auca","Megalopyge opercularis"
84,0.000114848291448647,0.000300587986039234,"Auca","Megalopyge opercularis"
85,0.00015301865090759,0.000390682639740187,"Auca","Megalopyge opercularis"
86,0.000203581370824574,0.000506803004861022,"Auca","Megalopyge opercularis"
87,0.000270437181211751,0.000656103273118192,"Auca","Megalopyge opercularis"
88,0.00035866610133818,0.000847575438188102,"Auca","Megalopyge opercularis"
89,0.000474865582273612,0.00109247782224936,"Auca","Megalopyge opercularis"
90,0.000627578923280252,0.00140484938531593,"Auca","Megalopyge opercularis"
91,0.000827835727059028,0.00180212254750179,"Auca","Megalopyge opercularis"
92,0.00108983061881912,0.00230584774226632,"Auca","Megalopyge opercularis"
93,0.0014317715682125,0.0029425429096391,"Auca","Megalopyge opercularis"
94,0.00187693492935815,0.00374468043213641,"Auca","Megalopyge opercularis"
95,0.00245497072370379,0.00475182237738153,"Auca","Megalopyge opercularis"
96,0.00320350865308198,0.00601191207409139,"Auca","Megalopyge opercularis"
97,0.00417012269664914,0.00758272572342833,"Auca","Megalopyge opercularis"
98,0.00541471967649212,0.00953348163945946,"Auca","Megalopyge opercularis"
99,0.00701242452105285,0.0119465965394364,"Auca","Megalopyge opercularis"
100,0.00905704162448151,0.0149195678326746,"Auca","Megalopyge opercularis"
101,0.0116651770427179,0.0185669479415199,"Auca","Megalopyge opercularis"
102,0.0149811094469602,0.0230223613283766,"Auca","Megalopyge opercularis"
103,0.0191824977307735,0.0284404973067138,"Auca","Megalopyge opercularis"
104,0.0244870086806442,0.0349989923723478,"Auca","Megalopyge opercularis"
105,0.0311599376979592,0.0429000955591415,"Auca","Megalopyge opercularis"
106,0.0395228775324543,0.0523719905009043,"Auca","Megalopyge opercularis"
107,0.0499634625265226,0.0636696302872808,"Auca","Megalopyge opercularis"
108,0.0629461770650153,0.0770749282247059,"Auca","Megalopyge opercularis"
109,0.0790241648869072,0.0928961422286938,"Auca","Megalopyge opercularis"
110,0.0988519089239745,0.111466296297773,"Auca","Megalopyge opercularis"
111,0.123198568030307,0.133140503289848,"Auca","Megalopyge opercularis"
112,0.152961656598498,0.15829209315587,"Auca","Megalopyge opercularis"
113,0.189180635747616,0.18730751380965,"Auca","Megalopyge opercularis"
114,0.233049851832742,0.220580061097856,"Auca","Megalopyge opercularis"
115,0.285930112309953,0.258502611542204,"Auca","Megalopyge opercularis"
116,0.349358035189672,0.30145967579731,"Auca","Megalopyge opercularis"
117,0.425052153261865,0.349819257473736,"Auca","Megalopyge opercularis"
118,0.514914607166889,0.403925181211494,"Auca","Megalopyge opercularis"
119,0.621027133842525,0.464090728789614,"Auca","Megalopyge opercularis"
120,0.7456399628759,0.530594567091437,"Auca","Megalopyge opercularis"
121,0.89115218882865,0.603680031280381,"Auca","Megalopyge opercularis"
122,1.06008221011145,0.683558794360053,"Auca","Megalopyge opercularis"
123,1.25502693239041,0.770419754968203,"Auca","Megalopyge opercularis"
124,1.47860864399997,0.864443549105019,"Auca","Megalopyge opercularis"
125,1.73340879726873,0.965822385117051,"Auca","Megalopyge opercularis"
126,2.02188838371,1.07478388592277,"Auca","Megalopyge opercularis"
127,2.34629517712393,1.19161632165232,"Auca","Megalopyge opercularis"
128,2.70855883291336,1.31669113939591,"Auca","Megalopyge opercularis"
129,3.11017566014652,1.45047727281878,"Auca","Megalopyge opercularis"
130,3.55208579903702,1.59354070056897,"Auca","Megalopyge opercularis"
131,4.03454650161857,1.74652256955702,"Auca","Megalopyge opercularis"
132,4.55700617557448,1.91009034538265,"Auca","Megalopyge opercularis"
133,5.11798474662482,2.08485914957416,"Auca","Megalopyge opercularis"
134,5.71496665020763,2.27128456956806,"Auca","Megalopyge opercularis"
135,6.34431329927395,2.46953318125117,"Auca","Megalopyge opercularis"
136,7.00120211213738,2.67934180675367,"Auca","Megalopyge opercularis"
137,7.67959904863046,2.89988003579463,"Auca","Megalopyge opercularis"
138,8.3722710336346,3.12963194315338,"Auca","Megalopyge opercularis"
139,9.07084360453451,3.36631198666038,"Auca","Megalopyge opercularis"
140,9.76593185868864,3.60683804671863,"Auca","Megalopyge opercularis"
141,10.4482897400913,3.84780269838597,"Auca","Megalopyge opercularis"
142,11.1096563860622,4.08588226320808,"Auca","Megalopyge opercularis"
143,11.7419975111297,4.3175403731183,"Auca","Megalopyge opercularis"
144,12.3376178966465,4.53912245609261,"Auca","Megalopyge opercularis"
