"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.22603933819431e-13,"Auca","Omphalocera munroei"
70,2.22044604925031e-16,1.20375611947055e-13,"Auca","Omphalocera munroei"
71,2.22044604925031e-16,1.18148255287235e-13,"Auca","Omphalocera munroei"
72,2.22044604925031e-16,1.15922545646194e-13,"Auca","Omphalocera munroei"
73,2.22044604925031e-16,1.13699165052549e-13,"Auca","Omphalocera munroei"
74,2.22044604925031e-16,1.11478795762499e-13,"Auca","Omphalocera munroei"
75,2.22044604925031e-16,1.09262120265704e-13,"Auca","Omphalocera munroei"
76,2.22044604925031e-16,1.07049821291875e-13,"Auca","Omphalocera munroei"
77,2.22044604925031e-16,1.04842581818133e-13,"Auca","Omphalocera munroei"
78,2.22044604925031e-16,1.02641085077196e-13,"Auca","Omphalocera munroei"
79,2.22044604925031e-16,1.00446014566437e-13,"Auca","Omphalocera munroei"
80,2.22044604925031e-16,9.82580540578921e-14,"Auca","Omphalocera munroei"
81,2.22044604925031e-16,9.60778876092828e-14,"Auca","Omphalocera munroei"
82,2.22044604925031e-16,9.390619957613e-14,"Auca","Omphalocera munroei"
83,2.22044604925031e-16,9.17436746250507e-14,"Auca","Omphalocera munroei"
84,2.22044604925031e-16,8.95909977483231e-14,"Auca","Omphalocera munroei"
85,2.22044604925031e-16,8.74488542798299e-14,"Auca","Omphalocera munroei"
86,2.22044604925031e-16,8.53179299124935e-14,"Auca","Omphalocera munroei"
87,2.22044604925031e-16,8.31989107173175e-14,"Auca","Omphalocera munroei"
88,2.22044604925031e-16,8.1092483164181e-14,"Auca","Omphalocera munroei"
89,2.22044604925031e-16,7.89993341445266e-14,"Auca","Omphalocera munroei"
90,2.22044604925031e-16,7.69201509961062e-14,"Auca","Omphalocera munroei"
91,2.22044604925031e-16,7.48556215299586e-14,"Auca","Omphalocera munroei"
92,2.22044604925031e-16,7.28064340598105e-14,"Auca","Omphalocera munroei"
93,2.22044604925031e-16,7.07732774341129e-14,"Auca","Omphalocera munroei"
94,2.22044604925031e-16,6.87568410709267e-14,"Auca","Omphalocera munroei"
95,2.22044604925031e-16,6.67578149959077e-14,"Auca","Omphalocera munroei"
96,2.22044604925031e-16,6.47768898836503e-14,"Auca","Omphalocera munroei"
97,2.22044604925031e-16,6.28147571026593e-14,"Auca","Omphalocera munroei"
98,2.22044604925031e-16,6.08721087642454e-14,"Auca","Omphalocera munroei"
99,2.22044604925031e-16,5.89496377756584e-14,"Auca","Omphalocera munroei"
100,2.22044604925031e-16,5.70480378977559e-14,"Auca","Omphalocera munroei"
101,2.22044604925031e-16,5.51680038075559e-14,"Auca","Omphalocera munroei"
102,2.22044604925031e-16,5.33102311659623e-14,"Auca","Omphalocera munroei"
103,2.22044604925031e-16,5.14754166909987e-14,"Auca","Omphalocera munroei"
