"doy","fit","se","Site","validName"
69,0.0913423839813921,0.117310101751906,"Auca","Pangrapta decoralis"
70,0.0923167233156832,0.117187134908916,"Auca","Pangrapta decoralis"
71,0.0933012425706741,0.117058442768434,"Auca","Pangrapta decoralis"
72,0.0942958302616009,0.116924324437339,"Auca","Pangrapta decoralis"
73,0.0953003667552704,0.116785105832429,"Auca","Pangrapta decoralis"
74,0.0963147240479959,0.116641139902002,"Auca","Pangrapta decoralis"
75,0.0973387655442982,0.116492806755815,"Auca","Pangrapta decoralis"
76,0.098372345836688,0.116340513694233,"Auca","Pangrapta decoralis"
77,0.0994153104868522,0.116184695127057,"Auca","Pangrapta decoralis"
78,0.100467495808583,0.116025812372274,"Auca","Pangrapta decoralis"
79,0.101528728652805,0.115864353324799,"Auca","Pangrapta decoralis"
80,0.102598826195062,0.11570083198517,"Auca","Pangrapta decoralis"
81,0.103677595725851,0.115535787838124,"Auca","Pangrapta decoralis"
82,0.104764834444196,0.115369785071105,"Auca","Pangrapta decoralis"
83,0.105860329254862,0.115203411622952,"Auca","Pangrapta decoralis"
84,0.106963856569643,0.115037278053378,"Auca","Pangrapta decoralis"
85,0.108075182113153,0.114872016224338,"Auca","Pangrapta decoralis"
86,0.109194060733565,0.114708277785113,"Auca","Pangrapta decoralis"
87,0.110320236218769,0.114546732453722,"Auca","Pangrapta decoralis"
88,0.111453441118404,0.114388066088418,"Auca","Pangrapta decoralis"
89,0.112593396572279,0.114232978544219,"Auca","Pangrapta decoralis"
90,0.113739812145646,0.114082181310978,"Auca","Pangrapta decoralis"
91,0.11489238567186,0.113936394931155,"Auca","Pangrapta decoralis"
92,0.116050803102932,0.113796346197437,"Auca","Pangrapta decoralis"
93,0.117214738368509,0.113662765132495,"Auca","Pangrapta decoralis"
94,0.118383853243818,0.113536381755538,"Auca","Pangrapta decoralis"
95,0.119557797227124,0.113417922642936,"Auca","Pangrapta decoralis"
96,0.120736207427252,0.113308107292912,"Auca","Pangrapta decoralis"
97,0.121918708461747,0.113207644307238,"Auca","Pangrapta decoralis"
98,0.123104912366232,0.113117227405889,"Auca","Pangrapta decoralis"
99,0.124294418515538,0.113037531293721,"Auca","Pangrapta decoralis"
100,0.125486813557201,0.112969207401354,"Auca","Pangrapta decoralis"
101,0.12668167135789,0.112912879525571,"Auca","Pangrapta decoralis"
102,0.127878552963364,0.112869139397505,"Auca","Pangrapta decoralis"
103,0.129077006572544,0.112838542209779,"Auca","Pangrapta decoralis"
104,0.130276567526282,0.112821602136349,"Auca","Pangrapta decoralis"
105,0.131476758311424,0.112818787881165,"Auca","Pangrapta decoralis"
106,0.132677088580736,0.112830518293702,"Auca","Pangrapta decoralis"
107,0.13387705518929,0.112857158090974,"Auca","Pangrapta decoralis"
108,0.135076142247872,0.112899013726707,"Auca","Pangrapta decoralis"
109,0.136273821193984,0.112956329448869,"Auca","Pangrapta decoralis"
110,0.137469550881007,0.11302928358674,"Auca","Pangrapta decoralis"
111,0.138662777686061,0.113117985108066,"Auca","Pangrapta decoralis"
112,0.139852935637115,0.113222470485636,"Auca","Pangrapta decoralis"
113,0.14103944655986,0.113342700910789,"Auca","Pangrapta decoralis"
114,0.142221720244869,0.113478559888981,"Auca","Pangrapta decoralis"
115,0.143399154635517,0.113629851249627,"Auca","Pangrapta decoralis"
116,0.144571136037158,0.113796297599029,"Auca","Pangrapta decoralis"
117,0.145737039347997,0.113977539241385,"Auca","Pangrapta decoralis"
118,0.146896228312098,0.114173133588758,"Auca","Pangrapta decoralis"
119,0.148048055794923,0.11438255507647,"Auca","Pangrapta decoralis"
