"doy","fit","se","Site","validName"
69,0.0056650784513232,0.0201374046603734,"Auca","Panopoda repanda"
70,0.00563208022152486,0.0200065700238766,"Auca","Panopoda repanda"
71,0.0055992742003874,0.0198766588839495,"Auca","Panopoda repanda"
72,0.00556665926727903,0.0197476646028006,"Auca","Panopoda repanda"
73,0.0055342343081138,0.0196195805889209,"Auca","Panopoda repanda"
74,0.00550199821531336,0.0194924002967723,"Auca","Panopoda repanda"
75,0.00546994988776872,0.0193661172264774,"Auca","Panopoda repanda"
76,0.00543808823080247,0.0192407249235122,"Auca","Panopoda repanda"
77,0.00540641215613105,0.0191162169784006,"Auca","Panopoda repanda"
78,0.0053749205818273,0.0189925870264105,"Auca","Panopoda repanda"
79,0.00534361243228324,0.0188698287472531,"Auca","Panopoda repanda"
80,0.00531248663817306,0.018747935864783,"Auca","Panopoda repanda"
81,0.00528154213641636,0.0186269021467016,"Auca","Panopoda repanda"
82,0.00525077787014149,0.0185067214042612,"Auca","Panopoda repanda"
83,0.00522019278864926,0.0183873874919724,"Auca","Panopoda repanda"
84,0.00518978584737679,0.0182688943073125,"Auca","Panopoda repanda"
85,0.00515955600786154,0.0181512357904367,"Auca","Panopoda repanda"
86,0.0051295022377056,0.0180344059238905,"Auca","Panopoda repanda"
87,0.00509962351054017,0.0179183987323245,"Auca","Panopoda repanda"
88,0.00506991880599028,0.0178032082822114,"Auca","Panopoda repanda"
89,0.00504038710963967,0.0176888286815642,"Auca","Panopoda repanda"
90,0.00501102741299588,0.017575254079657,"Auca","Panopoda repanda"
91,0.00498183871345562,0.0174624786667475,"Auca","Panopoda repanda"
92,0.00495282001427022,0.0173504966738009,"Auca","Panopoda repanda"
93,0.0049239703245114,0.0172393023722168,"Auca","Panopoda repanda"
94,0.00489528865903717,0.0171288900735564,"Auca","Panopoda repanda"
95,0.00486677403845795,0.0170192541292734,"Auca","Panopoda repanda"
96,0.00483842548910291,0.016910388930445,"Auca","Panopoda repanda"
97,0.00481024204298644,0.0168022889075055,"Auca","Panopoda repanda"
98,0.00478222273777493,0.0166949485299824,"Auca","Panopoda repanda"
99,0.00475436661675365,0.0165883623062328,"Auca","Panopoda repanda"
100,0.00472667272879381,0.0164825247831828,"Auca","Panopoda repanda"
101,0.00469914012831997,0.0163774305460681,"Auca","Panopoda repanda"
102,0.00467176787527741,0.0162730742181764,"Auca","Panopoda repanda"
103,0.00464455503509988,0.0161694504605919,"Auca","Panopoda repanda"
104,0.00461750067867747,0.0160665539719411,"Auca","Panopoda repanda"
105,0.00459060388232463,0.0159643794881406,"Auca","Panopoda repanda"
106,0.00456386372774846,0.0158629217821464,"Auca","Panopoda repanda"
107,0.00453727930201713,0.015762175663705,"Auca","Panopoda repanda"
108,0.00451084969752847,0.0156621359791062,"Auca","Panopoda repanda"
109,0.00448457401197886,0.0155627976109377,"Auca","Panopoda repanda"
