"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.76645480594377e-14,"Auca","Prionoxystus robiniae"
70,2.22044604925031e-16,1.7671746101052e-14,"Auca","Prionoxystus robiniae"
71,2.22044604925031e-16,1.76789770376576e-14,"Auca","Prionoxystus robiniae"
72,2.22044604925031e-16,1.76862408288851e-14,"Auca","Prionoxystus robiniae"
73,2.22044604925031e-16,1.76935374342474e-14,"Auca","Prionoxystus robiniae"
74,2.22044604925031e-16,1.77008668131411e-14,"Auca","Prionoxystus robiniae"
75,2.22044604925031e-16,1.77082289248471e-14,"Auca","Prionoxystus robiniae"
76,2.22044604925031e-16,1.77156237285322e-14,"Auca","Prionoxystus robiniae"
77,2.22044604925031e-16,1.77230511832495e-14,"Auca","Prionoxystus robiniae"
78,2.22044604925031e-16,1.77305112479396e-14,"Auca","Prionoxystus robiniae"
79,2.22044604925031e-16,1.77380038814317e-14,"Auca","Prionoxystus robiniae"
80,2.22044604925031e-16,1.77455290424444e-14,"Auca","Prionoxystus robiniae"
81,2.22044604925031e-16,1.77530866895869e-14,"Auca","Prionoxystus robiniae"
82,2.22044604925031e-16,1.77606767813599e-14,"Auca","Prionoxystus robiniae"
83,2.22044604925031e-16,1.77682992761565e-14,"Auca","Prionoxystus robiniae"
84,2.22044604925031e-16,1.77759541322634e-14,"Auca","Prionoxystus robiniae"
85,2.22044604925031e-16,1.77836413078616e-14,"Auca","Prionoxystus robiniae"
86,2.22044604925031e-16,1.77913607610276e-14,"Auca","Prionoxystus robiniae"
87,2.22044604925031e-16,1.77991124497345e-14,"Auca","Prionoxystus robiniae"
88,2.22044604925031e-16,1.78068963318528e-14,"Auca","Prionoxystus robiniae"
89,2.22044604925031e-16,1.78147123651512e-14,"Auca","Prionoxystus robiniae"
90,2.22044604925031e-16,1.78225605072982e-14,"Auca","Prionoxystus robiniae"
91,2.22044604925031e-16,1.78304407158624e-14,"Auca","Prionoxystus robiniae"
92,2.22044604925031e-16,1.78383529483141e-14,"Auca","Prionoxystus robiniae"
