"doy","fit","se","Site","validName"
69,0.282087022605517,0.228046151910887,"Auca","Tetanolita mynesalis"
70,0.279421365699999,0.224759007240264,"Auca","Tetanolita mynesalis"
71,0.276780898626862,0.221520430206992,"Auca","Tetanolita mynesalis"
72,0.274165383341416,0.218329834409805,"Auca","Tetanolita mynesalis"
73,0.271574584048628,0.215186640279364,"Auca","Tetanolita mynesalis"
74,0.269008267181859,0.212090274986161,"Auca","Tetanolita mynesalis"
75,0.266466201381803,0.209040172348834,"Auca","Tetanolita mynesalis"
76,0.263948157475625,0.206035772742863,"Auca","Tetanolita mynesalis"
77,0.261453908456294,0.203076523009655,"Auca","Tetanolita mynesalis"
78,0.258983229462117,0.200161876365973,"Auca","Tetanolita mynesalis"
79,0.256535897756459,0.197291292313719,"Auca","Tetanolita mynesalis"
80,0.25411169270766,0.194464236550044,"Auca","Tetanolita mynesalis"
81,0.251710395769141,0.191680180877764,"Auca","Tetanolita mynesalis"
82,0.249331790459697,0.188938603116096,"Auca","Tetanolita mynesalis"
83,0.246975662343975,0.186238987011666,"Auca","Tetanolita mynesalis"
84,0.244641799013139,0.183580822149819,"Auca","Tetanolita mynesalis"
85,0.242329990065719,0.180963603866181,"Auca","Tetanolita mynesalis"
86,0.240040027088635,0.178386833158501,"Auca","Tetanolita mynesalis"
87,0.237771703638407,0.175850016598745,"Auca","Tetanolita mynesalis"
88,0.235524815222541,0.173352666245443,"Auca","Tetanolita mynesalis"
89,0.233299159281084,0.170894299556289,"Auca","Tetanolita mynesalis"
90,0.231094535168368,0.168474439300993,"Auca","Tetanolita mynesalis"
91,0.228910744134908,0.166092613474377,"Auca","Tetanolita mynesalis"
92,0.22674758930949,0.163748355209731,"Auca","Tetanolita mynesalis"
93,0.224604875681411,0.161441202692418,"Auca","Tetanolita mynesalis"
94,0.222482410082902,0.159170699073754,"Auca","Tetanolita mynesalis"
95,0.220380001171705,0.156936392385152,"Auca","Tetanolita mynesalis"
96,0.218297459413822,0.15473783545256,"Auca","Tetanolita mynesalis"
97,0.216234597066426,0.152574585811186,"Auca","Tetanolita mynesalis"
98,0.214191228160929,0.150446205620557,"Auca","Tetanolita mynesalis"
99,0.212167168486218,0.148352261579896,"Auca","Tetanolita mynesalis"
100,0.21016223557204,0.146292324843868,"Auca","Tetanolita mynesalis"
101,0.208176248672554,0.144265970938708,"Auca","Tetanolita mynesalis"
102,0.206209028750028,0.142272779678754,"Auca","Tetanolita mynesalis"
103,0.204260398458699,0.140312335083432,"Auca","Tetanolita mynesalis"
104,0.202330182128785,0.138384225294716,"Auca","Tetanolita mynesalis"
105,0.200418205750637,0.136488042495096,"Auca","Tetanolita mynesalis"
106,0.198524296959056,0.13462338282612,"Auca","Tetanolita mynesalis"
107,0.196648285017749,0.132789846307515,"Auca","Tetanolita mynesalis"
108,0.194790000803933,0.130987036756979,"Auca","Tetanolita mynesalis"
109,0.192949276793088,0.129214561710656,"Auca","Tetanolita mynesalis"
110,0.191125947043848,0.127472032344379,"Auca","Tetanolita mynesalis"
111,0.189319847183046,0.12575906339572,"Auca","Tetanolita mynesalis"
112,0.187530814390882,0.124075273086913,"Auca","Tetanolita mynesalis"
113,0.185758687386253,0.122420283048721,"Auca","Tetanolita mynesalis"
114,0.184003306412204,0.120793718245308,"Auca","Tetanolita mynesalis"
115,0.182264513221527,0.119195206900189,"Auca","Tetanolita mynesalis"
116,0.180542151062487,0.117624380423329,"Auca","Tetanolita mynesalis"
117,0.178836064664698,0.116080873339478,"Auca","Tetanolita mynesalis"
118,0.177146100225111,0.114564323217802,"Auca","Tetanolita mynesalis"
119,0.175472105394157,0.113074370602915,"Auca","Tetanolita mynesalis"
120,0.173813929262003,0.111610658947373,"Auca","Tetanolita mynesalis"
121,0.172171422344949,0.110172834545737,"Auca","Tetanolita mynesalis"
122,0.170544436571948,0.108760546470273,"Auca","Tetanolita mynesalis"
123,0.168932825271257,0.107373446508393,"Auca","Tetanolita mynesalis"
124,0.167336443157209,0.106011189101913,"Auca","Tetanolita mynesalis"
125,0.165755146317117,0.104673431288229,"Auca","Tetanolita mynesalis"
