"doy","fit","se","Site","validName"
69,0.00420869104781534,0.0149216814949797,"Baca","Idia rotundalis"
70,0.00445235570230971,0.0155308333858731,"Baca","Idia rotundalis"
71,0.00471004028329502,0.0161617714373933,"Baca","Idia rotundalis"
72,0.00498245416784591,0.0168149016014826,"Baca","Idia rotundalis"
73,0.00527033094670965,0.0174906144934466,"Baca","Idia rotundalis"
74,0.00557442796035106,0.01818928477945,"Baca","Idia rotundalis"
75,0.00589552565952638,0.0189112708100647,"Baca","Idia rotundalis"
76,0.00623442677382522,0.019656914537009,"Baca","Idia rotundalis"
77,0.00659195527105973,0.0204265417503865,"Baca","Idia rotundalis"
78,0.0069689550899094,0.0212204626730576,"Baca","Idia rotundalis"
79,0.0073662886278593,0.0220389729470564,"Baca","Idia rotundalis"
80,0.00778483496622512,0.0228823550440413,"Baca","Idia rotundalis"
81,0.00822548781395213,0.0237508801274065,"Baca","Idia rotundalis"
82,0.0086891531519346,0.0246448103876987,"Baca","Idia rotundalis"
83,0.00917674655984332,0.0255644018651584,"Baca","Idia rotundalis"
84,0.00968919020789959,0.0265099077633419,"Baca","Idia rotundalis"
85,0.010227409496711,0.0274815822456797,"Baca","Idia rotundalis"
86,0.0107923293292189,0.0284796846923554,"Baca","Idia rotundalis"
87,0.0113848700000144,0.0295044843778991,"Baca","Idia rotundalis"
88,0.012005942688788,0.0305562655103579,"Baca","Idia rotundalis"
89,0.01265644454651,0.0316353325508426,"Baca","Idia rotundalis"
90,0.0133372533651098,0.0327420157077846,"Baca","Idia rotundalis"
91,0.0140492218239602,0.0338766764736429,"Baca","Idia rotundalis"
92,0.0147931713093879,0.0350397130434645,"Baca","Idia rotundalis"
93,0.0155698853067427,0.0362315654252361,"Baca","Idia rotundalis"
94,0.0163801023682769,0.0374527200221175,"Baca","Idia rotundalis"
95,0.0172245086642138,0.0387037134374448,"Baca","Idia rotundalis"
96,0.0181037301289366,0.0399851352260042,"Baca","Idia rotundalis"
97,0.0190183242191865,0.0412976292909552,"Baca","Idia rotundalis"
98,0.0199687713065286,0.042641893606504,"Baca","Idia rotundalis"
99,0.0209554657320987,0.0440186779337526,"Baca","Idia rotundalis"
100,0.0219787065577707,0.0454287791929204,"Baca","Idia rotundalis"
101,0.0230386880543425,0.046873034161165,"Baca","Idia rotundalis"
102,0.0241354899740983,0.0483523091832552,"Baca","Idia rotundalis"
103,0.0252690676621088,0.0498674866138496,"Baca","Idia rotundalis"
104,0.0264392420678292,0.0514194477562183,"Baca","Idia rotundalis"
105,0.0276456897258686,0.0530090521234978,"Baca","Idia rotundalis"
106,0.0288879327821703,0.0546371129249477,"Baca","Idia rotundalis"
107,0.0301653291491505,0.0563043687703247,"Baca","Idia rotundalis"
108,0.0314770628805218,0.058011451688796,"Baca","Idia rotundalis"
109,0.0328221348634357,0.0597588516722393,"Baca","Idia rotundalis"
110,0.0341993539321336,0.0615468780730577,"Baca","Idia rotundalis"
111,0.0356073285133374,0.0633756183097645,"Baca","Idia rotundalis"
112,0.0370444589190354,0.0652448944551197,"Baca","Idia rotundalis"
113,0.0385089304069609,0.0671542183967706,"Baca","Idia rotundalis"
114,0.0399987071327961,0.0691027463644792,"Baca","Idia rotundalis"
115,0.0415115271208062,0.0710892337067163,"Baca","Idia rotundalis"
116,0.0430448983810653,0.0731119908688774,"Baca","Idia rotundalis"
117,0.0445960963015483,0.0751688415726962,"Baca","Idia rotundalis"
118,0.0461621624419711,0.0772570842196028,"Baca","Idia rotundalis"
119,0.0477399048532501,0.0793734575389788,"Baca","Idia rotundalis"
120,0.0493259000416842,0.0815141114756259,"Baca","Idia rotundalis"
121,0.0509164966903415,0.0836745842605289,"Baca","Idia rotundalis"
122,0.0525078212415635,0.0858497865370599,"Baca","Idia rotundalis"
123,0.0540957854339095,0.0880339933237611,"Baca","Idia rotundalis"
124,0.0556760958742161,0.0902208444876348,"Baca","Idia rotundalis"
125,0.0572442657107183,0.0924033542815109,"Baca","Idia rotundalis"
126,0.058795628456381,0.0945739303685328,"Baca","Idia rotundalis"
127,0.0603253539927853,0.0967244026187905,"Baca","Idia rotundalis"
128,0.0618284667641652,0.0988460618200598,"Baca","Idia rotundalis"
129,0.0632998661486457,0.100929708298489,"Baca","Idia rotundalis"
130,0.0647343489695336,0.102965710297533,"Baca","Idia rotundalis"
131,0.0661266340838888,0.104944071815873,"Baca","Idia rotundalis"
132,0.0674713889587718,0.106854509458486,"Baca","Idia rotundalis"
133,0.0687632581178501,0.108686537710514,"Baca","Idia rotundalis"
134,0.0699968933127442,0.110429561901956,"Baca","Idia rotundalis"
135,0.0711669852449902,0.112072977993502,"Baca","Idia rotundalis"
136,0.0722682966361931,0.113606278181044,"Baca","Idia rotundalis"
137,0.07329569641625,0.115019161189859,"Baca","Idia rotundalis"
138,0.0742441947729167,0.116301646010472,"Baca","Idia rotundalis"
139,0.0751089787809313,0.117444187718474,"Baca","Idia rotundalis"
140,0.0758854728919695,0.11843784898519,"Baca","Idia rotundalis"
141,0.0765703154923843,0.11927652043507,"Baca","Idia rotundalis"
142,0.0771617217726186,0.119957747022275,"Baca","Idia rotundalis"
143,0.0776583604630972,0.120480203264326,"Baca","Idia rotundalis"
144,0.0780592747213576,0.120843500035123,"Baca","Idia rotundalis"
145,0.0783638826346395,0.121048165590741,"Baca","Idia rotundalis"
146,0.0785719752556294,0.121095617438759,"Baca","Idia rotundalis"
147,0.0786837122400298,0.120988125702497,"Baca","Idia rotundalis"
148,0.0786996151752195,0.120728768715165,"Baca","Idia rotundalis"
149,0.0786205587082906,0.120321381650983,"Baca","Idia rotundalis"
150,0.0784477595989851,0.119770499060102,"Baca","Idia rotundalis"
151,0.0781827638383856,0.11908129222147,"Baca","Idia rotundalis"
152,0.0778274319875208,0.118259502262202,"Baca","Idia rotundalis"
153,0.077383922901243,0.117311370013625,"Baca","Idia rotundalis"
154,0.0768546760117809,0.116243563582906,"Baca","Idia rotundalis"
155,0.0762423923532393,0.115063104615289,"Baca","Idia rotundalis"
156,0.0755500145130291,0.113777294205737,"Baca","Idia rotundalis"
157,0.0747807056987973,0.11239363939061,"Baca","Idia rotundalis"
158,0.0739378281099627,0.110919781110448,"Baca","Idia rotundalis"
159,0.0730249208015289,0.109363424484504,"Baca","Idia rotundalis"
160,0.0720456772245626,0.107732272177174,"Baca","Idia rotundalis"
161,0.0710039226227127,0.106033961566551,"Baca","Idia rotundalis"
162,0.0699035914575559,0.104276006346992,"Baca","Idia rotundalis"
163,0.06874870502754,0.102465743111749,"Baca","Idia rotundalis"
164,0.0675433494360249,0.100610283369455,"Baca","Idia rotundalis"
165,0.0662916540535706,0.0987164713509281,"Baca","Idia rotundalis"
166,0.064997770608359,0.0967908478616193,"Baca","Idia rotundalis"
167,0.0636658530266504,0.0948396203316959,"Baca","Idia rotundalis"
168,0.0623000381326362,0.0928686391119164,"Baca","Idia rotundalis"
169,0.0609044273041301,0.090883379960867,"Baca","Idia rotundalis"
170,0.0594830691674061,0.0888889325697958,"Baca","Idia rotundalis"
171,0.0580399434013064,0.0868899948771232,"Baca","Idia rotundalis"
172,0.0565789457076489,0.0848908728377538,"Baca","Idia rotundalis"
173,0.0551038739920973,0.0828954852344399,"Baca","Idia rotundalis"
174,0.0536184157871556,0.0809073730514603,"Baca","Idia rotundalis"
175,0.0521261369369107,0.0789297128762689,"Baca","Idia rotundalis"
176,0.0506304715516757,0.0769653337537552,"Baca","Idia rotundalis"
177,0.0491347132298765,0.0750167368911712,"Baca","Idia rotundalis"
178,0.0476420075344306,0.0730861175999561,"Baca","Idia rotundalis"
179,0.0461553457015606,0.0711753888635302,"Baca","Idia rotundalis"
180,0.0446775595515032,0.0692862059370162,"Baca","Idia rotundalis"
181,0.0432113175629471,0.0674199914146858,"Baca","Idia rotundalis"
182,0.041759122066285,0.0655779602422418,"Baca","Idia rotundalis"
183,0.0403233075048943,0.0637611442019502,"Baca","Idia rotundalis"
184,0.0389060397086679,0.0619704154570456,"Baca","Idia rotundalis"
185,0.0375093161198899,0.0602065088054801,"Baca","Idia rotundalis"
186,0.0361349669082584,0.0584700423596639,"Baca","Idia rotundalis"
187,0.0347846569093795,0.0567615364361365,"Baca","Idia rotundalis"
188,0.0334598883193457,0.055081430505017,"Baca","Idia rotundalis"
189,0.0321620040770326,0.0534300981117812,"Baca","Idia rotundalis"
190,0.0308921918654419,0.0518078597418625,"Baca","Idia rotundalis"
191,0.02965148866375,0.0502149936505595,"Baca","Idia rotundalis"
192,0.0284407857826172,0.0486517447259016,"Baca","Idia rotundalis"
193,0.0272608343167322,0.0471183314899536,"Baca","Idia rotundalis"
194,0.0261122509504415,0.0456149513743417,"Baca","Idia rotundalis"
195,0.0249955240545959,0.0441417844286468,"Baca","Idia rotundalis"
196,0.0239110200153718,0.0426989956360587,"Baca","Idia rotundalis"
197,0.0228589897387426,0.0412867360198597,"Baca","Idia rotundalis"
198,0.0218395752774314,0.0399051427275584,"Baca","Idia rotundalis"
199,0.0208528165305183,0.0385543382775924,"Baca","Idia rotundalis"
200,0.0198986579693513,0.0372344291472674,"Baca","Idia rotundalis"
201,0.0189769553469873,0.0359455038708252,"Baca","Idia rotundalis"
202,0.0180874823520042,0.034687630804018,"Baca","Idia rotundalis"
203,0.0172299371711602,0.0334608556970798,"Baca","Idia rotundalis"
